,ticker,sector
0,AAL,Industrials
1,ADM,Consumer Defensive
2,AHT,Real Estate
3,AZN,Healthcare
4,BA,Industrials
5,BLND,Technology
6,BME,Financial
7,BP,Energy
8,BTA,Financial
9,CNA,Financial
10,CPG,Energy
11,CRH,Basic Materials
12,CTEC,Financial
13,EDV,Financial
14,FLTR,Financial
15,FRES,Healthcare
16,GSK,Healthcare
17,HL,Basic Materials
18,HLN,Healthcare
19,IAG,Basic Materials
20,IHG,Consumer Cyclical
21,III,Technology
22,JD,Consumer Cyclical
23,LAND,Real Estate
24,MRO,Energy
25,NG,Basic Materials
26,NWG,Financial
27,NXT,Technology
28,PRU,Financial
29,PSN,Technology
30,RIO,Basic Materials
31,RKT,Financial
32,RTO,Industrials
33,SGE,Technology
34,SHEL,Energy
35,SMIN,Financial
36,SVT,Industrials
37,TSCO,Consumer Cyclical
38,TW,Financial
39,UTG,Financial
40,VOD,Communication Services
41,WPP,Communication Services
