,mean_return,std_return,median_return,share_positive_return,max_drawdown,rec_period,beta,alpha,sharp,VaR,CVaR,CAPM,coef_var,IR
A,0.0005970123471644858,0.016258036909706227,0.0015859075127277501,0.549800796812749,-20.012199587938074,252,1.1665670481526755,0.00012442810037411657,0.0293986740694085,-0.02620114073247794,-0.039066148005769914,0.0004527548362960031,0.4427442169542682,0.015875883324015086
AAL,-0.0009365615987965648,0.023855064106595388,-0.00104105302518735,0.4760956175298805,-58.183683508659726,3,1.4094925166076142,-0.0015075566053608977,-0.04425094869279063,-0.041247276153910134,-0.0573001668232147,0.0005222458974443788,-0.6076098830669491,-0.06647973484268713
AAP,0.0009885537253888255,0.0183824526448433,0.0007121621532648001,0.5318725099601593,-26.975964433606435,81,0.7661115501057971,0.000678196724959677,0.04730087563071312,-0.029445033280269366,-0.038966249234224655,0.0003382008635117917,0.3418272133939866,0.034239576431437865
AAPL,0.0012140921616222277,0.017355442312056584,0.00160767987871895,0.545816733067729,-38.72969450862441,256,1.36637981114797,0.000660562405314196,0.06309516766472131,-0.025862391280846445,-0.04077366463167856,0.0005099131121237496,0.2480959743983981,0.066587939962009
ABBV,-1.0381978822334928e-05,0.01985444426320685,0.00112753208727825,0.5298804780876494,-48.88401914599662,5,1.0694998119264159,-0.00044364362791662545,-0.0065189232271691275,-0.030816079252357707,-0.04768340699890997,0.00042498786196019337,-37.96953969437315,-0.024277437504676237
ABC,-3.543523675370548e-05,0.018172562415400613,0.00155628132727865,0.545816733067729,-32.91619275287064,2,0.8797227770521281,-0.00039181691806029176,-0.008500884590188872,-0.03292285355691594,-0.04374840655952371,0.00037070039832419005,-9.319594138371246,-0.027184579694537237
ABMD,0.00026057876206613255,0.030959037139890948,0.00152296293094815,0.5278884462151394,-64.57809948669373,69,1.4491561704586162,-0.0003264842604856333,0.004571561524313351,-0.04210444491782385,-0.07380325788938359,0.000533592049878121,3.6782045206965024,-0.0051456385334023
ABT,0.0008664479713427991,0.0133096618131387,0.0014802521070591,0.5677290836653387,-11.727480110618437,88,1.0522156672956795,0.0004401882468139822,0.056154721493928576,-0.023756202194905384,-0.031748200532702546,0.00042004357366028355,0.20445208880296004,0.05179614556690981
ACN,0.0007083951034289626,0.012858923219642066,0.00159300710785675,0.5697211155378487,-23.261957462851957,127,1.0782215298714133,0.00027160022706558225,0.04583179122503138,-0.023696460717609388,-0.03272064136386439,0.00042748278947392636,0.2334176303143113,0.038222154499920544
ADI,0.0007047709071388279,0.017730553298262924,0.00073189105263955,0.5159362549800797,-23.780606407600267,167,1.287348115406833,0.00018325742838941176,0.033034687538408214,-0.029126361284038473,-0.03981045275286039,0.00048730536977241223,0.4460634187339067,0.02267127046979124
ADM,0.0003642969813881498,0.012266403928048985,0.00083263857257195,0.5278884462151394,-29.02105102973228,34,0.7569665245559103,5.764469301838598e-05,0.01999358277936136,-0.01947320099906479,-0.02866355229967327,0.00033558484497025066,0.41302748310653453,-0.003984403669656841
ADP,0.0008519445056272327,0.01298057127315911,0.0018392715460535999,0.5637450199203188,-19.648156081411884,96,1.0467309447808693,0.00042790667949904387,0.05646106563083852,-0.023384957824158444,-0.03107923424793852,0.0004184746184161806,0.19777723720808688,0.052782403854188864
ADSK,0.001322624757618023,0.022562567453265254,0.0014475906281302998,0.5338645418326693,-24.7328231604348,147,1.591018754730163,0.0006780922371562405,0.053343979627470194,-0.03215319471620709,-0.046006682571744735,0.0005741731448986676,0.38489333210422555,0.05166951738457865
AEE,0.0006000398361185116,0.01039092088725836,0.0010482540243601,0.5517928286852589,-10.564273091111076,78,0.23543303639371704,0.000504664311539891,0.04628966212808903,-0.016415070922672307,-0.02273034585172328,0.00018639540119841618,0.1799401146158854,0.015672000996605352
AEP,0.0005794546384346124,0.00987099900970631,0.0012417887650528498,0.5577689243027888,-12.353763745925994,155,0.13035316055266175,0.0005266476863660834,0.0466423934329512,-0.015329665123298725,-0.022005596706906515,0.00015633633771702167,0.16815228490162137,0.013665325098123859
AES,0.001312476161334699,0.014787154067658093,0.00177198909776875,0.549800796812749,-20.640957209290846,162,0.6089386570004632,0.0010657909690726592,0.08070711489354818,-0.02269067322505633,-0.0329476019312836,0.00029324011404769886,0.16660106435631944,0.06429923614595875
AFL,0.0004307925898751872,0.011212681373781633,0.00111077056434245,0.5557768924302788,-14.99384579154861,91,0.7132066743161826,0.00014186771451434505,0.027802892139298152,-0.01697818222646233,-0.02804277499717876,0.000323066937942249,0.29184397908602705,0.002738850374618065
AIG,-0.00018324787546184043,0.014869337877084556,0.00043835154531720005,0.5099601593625498,-43.53395304107852,2,0.8651474296786076,-0.0005337249843984709,-0.02033012478486573,-0.023856143925004274,-0.03586789752333296,0.00036653098635584385,-1.2065471883134753,-0.04706525445435141
AIZ,0.0006405982070740099,0.013141723593464895,0.0009045426304239001,0.5438247011952191,-25.067997063340098,233,0.7694028515973784,0.00032890787802151137,0.03968661981946927,-0.022229069411097268,-0.029367716202633766,0.0003391423705290011,0.2695994105195471,0.021071116977313252
AJG,0.0009086565629160756,0.010871527738431079,0.0015189306671440999,0.5577689243027888,-11.980096604607748,122,0.7721578021912034,0.0005958501846374403,0.07263090918465602,-0.01820957832155054,-0.0241951740983705,0.0003399304494463492,0.13007127245983754,0.06018127345759236
AKAM,0.0006987911574722631,0.017434251587196067,0.0018572114095060498,0.547808764940239,-30.128361003206937,268,1.153684667524134,0.00023142565070703594,0.0332531359619942,-0.026205760928049344,-0.03714056193310927,0.0004490697130123541,0.43496991219113035,0.021422285054531972
ALB,-0.0009252550367118977,0.022130815783336266,0.00018928295405869997,0.50199203187251,-56.85703852042199,2,1.2056793522951161,-0.0014136839439721999,-0.0471877162587852,-0.040852088289555215,-0.05375610464946498,0.00046394327008231223,-0.5293383854212611,-0.06971065280062001
ALGN,0.0008831257643548874,0.02929352693763105,0.0020206349443885998,0.5517928286852589,-55.936689189991704,72,1.6341793960909228,0.00022110857447717766,0.026083514864361328,-0.039881143682090836,-0.07246442631533935,0.0005865196427240285,0.9716744263174739,0.018662921080810232
ALK,-3.694525507797313e-05,0.018223393505837255,0.0006146231102172499,0.5199203187250996,-28.351824323827678,5,0.9186230870684714,-0.0004090857165919183,-0.008560034335845575,-0.029652688552825494,-0.04138821625682258,0.000381828189243889,-8.988761078187434,-0.02754288871455083
ALL,0.000266575133711273,0.0118636069624084,0.00158572379421055,0.5637450199203188,-26.007855580522143,363,0.773380014288872,-4.672637100223753e-05,0.012435300253212772,-0.020856478425238374,-0.030715195366780062,0.0003402800744410258,0.5279756149759484,-0.014419095159116569
ALLE,0.0009741584994454845,0.013429909628615693,0.00176287224172765,0.5537848605577689,-19.001068852787274,132,0.9080929150416478,0.0006062838822512035,0.06367212468621854,-0.021277958264618233,-0.030788282653915502,0.0003788159368321801,0.18514694758137545,0.05475098301021104
AMAT,0.0005659107856884723,0.023949156911850792,0.001027669601717,0.5258964143426295,-52.945951170389286,425,1.6540375873533848,-0.00010415109255520062,0.018658826625321884,-0.0404759281496461,-0.05402956056042701,0.0005922002607016033,1.013520383942974,0.008376251628718846
AMCR,-7.370718438873401e-05,0.013825878867854082,0.0,0.2250996015936255,-25.84745882571805,0,0.24031258646689763,-0.000171059447895187,-0.013941594981315685,-0.025125628622345,-0.03639957746712048,0.00018779124130801277,-2.593436827818805,-0.031111074093131408
AMD,0.0035207605890748795,0.0368288774786871,0.0021763977248699003,0.5378486055776892,-49.1136949958448,182,2.064561562143973,0.002684392656050198,0.09236537203708788,-0.0521421671575104,-0.07749375567043924,0.0007096344137218278,0.38524806842846043,0.09492914580762407
AME,0.0007163358971936727,0.013242311626223753,0.000592317066672,0.5199203187250996,-22.298541122745796,126,1.088978742983871,0.00027518320062238857,0.04510453272850364,-0.02288784028091625,-0.030951272685817727,0.0004305599890732042,0.24479970624536462,0.03692379338070255
AMGN,0.0007145639144306284,0.014075401567900811,0.0009525889164947,0.5438247011952191,-20.19723422120713,272,0.9027115399302591,0.00034886932890082766,0.04230900926770674,-0.02554277883900293,-0.03281532076286971,0.00037727654506191277,0.27725571540444516,0.027492974177036666
AMP,0.00011609546560868506,0.01759975204574992,0.00201395279846315,0.5378486055776892,-46.39639341357389,0,1.4123398097003546,-0.00045605299875625595,-0.00016773835399839544,-0.03397754367920425,-0.043364337547733375,0.0005230603917815654,2.66807381707685,-0.023756755050526913
AMT,0.0010459651871203238,0.012179131711468378,0.0014557969711907499,0.5677290836653387,-14.67623669800997,124,0.35371524262255777,0.0009026727361825386,0.0761070320965394,-0.020615794176893125,-0.0284145853997721,0.00022023111253033784,0.14181279747337444,0.04857258055751673
AMZN,0.0010595567458522536,0.019026511029075766,0.00150669862280215,0.5577689243027888,-34.10378304630055,38,1.5144186071670667,0.00044605546624153236,0.04943150771927526,-0.03194600122185093,-0.046159767308834004,0.0005522609692336895,0.34165996616666416,0.04849748739905409
ANET,0.0001768982941649503,0.028727516012450396,0.0021101617066557003,0.549800796812749,-43.5989534813621,141,1.5091168789001,-0.00043445521925976447,0.00201377226949448,-0.0465408323800729,-0.07371967696948144,0.0005507443611747029,4.665224049453319,-0.008983065928332867
ANSS,0.0012241874126617351,0.01603647793616994,0.00133488477207685,0.545816733067729,-27.80855811081826,143,1.274855089950082,0.0007077349435087763,0.06891412179238537,-0.02710037758628231,-0.03565291480035683,0.0004837316251112824,0.2100729201569773,0.07482483109448611
ANTM,0.0006362607885776375,0.021219750220836622,0.0021389206778674,0.5637450199203188,-40.94547731169386,51,1.3579548030463382,8.614406036277654e-05,0.024374140324335374,-0.03137571668875755,-0.05098191621541068,0.0005075030611855349,0.7076937751284234,0.013393528060017292
AON,0.000987457113003839,0.011885026056708072,0.00186591568850775,0.5756972111553785,-16.994805579456518,95,0.7941464174303206,0.0006657429971140679,0.0730675296640244,-0.01921468552073431,-0.027127554578637116,0.00034622049476711405,0.14304808027453103,0.06168043052809209
AOS,-0.00037971833635195857,0.016100876964431018,0.0008742347666006,0.5179282868525896,-40.30070432450796,3,1.0415029970523642,-0.0008016382852921646,-0.03097756454517465,-0.02960442515768828,-0.03900911314377144,0.0004169791159577817,-0.682711931992294,-0.061443239833875125
APA,-0.0007060187618267478,0.027946804478563417,0.0020115720133878,0.5258964143426295,-62.71805386368071,113,1.3136438635120362,-0.0012381848270106646,-0.029522744953085198,-0.044069760709423894,-0.05835924194985935,0.0004948275100039126,-1.1062367217299391,-0.04406653520356259
APD,0.0007737723889780525,0.012281649872616481,0.0011116789090769,0.5537848605577689,-14.419538125224317,265,0.8817992908823953,0.0004165494977933194,0.053309187016495764,-0.020596089914713445,-0.027323585732237178,0.0003712944041749241,0.19493965634100557,0.04041566297848705
APH,0.0005055449672360498,0.013306795609189388,0.0010853849734465,0.5438247011952191,-22.600266678769977,161,1.0639087678694685,7.454828812236041e-05,0.02904511044879385,-0.021833222894779916,-0.03159623774684957,0.00042338849246256223,0.3502572883928321,0.01143200010129331
APTV,0.0003783234390294233,0.019165107875115387,0.0010783756352134499,0.5258964143426295,-41.63023253383419,67,1.237326145095148,-0.00012292579927178853,0.013528534338095565,-0.03257925314931527,-0.04283284892378844,0.00047299612578988464,0.9708659891840424,-0.0017420543231031905
ARE,0.0005010738875857492,0.011547812088537055,0.0010278949925697002,0.5378486055776892,-15.064693553819108,182,0.5796059426018697,0.0002662715774626555,0.03308213414014148,-0.018731046091166194,-0.02706501431783392,0.00028484922171810925,0.2661323356415014,0.00879036654123565
ATO,0.0005960714908354203,0.009974656690026836,0.0010792627268387,0.5318725099601593,-10.221103687382216,62,0.2708956028689959,0.00048632983934321,0.04782358798020123,-0.01399309791794232,-0.023163896728101326,0.000196539794007806,0.16691584417911387,0.01614058640014321
ATVI,0.00010859845862679016,0.022927476835857982,0.0020914351725556503,0.5338645418326693,-51.90070643491258,84,1.3286321428540608,-0.00042963946047649726,-0.0004557483797993277,-0.03533567230557607,-0.05816380505269983,0.0004991150449539945,4.840484853153589,-0.015244972730953965
AVB,0.00038831065442465845,0.010309425139403316,0.0012226734396566,0.545816733067729,-13.437201356546558,144,0.43699456909836193,0.00021128118182309457,0.026118142547822378,-0.0169716716039547,-0.02492792432452088,0.0002440539286612827,0.2737093239494997,-0.001550228739782163
AVGO,0.0005482848131914128,0.020527952903860662,0.0018535455295769,0.5418326693227091,-25.63998424971433,270,1.220191108026863,5.397709496781993e-05,0.02090988790524104,-0.0339082304762281,-0.04824585938764907,0.00046809449107753764,0.768572902777095,0.00835891190314172
AVY,0.00034716726820229095,0.014363223400204165,0.0002454246757661,0.5079681274900398,-31.700358080295,434,0.9700026662664731,-4.578741035485322e-05,0.015882204349159487,-0.022667881525163892,-0.030345635895789872,0.00039652578971589733,0.5942443465723336,-0.0052249651229070385
