,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A,95,95,95,95,95,94,93,92,91,91,88,84,77,74,64,55,50,39,30,25,22,20,19,16,15,14,13,13,11,11,9,9,7,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AAL,95,95,95,95,95,95,95,95,95,95,94,94,94,93,92,90,90,87,85,79,76,75,72,68,64,59,53,50,46,45,44,41,37,35,32,32,31,29,26,24,23,20,20,19,19,18,17,16,15,15,14,13,12,12,12,12,10,9,9,7,7,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AAP,95,95,95,95,95,94,94,94,93,93,93,92,90,87,86,86,86,85,81,77,75,73,70,66,63,62,58,53,50,48,46,42,36,33,32,32,27,25,24,21,21,20,20,19,19,19,16,15,14,14,14,13,10,10,9,9,9,8,8,7,7,7,7,7,6,6,6,6,6,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0
AAPL,95,95,95,95,95,95,95,94,92,88,87,84,79,77,76,74,68,64,60,52,49,48,47,44,43,40,37,34,31,28,25,23,22,18,18,17,16,15,15,12,12,12,12,12,12,11,10,10,10,9,8,7,7,6,6,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0
ABBV,95,95,94,94,94,92,89,85,77,71,63,54,43,35,28,24,19,16,12,10,8,8,8,8,8,7,6,5,5,5,5,4,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
ABC,95,95,95,95,94,94,94,94,93,93,92,92,89,89,87,83,82,76,72,68,62,52,47,45,43,39,34,33,30,29,25,23,22,18,18,18,16,15,14,14,14,14,14,12,12,10,9,9,7,6,5,4,4,4,4,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0
ABMD,95,95,95,95,94,93,93,88,86,85,73,66,56,48,37,32,28,24,22,17,15,14,14,13,13,12,12,11,11,11,9,8,7,7,7,7,6,6,5,5,5,5,5,4,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
ABT,95,95,95,95,95,95,95,95,95,95,94,94,94,93,93,91,89,87,84,80,77,71,68,64,60,56,55,51,49,43,40,39,37,31,29,29,25,24,21,20,19,17,16,16,15,14,13,13,13,12,11,10,10,10,10,10,9,9,9,8,7,7,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,0
ACN,95,95,95,95,95,95,94,94,93,92,92,92,90,87,86,83,80,73,70,67,65,62,53,50,43,38,33,32,31,29,28,26,25,23,22,22,21,19,16,13,12,10,9,9,9,9,9,9,9,9,9,8,8,7,7,7,7,6,5,5,5,5,5,5,4,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
ADI,95,95,95,95,95,95,95,95,95,95,95,95,95,95,93,92,90,89,88,87,85,85,82,78,76,73,70,65,64,62,60,58,55,51,49,44,41,39,36,33,31,29,29,26,26,25,24,23,21,20,20,19,18,17,16,15,13,12,11,11,10,10,9,7,7,7,7,6,5,5,5,5,5,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,1,1,1,1,1,1,1,1,1,0
ADM,95,95,95,95,95,95,95,95,95,95,94,94,94,93,92,90,89,88,86,85,84,84,81,79,76,75,70,65,62,59,58,52,49,47,46,41,39,38,38,37,36,35,34,28,28,26,25,23,20,20,20,19,18,17,16,16,16,15,15,15,15,15,14,14,12,11,9,9,9,9,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,6,6,5,5,4,4,4,3,3,3,0
ADP,95,95,95,95,95,95,95,95,95,95,95,95,93,93,93,92,92,92,92,92,90,89,88,85,83,82,80,77,76,74,72,71,69,64,62,60,57,50,48,46,44,42,41,41,40,36,33,30,29,27,26,25,23,23,23,22,22,21,20,20,17,17,17,16,15,12,12,12,12,11,11,11,10,10,10,10,9,9,7,7,7,7,5,5,5,4,4,4,4,4,3,3,3,3,2,2,2,2,2,0
ADSK,95,95,95,94,94,94,88,88,87,83,74,66,58,47,43,36,33,30,26,24,24,20,18,16,14,11,10,10,9,9,8,5,4,4,4,4,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,0
AEE,95,95,95,95,95,95,95,94,93,91,91,91,91,91,88,86,79,75,70,64,58,51,47,46,41,40,35,25,23,21,20,17,17,16,16,15,13,12,11,10,9,8,7,6,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AEP,95,95,95,95,95,95,95,95,95,95,95,94,94,94,94,93,91,89,86,82,80,77,75,71,68,65,64,56,50,48,45,40,35,31,29,28,28,26,22,18,16,14,14,12,12,12,10,9,9,9,9,9,9,9,8,5,4,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AES,95,95,95,95,95,95,95,94,94,94,92,90,88,86,81,78,72,69,66,61,56,50,45,39,35,33,31,28,25,23,21,21,20,19,18,17,15,13,11,11,11,11,10,10,10,10,10,10,9,7,7,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,3,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AFL,95,95,95,94,94,91,85,79,75,69,63,55,49,46,40,34,30,26,23,20,17,15,14,14,13,10,10,8,7,7,7,6,6,5,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AIG,95,95,95,95,95,95,95,95,95,94,93,92,88,88,86,82,77,75,71,68,63,57,48,44,41,39,33,33,33,30,29,27,25,25,22,21,21,19,17,15,15,14,12,10,10,9,7,7,6,6,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0
AIZ,95,95,95,95,95,95,95,95,95,94,94,92,92,92,91,88,83,82,81,79,77,74,69,67,64,60,56,51,51,49,47,44,41,35,33,33,33,31,28,27,25,23,21,18,18,15,13,13,11,11,11,11,10,9,9,9,8,6,6,6,6,6,6,6,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,2,2,2,2,2,2,2,2,2,1,1,1,0
