,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A,467478.69226696796,521.1523864985063,40217.82753462141,40217.79543301466,38.60275707611281,0.0,38.60275707611281,40217.79543301466,40217.79543301466,38.60275707611281,475304.62674537924,2876.5412904596296,236834.52460837978,236832.41806849948,227.3218659554303,0.0,227.3218659554303,236832.41806849948,236832.41806849948,227.3218659554303,507669.1379543955,47421.211132802484,427721.2869224906,427710.00180939486,443.97897395302516,33.444653980872026,410.5343199721531,427676.557155414,427676.557155414,410.50221836540874,475783.3531239061,362044.8466229089,237181.61101247024,238926.75610397043,2323.6701364864657,2094.338035470956,229.33210101550972,236832.41806849948,236832.41806849948,227.3218659554303,477053.1316880364,1220094.7267792951,41461.622714335885,80502.44807238432,40295.097251987114,40251.20798538879,77.23761575897004,40217.79543301466,40217.79543301466,38.60275707611281,403462.714292099,2036467.4736951943,6541.262718807082,243113.61454949272,237101.19342706935,238924.77797051708,231.3744376823336,2127.750587845084,2094.4022386844454,35.42278743420704,1028664.3135913885,1928802.2672268853,53014.11494145255,508119.05132870865,430295.2275470253,467857.7600664127,451.1473121083453,2125.772454391749,37.465124101030895,2092.359902017621,1949315.060210853,1619145.60022908,439736.44163980696,710501.5488819997,277920.8982082597,473476.1170281196,493.24648898697336,40179.192675938546,77.20551415222562,40179.192675938546,1375533.4125210904,1890488.2093216935,1612964.7033650675,896524.3387212097,278093.001047731,467711.17223601864,676.4268413969519,236605.09620254402,454.6437319108606,236605.09620254402,399050.73682532186,1802134.0090021587,2375120.8947737818,477994.8656167069,430044.36880544585,239109.9364563804,639.8343193809185,427266.0549370485,821.0044367308175,427266.0549370485
AAL,0.0,0.0,137993.8206324933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2271.172760469872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2271.172760469872,0.0,4542.345520939744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142536.16615343303,0.0,282801.15954639623,0.0,2271.172760469872,2271.172760469872,0.0,0.0,0.0,0.0,282801.15954639623,4542.345520939744,418523.80741841963,0.0,140264.99339296317,137993.8206324933,0.0,0.0,0.0,0.0,294157.02334874554,280529.98678592633,9084.691041879489,0.0,142536.16615343303,2271.172760469872,0.0,0.0,0.0,2271.172760469872,837047.6148368393,287343.505067336,144807.33891390293,0.0,142536.16615343303,2271.172760469872,0.0,0.0,0.0,137993.8206324933,289614.67782780586,418523.80741841963,416252.63465794973,0.0,140264.99339296317,137993.8206324933,0.0,0.0,0.0,2271.172760469872
AAP,225874.85502377994,418404.73477605486,22.024262604982603,225860.55191552933,15.462306637823511,226445.53481904606,7.741152283437485,0.0,0.0,0.0,351866.0682041425,517989.3132127822,614.7283204760932,352140.8723455725,24.511455240004107,364872.50532668916,12.473346537967096,0.0,0.0,0.0,226176.87739367623,697205.2873167729,13640.90513346392,232373.08936566082,19.759688370189004,345641.23148356215,304.3173663384631,292.5014507228881,0.0099989645257282,0.0,66283.87430883256,810673.3148445082,132544.13034415073,119785.20956712996,314.29352127688304,517977.4977224804,6530.00214205957,6512.294833802239,0.2326173647536362,292.49145175836236,66863.41105650799,651376.4427235961,571532.206670216,238904.45603470353,6546.559825580435,769955.1480653759,59772.4526588269,59746.13143980332,2.2649995485595653,6512.07221540201,239484.2253997437,425554.42762760783,1162251.0159297334,411926.7149329954,59781.353009497565,678176.4021856074,225891.45653087593,225868.2730698837,9.763535502717684,59744.08905865498,477871.0811533163,657352.2503385567,1221711.899130314,451770.5885131454,225892.3297146725,477868.36049268907,351876.7244960571,351860.3890056227,19.749264091897306,225860.55191552933,737371.6030942366,1341509.1529166738,856873.8517024323,411633.7686707858,351872.6401590742,298648.5346690802,225878.48184218685,225868.2730698837,19.749264091897306,351848.36089588515,989364.034756166,1833350.0718393421,710291.8511224946,232404.62454847473,225878.2792217157,286199.3874132038,59755.91497323508,59746.13143980332,9.763535502717684,225860.55191552933,810137.1483425638,1626802.272171692,591375.7039260662,60058.83739038308,59758.392166905585,358362.69811083574,6524.545561939977,6512.294833802239,2.2649995485595653,59744.08905865498
AAPL,0.0,0.0,0.0,0.0,0.0,0.0,0.06538564476581925,286050.32395904895,0.06538564476581925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010620794730656202,46464.048558177434,0.010620794730656202,0.0,199.1319113750088,9.103550898665598e-05,199.1319113750088,4.551775449332799e-05,0.0,0.0,4.551775449332799e-05,199.1319113750088,4.551775449332799e-05,0.0,46464.048558177434,0.021332624970299058,46862.312380927455,0.010711830239642856,0.0,0.0,0.0,0.0,0.0,0.0,286050.32395904895,0.1520128789929509,378978.4210754038,0.08662723422713164,0.0,0.0,0.0,0.0,0.0,0.0,46663.18060610571,597.5478380395283,618763.8285242036,0.14148311977128136,199.1319113750088,4.551775449332799e-05,0.0,0.0,0.0,0.0,46862.3442888294,139591.32043322828,140586.96905068433,0.042892838713064756,47061.44429230246,0.010848383503122842,398.26386826777207,199.13200241051774,9.103550898665598e-05,199.1319113750088,332514.57934047317,904814.3470703459,519366.43326661113,597.6117448789302,425641.6017270273,199.25044651118236,92928.10778266736,46464.0697997669,0.021241589461312403,46464.048558177434,332514.48038605,471906.9636096009,1616107.9537591625,139392.7324844588,951079.1114766806,46464.39672799072,572100.7239245374,286050.4547303384,0.1307712895316385,286050.32395904895,46663.25661254521,333112.02822408953,1090670.6188793357,858151.318477119,425641.8630875353,286050.44249418506,92928.17312279438,46464.0697997669,0.021241589461312403,46464.048558177434
ABBV,23.951346063110133,0.0,179231.11023515344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4959.931180847153,0.0,121676.25435975565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121700.20570581876,11.975673031555067,181747.00284467163,11.975673031555067,0.0,0.0,0.0,0.0,0.0,0.0,360942.18606073037,2491.9412634551313,129128.12680405793,2479.9655904235765,0.0,0.0,0.0,0.0,0.0,0.0,304184.64806287334,63348.03195288029,364231.4452017262,60832.13934336205,11.975673031555067,0.0,0.0,0.0,0.0,0.0,540233.1746610416,245047.13210542573,656889.6194747923,176751.14464472982,2479.9655904235765,0.0,0.0,0.0,0.0,0.0,316596.45168802276,425087.5358911514,483451.6853171214,60832.13934336205,60856.09068942516,0.0,0.0,0.0,0.0,11.975673031555067,667582.8483679642,725149.6799163935,434186.1290292418,2479.9655904235765,181711.075825577,0.0,0.0,0.0,0.0,2479.9655904235765,1066288.06827283,781819.2059564493,428340.8680130526,11.975673031555067,182496.41803008615,0.0,0.0,0.0,0.0,60832.13934336205,485871.77254238713,836120.7297099456,888727.6300775278,0.0,355982.25487988326,0.0,0.0,0.0,0.0,176751.14464472982
ABC,0.13023515856248102,116536.61350695603,13029.026793451512,304785.56047288695,6514.618585270517,0.007280013595754693,0.0,0.0,0.0,0.0,0.34061224808419704,304785.7991031633,233073.66874126432,116536.98971189835,116589.96527797564,0.13035414627023814,53.236095888246375,5.949385387856238e-05,0.0,0.0,0.13029465241635957,116590.5163268071,609624.4509957404,6568.543245162381,311299.8239453761,0.35517227527570644,6514.277973022432,0.007280013595754693,0.0,0.0,0.014619521045387949,13082.05991125154,239693.97001768512,6568.042408546232,233073.20523336512,0.39070547568744307,116536.59894692883,0.13023515856248102,0.0,0.0,53.37373004811236,123157.50852643455,142593.978708337,116537.10619440346,311299.9468410272,0.6885045097641488,304785.5386328462,0.34067174193807565,53.23615538210025,53.23615538210025,6567.992374812483,427996.7324410164,538019.2637325184,304786.2703075331,116696.64784684166,0.26064879868659774,116536.59894692883,0.13751517215823572,6514.285253036028,6514.285253036028,123211.20830870356,557562.2352262518,732675.9437367657,116643.91183740213,19596.200369101814,0.029239042090775897,6567.514068910679,0.13757466601211427,116536.7291820874,116536.7291820874,440865.862171779,796989.9442656015,362639.26529980893,19543.50699439475,239640.73380280915,0.27514933202422853,6567.514068910679,0.34795175553383034,304785.87924509426,304785.87924509426,770933.4845374473,1387071.8727749747,434405.74026840494,233127.73091632832,726107.9367424322,0.9416948132933561,116536.59894692883,0.26047031712496205,116536.7291820874,116536.7291820874,1037408.9127002171,1270535.5571265465,421430.710877775,609572.1493146518,537859.4177511999,0.9416948132933561,304785.5386328462,0.3478922616799518,6514.285253036028,6514.285253036028
ABMD,0.0,100546.21372403894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1320.6692465178733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1320.6692465178733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5282.676986071493,101866.88297055682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,404826.1933891915,104508.22146359256,1320.6692465178733,1320.6692465178733,0.0,0.0,0.0,0.0,0.0,0.0,210337.11217370303,207695.77368066725,100546.21372403894,101866.88297055682,0.0,0.0,0.0,0.0,0.0,0.0,304279.97966515255,407467.5318822273,3962.0077395536196,101866.88297055682,0.0,0.0,0.0,0.0,0.0,1320.6692465178733,7924.015479107239,210337.11217370303,202413.09669459576,2641.3384930357465,0.0,0.0,0.0,0.0,0.0,100546.21372403894,301638.64117211686,304279.97966515255,103187.5522170747,100546.21372403894,0.0,0.0,0.0,0.0,0.0,1320.6692465178733
ABT,170.89279275972007,275853.72888725594,701965.373444237,81112.67040971824,11064.976738163896,13.300767110329804,10421.176652443088,6.466178661687906,0.0,0.0,257.69416322048244,415802.4022162669,792077.1131075638,275966.0339095336,91262.48372204356,106.57566318983721,80670.41427684075,50.054742264074655,0.3684097869539938,593.7453434567343,177.35897142140797,286331.8022173688,793876.2875844882,415430.71698415186,356346.4157828883,985.5856712402491,275418.67575261404,170.89279275972007,6.466178661687906,10421.176652443088,100.4778943151033,162597.04074546558,1067931.949524942,276509.72955692164,691500.6082281915,11107.45777164377,414723.9174056912,257.3257534335284,50.054742264074655,80670.41427684075,184.19355987004988,297603.30580017116,1207193.9710242038,81860.8333991455,711673.4403418754,83657.80775673097,275470.20413402596,764.6381362164543,171.26120254667407,275418.3073428271,908.3288373899333,507610.425935395,989105.396171032,13144.565792769003,529836.2917715916,317482.06553222495,81467.38330636565,10471.599804494117,263.7919320952163,414717.4512270295,10819.483158888292,642475.9321816444,872737.0138806413,32866.295473525104,754339.4615173698,737879.8004764103,21349.952769640076,80683.34663416413,220.94753502379473,275418.3073428271,81198.74230756215,852018.2159213697,792920.7637525538,243345.36000095753,1358884.002813899,1377984.5029810541,82289.5163768558,275468.73049487814,220.94753502379473,80670.41427684075,276023.8848604417,976538.712505244,633812.7755453022,827759.6573028578,1793994.769418899,1740823.2701047375,276754.99085225887,414888.34401978925,263.7919320952163,10421.176652443088,415196.09292527376,771971.0906179468,507059.66111485823,1245509.1798930364,1682373.5041875981,1113394.7113147734,415578.38136948977,275675.63309626066,171.26120254667407,593.7453434567343
ACN,0.07189504851898516,835.8579073488415,2.189856314861586,24623.596595300234,2.1179612663426006,0.0,0.0,0.0,31.717083036286397,368745.4866508518,2.189856314861586,25459.454502649078,18.3129891752254,187448.97651623798,851.9810402092054,0.07189504851898516,0.0,0.0,16.123132860363814,187448.90462118946,18.384884223744386,213744.28892623592,886.0317696573912,369583.53441451554,24655.38557338504,2.1179612663426006,0.0,0.0,2.1179612663426006,24623.596595300234,52.21992852637338,607115.4901336542,25529.91552530215,212090.81420566494,187467.14571531618,16.123132860363814,0.0,0.0,0.07189504851898516,835.8579073488415,920.1803114989048,980357.7785892443,213010.92262211532,212122.67507879826,370435.4435596762,31.860873133324368,0.0,0.0,0.0,0.0,26409.30583096644,1325349.577281593,583471.6315686353,372995.30910529767,236728.31816016586,1692.074870090732,0.14379009703797033,0.0,0.0,0.0,237632.0158635618,1163398.7273125723,820982.3162209726,287720.1915419709,402057.95425028115,49281.773102733096,4.235922532685201,0.0,0.0,0.0,768321.6876659596,637226.2422876508,1241784.7297047798,823843.0676363881,812300.7136759142,374967.66918729903,32.24626572072763,0.0,0.0,0.0,1112441.0024726088,607386.9374788583,2069151.8439825925,1850974.1861871623,937467.1437649344,737571.5889660055,63.43416607257279,0.0,0.0,0.0,768314.8764945248,558109.6159838034,2062964.0256731324,1487563.406545144,1155643.8261063907,374997.19641402044,32.24626572072763,0.0,0.0,0.0
ADI,0.050313396759380145,224.89955003187544,87.09461805531066,389085.75161363184,162.01082133584308,1.9599091852729231,8685.77559698338,1.9431380530197966,0.0,0.0,5.8294141590593895,26057.326790950137,41.413515310716974,159061.93218171713,8721.359698135037,35.584101151657585,150374.21344668072,33.64096309863779,0.0,0.0,100.92288929591335,451122.6571111744,211.50704938936903,159243.63012464633,150634.73064012875,120.71881002169532,389010.7683258223,87.04430465855128,74.9665166772918,0.016771132253126715,336.04911725618626,1167034.2648866521,9037.805549459117,406627.0526388819,415159.04246866924,126.49791078399534,150374.21344668072,35.584101151657585,8685.77559698338,1.9431380530197966,8786.698486279292,451158.25798345834,150727.9857100769,460201.55384481506,601599.7868986009,211.47350712486278,8685.809139247885,110.5506178289494,150374.24698894523,108.6074797759296,150380.04286083978,26181.898334813373,406678.600804121,963567.8256357292,1176160.4086160308,8948.868420144305,78.85279278333141,8772.819901641931,389014.65460192837,8772.803130509677,389010.8354103513,489.80994098115787,460290.57482979115,1149852.3134016164,477770.68319013715,150556.0328936065,217.2317306841123,150407.92149430836,150591.4284062326,150407.88795204385,150376.15658473372,8934.885142445331,963473.0464271939,1485480.3333647726,503658.515396404,397813.0119165258,17547.549399072377,389020.4840160874,26231.381858002733,389016.5977399814,8719.416560082018,150631.40570488546,1141180.3701421416,849586.4222196257,1618637.0538968777,301177.76462283026,300849.34978265734,150508.7940702075,300890.67533623596,150441.51214401025,161.99405020358998,389309.3949367381,1334904.5843000307,177167.12208396656,1618283.4031374783,398232.60447973304,778112.4504612769,9033.885731088572,778025.4229277506,8859.830664035975
