,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A,0.087576464,0.09294216,0.12906684,-0.04100877,-0.013817064,0.12127643,-0.0019920245,0.12373157,0.0077718236,0.19036281,0.0848864,0.15814212,0.00080885645,-0.0025950074,0.10298182,0.095737495,0.054106314,0.061710354,0.09251089,-0.036121316,0.2733193,0.29209095,0.057693955,0.058563042,-0.057013843,0.25639185,0.2400877,0.088204086,0.044485033,0.054141864,0.144579,0.14348921,-0.0010020249,0.12820652,0.029005878,0.10546285,0.029285181,0.11941334,-0.07946348,-0.06105251,0.014790166,0.11759631,0.08175492,0.036320932,0.07579757,0.0870104,0.10041444,0.22023888,0.095812865,0.08355074,0.17092757,0.05160567,0.121027686,-0.05352571,0.04124713,0.13715328,0.12251,0.1673117,-0.02074989,-0.05203824,0.018686678,-0.046324655,0.028749853,0.031432793,0.025212739,0.12874983,0.11123701,0.035493582,0.10133328,-0.053450473,0.33530924,0.0048971036,0.06282532,0.031822607,0.09190315,-0.028715998,0.076350525,-0.04816598,0.028294496,0.045292716,0.0065229014,-0.061967768,-0.043626226,0.115389615,0.0057471097,0.07345114,-0.029604614,-0.019161362,-0.093902625,0.009413004,0.07735721,0.021664808,0.08782544,0.0067751,0.13327156,0.13303113,-0.008600911,0.026318602,0.10535523,0.06047289
AAL,0.09056556,0.09715943,0.1173979,-0.038216926,-0.009102769,0.09229225,-0.0077545717,0.122252494,0.020054922,0.17115647,0.07675403,0.115579836,0.0012139026,0.0015390813,0.07902267,0.08661686,0.037800383,0.043598752,0.08766502,-0.03983445,0.19424547,0.21475713,0.049080618,0.066463016,-0.05536184,0.18240821,0.23564962,0.091563106,0.04172469,0.07370637,0.13399543,0.15265548,-0.0046015354,0.11219902,0.015236229,0.10790185,0.026691243,0.07237597,-0.07936798,-0.06220541,0.0032698698,0.073365144,0.05985455,0.025584497,0.08009278,0.070290096,0.14450884,0.16612834,0.098802224,0.07255064,0.17159827,0.05593005,0.12099859,-0.043698728,0.045791708,0.1486767,0.11523628,0.17016444,-0.011770529,-0.050669793,0.02868412,-0.048976757,0.035881784,0.022515487,0.027056895,0.12625088,0.112326816,0.028422061,0.10539636,-0.04017572,0.32604218,0.0039347764,0.06343512,0.033171877,0.09551425,-0.029045874,0.06544721,-0.048788376,0.024602816,0.043381978,0.007870108,-0.053057678,-0.03792478,0.118174106,-0.006556958,0.07131716,-0.032724053,-0.016789109,-0.093860894,0.008046001,0.07154275,0.019885242,0.08631985,0.013092693,0.19960484,0.12957923,0.001688242,0.024188261,0.09684507,0.11620545
AAP,0.090823464,0.09417958,0.070183516,-0.043119,-0.0070630535,0.086776294,0.025580294,0.11811292,0.04086419,0.17056988,0.05466833,0.0737063,0.007970939,-0.0029680356,0.06895841,0.021578731,0.028291805,0.021654967,0.082809106,-0.04215312,0.15979917,0.15975404,0.04856606,0.05849103,-0.050033793,0.13798614,0.24101715,0.088638574,0.06847228,0.115938045,0.12882972,0.14634871,-0.008266445,0.11310251,0.0063978285,0.10369484,0.028363671,0.026265088,-0.08237927,-0.06024389,-0.0051675737,0.051587198,0.04365007,0.013846487,0.0752857,0.051897444,0.17526394,0.09485202,0.09443666,0.057368383,0.17533755,0.053687755,0.12024145,-0.056590594,0.039190218,0.15839255,0.11958411,0.16991593,-0.034277435,-0.055646878,0.054615118,-0.04814682,0.051365435,0.024242483,0.0262306,0.12758358,0.11169232,-0.023269042,0.09992217,-0.050010614,0.31972253,0.018049773,0.062164724,0.025352266,0.09451118,-0.03933165,0.02715047,-0.04859339,0.020554125,0.04234833,0.014840141,-0.050011043,-0.032419257,0.11525477,-0.012928009,0.07234542,-0.02813577,-0.01993781,-0.097631484,0.0075852014,0.0638697,0.0076086875,0.08953892,0.013191663,0.21751429,0.1262456,0.030760475,0.028093558,0.105566464,0.13572459
AAPL,0.089838654,0.091686964,0.124508165,-0.04253845,-0.009432957,0.08304988,-0.011105485,0.11798738,-0.0057614706,0.1625227,0.058573954,0.14855368,-0.00016522594,-0.0034305975,0.062246166,0.08923571,0.03177563,0.06567937,0.08383346,-0.045405224,0.23343816,0.24587166,0.040045142,0.058332667,-0.054494377,0.21783395,0.23644587,0.0876443,0.045655407,0.030099077,0.1258857,0.14664957,-0.0072258376,0.114213705,-0.007750213,0.10281648,0.029255293,0.09843021,-0.08632325,-0.059272543,-0.016389005,0.088595696,0.07135029,0.030911636,0.076250456,0.07622734,0.082358554,0.19915962,0.095124155,0.057418782,0.16873004,0.05424086,0.12058282,-0.04653894,0.04300165,0.13207288,0.1165708,0.1662945,-0.016351782,-0.052193873,0.0019064434,-0.052258495,0.020773567,0.02762296,0.026046626,0.12870891,0.11164124,0.031222012,0.101766005,-0.048881434,0.3202639,0.003817819,0.06381163,0.026702339,0.093407914,-0.037448376,0.08161667,-0.0477691,0.021284133,0.04112484,0.006040156,-0.07062362,-0.04006289,0.11598618,-0.0005988106,0.071237564,-0.033315018,-0.019842671,-0.09932826,0.008980103,0.06352067,0.014857493,0.08403401,0.009567641,0.1461897,0.12508667,-0.011195643,0.025353279,0.095309295,0.07661536
ABBV,0.08885406,0.09587969,0.2107476,-0.042824477,-0.010916367,0.10477813,0.04540731,0.13169175,0.08246586,0.19808318,0.077905506,0.27269977,0.005736951,5.8487058e-05,0.11733803,0.16594878,0.11386539,0.11574482,0.094792075,-0.02425404,0.4601032,0.4836141,0.0659678,0.061647594,-0.054001056,0.43919134,0.2404451,0.09476647,0.08392969,0.15925585,0.1440767,0.15640436,-0.0093876645,0.09823915,0.06359455,0.10602104,0.029145285,0.23409414,-0.07356483,-0.06155467,0.055399284,0.23316601,0.16040654,0.08114366,0.083880104,0.14932828,0.21957812,0.40026844,0.09513245,0.09146505,0.17528144,0.058236796,0.122269765,-0.057609234,0.04092945,0.22442225,0.11275923,0.16821083,-0.009729593,-0.05404313,0.10434232,-0.044739097,0.08882639,0.060139094,0.027296413,0.1279854,0.11295811,0.102423914,0.1009773,-0.05218397,0.31911632,0.047214974,0.06406676,0.03369975,0.09934482,-0.015646812,0.15820187,-0.04704306,0.037786603,0.04192679,0.018981688,-0.04732883,-0.035201438,0.11402949,0.04616563,0.07348049,-0.01806771,-0.017739804,-0.105822906,0.008865535,0.07909389,0.036010694,0.10089154,0.007290978,0.3169805,0.13060606,0.0646238,0.027024664,0.09282613,0.23129195
ABC,0.08803745,0.097757086,0.078227855,-0.038074806,-0.013609163,0.09228693,0.008108541,0.117437035,0.031670783,0.18213147,0.06689313,0.07644869,0.0005478766,-0.002636671,0.08461701,0.0487624,-0.00017588586,0.019338168,0.08927635,-0.037010442,0.12120892,0.15404366,0.0502967,0.057490047,-0.054221638,0.11658605,0.24080187,0.08744914,0.05495273,0.073542446,0.13953252,0.15155672,-0.0083152475,0.11697702,0.0058607385,0.105662175,0.02755107,0.028992742,-0.08113158,-0.059303597,-0.018026115,0.028875262,0.030618874,-0.00033816323,0.07515518,0.031257436,0.10369368,0.08399065,0.09495805,0.065052465,0.17069411,0.054042514,0.119212925,-0.054408874,0.040838346,0.12013841,0.11683637,0.1662412,-0.023813302,-0.05198195,0.049517162,-0.05066252,0.05600156,0.009264175,0.02450208,0.12718819,0.11208775,0.00064495206,0.100710034,-0.055131808,0.3242767,0.01900667,0.062022813,0.02482408,0.09378048,-0.038667396,0.03234336,-0.047614403,0.019676417,0.044732615,0.005798653,-0.06786272,-0.041115627,0.11711289,-0.023259182,0.072235756,-0.035491876,-0.021181297,-0.09867296,0.0070961043,0.06999856,0.01770703,0.08672446,0.00932765,0.16088608,0.12506232,0.006542608,0.027011875,0.10218711,0.10191896
ABMD,0.10187405,0.11774398,0.37769005,-0.026096225,-0.00823313,0.2596761,0.028251767,0.15286034,0.09212854,0.18367282,0.10791229,0.5204579,0.00905294,0.009421341,0.14188865,0.33202925,0.24663186,0.21474731,0.08631808,-0.024190217,0.85523385,0.912465,0.06161069,0.07092439,-0.04777244,0.81576174,0.23605995,0.11105954,0.09731738,0.15500972,0.14359933,0.19327518,0.016226456,0.193927,0.09892283,0.10639416,0.02608985,0.49028158,-0.055773452,-0.055437677,0.1307736,0.480472,0.35391137,0.1774013,0.12218695,0.29537195,0.28560835,0.7554316,0.09678956,0.10310842,0.17467737,0.06527825,0.12215944,-0.022367347,0.047416374,0.3390128,0.14293937,0.16985089,0.058147926,-0.04615376,0.103466794,-0.028018177,0.082836926,0.12604919,0.025204122,0.13110527,0.11424826,0.2238703,0.102004245,-0.02318126,0.32218954,0.034775183,0.0878658,0.06895393,0.10469733,-0.0041893926,0.28925195,-0.04286794,0.056176618,0.05508347,0.021653265,0.0025918353,-0.028057609,0.12682208,0.12694296,0.07079692,0.027244449,-0.005971115,-0.06808907,0.027644727,0.065401666,0.0677482,0.08976266,0.017455913,0.4196064,0.15386193,0.08379557,0.03135501,0.13310248,0.29061782
ABT,0.088940725,0.09352244,0.042267982,-0.04416468,-0.01578243,0.052960284,-0.023089975,0.11605527,-0.019143127,0.16227946,0.054812547,0.027773732,-0.0017089918,-0.0025091842,0.05886281,0.008130796,-0.019859064,0.013622489,0.08007808,-0.046476964,0.05143839,0.070187345,0.03817358,0.057051785,-0.057733245,0.040714987,0.2374789,0.08640597,0.02256446,0.013299597,0.12774141,0.1426386,-0.0108261565,0.095913075,-0.005310327,0.10644869,0.029898837,-0.022325397,-0.08978891,-0.06071748,-0.028718129,-0.01680283,0.004300669,-0.006888069,0.073286176,0.013298601,0.05866106,0.016160212,0.0947949,0.053714793,0.16840868,0.052501477,0.11940453,-0.054463197,0.04164742,0.07872887,0.111565754,0.16525397,-0.04058546,-0.054308034,-0.008573633,-0.053516857,0.022096492,-0.0002085939,0.024922062,0.1268772,0.10927625,-0.027565405,0.10163754,-0.050960124,0.32170522,-0.006207455,0.06003516,0.02239149,0.09191132,-0.04557766,0.005673498,-0.048391078,0.016436912,0.03968606,0.0028496012,-0.07931148,-0.04105154,0.11488501,-0.038882796,0.071557745,-0.031466004,-0.02057268,-0.1019457,0.009573739,0.06386331,0.010245858,0.0870786,0.0064178556,0.09547749,0.124931276,-0.032211225,0.023474667,0.091994315,0.03540229
ACN,0.08750947,0.09136013,0.07783683,-0.044141106,-0.01477813,0.055336602,-0.0126507655,0.11555018,-0.011079457,0.17566493,0.05423752,0.078585945,0.0009513721,-0.004653603,0.0811557,0.052287295,-0.015870107,0.015494067,0.08427901,-0.03647181,0.1269265,0.14928228,0.050868183,0.050442044,-0.054879896,0.11908831,0.23601964,0.08533434,0.056454744,0.0121867545,0.12888397,0.14419931,-0.01058249,0.09607103,0.019651294,0.10292416,0.029969197,0.021164775,-0.09019931,-0.05837939,-0.03503855,0.03315515,0.031637933,-0.00976963,0.073816426,0.0135845095,0.030332636,0.08724381,0.09550298,0.069320455,0.17297885,0.05665668,0.120835826,-0.05577802,0.040630303,0.09540905,0.11005204,0.16840138,-0.029272076,-0.055079617,0.0047454834,-0.055804584,0.01834761,-0.00040613115,0.02431972,0.124442644,0.10997343,0.0028493702,0.10090464,-0.056672256,0.321304,0.010061406,0.060264874,0.021716502,0.09250971,-0.03289657,0.03297082,-0.04871497,0.017596751,0.03871669,0.0118934065,-0.082464516,-0.038005963,0.11480693,-0.039239,0.07417698,-0.030738862,-0.02170428,-0.10961484,0.009438481,0.06933157,0.012708301,0.088093445,0.004751887,0.08881786,0.12530491,-0.025061885,0.027341142,0.08922567,0.028034486
ADI,0.08982724,0.09184007,0.06307623,-0.044300094,-0.013890095,0.074370116,-0.008365154,0.1187916,-0.008217651,0.16829321,0.055471368,0.057420384,0.0058933105,-0.002729319,0.06723577,0.026477024,0.0046190917,0.025277596,0.08395877,-0.045546696,0.09183718,0.09955321,0.043000504,0.055502906,-0.056005523,0.08352521,0.23525107,0.08940169,0.049872905,0.023961818,0.12892455,0.14590192,-0.006113439,0.109395005,-0.011883415,0.10315607,0.030982293,0.010387283,-0.08160947,-0.060938448,-0.021884626,0.0046027116,0.00948659,0.0021096468,0.07647786,0.030231819,0.06219411,0.064437225,0.09559358,0.05798582,0.16928568,0.052850425,0.1220758,-0.0491492,0.03911043,0.123500355,0.11546322,0.1658518,-0.017311458,-0.05325425,0.013734035,-0.053020168,0.026744857,0.011251718,0.026770674,0.12715888,0.1124534,-0.016801558,0.10217401,-0.049503427,0.32302994,0.011906819,0.06230656,0.023437578,0.0923929,-0.0412085,0.022511259,-0.048267424,0.019394323,0.042753577,0.0073915645,-0.07268714,-0.04130038,0.11575912,-0.027771216,0.07297422,-0.032350566,-0.01904511,-0.10099929,0.010482889,0.06378412,0.013121672,0.084369585,0.009364821,0.13639215,0.12559181,-0.014565641,0.027472764,0.095543325,0.06527752
