,mean_return,std_return,median_return,share_positive_return,max_drawdown,rec_period,beta,alpha,sharp,VaR,CVaR,CAPM,coef_var,IR
A,0.0006486945160939101,0.018427275961194346,0.0013269703234359,0.5395417590539542,-37.13186085904362,252,0.999855782179952,0.00022944357617898058,0.028742549802893525,-0.030060648176531438,-0.04230638215361495,0.0004192681087030305,0.523458254888119,0.018316496810562653
AAL,-0.00021930333030575913,0.03817640183120269,-0.0011016812266317,0.4789356984478936,-84.53908025804473,3,1.3808698390633931,-0.0007983178124396537,-0.008862829735746182,-0.05451296867097606,-0.08146050443790812,0.0005336728346263479,-6.645761624985146,-0.018958408451602977
AAP,0.00033237488303802684,0.021413907809889013,0.0004340100998962,0.5121951219512195,-59.38176792796162,588,0.8884577732425099,-4.0165600445028326e-05,0.009962089399296497,-0.029931259355033817,-0.05109216632363686,0.000385819320001804,1.379633272824537,-0.004887207390319414
AAPL,0.0012515124828270227,0.02071345017418446,0.0010968789214593,0.5291943828529194,-38.72969450862441,256,1.2273995222128526,0.0007368498559660428,0.05467292287167179,-0.03173579509132504,-0.046735286403634724,0.00048759125516897373,0.34282280361219764,0.06515911496315244
ABBV,0.0004386252311730432,0.017791807372102193,0.0012208894382483,0.5388026607538803,-48.88401914599662,974,0.6587863067939116,0.00016238861460395163,0.017962065654247496,-0.02511325817050578,-0.04309484840806021,0.00031685729433172114,0.7216830840292167,0.00120140377665747
ABC,0.0006293887482293213,0.01852322561178025,0.0012894131525951,0.5395417590539542,-32.91619275287064,701,0.7609294601925327,0.0003103223417730523,0.027551417872767246,-0.02830287975994076,-0.04244122134342684,0.000347527185004777,0.5451477930455436,0.01334895885469549
ABT,0.0005917154583978274,0.016674007758049406,0.0010676515369349,0.5358462675535847,-32.800796658469544,139,0.8563307860502599,0.0002326461872806388,0.028347584228634367,-0.0253667125920648,-0.037945813782532596,0.0003761727489683482,0.4698584949399263,0.014182472588015815
ACN,0.0006210854650165633,0.017855116026380135,0.0013095137510836,0.5417590539541759,-40.741902120281296,127,1.097836707511203,0.00016075000494283724,0.028117310759964025,-0.02956334086095052,-0.04208700231776568,0.0004486882329890591,0.5133032187558837,0.02014788651120285
ADI,0.0007970666650420968,0.021804764054965488,0.0010897683893449,0.5232815964523282,-34.02599184883872,309,1.2446640897095382,0.00027516480800491184,0.03109499576722436,-0.03242823257348234,-0.04834421218586961,0.0004927751796908114,0.5964968256044234,0.026501561315730945
ADM,0.0005889173963992871,0.017176756462514504,0.0012062673840547,0.5343680709534369,-43.406064978162426,514,0.80914168569223,0.0002496350535886082,0.02735497696419478,-0.02630809804899692,-0.04265377156708073,0.00036200357070446097,0.5009887029597874,0.012571432887322528
ADP,0.0006133063754531163,0.0175896490736094,0.0012707138758689,0.5402808573540281,-39.82344844423481,264,1.0376138004261295,0.00017822306758956,0.02809940973450446,-0.02581314291348932,-0.04182569401080712,0.0004306054744794932,0.5044717728625332,0.01825820702260053
ADSK,0.0008132928474465205,0.025863789371135818,0.0011038584811537,0.5225424981522543,-51.9940389655281,147,1.3792803871154558,0.00023494484065336892,0.026842363214327914,-0.038234287662602,-0.058681236818126405,0.0005331955797555972,0.8225027463781613,0.021139576736366773
AEE,0.000388286910980659,0.01581490866381984,0.0007593671290486,0.5351071692535108,-29.516481971995624,360,0.6369018162206462,0.00012122671105677276,0.017024397526176387,-0.022443709710078197,-0.03655077191145176,0.0003102861741833331,0.6441405284903413,-0.0021935091113982957
AEP,0.00024238537340230115,0.014810225294385604,0.0010528371297828,0.5395417590539542,-32.90520581668011,538,0.5343383548129702,1.8331203310382945e-05,0.00832787833426397,-0.021248527088855655,-0.03520142601176205,0.00027949008023323127,0.9049340320812311,-0.012304025775402455
AES,0.0007390245087839671,0.022602609956063033,0.0012026734078771,0.5232815964523282,-54.54113120553769,451,1.031997738293306,0.0003062960798637254,0.02742943805788422,-0.03232259639193716,-0.053506575957621524,0.0004289191743615148,0.6912869204656655,0.017977376593183998
AFL,0.0005009981693001983,0.01959874649253509,0.0011142899580431,0.5417590539541759,-55.58094440345196,474,0.9644891850386771,9.65768471734905e-05,0.019488519349850224,-0.02590338224122616,-0.044489408859709145,0.0004086488000982939,0.7666911530139685,0.005580507038566151
