,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A,-0.5040917,0.24974008,0.4129928,-0.035477452,0.9514107,0.38779867,-0.7259739,1.608023,-0.42341736,-1.6344758,-3.2077885,1.0810775,0.96270037,-0.9106085,0.31338143,-0.18338667,-0.7756895,-0.37530768,0.17803852,0.8280298,1.4658384,0.3570882,-0.02131574,-0.12959845,0.6247825,1.3681926,-1.6422479,2.1930237,1.1941901,1.4530945,0.6901641,1.1396856,-0.668099,-0.668923,-0.24890658,0.0027169948,1.5297819,0.009828367,0.39483017,-1.1291773,-0.025826665,-1.3921192,0.19071653,-0.37699124,-0.632781,-0.18637389,2.2484121,-1.1630081,-0.28818956,0.4894993,-1.7285634,-1.4144247,-0.8174106,-0.5354665,0.78169924,-0.09808171,1.2562618,-0.08288648,-0.18753794,0.48821795,-0.53851193,1.808151,-0.74241424,-0.446288,0.31962502,-0.88966805,0.04837712,-0.030621009,1.8335398,-0.8782437,-0.2073877,0.6315264,-0.815828,0.4928784,-0.8828216,0.07051523,-0.74617535,-0.6623234,-0.24250486,1.5413541,-0.74007887,1.6325239,-0.44373554,0.15005237,0.71331954,-1.5008774,-0.6368316,-1.2569212,0.77982354,-0.5995321,0.8563014,-1.1870335,0.119555384,-1.3437719,0.6925829,-1.6950974,0.8568999,0.93979394,0.3660981,-0.03904377
AAL,-0.50838274,0.20856163,0.41820133,-0.042951725,0.93426585,0.37365314,-0.70308065,1.6254549,-0.40075454,-1.6249119,-3.190082,1.0748973,0.93900996,-0.89271367,0.29584754,-0.17803803,-0.79094887,-0.39402267,0.19553523,0.84435236,1.4472669,0.36752728,-0.053365503,-0.100930266,0.64272493,1.3616589,-1.6568538,2.224484,1.1567174,1.4160938,0.724385,1.100369,-0.673857,-0.6664514,-0.26116982,-0.014555341,1.520722,-0.027026204,0.36781463,-1.1391838,-0.012396381,-1.3846815,0.19389959,-0.36998442,-0.6194381,-0.20009677,2.2711363,-1.1914871,-0.2949284,0.48533392,-1.7341695,-1.4120574,-0.80782396,-0.5399207,0.7968918,-0.08904135,1.2779447,-0.08466615,-0.19798708,0.52454436,-0.5268106,1.8053648,-0.74626505,-0.43179578,0.29519343,-0.8880771,0.09745155,-0.053589143,1.8582947,-0.8311692,-0.16417606,0.64774525,-0.8151161,0.5205428,-0.9092988,0.05944033,-0.7848713,-0.6639542,-0.25297132,1.5693535,-0.75460076,1.6275153,-0.43051517,0.1519452,0.7102515,-1.4975907,-0.66776,-1.2174443,0.76127577,-0.5903034,0.8468431,-1.1740212,0.09039223,-1.3614533,0.7084878,-1.6776358,0.8518971,0.93718964,0.36931226,-0.03518899
AAP,-0.50760454,0.2474794,0.4212313,-0.03565756,0.9442887,0.38321155,-0.7183797,1.60773,-0.43244973,-1.6436282,-3.2117536,1.0830988,0.9710236,-0.90032095,0.2995118,-0.18701151,-0.7772361,-0.37226418,0.1890399,0.8175811,1.4647222,0.35233802,-0.03361372,-0.12661584,0.6285511,1.3647826,-1.6465057,2.1871672,1.1950022,1.4536934,0.6908239,1.1409163,-0.6690297,-0.66575384,-0.26015958,-0.00037428,1.5298272,0.005049454,0.3902725,-1.1226773,-0.022278704,-1.3853892,0.19328837,-0.3817909,-0.62934303,-0.19210993,2.2544634,-1.1594701,-0.28118542,0.49288687,-1.7281144,-1.4102715,-0.80619365,-0.5306598,0.78721803,-0.08306174,1.2643918,-0.088647835,-0.18112153,0.49445197,-0.54145426,1.8079125,-0.7384402,-0.43791872,0.3190502,-0.88384515,0.050081156,-0.032841094,1.8346777,-0.87774205,-0.19806074,0.6299562,-0.823498,0.4839238,-0.8680953,0.071082294,-0.7562005,-0.6688789,-0.25038493,1.5412232,-0.74598503,1.6330069,-0.43813583,0.15437943,0.7098946,-1.508747,-0.626449,-1.2561479,0.778176,-0.60666585,0.8430514,-1.1834152,0.10789952,-1.3418912,0.6934707,-1.6926264,0.8529086,0.93692803,0.37022474,-0.039697614
AAPL,-0.5136588,0.20103517,0.4195328,-0.05284902,0.93375367,0.3680217,-0.7064342,1.6218575,-0.38793787,-1.6203518,-3.1863031,1.0697767,0.9368266,-0.9044556,0.31251395,-0.17372137,-0.799516,-0.40969256,0.18763007,0.8409665,1.4371561,0.37218657,-0.042624872,-0.1201334,0.6400314,1.3658814,-1.6544238,2.234663,1.1463499,1.4080526,0.7402454,1.1014851,-0.661684,-0.683388,-0.24617656,-0.007172646,1.5219651,-0.037368525,0.3644823,-1.1377838,-0.0027799697,-1.3881614,0.19392383,-0.36993486,-0.62743247,-0.18692096,2.2572584,-1.1748644,-0.30200624,0.48763093,-1.7325104,-1.4185733,-0.8135537,-0.54301584,0.7911034,-0.10263859,1.2633603,-0.07618761,-0.20414601,0.5273396,-0.5237877,1.8117408,-0.75835526,-0.43446139,0.29803,-0.88516784,0.09886594,-0.057286587,1.8576565,-0.83994085,-0.16993451,0.65415263,-0.8098672,0.52581096,-0.92063296,0.0714095,-0.7791695,-0.6640541,-0.23977867,1.5659778,-0.75718504,1.6459953,-0.44037122,0.15227793,0.719386,-1.4893163,-0.6847503,-1.2015033,0.7792288,-0.58580476,0.8748017,-1.1733145,0.10046162,-1.3579562,0.70859,-1.6734308,0.8381913,0.9409793,0.35567316,-0.044390026
ABBV,-0.51458067,0.24488881,0.4254315,-0.029239353,0.9453109,0.3949622,-0.71409905,1.6119832,-0.4346556,-1.6431866,-3.2153769,1.0863484,0.9700545,-0.8962183,0.29069686,-0.18444028,-0.7636353,-0.36582327,0.18463746,0.8260832,1.4638084,0.35132888,-0.040878017,-0.115861945,0.6333615,1.361981,-1.6523814,2.194751,1.1974155,1.4551677,0.6855515,1.136752,-0.68493575,-0.658381,-0.2685682,-0.010053084,1.536762,0.01182668,0.38673526,-1.1241424,-0.023569422,-1.3777295,0.18789193,-0.39233774,-0.6207283,-0.18898685,2.2569644,-1.167502,-0.27669784,0.49122536,-1.7340225,-1.4135494,-0.80504954,-0.5271963,0.7999942,-0.077424124,1.2698541,-0.09828569,-0.18004802,0.4966896,-0.5378512,1.806493,-0.7360391,-0.4374966,0.31756684,-0.87625307,0.052495934,-0.036605757,1.8354455,-0.87465274,-0.20065781,0.62775517,-0.82391405,0.48512658,-0.86830914,0.06728423,-0.7614071,-0.66961735,-0.26106262,1.5431669,-0.7367068,1.6189789,-0.43882412,0.16243333,0.70356286,-1.5088092,-0.62318623,-1.2705396,0.770915,-0.60130364,0.8276545,-1.1774564,0.09914836,-1.3529956,0.70040727,-1.7000296,0.8590588,0.93745553,0.37944087,-0.035586264
ABC,-0.51339626,0.21254106,0.42380047,-0.05387343,0.93175423,0.35320094,-0.71011806,1.6272694,-0.39277422,-1.6262808,-3.1929157,1.0763445,0.9323056,-0.9063176,0.31391048,-0.17514536,-0.7978067,-0.40876666,0.18112373,0.83736277,1.4462352,0.3759595,-0.03615715,-0.12717469,0.63837236,1.3693326,-1.6504337,2.224771,1.1549183,1.4106463,0.7307985,1.1048015,-0.65692544,-0.68882614,-0.24604143,-0.0040641073,1.5203301,-0.030796327,0.37511575,-1.1390725,-0.012972787,-1.3836366,0.1967051,-0.3702281,-0.6346128,-0.19570231,2.259438,-1.1739131,-0.30164173,0.49077243,-1.7327183,-1.4190052,-0.81995744,-0.53449357,0.7923961,-0.099412665,1.258995,-0.07615359,-0.20419328,0.51904005,-0.52338237,1.8133903,-0.7476884,-0.4389553,0.30494088,-0.8941596,0.09130696,-0.05219351,1.8537349,-0.84452146,-0.16709885,0.6543188,-0.8060462,0.52350235,-0.9202271,0.0683387,-0.7841517,-0.6688345,-0.2359225,1.5610756,-0.7584729,1.6441431,-0.429866,0.15748586,0.72790074,-1.4908948,-0.680715,-1.1993874,0.77584046,-0.5854837,0.878704,-1.1753445,0.10308573,-1.3575755,0.70643294,-1.6741323,0.8391545,0.9451951,0.35102645,-0.04202792
ABMD,-0.5208224,0.23826756,0.4168755,-0.038835,0.94304186,0.39826545,-0.71432173,1.6120028,-0.43500566,-1.6439471,-3.2168875,1.0813059,0.9706446,-0.88597196,0.28914535,-0.17569369,-0.770966,-0.3725224,0.19601361,0.8316616,1.4584215,0.35042053,-0.03653625,-0.09744263,0.6332899,1.3560579,-1.6492711,2.1987636,1.1924031,1.4423177,0.6910348,1.1328977,-0.68006426,-0.6611837,-0.2709839,-0.014952104,1.5318387,0.008310236,0.3823396,-1.1274832,-0.012788501,-1.3858542,0.19517104,-0.37800288,-0.6155711,-0.19046012,2.2567554,-1.1716108,-0.28010252,0.4957383,-1.7226518,-1.4191744,-0.80311674,-0.54058754,0.7890756,-0.08490963,1.2700965,-0.10188805,-0.17630753,0.50183165,-0.5352111,1.8006759,-0.74470073,-0.43421555,0.30414215,-0.88136005,0.061694875,-0.03690035,1.8331844,-0.86221117,-0.19419527,0.63391674,-0.8335304,0.4932645,-0.87704486,0.0757842,-0.7548776,-0.6743928,-0.26126516,1.559357,-0.7365415,1.6175226,-0.44026205,0.16115396,0.7025631,-1.504339,-0.6225572,-1.2625664,0.7720493,-0.6189529,0.8287466,-1.1834402,0.098226614,-1.3451473,0.7075448,-1.6939139,0.86617947,0.9284462,0.37789387,-0.028677206
ABT,-0.50159174,0.2169337,0.42620534,-0.038988564,0.94944453,0.36296642,-0.7215351,1.6228195,-0.3872349,-1.6230483,-3.186924,1.0734893,0.9462421,-0.91548234,0.31349078,-0.18273558,-0.79673785,-0.39078367,0.18369575,0.8302781,1.4367528,0.37606648,-0.03618265,-0.13497351,0.6400634,1.3686562,-1.6480812,2.2214508,1.1557114,1.4147445,0.7211885,1.104955,-0.6491139,-0.67432046,-0.23687015,-0.007241561,1.5218151,-0.01934462,0.3742767,-1.140913,-0.023894764,-1.3887503,0.1900835,-0.37545252,-0.6204474,-0.19689988,2.250972,-1.1712074,-0.30432346,0.47952798,-1.7409649,-1.4110093,-0.8258525,-0.5326955,0.786789,-0.097097114,1.2461978,-0.07502777,-0.19946305,0.5260111,-0.52410597,1.8209679,-0.7571708,-0.43811384,0.30411854,-0.9020605,0.08554929,-0.04972245,1.8680553,-0.85336757,-0.18635517,0.64340454,-0.8046786,0.519437,-0.9118591,0.06893037,-0.77808523,-0.6512824,-0.23795125,1.5672996,-0.75740665,1.643473,-0.43947443,0.14497209,0.7219905,-1.4959131,-0.6720772,-1.209941,0.77096957,-0.57973146,0.8858962,-1.1744549,0.10583307,-1.3511653,0.7001845,-1.676761,0.8295111,0.94318795,0.36082906,-0.053545944
ACN,-0.51902026,0.23897938,0.41679078,-0.028082866,0.93994683,0.38905406,-0.7028217,1.6132474,-0.43517295,-1.6274393,-3.2063322,1.0850408,0.95666045,-0.8837746,0.28646815,-0.1870635,-0.7588896,-0.38393047,0.18730664,0.83717245,1.4695656,0.34908274,-0.037083153,-0.10736952,0.63354963,1.3526504,-1.6473091,2.187334,1.1837149,1.4386834,0.7001529,1.1372323,-0.6878012,-0.6650276,-0.25917694,-0.0038513541,1.5245328,-0.00054200273,0.38496748,-1.1195052,-0.015612776,-1.3876892,0.18861096,-0.37623283,-0.62503827,-0.18639281,2.2685626,-1.177733,-0.27493775,0.49705172,-1.7138196,-1.4233428,-0.8034766,-0.5294108,0.79500693,-0.0953594,1.2811586,-0.102449626,-0.18531594,0.49772438,-0.55106145,1.8099191,-0.7344395,-0.42514247,0.31611964,-0.87893426,0.052928425,-0.042786248,1.8246204,-0.8557036,-0.18196577,0.64474404,-0.83431095,0.49017996,-0.8752389,0.07717619,-0.7567303,-0.6763771,-0.27340713,1.5402154,-0.7452575,1.6159627,-0.43231478,0.15944734,0.7009503,-1.5020555,-0.63258606,-1.2658162,0.76988906,-0.6168362,0.825638,-1.1912208,0.10170975,-1.3494579,0.7126812,-1.6989952,0.86887234,0.9312315,0.38307247,-0.02342036
ADI,-0.500567,0.21660899,0.42551595,-0.049447477,0.94165885,0.36698782,-0.72640145,1.6214674,-0.39317045,-1.6260289,-3.1993268,1.0673131,0.94825315,-0.91574687,0.31758326,-0.17231232,-0.8004688,-0.38890937,0.18871412,0.8287443,1.437706,0.37274167,-0.043600757,-0.126792,0.6411752,1.3744764,-1.6533734,2.234443,1.1689034,1.4271643,0.722961,1.1051836,-0.65660137,-0.6753579,-0.24639916,-0.019193882,1.5298214,-0.015567675,0.37390926,-1.1496613,-0.01878912,-1.3909756,0.19644615,-0.36772266,-0.625034,-0.20117305,2.2480645,-1.1684586,-0.31198522,0.4814935,-1.7438722,-1.4057498,-0.8192028,-0.5445858,0.787951,-0.09408416,1.2437117,-0.07749445,-0.19534661,0.52362883,-0.5170155,1.8124723,-0.7507999,-0.44205487,0.2942414,-0.8940369,0.08698743,-0.041944247,1.8727891,-0.85324734,-0.1877758,0.625945,-0.8059766,0.51522326,-0.9130764,0.06443851,-0.78249544,-0.64958936,-0.2258906,1.5772523,-0.756524,1.6525489,-0.44787177,0.14542426,0.71880144,-1.5076748,-0.6704986,-1.2071671,0.78480875,-0.5753298,0.8796736,-1.1743517,0.10582976,-1.3573645,0.69631296,-1.67204,0.8311453,0.94345576,0.3677711,-0.046797547
