,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A,0.07149127,0.20714906,0.1511807,0.017183147,-0.04954645,0.2689502,0.18979849,0.23879072,0.07243259,-0.08194724,-0.0493551,-0.07395108,-0.051153675,0.20278014,-0.0439215,0.015433211,-0.068493485,0.09091614,0.110077895,0.133677,0.095196635,-0.0794132,-0.017880708,-0.030944452,0.1759542,0.101829775,-0.037023805,0.27147532,-0.032451183,0.011854857,0.031275593,0.09666002,-0.01779133,-0.05957394,-0.0042581474,0.1244663,0.071418166,0.16462274,0.1140572,0.2323144,0.022858972,-0.02405259,0.03439263,-0.16144241,0.08558367,0.033993736,0.096820846,-0.10482081,0.004292652,0.04977431,0.011105855,0.11721349,0.101472884,0.16496944,0.21083136,0.044148747,-0.009681273,0.19754101,0.12042212,-0.023437306,0.21582311,0.050766215,0.16612396,0.081938684,0.15837106,0.04375981,-0.03190034,0.20995586,0.039316315,0.101418175,0.15577652,0.12549783,-0.03193409,-0.036265284,0.16367945,0.2425271,-0.07139897,-0.040574804,0.12391201,0.0032696873,-0.060112942,0.03578217,-0.07711038,0.07787046,0.014910322,-0.04528842,0.042554375,0.015246179,0.017398471,0.09950587,0.16575246,0.16648638,0.22134243,0.13892373,-0.033861697,-0.062388387,-0.02511634,-0.020872355,0.111325935,0.13390787
AAL,0.08005753,0.20972624,0.15415093,0.15354316,-0.050844096,0.70946574,0.19490784,0.9867463,0.07593769,-0.06953917,-0.04885237,0.13673541,-0.016055502,0.5387957,-0.040102698,0.021856226,-0.072245605,0.09109523,0.11973387,0.3670246,0.10143321,-0.02208068,0.26364487,-0.02988379,0.17959386,0.106204174,-0.031512372,1.1706885,-0.029474743,0.22960694,0.034280766,0.096026145,-0.01880771,-0.05189854,0.0039549936,0.13240217,0.42552724,0.774193,0.11592444,0.23403004,0.1421559,0.055807363,0.045004234,-0.07020293,0.085657254,0.043207217,0.25975847,-0.06598866,0.037579987,0.052359536,0.014442971,0.12667695,0.36938378,0.16876745,0.21215536,0.08127418,0.0014985874,0.20013759,0.12047002,-0.009183519,1.0409793,0.054556474,0.17261067,0.084947295,0.16427787,0.03982179,-0.020857815,0.221567,0.051884327,0.10389067,0.15070823,0.127889,-0.022286477,0.20003533,0.16096877,1.2052007,-0.037006855,-0.036729194,0.123932034,0.05744041,-0.056790337,0.049778033,-0.07485743,0.08164299,0.029804986,-0.01793954,0.050385833,0.017996171,0.02873373,0.25819266,0.16682357,0.17193182,0.22492269,0.40215802,0.04880006,-0.054447245,-0.022375613,-0.017290697,0.11425449,0.13388833
AAP,0.07319443,0.2060548,0.1522573,-0.0059224665,-0.054729905,0.47529596,0.18811093,0.30375412,0.07497947,-0.060764465,-0.04828679,-0.0528808,-0.045996398,0.35613814,-0.045620196,0.03023066,-0.07198132,0.090085596,0.10825592,0.22710639,0.09680985,-0.07253473,-0.022155121,-0.031890247,0.17707929,0.10543623,-0.04136894,0.34527212,-0.052609473,0.014908988,0.03227324,0.09134703,-0.019908242,-0.050799385,-0.002526638,0.12378631,0.1028427,0.2156608,0.12012786,0.2330084,0.061465833,0.028074453,0.038594153,-0.11042085,0.08652708,0.039203838,0.18813059,-0.0925346,0.045893624,0.056230042,0.014747,0.11673392,0.26567468,0.1637181,0.20702152,0.048876237,0.009270992,0.19675103,0.118426144,-0.021325871,0.28400517,0.0531265,0.16817293,0.07972864,0.15629467,0.0417294,-0.034157377,0.21495786,0.03967967,0.10813668,0.1484617,0.1280739,-0.0328928,-0.017122358,0.1617548,0.32293043,-0.064576045,-0.040575042,0.12603924,0.033970732,-0.06018897,0.07998392,-0.081075884,0.07963534,0.022339243,-0.027599148,0.044812586,0.014232228,0.019275617,0.18002787,0.1670081,0.1639881,0.22475356,0.26212105,-0.023717366,-0.059821106,-0.023649342,-0.0045811087,0.110149756,0.1330187
AAPL,0.07151973,0.20679739,0.15040432,-4.355982e-05,-0.063537344,0.3625015,0.18863949,0.31317484,0.071336895,-0.075130224,-0.048447847,-0.056256413,-0.05170536,0.28175098,-0.044017404,0.013239466,-0.06921248,0.08998285,0.109529726,0.1706745,0.09729995,-0.07260431,-0.012315296,-0.030661084,0.17708124,0.10248781,-0.039664123,0.35713103,-0.030114442,0.020713998,0.035906516,0.09998231,-0.02226539,-0.057651944,-0.0042993054,0.12565935,0.09209989,0.22726315,0.109409526,0.23366532,0.0456615,0.008305479,0.029235391,-0.15043473,0.08738391,0.03552942,0.13606207,-0.104527414,0.008546924,0.05625017,0.011859978,0.11841696,0.17365591,0.1628426,0.20696414,0.05112977,-0.0047641695,0.19808018,0.121835105,-0.019196108,0.29903358,0.052635048,0.16678293,0.07878826,0.15587366,0.041273624,-0.03212998,0.21246299,0.0395037,0.104926236,0.15377267,0.12844254,-0.030327931,-0.020932926,0.15849407,0.33328068,-0.0705325,-0.037819475,0.12324248,0.027038071,-0.059620224,0.03262884,-0.077271804,0.076861,0.023370236,-0.041777037,0.041733712,0.014129875,0.01858019,0.13804534,0.16399664,0.16230863,0.22388288,0.19774202,-0.028061058,-0.059118275,-0.025876276,-0.023087263,0.11008303,0.13291223
ABBV,0.07462289,0.20448492,0.14946295,-0.003188355,-0.057324648,0.44257018,0.1846361,0.29239142,0.080233455,-0.0832675,-0.04786263,-0.06488233,-0.05384066,0.34661788,-0.046101287,0.02039364,-0.071176626,0.091076136,0.10593253,0.24291939,0.095317595,-0.06451744,-0.013927449,-0.031611774,0.17618439,0.10335548,-0.039006915,0.35441285,-0.027031919,0.014076415,0.03716158,0.09481715,-0.01960611,-0.055043913,-0.0035274494,0.12566556,0.08711518,0.19271857,0.11409291,0.23784277,0.08002772,0.010050189,0.034355626,-0.13236126,0.08532353,0.0373198,0.17500374,-0.09056355,0.0061924662,0.050822817,0.0127266,0.113989554,0.21389571,0.16553912,0.21599999,0.043149892,-0.0050839,0.1975664,0.12297523,-0.02240169,0.28823715,0.050481822,0.16682696,0.08011909,0.16386913,0.04428229,-0.033756524,0.22549568,0.038534082,0.10559476,0.15392731,0.12878793,-0.036139816,0.008559573,0.16405775,0.32154727,-0.072244056,-0.039358072,0.12633187,0.021819185,-0.060631987,0.04702604,-0.07836446,0.0738088,0.015815236,-0.046315517,0.041170746,0.016213149,0.01826679,0.17128049,0.16402355,0.1722768,0.22499849,0.24501458,-0.042346105,-0.06228397,-0.02285,-0.019245505,0.110398725,0.13340008
ABC,0.07368071,0.20846787,0.15126777,-0.006103866,-0.06314932,0.30261886,0.18645203,0.3133138,0.07212666,-0.084194936,-0.05035042,-0.06406404,-0.05506248,0.23626877,-0.045152888,0.017058454,-0.07842379,0.088643655,0.10621789,0.1380849,0.09915395,-0.08246516,-0.015432913,-0.03194393,0.17545167,0.1014744,-0.040386792,0.35144463,-0.039450873,0.01032218,0.03126924,0.09663637,-0.023057826,-0.056830928,-0.0034713503,0.12341041,0.095832735,0.22088772,0.10904121,0.23273921,0.030492308,-0.00692043,0.027620466,-0.15666291,0.08775,0.03208818,0.11024233,-0.1032529,0.0054880194,0.054046832,0.013369339,0.116262525,0.13530728,0.16283074,0.20713954,0.05055759,-0.0043392703,0.19829616,0.12198271,-0.023481123,0.29144245,0.050967067,0.16695282,0.08341677,0.15570217,0.0417656,-0.034163218,0.2105825,0.04081183,0.09943179,0.14996117,0.12594634,-0.034446117,-0.024647407,0.15948464,0.3297756,-0.07217181,-0.041630946,0.12413427,0.010271452,-0.058622006,0.019381292,-0.07670466,0.076168194,0.017462902,-0.04539613,0.040857445,0.015025152,0.019300276,0.11361058,0.16368502,0.16453934,0.2210921,0.16224493,-0.028924018,-0.06535165,-0.029754788,-0.02752547,0.10587102,0.13201122
ABT,0.071591854,0.20680438,0.15014912,0.011104761,-0.062623546,0.2462262,0.18736969,0.258824,0.07182946,-0.085674025,-0.04838926,-0.06860516,-0.047916718,0.19012105,-0.04652044,0.011653524,-0.07588741,0.08795288,0.10692802,0.10259636,0.094665125,-0.08558266,-0.026332762,-0.029623535,0.17584471,0.100456856,-0.03758093,0.2883054,-0.052260496,0.01049963,0.032751575,0.09782159,-0.021582507,-0.06214828,-0.005266051,0.12500507,0.07819323,0.18398713,0.11116393,0.23250298,0.010363987,-0.019923275,0.03198388,-0.15997982,0.08702437,0.033177886,0.08174394,-0.10510825,0.0045668595,0.050779115,0.0105635235,0.11668026,0.09718876,0.16246319,0.20645101,0.044269525,-0.0056408867,0.19651243,0.121892825,-0.023148313,0.23950826,0.05002214,0.1669499,0.079647265,0.15476298,0.039437216,-0.032963667,0.20751232,0.036419667,0.097434714,0.14835647,0.12332833,-0.035801064,-0.03667338,0.15591528,0.27123815,-0.070823014,-0.039735742,0.123701,-0.00085359067,-0.06094855,0.010261282,-0.07869497,0.075042695,0.018058635,-0.045675382,0.04117684,0.013353055,0.017313998,0.08643018,0.16292787,0.15965536,0.22412483,0.12323475,-0.03569699,-0.061482668,-0.026762024,-0.02403836,0.11169124,0.13415596
ACN,0.071646795,0.2048933,0.1498623,0.0035652258,-0.060453214,0.19221905,0.18895021,0.32456595,0.07398994,-0.07719759,-0.051675834,-0.057343602,-0.049617156,0.14971805,-0.047332417,0.013582677,-0.07569444,0.088734016,0.10747922,0.07071751,0.09599452,-0.08598117,-0.009798013,-0.030504454,0.17600048,0.10236684,-0.039920844,0.3758397,-0.052886657,0.01934062,0.031856503,0.097622365,-0.022357233,-0.05962184,-0.005550921,0.12595223,0.1102572,0.23641287,0.109446675,0.23256585,-0.008168458,-0.030542482,0.028913828,-0.16137606,0.085995786,0.033669643,0.0565386,-0.100123316,0.009411698,0.054428168,0.01235222,0.11653296,0.064529866,0.16082978,0.205734,0.042900298,-0.0047817603,0.19432542,0.121771336,-0.022370841,0.31241366,0.05014199,0.16707444,0.07977805,0.15445681,0.04029435,-0.033029087,0.21159986,0.038764767,0.09977551,0.15073502,0.12560154,-0.032831162,-0.019714272,0.15649916,0.3510028,-0.071620665,-0.04196343,0.124230176,-0.0054029636,-0.058169015,0.01391653,-0.07690187,0.07642494,0.016196012,-0.042362038,0.042149357,0.01556843,0.017534934,0.06827873,0.16421744,0.16136183,0.22173297,0.09669457,-0.027157374,-0.061488926,-0.028071634,-0.023579806,0.10813515,0.13458881
ADI,0.07178675,0.20648032,0.15123585,0.021924822,-0.056057163,0.49414822,0.1901781,0.41914865,0.07193014,-0.08400273,-0.050217185,-0.049548432,-0.053763308,0.39185542,-0.045744568,0.014378134,-0.07569778,0.087660395,0.10827495,0.26001877,0.097195014,-0.06490294,0.018168721,-0.028844327,0.17506756,0.103825316,-0.04098344,0.4750813,-0.047142968,0.03764175,0.026550218,0.09576002,-0.01798413,-0.05905947,-0.0026424285,0.12506753,0.14567128,0.30481935,0.11251186,0.23237172,0.09234534,0.039814603,0.03268877,-0.12383047,0.08482013,0.036270678,0.19526708,-0.09981828,0.007270241,0.05644012,0.013876759,0.11552053,0.25405812,0.16293937,0.20719099,0.06549902,-0.007589549,0.19663078,0.120720506,-0.019123062,0.40939355,0.051055204,0.16710222,0.078532316,0.15745398,0.039673302,-0.0337234,0.21394365,0.040390156,0.09946308,0.15006797,0.12607972,-0.0320206,0.0102166645,0.16233815,0.46141082,-0.06623821,-0.039637335,0.12428996,0.042613648,-0.056962244,0.03401707,-0.077220455,0.074573025,0.018366985,-0.041328948,0.045477584,0.019470045,0.018814787,0.19199184,0.16444114,0.16478527,0.22355449,0.27733985,-0.027355999,-0.05748874,-0.025951289,-0.030984662,0.11050895,0.1354757
ADM,0.06968211,0.20580754,0.14979857,-0.021092027,-0.05457719,0.24661213,0.18623437,0.228189,0.07300947,-0.076562,-0.047538556,-0.0778378,-0.05449169,0.19458339,-0.04707008,0.014902391,-0.07877876,0.08759209,0.10923646,0.1024103,0.09686991,-0.085886374,-0.04539958,-0.030418009,0.17623699,0.10276904,-0.04332565,0.25890684,-0.062019914,-0.0019545443,0.034982678,0.096803054,-0.024046153,-0.06102453,-0.004327056,0.12318867,0.06711573,0.1632617,0.112773195,0.2341666,0.014898473,-0.024625795,0.02950808,-0.14832436,0.08878469,0.032574683,0.082823224,-0.10042159,0.01083993,0.056529682,0.013645252,0.11742393,0.09060689,0.16180831,0.20627512,0.045047045,-0.0015310235,0.19744974,0.12344874,-0.024148032,0.2113111,0.050272137,0.16807197,0.08078565,0.15467857,0.03688318,-0.03192845,0.20825693,0.035959594,0.09701111,0.14761631,0.12604973,-0.03135281,-0.04260201,0.15704665,0.23751679,-0.07458787,-0.042598076,0.12313629,-0.01276597,-0.060634203,0.026747167,-0.078804,0.0760194,0.015916556,-0.042580526,0.042935558,0.013615508,0.018626133,0.09357421,0.16462366,0.1582967,0.22164041,0.13528836,-0.036960922,-0.06170767,-0.026118957,-0.022947289,0.10921402,0.13530803
