,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A,636613.185224365,272398.475268936,21339.871572831402,306.08145462421794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,306.08145462421794,21339.871572831402,272398.475268936,636613.185224365,272398.475268936,21339.871572831402,306.08145462421794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,612.1629092484359,42679.743145662804,544796.950537872,1273226.37044873,544796.950537872,43291.90605491125,43291.90605491125,544796.950537872,1273226.37044873,544796.950537872,42679.743145662804,918.2443638726538,21645.953027455624,293738.34684176743,909011.6604933009,909011.6604933009,293738.34684176743,21645.953027455624,918.2443638726538,42679.743145662804,544796.950537872,1273532.4519033541,566442.9035653278,336418.0899874302,909929.9048571737,931269.7764300051,630156.4368291977,1475454.5640586286,2182850.193851279,860793.4133163437,401049.86761517293,1476678.8898771256,2498234.493720502,2084271.1293149951,2449098.0021796725,2791972.8405622696,2041897.4676239567,1632208.6578274884,882745.4477984234,1267075.7035081869,2091033.9591647864,1839363.1925594332,589007.100956656,129263.5552554853,1133804.051494528,3155881.4690630743,3223307.603386193,3129309.1749135726,2807162.0451945583,3517964.1945918337,4474236.23429446,2644869.4473944036,3989184.3438660433,5907011.055207426,4443083.304081295,4798352.990400806,6965718.483920872,9951615.695214428,12546949.055557553,14461063.165839685,10614505.678889368,7083934.068961826,7399185.2311714655,6423093.141413428,3876028.2376067196,2627498.048975988,1406508.6082180885,1337858.1480764723
AAL,459323.5331279214,1281.6433639996412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1281.6433639996412,459323.5331279214,1281.6433639996412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1281.6433639996412,459323.5331279214,1281.6433639996412,1281.6433639996412,459323.5331279214,1281.6433639996412,0.0,0.0,0.0,0.0,0.0,0.0,1281.6433639996412,460605.17649192107,460605.17649192107,1281.6433639996412,0.0,1281.6433639996412,460605.17649192107,461886.8198559207,460605.17649192107,2563.2867279992824,459323.5331279214,1281.6433639996412,2563.2867279992824,919928.7096198424,464450.10658392,921210.3529838421,461886.8198559207,2563.2867279992824,459323.5331279214,3844.9300919989237,919928.7096198424,461886.8198559207,2563.2867279992824,460605.17649192107,461886.8198559207,461886.8198559207,464450.10658392,1381815.5294757632,922491.9963478417,5126.573455998565,919928.7096198424,467013.39331191924,1838575.7758756853,12816.43363999641,2761067.772223527,1847547.2794236827,934026.7866238385,3687404.6986633674,3700221.132303364,5531107.047995052,3248587.4593594405,6453599.044342893,5082036.661779126,4158263.022067286,3698939.4889393644,4604770.121555211,474703.25349591713,921210.3529838421,461886.8198559207
AAP,590039.0732710263,27832.25313205547,2.9211317547985143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9211317547985143,27832.25313205547,590041.994402781,55664.50626411094,590041.994402781,27835.17426381027,27835.17426381027,590039.0732710263,27832.25313205547,2.9211317547985143,0.0,0.0,0.0,0.0,2.9211317547985143,27832.25313205547,590039.0732710263,27832.25313205547,2.9211317547985143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9211317547985143,27832.25313205547,590039.0732710263,27835.17426381027,27835.17426381027,590039.0732710263,27835.17426381027,27835.17426381027,590041.994402781,55667.42739586574,617874.2475348365,617871.3264030818,27838.09539556507,27835.17426381027,590041.994402781,55670.34852762054,645706.500666892,1207916.2419376175,111340.69705524108,1263586.5904652383,1881449.1534730557,1291415.922465539,673553.3594577215,701379.7703262673,1853631.5059997742,1402742.013862006,3033712.5736735812,840541.0359865447,2443691.027193084,1514085.6320490018,4943014.428200975,4069082.302716269,6935801.35759752,6512758.724250579,7158500.278498529,9179055.196128521,13509719.15957971,3701715.8601604607,3172920.577441936,1937134.10765945,757047.1977221331,1797958.236340399
AAPL,636456.4181540749,210565.837740155,7625.101673441802,30.223297751187232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.223297751187232,7625.101673441802,210565.837740155,636456.4181540749,210565.837740155,7625.101673441802,30.223297751187232,0.0,30.223297751187232,7625.101673441802,210565.837740155,636456.4181540749,210596.06103790618,15250.203346883603,210596.06103790618,636456.4181540749,210565.837740155,7625.101673441802,30.223297751187232,0.0,0.0,30.223297751187232,7655.324971192988,218190.93941359682,847052.4791919813,854647.3575676718,428756.7771537518,644111.7431252679,210596.06103790618,7625.101673441802,30.223297751187232,90.66989325356171,22875.305020325406,631697.513220465,1909369.254462225,631697.513220465,22875.305020325406,120.89319100474893,7685.548268944176,225816.0410870386,1057588.093634385,1483508.897346056,436381.87882719364,225906.71098029215,651797.2913942122,639352.838191658,1498759.1006929397,1275839.479643484,1080463.3986547103,1065303.8652010802,862302.6825388648,428817.2237492542,651767.068096461,428907.8936425078,885208.2108569413,1704566.0334994846,3185299.4039989626,2161077.9137981767,1535022.124164122,4047602.086537827,3824531.3489996158,1938279.185939726,1590562.5537517532,2580316.881084708,7651015.85278851,6173330.018815373,3074893.823155107,4755973.742661227,6429978.922871442,7961741.947424966,10675249.044480601,11930075.70399979,7923767.555546515,4160357.9131254363,3896446.58696894,5549287.830566102,5115772.148478738,3474982.4552133675,3221592.650767896,4691683.6063653445,2769869.898700565,1321590.089684135,1073019.6367677758,854707.8041631742
ABBV,625403.4374900635,77057.45208147082,144.13776632573075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.13776632573075,77057.45208147082,625403.4374900635,77057.45208147082,144.13776632573075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.13776632573075,77057.45208147082,625403.4374900635,77201.58984779655,77201.58984779655,625403.4374900635,77057.45208147082,144.13776632573075,0.0,0.0,0.0,0.0,0.0,144.13776632573075,77057.45208147082,625403.4374900635,77057.45208147082,144.13776632573075,0.0,0.0,0.0,144.13776632573075,77057.45208147082,625547.5752563893,154114.90416294165,625547.5752563893,77201.58984779655,77634.00314677376,857008.2070334533,2184728.3963287254,2261929.986176522,1636670.686452784,1482699.9200561682,934642.210180227,1713728.1385342549,3435535.271308852,1714016.4140669063,1089766.078707449,3273773.7862045453,6631530.916600298,6862559.1350783855,5305107.9672019575,3111579.887801261,6478569.114567962,6392279.566115543,7095172.868986054,8192008.977569566,6623740.197892607,7413067.186981862,5997760.209337241,7728511.162950134,3350398.8249870394,386872.77583693713,625979.9885553665
ABC,636555.5472270377,233640.51825875003,11552.706025942432,76.95608952969876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.95608952969876,11552.706025942432,233640.51825875003,636555.5472270377,233640.51825875003,11552.706025942432,76.95608952969876,76.95608952969876,11552.706025942432,233640.51825875003,636555.5472270377,233640.51825875003,11629.66211547213,11629.66211547213,233640.51825875003,636555.5472270377,233640.51825875003,11552.706025942432,76.95608952969876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.95608952969876,11552.706025942432,233717.47434827973,648108.2532529802,467357.99260702974,659660.9592789226,467434.94869655947,659660.9592789226,467357.99260702974,648108.2532529802,233717.47434827973,11552.706025942432,153.91217905939752,11629.66211547213,245193.22428469246,870349.9776648472,893378.4336272023,724180.8790071944,1541563.642969712,1582901.1945565694,1786756.8672544046,1606006.6066084541,2008767.7233976824,1985816.223524857,1138648.6140014245,502246.9789534461,905392.8761903229,1395548.4564911188,2721472.8524684645,4409051.68191677,4070425.704408165,4029165.1089108377,3358182.3118745615,2265975.390245496,1418884.736811593,1862906.4490981488,3515673.2482895674,3335307.768091266,2346921.2885166225,3089488.2192378487,7089340.894977437,8509108.31970679,8906421.300419463,7146632.012717483,8339361.396607586,14156741.39509842,10015156.651761362,7864939.190043879,9601674.52670306,5016848.307827227,1710211.8291105253,917484.2748429732,502170.0228639164,1115543.2019495398,1518381.2748282978,712474.2608021925,659737.9153684523
ABMD,509936.66855889093,4510.591890473963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4510.591890473963,509936.66855889093,4510.591890473963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4510.591890473963,509936.66855889093,4510.591890473963,0.0,0.0,0.0,0.0,4510.591890473963,518957.85233983886,1024383.9290082558,9021.183780947926,0.0,4510.591890473963,509936.66855889093,9021.183780947926,509936.66855889093,13531.775671421889,1024383.9290082558,518957.85233983886,9021.183780947926,509936.66855889093,4510.591890473963,4510.591890473963,514447.2604493649,523468.44423031283,1033405.1127892038,1028894.5208987298,13531.775671421889,509936.66855889093,13531.775671421889,1024383.9290082558,537000.2199017347,2066810.2255784075,2594789.261699194,3109236.5221485593,3140810.6653818768,6200430.676735222,6222983.6361875925,5722068.151409649,6714877.937184586,4160684.0024996586,2644405.772494408,6669772.018279847,2120937.328264095,2585768.0779182464,2093873.7769212513,3596620.2312550796,1051447.4803510997
ABT,636621.0805519104,345319.78322207654,55111.57114181667,2587.8852381399347,35.75428706948183,0.0,0.0,0.0,0.0,0.0,0.0,35.75428706948183,2587.8852381399347,55111.57114181667,345319.78322207654,636621.0805519104,345319.78322207654,55147.32542888615,5175.770476279869,55147.32542888615,345319.78322207654,636621.0805519104,345319.78322207654,55111.57114181667,2587.8852381399347,35.75428706948183,0.0,0.0,0.0,0.0,0.0,35.75428706948183,2587.8852381399347,55147.32542888615,347907.6684602165,691732.6516937271,690675.3207312226,694356.2912189366,405607.1248401731,455578.67979277944,984600.2575862659,987223.8971114754,515830.26712380646,858597.9193948125,1969129.0065983932,2021616.938215,1201294.0630916797,1097375.5308209697,989811.7823496152,458202.3193179888,458130.81074384984,984564.5032991966,981976.6180610565,400431.3543638932,57699.4563799566,2695.1480993483806,5283.033337488315,115398.9127599132,800898.463014856,1966469.6127861138,2019064.80726393,1151358.2624261428,862314.644169596,1046418.1534799979,1441236.26834155,1439121.606416541,1739172.38184916,1552989.9649008184,1844657.222682575,2772213.640112397,2427733.0406553736,2300891.518698867,2195188.5306680007,2828855.7655298486,2827869.9431414832,2546884.43247714,2766929.0023054145,3694740.495850916,6011780.79238456,6855690.584115585,8185173.155897868,8728119.98227042,7374466.279348228,7395646.206041512,8085228.441523162,9794841.000503207,11835632.070817184,11247925.214255378,9104165.679771984,7286953.618033514,6062116.703319594,6333009.370622093,7852973.17477133,6760809.168713712,3162514.7923578806,1149790.349393944,1400737.6948143463,1676475.9264282712,1091106.6750951158,749432.1080736838
ACN,635829.4068031575,166853.857151668,3015.248935532342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3015.248935532342,166853.857151668,635829.4068031575,166853.857151668,3015.248935532342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3015.248935532342,166853.857151668,638844.6557386898,333707.714303336,638844.6557386898,166853.857151668,3015.248935532342,0.0,0.0,6030.497871064684,339738.2121744007,1611397.0257807155,1939074.242212987,1611397.0257807155,339738.2121744007,6030.497871064684,3015.248935532342,166853.857151668,635829.4068031575,166853.857151668,3015.248935532342,0.0,0.0,0.0,0.0,3015.248935532342,166853.857151668,638844.6557386898,333707.714303336,641859.9046742221,339738.2121744007,975567.6189775581,1608381.7768451835,1139406.2271936939,808713.7618258902,172884.35502273266,169869.10608720034,638844.6557386898,333707.714303336,644875.1536097545,509607.318261601,1775235.6339968515,2256272.1793904705,1346891.8529554734,3530946.241932318,2606489.6708196593,2274363.6730036642,1522791.4569137383,4664321.971254947,4526038.886971261,2818572.262004312,4399816.798429704,6750725.044558217,3992579.759937053,7004872.936801173,10816834.128684586,9645963.878359877,12147216.204514207,11368506.748004489,10184019.970816959,5091354.218520636,3278502.064849205,3055940.1944097634
ADI,42189.21878486733,606691.9553450943,42189.21878486733,14.187348133763518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.187348133763518,42189.21878486733,606691.9553450943,42189.21878486733,14.187348133763518,0.0,0.0,0.0,0.0,0.0,0.0,14.187348133763518,42203.40613300109,648881.1741299616,648895.3614780954,84392.62491786842,606706.1426932281,42189.21878486733,14.187348133763518,0.0,0.0,0.0,0.0,0.0,0.0,28.374696267527035,84378.43756973465,1213383.9106901886,84378.43756973465,28.374696267527035,0.0,0.0,0.0,14.187348133763518,42189.21878486733,606720.3300413619,126567.65635460199,1213426.4727345898,168756.8751394693,1213426.4727345898,126567.65635460199,606748.7047376293,126567.65635460199,1213398.0980383223,84378.43756973465,56.74939253505407,84435.1869622697,1382140.785829658,2511160.446298246,211031.21801313924,775533.9545733662,2553378.0397793804,1508765.191576795,2031206.3954853583,2326459.990238761,5840115.002695393,4442030.63594572,7037555.332465566,11199992.207615225,7897354.225823596,8082239.11740882,5655442.921332177,5048722.591290814,7306605.851398518,5444326.579230235,2284313.333498295,1946757.021174955
