,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A,-2.6593423,0.02628504,0.18820491,0.36937279,0.70472026,0.047762275,0.3670317,0.5443395,0.015246557,-0.24192807,-2.1085818,-0.06408856,1.5392612,1.0703256,1.0127493,-0.50794905,0.72831476,0.15032604,0.15574284,0.64338887,-1.6435196,0.7630719,-0.10730093,0.22669129,0.86209655,-0.17625816,-0.5988579,0.15272899,0.7053966,-0.31083053,0.49418724,-0.6045145,-2.731497,0.10665481,-0.4920933,-0.32570246,-0.005925877,-0.19714502,-0.3193092,0.7469479,0.5257224,-0.6474172,-0.11560811,-0.53661466,-1.63051,0.5932328,2.0353715,-0.012280644,-0.1592371,-1.5258257,-0.17113045,1.1731528,-1.7466234,0.25901994,0.36496282,-0.16175261,1.7616615,-1.4652323,0.5492787,-0.88918257,-0.34542036,1.2898953,1.1716406,0.59626406,0.03189783,-1.0050246,0.80644387,0.3809546,0.031781573,-1.9967263,0.07937937,0.02237733,1.5031941,-0.8734598,-1.252795,2.1688251,-1.1270076,0.13930406,-0.8419644,-0.3059355,0.23823664,0.24997821,0.54319155,1.9113902,-0.3416275,0.9700471,0.0037133605,0.66286135,-0.53509843,1.1101644,-0.16228639,-0.063576795,0.63906765,-0.49630028,-1.467969,1.5016073,-0.5632299,-1.0917774,0.31109524,-0.72544396
AAL,-2.6576383,0.028774077,0.19145276,0.37000772,0.6952459,0.05050968,0.36490995,0.5450239,0.01782112,-0.24218942,-2.1055176,-0.06280118,1.539864,1.0693412,1.0170423,-0.5124058,0.72713214,0.15595286,0.14976323,0.64486635,-1.64029,0.7686592,-0.10079441,0.2266553,0.8609399,-0.16706668,-0.60178953,0.14462785,0.7001202,-0.31943956,0.4853001,-0.6009837,-2.7356243,0.10737629,-0.49186587,-0.3274599,-0.012256967,-0.1977608,-0.32431397,0.7602061,0.53063977,-0.6427211,-0.116243504,-0.5335413,-1.6321789,0.59877205,2.0328245,-0.012141483,-0.15638049,-1.5248327,-0.16606236,1.1628867,-1.7440183,0.2595971,0.36449972,-0.15495665,1.7567353,-1.4657912,0.5443143,-0.8864885,-0.3354395,1.2889256,1.1666873,0.59543115,0.030163834,-0.99866843,0.8061174,0.3813328,0.03752882,-1.9890417,0.085223585,0.021802735,1.5049353,-0.8692444,-1.2570922,2.1763816,-1.1282378,0.13442592,-0.8400156,-0.31174794,0.23709688,0.25518465,0.5404109,1.9082516,-0.3503774,0.96837014,-0.00047989766,0.66394746,-0.5341406,1.1024975,-0.16498704,-0.06277284,0.62792593,-0.49876902,-1.4684128,1.5048182,-0.5628583,-1.0897616,0.31322727,-0.73023874
AAP,-2.6547093,0.026656372,0.19374499,0.37150654,0.69592065,0.053289566,0.36612526,0.54529786,0.02409584,-0.2429008,-2.1091342,-0.060199797,1.535825,1.0694454,1.0228041,-0.51017416,0.73306066,0.15751256,0.15769601,0.6369003,-1.6383915,0.7594709,-0.11606656,0.22529742,0.853986,-0.17225891,-0.6040135,0.15363893,0.7025607,-0.32526833,0.48584533,-0.5965771,-2.7345989,0.100285806,-0.4910707,-0.33181056,-0.0103909625,-0.20453061,-0.31315282,0.7550988,0.52999467,-0.64347446,-0.116970345,-0.53153664,-1.6314197,0.6053881,2.0349782,-0.018493617,-0.15385428,-1.5171003,-0.16931164,1.1666465,-1.73809,0.25509855,0.3608378,-0.15940824,1.7638052,-1.4673942,0.5559074,-0.8920546,-0.33813184,1.295842,1.1717844,0.5923747,0.02374649,-1.0065413,0.8044927,0.38935915,0.03159452,-1.9805636,0.07344348,0.022002848,1.5100132,-0.8644626,-1.2494867,2.1743627,-1.1288064,0.14002948,-0.8472002,-0.30524087,0.23766308,0.24928027,0.54954255,1.9001509,-0.34052125,0.9643762,-0.0013509643,0.6653075,-0.53851354,1.1096444,-0.1626296,-0.06762203,0.6284201,-0.49606198,-1.4684563,1.4988171,-0.5711247,-1.0983626,0.3188796,-0.7357522
AAPL,-2.655329,0.028310943,0.19415174,0.36693022,0.6958358,0.047818847,0.36049184,0.54780805,0.013560896,-0.24059999,-2.100496,-0.060380507,1.5440708,1.0646139,1.0260725,-0.50732696,0.727429,0.1620237,0.16479915,0.63623065,-1.6399475,0.7559908,-0.11511549,0.2275265,0.8618406,-0.17521378,-0.6013601,0.15411098,0.7063181,-0.31798866,0.49241683,-0.5993942,-2.737897,0.10626029,-0.48945084,-0.32177398,-0.012677685,-0.20049742,-0.31337732,0.7435435,0.52549446,-0.64268804,-0.11911537,-0.53862864,-1.630337,0.5999908,2.033483,-0.021770777,-0.15393426,-1.5169988,-0.17088707,1.1678298,-1.7442309,0.25404936,0.36080015,-0.16077594,1.7635083,-1.4664326,0.55277526,-0.8907775,-0.33953962,1.2951335,1.1702093,0.59844613,0.020946251,-1.0041451,0.8025874,0.38273963,0.030719716,-1.9850928,0.073057696,0.021677079,1.5045264,-0.86811113,-1.2523904,2.1679966,-1.1277478,0.13207224,-0.85056126,-0.30819076,0.23888282,0.24685282,0.55374426,1.9048437,-0.34155703,0.97385305,0.0036273787,0.67148274,-0.53773993,1.106046,-0.16117904,-0.063680604,0.63328147,-0.50260687,-1.4655913,1.5055188,-0.5684756,-1.0983232,0.31584513,-0.72522277
ABBV,-2.6536708,0.021971015,0.19006395,0.36681932,0.698541,0.04390393,0.35835573,0.5466839,0.01490492,-0.24533325,-2.1041896,-0.059655484,1.5452446,1.0661035,1.0197682,-0.50511056,0.72703224,0.15371159,0.16530746,0.63679487,-1.6376436,0.7518341,-0.11164127,0.23132461,0.8581846,-0.17312978,-0.6019824,0.15734477,0.7007453,-0.32240584,0.49464333,-0.5939426,-2.7343197,0.104704686,-0.48951015,-0.32742926,-0.012493312,-0.20263019,-0.3115556,0.74166554,0.5311086,-0.63838553,-0.11560801,-0.5384752,-1.6340911,0.60573965,2.0300257,-0.021121407,-0.15519217,-1.5135531,-0.1743306,1.1723577,-1.7414113,0.25591174,0.36706093,-0.16443312,1.7688531,-1.4658844,0.55644625,-0.89132637,-0.34394187,1.2931195,1.1661845,0.59497505,0.021559473,-1.0053936,0.8068016,0.38877448,0.03533039,-1.9950204,0.07318328,0.018970923,1.5065441,-0.8675459,-1.2570606,2.1676521,-1.1265321,0.14843835,-0.84917533,-0.30478793,0.2430441,0.24059366,0.5505646,1.9080839,-0.33935982,0.9684774,0.0069667394,0.676038,-0.54073304,1.1120002,-0.16263191,-0.07228909,0.63208133,-0.49792364,-1.4535488,1.5002626,-0.5734343,-1.1006188,0.30772716,-0.72528946
ABC,-2.655625,0.01762988,0.19213875,0.3705528,0.6964317,0.047663994,0.35866606,0.54402393,0.017888183,-0.24819738,-2.1100142,-0.059902046,1.5396605,1.0703527,1.0171136,-0.5137107,0.7324354,0.15013686,0.15524949,0.646035,-1.639041,0.75745404,-0.118003406,0.2339345,0.8595181,-0.16765966,-0.60268706,0.15234645,0.70708656,-0.3198749,0.4880769,-0.5978466,-2.737508,0.10656418,-0.48746052,-0.33466592,-0.009793789,-0.19929953,-0.31687993,0.741562,0.5364238,-0.64109445,-0.11131852,-0.53474504,-1.6330783,0.60753614,2.03279,-0.013965934,-0.14583293,-1.5219356,-0.16992742,1.1660497,-1.745681,0.25809172,0.36121324,-0.1654183,1.771724,-1.465787,0.5502098,-0.8888601,-0.3347169,1.2911545,1.1707212,0.59949124,0.023759633,-1.0038682,0.81096417,0.3921443,0.0369201,-1.986945,0.07238869,0.017705154,1.5033407,-0.8674389,-1.2548792,2.175508,-1.1287692,0.14447281,-0.8392522,-0.30109963,0.24465033,0.24755149,0.5450329,1.9071356,-0.34967694,0.9679695,-0.0014767495,0.6672949,-0.5399259,1.1050712,-0.16625085,-0.069746,0.6324969,-0.5038845,-1.4605753,1.4996269,-0.57377374,-1.0964432,0.31220958,-0.72499824
ABMD,-2.6544104,0.025400782,0.18772864,0.36286733,0.6982443,0.046628542,0.36181653,0.5458024,0.025266614,-0.24886194,-2.102703,-0.059567556,1.5441791,1.0711743,1.0211661,-0.51017714,0.72960615,0.14986815,0.15584706,0.640332,-1.6387832,0.75856155,-0.106387645,0.23140727,0.86298275,-0.17040092,-0.6144118,0.15584645,0.70908326,-0.3196213,0.4864234,-0.5985792,-2.730225,0.09876406,-0.49323764,-0.3379288,-0.009156103,-0.20933418,-0.31243378,0.74970007,0.53690153,-0.63630986,-0.10907559,-0.5301026,-1.6299436,0.608293,2.023661,-0.017362317,-0.14951803,-1.5185589,-0.17240955,1.1675615,-1.7437059,0.26143354,0.36956647,-0.16129412,1.7643758,-1.4570644,0.55299264,-0.8915446,-0.337438,1.2886708,1.1666037,0.5920457,0.020908866,-1.0087179,0.8150585,0.39014298,0.035898753,-1.9875433,0.074359454,0.027848484,1.4999524,-0.8763117,-1.2561531,2.1654174,-1.1315719,0.1475541,-0.8400397,-0.30581734,0.24372819,0.23981775,0.5490517,1.9048116,-0.3409145,0.9666705,-0.0040518474,0.6763267,-0.54573643,1.1155393,-0.16872747,-0.0649493,0.6323661,-0.49811625,-1.4587812,1.502537,-0.57259345,-1.1062855,0.30588272,-0.73301715
ABT,-2.6472533,0.023347056,0.19048828,0.36671707,0.6892488,0.045541253,0.3591827,0.5440858,0.025672372,-0.25383437,-2.104522,-0.06330173,1.540826,1.062982,1.0220033,-0.5126389,0.7291761,0.15098089,0.15698166,0.65158564,-1.632741,0.7602133,-0.11445113,0.22838715,0.8546452,-0.16752169,-0.60901874,0.14818789,0.7105011,-0.3189223,0.4942176,-0.60159266,-2.7303474,0.10277951,-0.492126,-0.33092442,-0.017617732,-0.20706452,-0.3160691,0.7477541,0.52913153,-0.647837,-0.11596252,-0.5282012,-1.6335908,0.5991998,2.0404148,-0.020644886,-0.14890607,-1.517309,-0.17483655,1.1634556,-1.7394584,0.25986633,0.36407357,-0.16173406,1.7683346,-1.464423,0.55387497,-0.8906248,-0.34058037,1.2900403,1.179167,0.6004063,0.028303422,-1.0014101,0.8060105,0.38323063,0.03432406,-1.9939734,0.08044405,0.018481277,1.5035073,-0.8730686,-1.2536663,2.1664636,-1.125998,0.13592178,-0.8455566,-0.30386207,0.24124986,0.250275,0.54939353,1.9024022,-0.3388631,0.96847194,-2.3732622e-05,0.6648628,-0.5342571,1.1036412,-0.15849727,-0.0639295,0.6354784,-0.4969265,-1.4693205,1.5089275,-0.56637,-1.0918478,0.31052414,-0.729058
ACN,-2.6388805,0.026445303,0.18980162,0.36777166,0.694385,0.049458563,0.3678196,0.5396754,0.027611604,-0.25126052,-2.1070642,-0.06477653,1.5428338,1.0685916,1.0187849,-0.5148451,0.731334,0.14705779,0.15226807,0.6476178,-1.63254,0.75945985,-0.11847286,0.2279609,0.8537463,-0.16228905,-0.6045171,0.15412991,0.6978386,-0.31433418,0.49057174,-0.6010189,-2.7323363,0.09845443,-0.49251586,-0.32914048,-0.01563435,-0.20500766,-0.31749788,0.7499088,0.53448325,-0.64359814,-0.11274754,-0.531715,-1.6309513,0.60939896,2.0318735,-0.019404635,-0.15043807,-1.521618,-0.17995423,1.1732084,-1.742466,0.25861758,0.36209944,-0.15839545,1.7644886,-1.4665136,0.55522245,-0.88635206,-0.34116304,1.2953099,1.1727176,0.59220225,0.026425116,-1.0078936,0.8148115,0.39530867,0.037054226,-1.9921192,0.0733161,0.015917283,1.5083609,-0.8750107,-1.2518779,2.1685607,-1.1258478,0.14483084,-0.8520418,-0.30712283,0.2435387,0.24583736,0.5519588,1.9069917,-0.33673728,0.9670019,-0.0038199292,0.6703723,-0.53792703,1.1172556,-0.16593245,-0.06812279,0.6318269,-0.49746984,-1.4665413,1.4994333,-0.5763005,-1.1006149,0.31063715,-0.73501843
ADI,-2.6527154,0.024277868,0.19221494,0.3644264,0.6981973,0.053010065,0.36402225,0.5401463,0.024222704,-0.25067002,-2.102097,-0.06463082,1.545068,1.0741081,1.0203338,-0.5070653,0.7370918,0.1490335,0.15095286,0.6429435,-1.6401324,0.7649728,-0.10922092,0.2251274,0.85304266,-0.17201744,-0.60271925,0.15267363,0.7053524,-0.31488422,0.49537587,-0.59516954,-2.7365391,0.10231946,-0.49151516,-0.33084977,-0.013353166,-0.2060532,-0.31438327,0.7474565,0.5347604,-0.6420095,-0.115026504,-0.5344541,-1.6268245,0.6033356,2.0291483,-0.016262218,-0.16012628,-1.5208102,-0.1705544,1.1639825,-1.7463446,0.25865886,0.35927764,-0.16037096,1.764941,-1.4703311,0.54287934,-0.88336974,-0.33946705,1.294047,1.1663107,0.59030426,0.029750502,-1.0006857,0.81038594,0.38867852,0.038309373,-1.9889044,0.078102835,0.024417544,1.4938393,-0.8724497,-1.258862,2.1683192,-1.1339529,0.13680066,-0.83923465,-0.3030079,0.24559127,0.24710599,0.5475672,1.9092016,-0.34606668,0.9729241,0.00544833,0.66281754,-0.5319191,1.1124997,-0.16565055,-0.06724082,0.6388278,-0.49685594,-1.4650624,1.5010344,-0.569045,-1.1064398,0.31516227,-0.731046
