,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A,-1.5276166,-0.5060711,1.1605403,-0.18657623,0.5482831,0.5496111,-1.3366995,0.5518414,-0.7197319,1.0944414,-1.4774823,-0.960819,1.7887951,1.2428579,-0.9891403,-1.7208372,0.62357634,-0.42161384,0.05618026,0.7167147,-0.6425824,0.5722187,-0.17212753,0.14007805,0.031017283,0.35207808,0.2251758,-0.7016908,0.45293906,0.36398828,0.038411904,-0.70803547,-1.9737645,1.176458,0.91801447,-0.5775628,-0.31599522,-0.56762904,-0.68434983,0.32909313,-0.55668974,0.1784776,-1.6546127,1.5051314,-2.027543,0.833595,1.0550978,-0.30460823,0.45184752,-1.1569515,-1.3321604,1.7313743,-0.504639,0.26956257,0.7633951,-1.2379549,-0.12814796,0.17070527,2.169382,-0.2399125,0.18053178,1.9652027,0.8956466,-1.0032512,-0.111852504,-1.0746471,1.8230976,1.3201333,-0.3047284,-0.61451876,0.42154133,-1.4691811,1.2602607,0.4865946,0.19618803,1.5940301,-0.9665623,0.3687175,-0.019782295,-0.44791257,-1.144147,0.72609144,-0.5780028,0.81187046,-0.80770594,0.6525343,-0.010456616,1.0324701,0.33013472,2.393067,-0.37224957,-1.7932854,0.095988855,-1.4684522,-1.5659484,1.3281972,-0.4732835,-0.83352137,0.80052364,-0.3779934
AAL,-1.5285589,-0.5029897,1.1651332,-0.18443403,0.544406,0.5503703,-1.3403533,0.55395406,-0.7197097,1.0914555,-1.4767104,-0.95444506,1.7916037,1.2464063,-0.9900463,-1.7192335,0.62457186,-0.422682,0.058964424,0.7177228,-0.63695234,0.5744459,-0.1708823,0.14179103,0.03087608,0.35226166,0.23173352,-0.7004063,0.45011258,0.36316463,0.03888327,-0.7044306,-1.9721384,1.1754802,0.9182015,-0.58649063,-0.32085568,-0.5667648,-0.68514943,0.33327982,-0.55979246,0.17854609,-1.6483794,1.508142,-2.0292375,0.8337872,1.0501823,-0.3043092,0.45658177,-1.1643091,-1.3280567,1.7236959,-0.5038251,0.2668082,0.76427,-1.2348969,-0.1270718,0.16847132,2.1630287,-0.2425996,0.18495628,1.9615742,0.89393896,-0.9989341,-0.113518834,-1.0717224,1.8245559,1.3220196,-0.30738354,-0.61425185,0.41793618,-1.4741873,1.2621665,0.49071476,0.19003546,1.5996989,-0.96403533,0.3657166,-0.021303646,-0.45338896,-1.1467131,0.72633785,-0.5780121,0.8181239,-0.81268156,0.6516238,-0.010729933,1.0329325,0.32757038,2.389335,-0.37492687,-1.7908809,0.09444703,-1.4651587,-1.5634158,1.3322192,-0.47262216,-0.83949435,0.7987328,-0.38107327
AAP,-1.5252265,-0.5010034,1.1684773,-0.1861931,0.54796416,0.55055594,-1.339136,0.5528852,-0.7130539,1.0928749,-1.477377,-0.9528584,1.7855868,1.2423191,-0.9864015,-1.719132,0.625726,-0.41996333,0.05447139,0.71699184,-0.6387316,0.5733117,-0.17949097,0.14273547,0.025235165,0.3576418,0.22896966,-0.7035346,0.44749415,0.3597774,0.0388372,-0.7066803,-1.9800824,1.1687341,0.9175415,-0.5793591,-0.31686878,-0.56761724,-0.6834167,0.3305944,-0.5635018,0.17987117,-1.6531949,1.5092776,-2.0245435,0.8364825,1.0537994,-0.31072974,0.4560847,-1.1636785,-1.3302898,1.7279418,-0.4980907,0.2643727,0.76551825,-1.2382493,-0.12196028,0.17027226,2.1643314,-0.2449862,0.1822122,1.961418,0.899712,-1.0018642,-0.11628375,-1.076569,1.8244051,1.3228818,-0.30620348,-0.60857594,0.4144027,-1.4670085,1.2622706,0.49492055,0.19134806,1.6022058,-0.96485317,0.37228388,-0.015227137,-0.44827107,-1.1486241,0.72630364,-0.5767065,0.81063306,-0.8049921,0.64892644,-0.011293587,1.0339806,0.32904592,2.3861046,-0.37444586,-1.7937961,0.09035393,-1.4661726,-1.5656052,1.3308784,-0.4755477,-0.8454175,0.808222,-0.38354537
AAPL,-1.5234122,-0.5024302,1.1676215,-0.1839993,0.5474179,0.5454223,-1.3388181,0.5547566,-0.72155553,1.0968112,-1.478642,-0.95508045,1.7941625,1.2441325,-0.9865212,-1.7186066,0.6238455,-0.4170384,0.05303201,0.7158745,-0.63551414,0.5693323,-0.17611322,0.14111468,0.03275383,0.36136815,0.22591338,-0.70285195,0.4525803,0.36292756,0.0440682,-0.7068106,-1.9794793,1.1720771,0.9205985,-0.57984936,-0.31774428,-0.5650016,-0.68268156,0.32791063,-0.5592654,0.18065915,-1.6528622,1.5079889,-2.027054,0.83414364,1.0495301,-0.3102149,0.45388693,-1.1576416,-1.3313472,1.7229553,-0.5004404,0.2624565,0.76035255,-1.2392012,-0.12766798,0.16604966,2.1686478,-0.24038549,0.18312079,1.9664179,0.9006326,-0.9949691,-0.11797303,-1.0749846,1.8195807,1.3224828,-0.30793345,-0.6106698,0.41455007,-1.4666765,1.2636997,0.4930305,0.18621016,1.6014755,-0.9723291,0.37159425,-0.019463519,-0.4493904,-1.1421322,0.7190549,-0.5716744,0.8163203,-0.81316763,0.6484074,-0.009721306,1.0364069,0.32363188,2.3859148,-0.3696873,-1.789482,0.09671699,-1.4712547,-1.5664015,1.331202,-0.4743067,-0.84376377,0.7960174,-0.3797429
ABBV,-1.5289344,-0.50461054,1.1661239,-0.18885282,0.5446067,0.5463899,-1.3427676,0.5530798,-0.7204981,1.0974969,-1.474173,-0.95558065,1.7874122,1.2409803,-0.98645705,-1.7196877,0.6257558,-0.4217463,0.05564395,0.7151537,-0.63759,0.5711549,-0.17349102,0.14115918,0.028864637,0.35817912,0.2264284,-0.70161885,0.45326957,0.3599465,0.03969194,-0.7060114,-1.9770067,1.1701019,0.91854495,-0.57956827,-0.3169402,-0.56747365,-0.68554837,0.3278103,-0.5583753,0.18424627,-1.6502514,1.507016,-2.028047,0.8392139,1.0522467,-0.30819997,0.45514253,-1.159952,-1.3318666,1.7267816,-0.50194097,0.271058,0.76652503,-1.2383682,-0.12746017,0.17254192,2.1671665,-0.24145512,0.18482181,1.9641978,0.89318305,-1.0017483,-0.115848206,-1.0730892,1.8224803,1.3260583,-0.3026302,-0.6124258,0.41101345,-1.4663172,1.2653031,0.48840284,0.18998337,1.5983493,-0.9674516,0.376438,-0.021547725,-0.44848683,-1.1425763,0.7178495,-0.5752416,0.8167953,-0.8076092,0.6449242,-0.007740564,1.034973,0.32531837,2.3914957,-0.37099722,-1.7978171,0.09188992,-1.4682904,-1.5582194,1.3283756,-0.47854033,-0.84176165,0.7998892,-0.37590143
ABC,-1.5258789,-0.5085015,1.1630522,-0.18989208,0.55039096,0.5484173,-1.3448739,0.55618936,-0.7178892,1.0933931,-1.4795431,-0.9522239,1.7866272,1.2432846,-0.98882866,-1.7194802,0.62825966,-0.41911605,0.051244814,0.71841663,-0.63479644,0.5713689,-0.17279191,0.14581625,0.027927024,0.35685655,0.23146316,-0.70391935,0.45015007,0.3631371,0.040098116,-0.707471,-1.9833126,1.174057,0.9189225,-0.58364946,-0.32123175,-0.5679801,-0.6824183,0.33002135,-0.55625266,0.18850657,-1.6480463,1.509614,-2.023766,0.8422526,1.050691,-0.30740812,0.4625119,-1.1634519,-1.3310579,1.7218281,-0.5037548,0.26429865,0.7667155,-1.235583,-0.12084107,0.16984335,2.160666,-0.2432937,0.18854538,1.9607235,0.8990279,-0.9977392,-0.11637877,-1.075216,1.8277323,1.32721,-0.30331877,-0.6126207,0.40963352,-1.4678046,1.2610966,0.49418226,0.18496978,1.600789,-0.97036207,0.3713965,-0.021686574,-0.4517248,-1.1462712,0.7205526,-0.5720834,0.8174699,-0.8121864,0.65059054,-0.014030997,1.0323333,0.3284852,2.3886373,-0.37050158,-1.791316,0.09362331,-1.4678179,-1.5601776,1.32821,-0.4860742,-0.8441628,0.7959676,-0.37557068
ABMD,-1.529223,-0.5021642,1.1653701,-0.18722974,0.54475814,0.5517977,-1.3407985,0.5567396,-0.71774954,1.0919697,-1.4761488,-0.9506177,1.7885922,1.243339,-0.98996556,-1.7238992,0.6211975,-0.42007366,0.05196662,0.7204351,-0.6314041,0.57421863,-0.17278972,0.14522868,0.029950788,0.35431117,0.22688136,-0.6990054,0.45268846,0.36155963,0.043486185,-0.70660794,-1.9742175,1.1732472,0.9180427,-0.5870427,-0.32434595,-0.5707194,-0.68007034,0.33225644,-0.5551983,0.18333858,-1.647401,1.503546,-2.0266573,0.83796746,1.0493774,-0.3058452,0.46006617,-1.1602471,-1.3342116,1.7249204,-0.5081814,0.27184272,0.77071995,-1.2324938,-0.1280803,0.17184612,2.1602523,-0.24483556,0.1859108,1.9619238,0.89800197,-1.0047954,-0.11651465,-1.0749422,1.8214095,1.3345487,-0.30688608,-0.6165751,0.41108814,-1.4702669,1.2626057,0.4890294,0.19363621,1.5971068,-0.9665384,0.37570825,-0.021365626,-0.45062277,-1.1393102,0.7239209,-0.5696225,0.81658536,-0.80620235,0.6504529,-0.014268807,1.0304512,0.32396707,2.3949645,-0.3737956,-1.7934748,0.09430376,-1.474524,-1.5586097,1.3255134,-0.4772421,-0.84657717,0.79235965,-0.38322127
ABT,-1.5231413,-0.50185484,1.1648734,-0.18857586,0.5433914,0.55134916,-1.346743,0.55071646,-0.7160878,1.091084,-1.475001,-0.9549883,1.7911028,1.2411592,-0.9852652,-1.7189361,0.6243592,-0.42100328,0.057222765,0.7211224,-0.6355056,0.58123463,-0.17557983,0.14201482,0.026681311,0.3583187,0.22914857,-0.70506,0.45653602,0.36127344,0.046967156,-0.70529485,-1.9760337,1.1670003,0.91666925,-0.58295697,-0.31969723,-0.57102525,-0.68294865,0.3258996,-0.5593451,0.1814378,-1.6501577,1.5106338,-2.0289614,0.8384637,1.0533178,-0.30907,0.4593271,-1.1602778,-1.3347585,1.7234006,-0.50230896,0.26599208,0.7626911,-1.2390558,-0.12144186,0.17259866,2.168054,-0.24463007,0.18323404,1.9621651,0.8995252,-0.99463415,-0.114312574,-1.0693803,1.8246361,1.3247914,-0.30686897,-0.61627346,0.41632077,-1.4731905,1.2605139,0.48625046,0.18949121,1.5973018,-0.9698483,0.3681243,-0.021143427,-0.44743076,-1.1425706,0.7233822,-0.57416624,0.81096905,-0.80862176,0.648586,-0.012338403,1.0314738,0.32923678,2.3843105,-0.36859813,-1.7969844,0.09702019,-1.4696977,-1.5659397,1.3341215,-0.4762579,-0.8366721,0.79666567,-0.3789329
ACN,-1.5215294,-0.49934486,1.1655878,-0.18918042,0.5436832,0.5536336,-1.3380381,0.5515167,-0.7127247,1.0904999,-1.473498,-0.95200694,1.7872685,1.2406907,-0.98843116,-1.7207913,0.6226892,-0.42421478,0.053169943,0.7249931,-0.63223815,0.5760903,-0.17646736,0.14164166,0.028959481,0.35771108,0.23285292,-0.69678426,0.45142117,0.3638221,0.043839317,-0.7039682,-1.9756483,1.1655313,0.9178789,-0.58307374,-0.32209864,-0.57472104,-0.683896,0.3301983,-0.5561949,0.17945333,-1.6496418,1.5020307,-2.033531,0.84382015,1.0478108,-0.30846548,0.45735782,-1.1608592,-1.3367594,1.7272972,-0.50248957,0.26814857,0.7648469,-1.2356349,-0.12728553,0.17365392,2.1694794,-0.24122532,0.18354768,1.966332,0.89725,-1.0019171,-0.11669059,-1.072708,1.8238986,1.329651,-0.30533767,-0.6134612,0.40923065,-1.4785528,1.2668521,0.4858189,0.19338751,1.5926553,-0.96183103,0.37290832,-0.017986404,-0.44824213,-1.141177,0.72641385,-0.57239133,0.8103827,-0.80121326,0.6469338,-0.012494247,1.0285616,0.3261334,2.392569,-0.368455,-1.7991682,0.09112042,-1.474922,-1.5663319,1.3285221,-0.47755182,-0.8413304,0.79947996,-0.38412744
ADI,-1.5279266,-0.5032425,1.1667731,-0.18529375,0.5417858,0.5565668,-1.3365722,0.55688745,-0.7158409,1.0882311,-1.4732234,-0.9530235,1.7900925,1.2442231,-0.98717123,-1.7213885,0.62472224,-0.42102382,0.052625757,0.7223613,-0.630831,0.576889,-0.17766167,0.14314407,0.026714548,0.35571048,0.22504365,-0.70376736,0.45117462,0.36562887,0.042382177,-0.6998116,-1.9729633,1.1727116,0.9184983,-0.5850704,-0.31826246,-0.5700387,-0.6753914,0.3273545,-0.5559482,0.17553432,-1.6505042,1.5003198,-2.0296564,0.8360397,1.0488248,-0.30434757,0.449488,-1.1584066,-1.3332664,1.7264041,-0.50742126,0.26579487,0.76691127,-1.2396321,-0.12947164,0.16315743,2.1663585,-0.23879272,0.18190368,1.9639916,0.89859575,-1.0064112,-0.11663085,-1.0758164,1.8206029,1.3300998,-0.30590114,-0.61111253,0.41232878,-1.4738811,1.2636034,0.4890022,0.1909155,1.5954885,-0.96798044,0.37230155,-0.02009969,-0.44728506,-1.1382504,0.72880477,-0.57940406,0.81320304,-0.8074193,0.65598047,-0.0043661306,1.0311555,0.32969204,2.392079,-0.37590498,-1.7954481,0.09782655,-1.47241,-1.5658604,1.3285333,-0.47232962,-0.8445968,0.7970499,-0.38157418
