,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A,6.068595,6.2402735,5.757355,6.2060966,4.327494,4.522899,7.0580287,7.212127,5.16174,6.5971665,6.27102,3.8061852,4.3458505,4.7415895,5.7094703,4.848349,4.475712,3.6136343,6.1088037,5.6904387,3.2127218,2.5243769,4.72308,5.0945354,3.849662,3.8751602,6.7751245,4.4848733,7.131272,5.153129,4.804898,4.3949933,5.124724,6.512257,4.6620164,5.7404084,4.206743,5.9331717,4.606499,4.3913145,4.572529,4.4181905,3.9785805,4.517817,5.152741,3.2427437,3.8068526,5.1080256,3.8934834,6.665727,3.8897798,6.001642,4.937189,4.6335125,4.693614,5.8156557,3.4876742,5.258792,6.3114,5.714667,4.739357,3.565047,5.8283963,5.74797,4.290826,4.620536,4.730637,5.856312,4.8047576,4.896972,4.9711065,5.9468117,4.9219136,4.3203015,3.600401,4.83399,5.2249675,4.2811227,2.6308494,4.5506864,4.65715,5.799013,4.553023,4.3259945,4.795056,5.5045633,5.2687926,6.1264534,5.1097693,4.5015874,4.0382485,6.4712706,4.441983,4.929773,5.4814787,4.287271,4.7958612,5.453501,5.510686,5.1531587
AAL,5.4286323,6.552147,6.017559,6.8365993,4.4537935,4.35519,6.849253,6.392718,5.1267877,5.809386,6.473592,4.867764,4.308284,4.840676,5.8193946,4.9468203,4.647603,4.807926,6.992795,6.295553,3.3846796,2.3378208,5.1430235,5.7442846,4.1394577,3.7402387,7.621319,5.263157,7.292743,5.7921653,5.4435267,3.5635166,4.7172246,6.845242,4.4691377,5.8376355,4.6395583,5.0975695,5.9228516,5.4623294,3.6481922,4.2429876,4.332566,4.08206,5.9825683,3.7699785,4.5424056,4.915272,4.315495,6.6038003,4.0786448,6.149333,4.9470105,4.5369835,5.5780206,5.200664,3.7022233,5.105482,5.6573806,5.334775,4.3458734,3.3427713,5.344471,5.7101364,4.1041594,4.8481317,4.4392385,6.5147014,4.5558524,4.5523133,5.1716413,5.8782616,4.745932,4.15456,3.164901,4.384632,4.854937,5.1089106,3.4385023,3.6894305,4.931229,4.7034354,4.3740163,4.578395,4.4688263,5.1215844,4.4383483,6.016817,4.881904,4.8871655,4.1998405,6.1328917,5.6756167,4.7161164,5.112597,4.1290503,4.7734914,5.102449,4.8396444,4.7436757
AAP,6.127913,6.3281007,5.7815948,6.2467537,4.5167933,4.608429,7.040008,6.935547,5.0384755,6.312619,6.315181,4.2078967,4.3328266,4.9823294,5.5289197,4.875838,4.3581934,4.134307,6.281614,5.869618,3.2382882,2.3844228,4.9080367,5.2678213,4.1231475,3.6467326,6.982959,4.7703958,7.2110467,5.085681,4.9425797,4.2066793,4.920814,6.5488257,4.826988,5.8985744,4.148899,5.780463,5.0510573,4.657174,4.432425,4.4857373,4.066339,4.344684,5.3199534,3.5938463,4.101083,5.169394,3.8119204,6.573751,3.929226,5.989318,5.045259,4.7149744,4.980377,5.6396227,3.5630798,5.1210194,6.241689,5.48818,4.391116,3.2183058,5.6986074,5.785883,4.0649652,4.7526884,4.444575,6.1429324,4.6732216,4.7287197,5.022269,5.9859877,4.754698,4.300767,3.33904,4.647445,5.1976547,4.5742555,2.875191,4.2005982,4.8340807,5.4342017,4.511492,4.3862,4.6956344,5.42038,4.9590383,6.0128508,5.090941,4.4855165,3.922567,6.4201155,4.8794093,4.819831,5.3398814,4.259422,4.769595,5.3832846,5.416821,4.8921537
AAPL,5.8932266,6.7335973,5.705133,6.0543823,4.716125,4.810983,6.782102,7.0258894,5.1304693,6.372757,6.0958257,4.1971965,4.467887,4.450814,5.9922075,4.8127728,4.579516,3.693419,6.5687575,5.816305,3.030086,2.6145327,5.0691447,5.0597935,3.7754235,4.060469,7.11045,4.6411066,6.918749,5.266341,4.677473,4.5390425,4.9990807,6.3039856,4.6448097,5.5249467,3.9621224,5.7485843,4.6265707,4.6480045,4.379508,4.264264,3.8034375,4.683382,5.0129294,3.3924692,3.8732166,5.263746,4.2923656,6.5616336,3.9576843,6.0460553,4.868267,4.4712768,4.878239,5.6309414,3.4652557,5.164263,6.313809,5.591921,4.461437,3.6692393,5.865705,5.255166,4.2419367,4.5277233,4.587536,5.7520604,4.958825,5.0789332,5.258314,5.9457655,4.962604,4.348909,3.851528,4.83181,5.4013987,4.118548,2.7465997,4.541224,4.76941,5.641362,4.4883933,4.233457,4.8283873,5.5839577,5.071195,6.152171,5.0999804,4.447964,3.788904,6.5272923,4.7940793,5.051847,5.5162797,4.369764,4.7540812,5.3801904,5.4638343,5.081566
ABBV,5.945963,6.0573983,5.847341,6.321261,4.2283964,4.335677,7.239612,7.177483,5.0867853,6.546209,6.3363514,3.8861594,4.3203416,5.0555005,5.56405,4.871877,4.452708,3.798326,5.972135,5.7193027,3.3290539,2.433947,4.592733,5.2655525,4.0187287,3.7292948,6.7657,4.542732,7.3338075,5.1116877,4.9860916,4.2092347,5.080761,6.717648,4.7297974,5.957543,4.366597,5.882583,4.7853637,4.342799,4.5655775,4.5713396,4.0962877,4.2816133,5.422996,3.374337,3.9703295,4.991907,3.6865294,6.685565,3.8990765,5.8772607,5.0045385,4.7008677,4.779369,5.8506722,3.5352552,5.255364,6.2312455,5.737492,4.6616874,3.434181,5.767023,6.0340614,4.2207203,4.750312,4.6657023,6.0362563,4.6690707,4.6335964,4.741376,5.9222064,4.900967,4.238314,3.2235236,4.6854787,5.0992064,4.5908895,2.7415907,4.4376855,4.6259537,5.7737484,4.653844,4.4180317,4.7179294,5.3911476,5.2745667,6.059767,5.1047554,4.491386,4.069549,6.4446177,4.4620748,4.802592,5.384696,4.235455,4.814515,5.42334,5.465521,5.098053
ABC,6.131583,5.946335,5.814745,6.5033474,4.3686657,4.2230854,7.1897135,7.0437574,5.0805373,6.4804955,6.318741,3.8352423,4.345244,5.101874,5.4374075,4.931447,4.424216,3.9550602,6.013904,5.913132,3.353918,2.4464402,4.5890036,5.396919,4.1553802,3.691811,6.800983,4.6043267,7.384764,5.308839,5.042099,4.1311755,4.958277,6.8999662,4.731917,6.0681605,4.445687,5.817001,4.9583316,4.5072403,4.442175,4.613241,4.1643853,4.142644,5.549396,3.451589,4.0414386,4.923282,3.6855364,6.7157483,3.9128547,5.8558445,4.9762006,4.625326,4.912196,5.752967,3.5583923,5.280621,6.120134,5.6918163,4.5500154,3.4005382,5.682026,6.174291,4.1957617,4.7886863,4.6404667,6.1471677,4.65145,4.5048227,4.7996616,5.8941755,4.886471,4.2171655,3.0272992,4.6489673,5.004557,4.7553883,2.8295383,4.3328433,4.670949,5.63838,4.647434,4.4949684,4.6899314,5.292881,5.159445,5.98383,5.0355587,4.6073713,4.106392,6.360981,4.4486175,4.777849,5.319334,4.2196307,4.8316317,5.3594327,5.3704705,5.0514607
ABMD,5.769264,6.3538795,5.840864,6.242009,4.250833,4.47579,7.0696516,7.179504,5.1468906,6.564106,6.2808776,3.9685535,4.345865,4.782404,5.7784653,4.8471136,4.5571527,3.6689432,6.1596093,5.707791,3.240131,2.5248954,4.7249727,5.152316,3.8524833,3.9082785,6.8835673,4.5402646,7.158451,5.1828103,4.8904757,4.317905,5.105433,6.5550675,4.618077,5.7637525,4.2972593,5.820685,4.687277,4.424531,4.5293145,4.423961,3.9988563,4.462729,5.2860866,3.2968564,3.8860981,5.035131,3.9423006,6.6798835,3.9262664,5.955744,4.91905,4.6179934,4.7572494,5.775509,3.5124412,5.2474074,6.2404723,5.7306056,4.739683,3.605894,5.804985,5.7105737,4.2851486,4.625129,4.725021,5.887605,4.782147,4.8373604,4.908674,5.9084983,4.953673,4.263862,3.527034,4.768512,5.1831017,4.3751445,2.7021787,4.5410337,4.622771,5.783943,4.590579,4.358485,4.7751226,5.461912,5.251545,6.121353,5.0956697,4.49689,4.062341,6.464954,4.55591,4.907672,5.4543066,4.2747693,4.797122,5.413765,5.4460807,5.1364408
ABT,5.904413,6.2026286,5.821651,6.2622323,4.2652397,4.424641,7.143453,7.1846013,5.1205525,6.56,6.2950053,3.8998353,4.339578,4.898056,5.671343,4.8573456,4.495737,3.7070606,6.07047,5.7128973,3.2683954,2.4904327,4.667997,5.1925354,3.928906,3.8258872,6.8127027,4.5274673,7.2314796,5.1412344,4.908472,4.3026567,5.093239,6.6205697,4.681766,5.847998,4.303258,5.8696847,4.705006,4.377212,4.5551896,4.491753,4.0295334,4.3935285,5.315354,3.325842,3.9072757,5.034607,3.8245513,6.678376,3.9077682,5.9209933,4.9604406,4.652897,4.7557287,5.819268,3.5157497,5.2512517,6.2531514,5.730343,4.691327,3.5271213,5.797393,5.850574,4.254047,4.677718,4.694847,5.9428725,4.740614,4.7583847,4.8475585,5.921663,4.9284544,4.2644696,3.4055004,4.7466345,5.160397,4.4503355,2.7062304,4.510231,4.6325703,5.789862,4.617633,4.37629,4.758289,5.441011,5.2685604,6.091432,5.103323,4.4885583,4.048551,6.4629,4.487013,4.868139,5.4307837,4.2648525,4.804997,5.4240713,5.473483,5.1234255
ACN,5.999983,6.4132714,5.784074,6.275346,4.645022,4.566849,6.908088,6.9491487,5.110679,6.320313,6.204266,4.164763,4.4329376,4.6809554,5.8568187,4.8666306,4.574948,3.9152575,6.466867,5.912961,3.1630957,2.5104256,4.9250317,5.240559,3.8930295,3.9346037,7.084877,4.71172,7.1076007,5.404189,4.8875723,4.282461,4.9642153,6.545882,4.6054773,5.6747932,4.192666,5.675797,4.864226,4.729988,4.25133,4.3411484,3.9986541,4.458886,5.3234,3.4211106,4.0106015,5.109851,4.132153,6.591942,3.942386,6.0280046,4.8962965,4.5002747,4.999623,5.606905,3.518728,5.196228,6.1774673,5.6050286,4.5008287,3.5688694,5.7371473,5.608898,4.242059,4.663931,4.5878334,5.958254,4.806883,4.8504934,5.1010427,5.931742,4.90323,4.264443,3.5127366,4.696182,5.2151937,4.4305544,2.8591905,4.357375,4.7546473,5.5121794,4.5181174,4.364192,4.7232113,5.447306,5.023226,6.136754,5.0455275,4.602268,3.9577155,6.41395,4.757192,4.9414535,5.4074965,4.2774334,4.7847123,5.3463335,5.3544073,5.054478
ADI,5.7812195,7.006696,5.7206078,6.1378393,4.8962684,4.8994727,6.5862865,6.931039,5.103289,6.2797146,6.0122747,4.368691,4.5544124,4.258034,6.1210485,4.86818,4.6474547,3.797434,6.7803597,5.9869375,2.9302304,2.6866708,5.201645,5.0423946,3.7400675,4.1906023,7.3213253,4.7665753,6.774866,5.4912806,4.6656957,4.465448,4.897321,6.2523174,4.613426,5.4166903,3.9139814,5.598746,4.759368,4.86108,4.2569737,4.2044764,3.776291,4.695559,5.0551686,3.4701843,3.9051497,5.2498136,4.5044794,6.5659194,4.0404677,6.081725,4.756921,4.3433347,5.0036445,5.4733343,3.463985,5.1650968,6.2195754,5.565787,4.364857,3.7457917,5.818787,5.144993,4.243455,4.4742484,4.554218,5.699144,5.0660095,5.114996,5.391981,5.929571,5.0239005,4.343168,3.9550228,4.7925663,5.445069,4.071063,2.8281367,4.46144,4.78359,5.487863,4.4142227,4.2485924,4.830377,5.548418,4.952063,6.1546025,5.0729895,4.4817276,3.7535372,6.495094,4.984752,5.120265,5.499703,4.357813,4.7535067,5.317023,5.3379035,5.0367594
