,mean_return,std_return,median_return,share_positive_return,max_drawdown,rec_period,beta,alpha,sharp,VaR,CVaR,CAPM,coef_var,IR
A,0.0006598086776589507,0.01833620715650356,0.0015026379017846,0.5456066945606695,-37.13186085904362,252,0.9853597068886798,0.0003320214459617885,0.02949143484232137,-0.03027575211746392,-0.04296862374631981,0.0003295301237342241,0.5095666429837404,0.026272138700335616
AAL,-0.0004808596838588314,0.03947019010043726,-0.0013966134438246,0.4702928870292887,-84.53908025804473,3,1.4018373965223618,-0.0009471913151232446,-0.015198997050176471,-0.05574404883184071,-0.08436898228491972,0.00041849384596413195,-3.2398139391989766,-0.023287282199336977
AAP,0.0005559514463256459,0.021406607097071987,0.0006065755230024,0.5188284518828452,-59.38176792796162,588,0.8939385465751285,0.0002585761432350864,0.020409765326042113,-0.02989273122679454,-0.05053310134990331,0.0003100016665935204,0.824249726189217,0.012660117448306111
AAPL,0.001193865497673357,0.020853285312395126,0.0011410718239708,0.5305439330543933,-38.72969450862441,256,1.2129168406020732,0.0007903796937782544,0.05154189675747973,-0.03183079601452024,-0.0480020421039695,0.0003781385609662844,0.3642449749721575,0.06629607293915893
ABBV,0.00042860248451543877,0.018276471967505276,0.0012336770373972,0.5389121338912134,-48.88401914599662,974,0.6979712565977396,0.00019641715726396671,0.016937342503421556,-0.02580462238744958,-0.044151736695739005,0.0002681411300374554,0.7793455232921638,0.005949493344785481
ABC,0.0004871768826003768,0.019139089991222432,0.0013354957956577,0.5380753138075314,-32.91619275287064,701,0.8063457239250503,0.0002189399831326613,0.019234418340766942,-0.02965540181256332,-0.0439107701451713,0.00029129097995282856,0.7518927493786367,0.009735860364539576
ABMD,0.0006234526929048711,0.028602754338549183,0.0014805499635328,0.5255230125523013,-70.98165769720126,69,0.9901589270445766,0.00029406896494526906,0.017634842710844922,-0.04292752761204538,-0.0683005862505714,0.00033055528426381914,1.3122367824566052,0.011541947252025744
ABT,0.0005584934695277494,0.01682153506080042,0.0011186527202677,0.5389121338912134,-31.613325411032843,139,0.8617670974862459,0.0002718202381403536,0.02612400407523927,-0.02598486183025613,-0.038783876563606386,0.0003031295293056999,0.5066559543498447,0.018566625593623695
ACN,0.0005853408308837171,0.01762515826677573,0.0013897503971096,0.5464435146443515,-38.29377785081496,127,1.0774678006712506,0.00022691315705479406,0.026456114877282166,-0.0297367281508366,-0.04243775915018368,0.00034920531660615514,0.5307099514310241,0.025903095577387132
ADI,0.0006066129974344263,0.02202371993687632,0.0012046557227765,0.5271966527196653,-34.02599184883872,307,1.242471050345947,0.00019329576596093152,0.022138193719510212,-0.03287084829320998,-0.050012908416522936,0.00038445163024183437,0.7995942090086784,0.01900141320598337
ADM,0.0007323072685856591,0.017261427490774407,0.0012062673840547,0.5364016736401673,-43.406064978162426,514,0.8262845844074851,0.0004574375589522326,0.03552774820424351,-0.02602638961095568,-0.04216114723456697,0.000295550116251583,0.40687412483931934,0.03011050760295774
ADP,0.0007197761115132618,0.017872197347823058,0.001378871242992,0.5456066945606695,-39.82344844423481,264,1.0453932132650823,0.0003720182876286742,0.03361245854521717,-0.02598306355567558,-0.04293730117304213,0.00034235386992445874,0.44377054604937155,0.03596103784809322
ADSK,0.0007966273490113267,0.025754663599367553,0.0012186674167362,0.5246861924686193,-51.9940389655281,147,1.3513826456957598,0.0003470798656918736,0.026309011078690495,-0.03873386353783518,-0.05857104062959537,0.00040771621597471985,0.8326386207300007,0.0249664251703248
AEE,0.0003966074982350357,0.015953021243636227,0.0009501627193304,0.5397489539748954,-29.516481971995624,360,0.6318370491602813,0.0001864222067317875,0.017398577670554864,-0.021751063134404558,-0.03729533799509526,0.0002540142142222623,0.6416895493213515,0.004463531618787698
AEP,0.0002574382884064704,0.01476387786314454,0.001129288206378,0.5447698744769874,-32.90520581668011,538,0.5182853254244152,8.502682195168796e-05,0.00937359890414155,-0.02067421509189222,-0.03574312711504871,0.00022975845152330444,0.8466964681403271,-0.005176756166756287
AES,0.0008784890600433474,0.02296886129286565,0.0013544328289922,0.5271966527196653,-54.54113120553769,186,1.0249418544748232,0.0005375345326965001,0.0330639569507792,-0.03252042201926816,-0.055034838175107036,0.00033798525895698754,0.6005408753352829,0.029979393019505866
AFL,0.0004062728504765804,0.020122730442170774,0.0011142899580431,0.5422594142259414,-55.58094440345196,474,0.9888103446121703,7.733773848853017e-05,0.014273670874556346,-0.02656046203105449,-0.04615520264741187,0.0003302672138199347,0.996680629712933,0.004936014034434254
AIG,0.0001447074373788013,0.025675099097584277,0.0005766777976334,0.5112970711297071,-71.01851882376361,2,1.2479480526949904,-0.0002704317596423415,0.0009994048409961752,-0.036857024159261544,-0.06141203822015565,0.0003856215717003106,4.555472238411314,-0.009643581790905164
AIZ,0.0004954760916648851,0.018645899207853294,0.0010245480180917,0.5405857740585774,-43.57984756414507,233,0.8386974575108285,0.00021647714751587193,0.02018827134165359,-0.02534236565978641,-0.04333079465760142,0.00029820162777867643,0.7016878576344511,0.010947223826723123
AJG,0.0009787555164145925,0.016100339304367377,0.0015689747620011,0.5556485355648536,-37.48626275700979,165,0.8767366360809925,0.0006871025567295485,0.05339688071876653,-0.02372027160847872,-0.03792992026424622,0.000306327169675402,0.2648474735195804,0.0593161760592696
AKAM,0.0003481560108137971,0.01888080575804714,0.0013630832512754,0.5430962343096234,-34.12073416903717,295,0.7457369112833602,0.0001000810834395031,0.012134460504606925,-0.0285135287378347,-0.045297613862338076,0.00027834434269770347,1.0239226524908784,0.000952630996081398
ALB,0.0010307160986055552,0.029736892486877987,0.0012295748190582,0.5246861924686193,-62.968350195710485,727,1.2582853253994843,0.0006121381309715935,0.030657826131638623,-0.04436376067007846,-0.06932787726812074,0.00038782971461021363,0.857930497032575,0.02847738180582313
ALGN,0.0004921927806095657,0.03346309062541111,0.0003716479589819,0.503765690376569,-71.62565685835649,522,1.5105883027577482,-1.0315648072323018e-05,0.011150947344911073,-0.0470420364806025,-0.07600675626289749,0.000441724106925014,2.275080981110015,0.005856453328045542
ALK,-9.086795363845944e-05,0.030005805259310608,-0.0001400183135403,0.49539748953974894,-68.50688379251757,5,1.2862958866712961,-0.0005187638427110418,-0.006995832002240401,-0.04078131675323294,-0.0672798592051973,0.0003938130454212376,-9.908315453453811,-0.01719774431982862
ALL,0.0003169416084310897,0.017202648432284813,0.0008824432967737,0.5389121338912134,-41.68192758229971,363,0.8514624799630266,3.3696284667702006e-05,0.011503693176224893,-0.0244222318668974,-0.04239149531316789,0.0003009283618630274,0.9337086239629319,-0.0012243976510527652
ALLE,0.0002727372142856359,0.018731183079058005,0.0010689670421766,0.5280334728033472,-43.41252560982972,307,0.9926086189834202,-5.746142190852328e-05,0.008205012710053866,-0.029313213779214108,-0.044806223248362496,0.0003310785625056568,1.2864295782303419,-0.004636944787615723
AMAT,0.0007907710906620645,0.029124006036191672,0.0010890707302706,0.5238493723849372,-52.945951170389286,425,1.589764142381463,0.0002619242303332158,0.023064253962168234,-0.04700936884049254,-0.06591510752896866,0.0004586368433786745,1.0726337085565132,0.02181011649138375
AMCR,9.57734180801336e-05,0.01871091124346265,0.0,0.38493723849372385,-49.576273617885136,709,0.7771232982361467,-0.00016274242424157065,-0.0012438838848972227,-0.028764606401027768,-0.04312974495393631,0.00028504878300787727,3.6554840223809273,-0.01508478117759799
AMD,0.0020995542716690644,0.035679489719728,0.0006304592741395,0.5096234309623431,-60.86714892393046,182,1.5567679493371878,0.0015816838402513181,0.05550826730367667,-0.05366932148645584,-0.0761990282967429,0.00045158853268712884,0.6063315456228573,0.059631083015403284
AME,0.0005321995295229489,0.017844888233953242,0.0008995797468898,0.5280334728033472,-42.85293664276975,161,1.078988417432008,0.0001732660112242385,0.023152395524071202,-0.024940030994122748,-0.041300263621509875,0.00034953013527109047,0.5983470830342991,0.019720987978984382
AMGN,0.0003347939953078817,0.01631558638325508,0.0003513012451394,0.5163179916317991,-25.065786274681212,272,0.7171706760808034,9.622183843617123e-05,0.013223329593699816,-0.02470824048082574,-0.037566487385493605,0.0002722423144811386,0.7951109122631023,0.00015702723603494895
AMP,0.0006619362491622763,0.025749148869863844,0.0015659317339331,0.5297071129707113,-54.47154454507858,710,1.5792631457442001,0.00013658262342961197,0.02108375049048866,-0.035882794538957014,-0.05814713159964931,0.0004563937274297833,1.0016352305248488,0.020417962972460946
AMT,0.0005086510939106488,0.01774544127087349,0.0009610722276942,0.5280334728033472,-30.28804959409477,229,0.7863209281953445,0.00024707559160749485,0.02195513027351459,-0.027238535028303233,-0.040029691737283525,0.00028701348704180345,0.6190897644139081,0.012202916265111729
AMZN,0.0007798206584046486,0.021999503506152148,0.0013603018897812,0.5364016736401673,-45.16282050569006,355,1.0712239249186195,0.0004234700562620424,0.03003581599794944,-0.03369222223315207,-0.05137462910869418,0.00034787156346181814,0.6206275113400043,0.027179544880318894
ANET,0.0009438717457959786,0.027496251651320715,0.0013365096863813,0.5288702928870292,-52.20064856586214,527,1.2168027506583188,0.0005390932650326662,0.029997693402283837,-0.0392725653446787,-0.0645321407727894,0.0003789686294944649,0.8010027402983402,0.02766227998431727
ANSS,0.000573718404248739,0.02185911884279492,0.0010368341364903,0.5221757322175732,-46.08725346769883,183,1.2580558797976358,0.00015521676339993925,0.02080005092936241,-0.03445607073552922,-0.048631237677950204,0.0003877807027776526,0.8328494833787305,0.017269889726138594
ANTM,0.0007463192275163023,0.024284343011133573,0.001452483278413,0.5380753138075314,-54.37423519255138,544,1.1333278756255825,0.0003693092844879497,0.025830289424799337,-0.03819751066462206,-0.057937892635856754,0.0003611375768824499,0.790183736046798,0.02201157215280083
AON,0.0007384217910024363,0.016869532751570077,0.0011587980328282,0.5439330543933054,-38.72720371676165,287,0.796313950220805,0.0004735220356340161,0.03671554992518515,-0.023605365220067457,-0.038262482037841904,0.0002891480946278481,0.3853910308767643,0.03076265934741297
AOS,-2.108983830886244e-05,0.018795988725450647,0.0004762239168154,0.507949790794979,-48.77653025374421,795,0.828783186169065,-0.00029679072639297676,-0.007455710864878783,-0.0317236337505779,-0.042897302445292156,0.00029608384211160657,-16.75163114070948,-0.02329905586261816
APA,0.0008962141214317704,0.04560217345759745,0.0017194717857638,0.5154811715481171,-91.84584169748918,920,1.6008607673998154,0.0003636758862978445,0.017042312755263495,-0.057531094686470476,-0.09905546101775745,0.0004610071913958527,2.3203810053054648,0.013801325846398236
