,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A,0.693499,1.088649,-0.5384345,-1.1155254,1.3660103,-0.84072745,-1.164298,0.44169697,-0.20930322,0.033265047,0.5329113,1.2800028,-1.5792836,-0.31959146,0.51844203,0.61398214,-0.39375564,-1.4494328,0.00029775657,0.86621433,-0.38366407,0.50349593,1.9399673,-1.787694,0.52067536,1.5970998,-0.18399696,0.62093526,1.7898121,-0.28171045,0.3525496,-0.49471107,0.03144881,0.18819815,-0.80919254,-0.5446502,0.17642175,0.4955077,1.612448,0.43845707,0.2219097,0.52432454,0.8730965,-0.061360866,-0.5310846,-1.1631342,-0.28863046,1.1895648,0.101475306,-0.61431664,-1.8756652,1.5985813,-0.9356762,-1.0991321,0.08860919,-2.270038,-0.3975479,-0.7488133,1.5997353,0.25768718,0.21248569,0.5771592,-2.8007321,-0.18243988,-0.39314115,-0.31999493,1.6923281,0.4488828,-1.0219635,-1.8888938,-0.104211055,0.65831,-0.84281206,0.3197864,1.0659223,0.61573184,-1.2841202,-0.95933294,-1.1194388,0.25288677,0.39331272,0.025794111,-0.3752929,0.68803126,1.5949416,-0.85807294,0.7005981,-0.5469788,-0.109751046,0.5864902,2.6355624,-1.0300606,0.92249715,0.94772595,0.055753127,-1.0813802,-2.101385,0.7773025,-0.8270466,0.5639822
AAL,0.6901881,1.0777065,-0.54619145,-1.129487,1.3529911,-0.81049526,-1.1553229,0.44830868,-0.23168997,0.014798086,0.5307933,1.2859212,-1.572466,-0.33681312,0.5119391,0.61011493,-0.40645233,-1.4589915,0.0060982234,0.88909715,-0.37291676,0.51678854,1.9459287,-1.8012104,0.5328242,1.5777521,-0.17128149,0.62467027,1.7973276,-0.2774665,0.34304184,-0.5018042,0.03545614,0.18397832,-0.8216388,-0.5431554,0.19697298,0.48321247,1.6262548,0.43942642,0.21881829,0.53505176,0.8649541,-0.04877154,-0.54846907,-1.1886691,-0.29585424,1.2138178,0.101807855,-0.5966792,-1.8799516,1.580743,-0.90797955,-1.105283,0.0866377,-2.2684953,-0.40100145,-0.738937,1.5924289,0.25283527,0.21564378,0.585131,-2.7954142,-0.21356541,-0.4022383,-0.33243316,1.6856437,0.45912665,-1.030371,-1.8788145,-0.09136252,0.6588853,-0.8344626,0.30800515,1.0691178,0.62309265,-1.2743587,-0.9673781,-1.1177199,0.26625007,0.40332443,0.023491839,-0.36619866,0.69446486,1.5879012,-0.8640587,0.70859146,-0.5376802,-0.09360534,0.5794098,2.6438537,-1.0104032,0.9196706,0.93823546,0.062239494,-1.0904349,-2.1056154,0.76258725,-0.82688504,0.5515362
AAP,0.6845724,1.084973,-0.5330245,-1.1105658,1.3653278,-0.8312215,-1.1600271,0.44402725,-0.19983512,0.023759691,0.5341425,1.2790556,-1.5717428,-0.328532,0.5223906,0.6260486,-0.3917735,-1.4497206,-0.008385751,0.8588515,-0.37150618,0.51073813,1.940849,-1.7935828,0.5251991,1.5960847,-0.17323641,0.62598777,1.7918828,-0.29578272,0.35411915,-0.4882077,0.03580317,0.19888353,-0.81632537,-0.5426421,0.18260789,0.48970485,1.6134669,0.4474163,0.22233662,0.5136749,0.8690664,-0.05436801,-0.5275846,-1.1750942,-0.29110762,1.195806,0.118877,-0.6205644,-1.8734523,1.5977811,-0.91334164,-1.1012039,0.09204974,-2.273154,-0.39214203,-0.753491,1.5972188,0.24295916,0.2212689,0.5814386,-2.8015428,-0.20353694,-0.3989579,-0.3253156,1.6773292,0.45302644,-1.0257913,-1.8832471,-0.10273059,0.66471463,-0.83288246,0.30856538,1.0648241,0.6152691,-1.2936924,-0.97621435,-1.1226832,0.26414955,0.4019595,0.02818262,-0.37246576,0.6798522,1.5850637,-0.8652214,0.69715285,-0.5432526,-0.097611874,0.5838872,2.6537583,-1.0218041,0.9194507,0.93959594,0.05443482,-1.0935922,-2.1066673,0.77276593,-0.82957125,0.5497424
AAPL,0.69219416,1.0780088,-0.5418891,-1.1170069,1.3561226,-0.8242049,-1.1607774,0.43591672,-0.23244724,0.025255522,0.52983636,1.2849934,-1.5771114,-0.33007714,0.5172945,0.60452425,-0.41498694,-1.4500147,0.0133305555,0.8791242,-0.38917467,0.51015484,1.9405783,-1.802284,0.53173625,1.5825483,-0.17276153,0.6200891,1.7909902,-0.2814702,0.33979398,-0.5061991,0.032010805,0.17581116,-0.81534064,-0.5517969,0.18519251,0.49397,1.6319625,0.4331485,0.22042817,0.5336775,0.8679272,-0.058424115,-0.54155654,-1.1734189,-0.2976082,1.207645,0.09608255,-0.5995311,-1.8813734,1.5871471,-0.9240285,-1.103663,0.085357726,-2.2596724,-0.39525577,-0.73858577,1.5978938,0.26625627,0.2124079,0.5865964,-2.7977157,-0.19764346,-0.40670466,-0.32706156,1.6909479,0.45451346,-1.0272418,-1.8802472,-0.095930845,0.65807706,-0.8420029,0.30782098,1.0679637,0.6254766,-1.2707688,-0.9610545,-1.1171685,0.2641744,0.39368528,0.020261338,-0.3639106,0.6883178,1.5961372,-0.8655216,0.70996577,-0.54096466,-0.092841044,0.5945844,2.6360977,-1.0217397,0.92679566,0.94472086,0.06992246,-1.080506,-2.1005673,0.76427895,-0.8277246,0.5627895
ABC,0.684868,1.0900533,-0.5288966,-1.1180326,1.360274,-0.82056046,-1.1521819,0.44357416,-0.21654466,0.013776648,0.53430116,1.2773987,-1.5788522,-0.33182877,0.51535314,0.629836,-0.39712313,-1.4547122,-0.00510046,0.87069994,-0.36062446,0.5105208,1.9431622,-1.7904086,0.5265311,1.5932211,-0.17813864,0.6329922,1.7964497,-0.28735185,0.35168472,-0.48930666,0.03569053,0.19698115,-0.8161738,-0.540861,0.1910514,0.48712304,1.614394,0.44613492,0.22661026,0.5077807,0.86364645,-0.051448043,-0.5338128,-1.1810505,-0.2972103,1.2082511,0.11896031,-0.62250835,-1.8718709,1.594685,-0.91302943,-1.1033312,0.08688608,-2.2711258,-0.40188712,-0.7527621,1.591701,0.245501,0.22625598,0.5719743,-2.798479,-0.21034507,-0.39917007,-0.32819846,1.6803728,0.45903817,-1.0315936,-1.8829625,-0.09642747,0.66511923,-0.82633716,0.31363818,1.0656976,0.6113575,-1.2889451,-0.9825041,-1.1284381,0.2691225,0.40717396,0.027022555,-0.36701384,0.68269897,1.5834329,-0.86190295,0.702505,-0.5384747,-0.09553745,0.56958884,2.6543844,-1.0110781,0.9164851,0.9372041,0.052219722,-1.0913193,-2.106011,0.7698069,-0.8280241,0.5482645
ABMD,0.6928954,1.0749912,-0.5391705,-1.1082829,1.357055,-0.83873683,-1.1660327,0.44297165,-0.22085607,0.03627975,0.530306,1.2812314,-1.5709604,-0.32787994,0.5150268,0.60306334,-0.40917322,-1.4465907,0.007221599,0.87993073,-0.38829672,0.50992215,1.9421993,-1.7899718,0.5313521,1.5841936,-0.18613653,0.6175962,1.7917113,-0.28038764,0.34154078,-0.5019096,0.03653861,0.18215987,-0.81190455,-0.5486676,0.17641716,0.4912002,1.6242591,0.43179572,0.22230777,0.539368,0.87452054,-0.05790979,-0.5330329,-1.1687568,-0.28782254,1.1985823,0.100675926,-0.6087914,-1.8807439,1.5870874,-0.9334148,-1.1017067,0.09062535,-2.2609818,-0.39055863,-0.73762345,1.5942986,0.2632169,0.20653553,0.58796585,-2.801689,-0.18943952,-0.39558613,-0.323445,1.6944271,0.44650722,-1.0257168,-1.886846,-0.098364815,0.6536071,-0.8410309,0.3105278,1.0664816,0.6211606,-1.2764846,-0.95293945,-1.1204933,0.26253313,0.39375952,0.018671537,-0.37526742,0.6851766,1.5984912,-0.8626064,0.7068127,-0.54339933,-0.100411505,0.59039575,2.6408658,-1.036762,0.93079275,0.9537751,0.059578918,-1.0906197,-2.1006312,0.7660368,-0.82750773,0.5629114
ABT,0.6845005,1.0743551,-0.5309722,-1.1115316,1.353378,-0.8114234,-1.1551627,0.43907362,-0.22019143,0.01200052,0.53678244,1.2837489,-1.5722357,-0.3310599,0.5188182,0.6175435,-0.40499207,-1.4512066,0.0031286997,0.87470394,-0.36659673,0.51269937,1.9389898,-1.804716,0.5328019,1.5820205,-0.17124571,0.63401526,1.7943338,-0.28938285,0.3388727,-0.5006911,0.037228573,0.18822962,-0.82065076,-0.5479448,0.19720973,0.4819508,1.6306064,0.44406366,0.2208622,0.5108252,0.86278087,-0.056407418,-0.53734076,-1.1834005,-0.29965687,1.2050173,0.11687517,-0.6162687,-1.8768097,1.5934002,-0.9019861,-1.1094681,0.087458424,-2.2576323,-0.392205,-0.74367577,1.5935208,0.24953765,0.22259188,0.58337647,-2.802909,-0.22164373,-0.4103818,-0.32738754,1.6800293,0.46269464,-1.0313523,-1.880746,-0.09291127,0.67055476,-0.8253334,0.3004054,1.0660943,0.61859035,-1.2850245,-0.9801181,-1.1241665,0.27866524,0.40810353,0.022967594,-0.36714658,0.6823177,1.5894051,-0.86698264,0.70594484,-0.533496,-0.08295476,0.57780033,2.6538126,-1.0139778,0.9204075,0.93636024,0.06354279,-1.088211,-2.104988,0.7623432,-0.83606726,0.547507
ACN,0.6889598,1.0885373,-0.53676385,-1.1116959,1.3601524,-0.8414226,-1.1690475,0.44303066,-0.21063162,0.034399826,0.5330657,1.2811251,-1.5817088,-0.32255644,0.5214426,0.61078423,-0.40050814,-1.446274,0.0064696516,0.87180114,-0.3882661,0.5058413,1.937073,-1.7884327,0.52361554,1.5958003,-0.18368666,0.61762744,1.7900858,-0.28388172,0.35506982,-0.4979161,0.033757314,0.18399152,-0.8061041,-0.5476422,0.17138174,0.49787796,1.613298,0.43653515,0.22303212,0.53305894,0.87127495,-0.06676027,-0.53248835,-1.1629199,-0.2874183,1.1882668,0.10158593,-0.61333096,-1.8753588,1.5967758,-0.9348175,-1.0998304,0.090792224,-2.2641413,-0.39552444,-0.74629754,1.6000681,0.26008248,0.21160612,0.5812871,-2.8020725,-0.17899235,-0.3924257,-0.32137558,1.6928828,0.44689745,-1.0236126,-1.8851383,-0.105083786,0.6550552,-0.8451674,0.31542805,1.0648239,0.6201589,-1.2818471,-0.96238947,-1.1219949,0.25571358,0.39382958,0.020757837,-0.37471795,0.68689436,1.5937238,-0.861928,0.69976413,-0.5447546,-0.10695667,0.591635,2.6411574,-1.0308601,0.9267283,0.94768685,0.056142513,-1.081801,-2.1017747,0.7765506,-0.82486194,0.5619367
ADI,0.68894655,1.079101,-0.54475814,-1.1294385,1.3554267,-0.8080261,-1.1485473,0.4489082,-0.22518218,0.01567985,0.52899575,1.2861886,-1.5725807,-0.32545385,0.51367736,0.61541176,-0.40204838,-1.4684168,0.0028909,0.8856459,-0.37598097,0.51927125,1.9435822,-1.7974694,0.53122485,1.5754128,-0.16729316,0.628428,1.7977077,-0.28082994,0.3400419,-0.49912322,0.037799764,0.18932284,-0.8260562,-0.5444764,0.20122792,0.48280454,1.6249503,0.4425712,0.21836182,0.527638,0.8576955,-0.048595548,-0.5421539,-1.1905389,-0.29430813,1.2163751,0.11363499,-0.60335463,-1.8759813,1.5844669,-0.9009443,-1.1116209,0.07837852,-2.2747102,-0.40416643,-0.7395727,1.5901845,0.24652764,0.2173336,0.58436394,-2.7931836,-0.22002585,-0.40705302,-0.33106524,1.6889375,0.4592479,-1.0305868,-1.8771408,-0.09297525,0.6635759,-0.83100855,0.3069629,1.0679882,0.62108314,-1.2774137,-0.9706975,-1.1177866,0.26680967,0.40721664,0.024810458,-0.36623204,0.69636095,1.5859812,-0.86484957,0.71138763,-0.54259264,-0.09454067,0.57642406,2.6421952,-1.0090011,0.91984165,0.9339253,0.060980152,-1.0910197,-2.1048322,0.758736,-0.82663435,0.5517509
ADM,0.68138885,1.0855213,-0.534889,-1.1079028,1.3644822,-0.82976985,-1.1618594,0.43410364,-0.20584013,0.023133205,0.5386298,1.2801428,-1.5772012,-0.3281421,0.52485645,0.6269503,-0.3938722,-1.44346,-0.0038114605,0.85756046,-0.3655205,0.5104468,1.943208,-1.7983369,0.5246506,1.5978289,-0.17690103,0.62459445,1.7913895,-0.29219317,0.35402393,-0.49039263,0.034922842,0.19122484,-0.817688,-0.5425672,0.18021113,0.49084234,1.6196917,0.44853842,0.2239801,0.51115584,0.86743695,-0.058528256,-0.52968806,-1.1696793,-0.2918155,1.1929004,0.112932384,-0.62213683,-1.8750113,1.5965599,-0.9176601,-1.0994817,0.0968907,-2.2685254,-0.39266512,-0.7473544,1.5934384,0.24659826,0.22278282,0.5859069,-2.8070247,-0.20415987,-0.39275622,-0.32200244,1.6786132,0.45087197,-1.0311048,-1.8846723,-0.10530599,0.66634256,-0.8323863,0.31018817,1.0619886,0.6141911,-1.2944071,-0.97436583,-1.1242896,0.26113385,0.40008268,0.02798957,-0.37508747,0.6792819,1.588975,-0.8636627,0.6971992,-0.5369595,-0.09893099,0.58862865,2.6521914,-1.0199466,0.9215863,0.9382756,0.0580266,-1.0864079,-2.1032014,0.77407265,-0.83160317,0.54640645
