,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A,-0.2757750624663584,-0.45992405328198166,-0.5249526382251837,-0.5188480767877119,-0.4867692181973515,-0.3784593156158849,3.2853567847845686,-0.2684638676339347,-0.183261145760596,-0.146281281682508,-0.3540275871674208,-0.5023446569004159,-0.2225982333071801,-0.5379121552702256,0.06545757424203218,-0.3665596769144187,1.5317756688786326,-0.295079932343259,-0.2360187318048496,-0.17266540652843687,-0.4743970946348077,-0.590921687039548,0.048374925330124434,-0.5833619092705848,0.8952081737161109,-0.41993307195905577,1.8859159953917768,-0.28876185680626903,-0.27755577085953775,-0.1663626435635214,-0.6189901196710053,-0.6167035715783346,-0.5090564382477732,-0.6834329403339201,-0.33778685462015795,-0.49323797500615846,0.8328731670891107,0.5375085927490488,-0.2591856909925032,-0.2464546904371304,-0.8022565470971271,-0.31590651505628436,-0.23397948860558734,-0.2473222408289057,-0.4956009853216463,-0.28845989122129995,1.6127801348732296,1.771545774777827,0.591984247879146,-0.3322177479363155,-0.8051283829704655,0.23464030339111314,0.2819952319459587,0.7452133624359748,0.027949044722473622,0.2750433474658847,1.3716782669237553,0.05575582885799418,1.8421750848458,-0.4329288821262529,-0.4834293987599014,0.18561650706253635,0.35105733202145817,0.6923057963716608,0.4076060021449374,0.006053374439702673,1.1381047009512146,-0.526966790421721,0.10458652021493799,-0.5559946318503575,-0.6142645048197211,-0.005396875150792023,0.2674315535865775,0.7345875331235393,0.6022599113074726,-0.3675203689732077,1.061611722253672,0.073062588728617,-0.05429694887790637,-0.7267893139937599,-1.1338377997996296,0.7321225591438449,0.5785131973690145,0.9646610406114126,0.2620480573234116,0.3227499374550869,0.6046568191012172,1.0559025639050181,0.9490313107744435,-0.16116952745974572,-1.243566046673333,0.8609176580010697,0.5497141285889964,1.6440501143870456,-0.11487964227184866,0.9692590063906814,1.042289084220182,-0.10043325333022476,1.0627871574701093,1.5243237896889332
AAL,-0.2757750624663584,-0.4599240558485263,-0.5380719078590208,-0.5188480822781726,-0.5048969037031549,-0.37845973837319163,0.8275239463057067,-0.26846457464565937,-0.183261145760596,-0.146281281682508,-0.3540275871730996,-0.5023625368481653,-0.5181056420540335,-0.5379122975205143,-0.511667791882737,-0.3665599909521618,-0.3678199671703042,-0.29516418792359,-0.23601873182189537,-0.17266540652843687,-0.47439709580871,-0.5956643851549254,-0.6196315684260025,-0.5834262988072699,-0.5814563711565943,-0.4199623984814071,-0.40101267162714177,-0.3163869290259054,-0.2776355950150512,-0.166362643588832,-0.6190240885882734,-0.7405118956777902,-0.7955583111489369,-0.7028069106625956,-0.6711051099400838,-0.5034593822914587,-0.4536108429088419,-0.4244806644682362,-0.28919819463572893,-0.24645469915968565,-0.8112819765442895,-0.8817034616971544,-0.9301808519986496,-0.7727919093073227,-0.7300056858278164,-0.5917559452697859,-0.49898959879226246,-0.4544467557341537,-0.36700784259004643,-0.33221798685416304,-1.0354183997025175,-0.9680952584534871,-0.9939873829673026,-0.7950262251736697,-0.7770251638345135,-0.6451926971571952,-0.5670299192576459,-0.4835838153332266,-0.3850155115630539,-0.4292391649495734,-1.0066435653102066,-1.271996399097329,-1.0365297993815157,-1.0112322698420917,-0.8557705929341731,-0.7205349635091457,-0.6378525387646309,-0.5594100693542401,-0.4190409463720734,0.4679686346454999,-1.1838664662114748,-1.1355134074848472,-1.1317933664274429,-0.9660817381172877,-0.7149632918261323,-0.7505265390004211,-0.6733094371642872,-0.2150505534344519,-0.4927254492142907,-0.7469840498236234,-0.9623738353468788,-1.4679557113529145,-1.1798738382312324,-1.0672279143312402,-0.8668181923751725,-0.7884080092446062,-0.696068238086654,-0.5772224973561835,-0.54055253426312,-0.9746242078033527,-0.4250745004331916,-1.1831413756126037,-0.6115543079332765,-0.6732174968121009,-0.7803064317027874,-0.700515760630953,-0.70615777651858,-0.5991632314348527,-0.5387555656826829,-0.8667289789133797
AAP,-0.2757750624663584,-0.45992401352547885,-0.5373167304282664,-0.5183560837551838,-0.4408144236830595,-0.37845655449852367,-0.33825456670485393,-0.26821282367604,8.28527523560349,-0.14577696487651165,-0.3535728098000292,-0.5023598941150634,-0.46438359220182884,-0.49768521710489944,0.42514832176765216,-0.36603362530799083,-0.370880258001882,-0.2950537579422128,2.7702634467475042,-0.17239906826477977,-0.44904266839436485,-0.5953659905194839,0.03291430719390497,-0.10111653457097336,1.2690737856354875,-0.3737846631616634,-0.4010098671796963,-0.3163824104128827,-0.15082560113820287,-0.16432419006542653,-0.37709276049614343,-0.721243568828753,0.620840700528313,0.43992620305241215,-0.025344913613307877,0.17933953912440287,-0.4530923685661982,-0.4244805660415705,-0.2874657427660496,-0.05554618855526711,-0.42219225327329096,-0.7341220280553772,0.24555726985477533,0.43140686706872666,0.7429903917226318,1.1715356569537125,-0.4554867995562233,-0.454441236153572,-0.2801159001716998,2.0689204984889122,-0.7412597458824138,-0.6813919932009714,0.4214535312518664,0.5827563952994326,2.2420938853549144,0.9256406133538307,0.04419631077367352,-0.4835004724971844,0.6812174410354896,4.4408724657637775,-0.5829257239617658,-0.5816394818419415,1.0061439490846344,1.2590643179354482,1.505887927438849,0.3001044587614414,1.055550469923191,-0.5596395427549241,1.7965881513977686,0.9556759791371896,-0.1410586029134416,-0.12499002642632139,1.519056443966622,1.8967281436784222,1.7200055978933368,0.15932015244245815,1.441238811805347,-0.4798274611463119,0.8990380326298423,-0.6681010864384264,0.24709069936415787,-0.2691716458925096,0.7941361848167737,1.281253026434245,2.361726496213303,1.9471849863869617,1.7891543245536723,0.5948996197026288,1.481406131493692,-0.9738002160876648,-0.13086914068645986,-0.4546123656719798,-0.008989862464524302,0.8043102530235886,2.404224479110867,3.623595557831484,0.7282744563886154,2.579338932140812,1.6025976126943746,-0.86653746553233
AAPL,-0.2757750624663584,0.30982505094708346,0.5056414455929678,-0.5188480822781726,-0.5048969037031549,-0.37845973837319163,-0.33825456670485393,-0.26846457464565937,-0.183261145760596,-0.146281281682508,-0.3540275871730996,0.9640297451435959,-0.3274397197305923,-0.5379122975205143,-0.511667791882737,-0.3665599909521618,-0.3708802904462513,-0.29516418792359,-0.23601873182189537,-0.17266540652843687,-0.47434028266784417,0.003413723673785175,-0.3707227217179794,-0.5834148926296894,-0.5814563711565943,-0.4199623984814071,-0.4009857291965628,-0.3163431651181892,-0.2776355950150512,-0.166362643588832,-0.6066312596725726,-0.5931221815837998,-0.07360835069414522,-0.6996536362190016,-0.6710919255967237,-0.5034593822914587,-0.44307601563805527,-0.40852285100004415,-0.28919819463572893,-0.24645469915968565,-0.53249264331729,-0.5297840986724188,-0.437122487133956,-0.6883831609744918,-0.726377833544046,-0.5917439471262455,-0.20816727368739524,-0.052896217557751646,-0.36700784259004643,-0.33221798685416304,-0.22255759820557647,-0.35263004725933605,-0.7887377903647468,-0.5384461469329727,-0.6825180814697632,-0.6417005690465694,0.15851246584486292,0.6151039400428173,-0.3850155115630539,-0.43288296845580954,-0.2784912337945206,-0.5529831293241637,-0.5561429418195851,-0.5475795878494005,-0.5096608459969237,-0.6150458954859087,-0.46917598764797946,-0.29109052149108655,-0.4190409463720734,-0.5406010322242005,-0.2973044844895398,-0.386406528414967,-0.5266094346790093,-0.9199149882439676,-0.5251678833213024,-0.3524309283626065,-0.6668331626792028,-0.5563308593026166,-0.4927254492142907,-0.19797072586632775,-0.40316478732049654,-0.2238007228821094,-0.5397369991224807,-0.8827942276755968,-0.7887594936956447,-0.2900801868711507,-0.6015012428454924,-0.4306164386478256,-0.54055253426312,0.6826528069311668,-0.21646511566111631,0.06912722609308096,-0.6495476552333117,-0.7861460583322947,-0.731476120985383,-0.4969064609003307,-0.3889293893834123,-0.09112431241144608,-0.5387555656826829,-0.43540292505802924
ABBV,-0.27570408760238074,0.7287217572760308,-0.538051140198843,-0.13431787820893928,-0.5048969037031549,-0.37845973837319163,-0.33825456670485393,-0.26846457464565937,-0.15131905664789105,-0.146281281682508,-0.344089996300022,-0.32105382745455824,-0.5133344737301337,0.31271634464462034,-0.511667791882737,-0.3665599909521618,-0.3708802904462513,-0.29516418792359,0.8369604511518287,-0.17266540652843687,-0.303122518308123,-0.5839281306738322,-0.4970153117766293,-0.2576645778861678,-0.5814387258386692,-0.41992146419819176,-0.40101267162714177,-0.3163869290259054,2.405704564525693,-0.166362643588832,-0.1516207522646161,-0.5487113543120128,-0.2955394810213347,-0.3352494959893631,-0.6658976475796574,-0.49069626321362025,-0.4536108429088419,-0.4244806644682362,0.38979701655316923,-0.24645469915968565,-0.20669897024223047,-0.4542030679065958,-0.29005089819930835,-0.6226117140605208,-0.6039006513629496,-0.24909959826610334,-0.49898959879226246,-0.4544467557341537,-0.3362722005213177,-0.33221798685416304,-0.2158843868273612,-0.677420952742542,-0.6491191318219348,-0.6600121625995531,-0.4917058012953221,0.15745429704451183,-0.5670299192576459,-0.4835838153332266,-0.004655968046649842,-0.43288300532756363,-0.182305948746681,-0.6788722589106372,-0.5442562790022571,-0.718814115895476,-0.6699333043099033,-0.5310913750977982,-0.6378525387646309,-0.5608278672648348,0.5589892039633491,-0.541125637321631,-0.40149991144240804,-0.4971308371086766,-0.5660130844731084,-0.7074116247670754,-0.546056034855186,-0.7466341354836554,-0.6733094371642872,-0.566947258481622,-0.24441260050776234,-0.22740598231160283,-0.34276620352218395,-0.46961635434849,-0.8007384457987832,-0.877595873507044,-0.7199345220468166,-0.7887031141895904,-0.696068238086654,-0.5779971623605508,-0.33865403426475954,0.5837079173862393,0.10487272831317702,-0.6035084495448679,-1.0621977767208977,-0.9602005793107304,-0.8272942433082977,-0.8033097245571157,-0.70615777651858,-0.5991632314348527,0.15972515506249305,-0.4584068378799039
ABC,-0.2754417291350875,0.7084148322649225,-0.37959025723673306,-0.5094227396508028,3.229660390949666,-0.3784589121291899,-0.3382541615706615,2.1067431604623517,-0.18326038399750916,-0.146281281682508,-0.34514793312825753,0.7707447971316854,0.1214861295869552,-0.3956797475560203,2.533572898852922,-0.3665592863321201,-0.3708796170931362,4.755492011033941,-0.236017420915538,-0.17266540652843687,-0.37985451536103343,0.6573990974429995,0.48018762078920685,0.10412879819488914,0.3724394139967345,-0.41977031446108887,-0.40101237740587375,2.002661815770537,-0.2776349744639567,-0.16584011938718116,-0.20255164269284387,1.0882034016927602,0.35228759549054117,0.6482698621420128,-0.27808156734349226,-0.49237619915838166,-0.4536105579379813,1.643725052981672,-0.2889750001222152,-0.217310875555588,0.08713654755011706,1.306686062234462,0.4922026300821485,0.43164716918024026,0.5542746550854118,-0.4129804536084172,-0.49889891018429744,1.7995385257272207,-0.35375329024042584,0.10468210271447695,0.1322684579323849,1.0334522620522955,1.057274078267223,0.04445917823347186,1.0889092568229657,0.1938373141215967,-0.5619046564818659,0.5166455772103692,-0.19099446676621498,1.6945262495667976,-0.09416462705946609,0.73993154388937,1.349391565859301,0.6689510783081359,0.5620533570416102,0.7082326054211794,-0.545024583584946,-0.4306567349269868,0.5348167194348259,2.6299332913002407,-0.29797979301187866,0.9883919928290128,1.0960546039392605,1.175889417198796,0.21028609175876145,0.22307877413607105,-0.1383206176017132,-0.5625243101113852,1.0574212582237363,0.9226200224979157,-0.3416424305818414,1.086100779347768,1.1042491166486326,0.8741877130100942,0.12809891789706013,-0.03502320843806313,0.6922469238902714,-0.5779507775145658,0.7172483386542278,-0.7343632136966171,-0.4076773988323536,0.7752737880475102,1.5269997618877056,0.43751411793082956,0.110584472832237,0.18633930553241018,1.1808410023268618,-0.5991624177854379,0.816389863841716,-0.8569878674246464
ABMD,-0.2757750624663584,0.15213366619518848,-0.5163431111471884,-0.5188480822781726,-0.5048969037031549,-0.37845973837319163,-0.33825456670485393,-0.26846457464565937,-0.183261145760596,-0.146281281682508,-0.3540275871730996,-0.19372305338804016,-0.23915697498329666,-0.5379122975205143,-0.511667791882737,-0.3665599909521618,-0.3708802904462513,-0.29516418792359,-0.23601873182189537,-0.17266540652843687,-0.4743960182340043,-0.5801572796592449,-0.6030540820493974,-0.5834262988072699,-0.5814563711565943,-0.4199623984814071,-0.40101267162714177,-0.3163869290259054,-0.2776355950150512,-0.1663520624866459,-0.6127063078937983,-0.6165063561413442,-0.6669401857182319,-0.7028069106625956,-0.6711051099400838,-0.5034593822914587,-0.4536108429088419,-0.4244806644682362,-0.28919819463572893,-0.15701008562214044,-0.7172607982936338,-0.6264984846306363,-0.926586058406278,-0.7732037539351614,-0.7300056858278164,-0.5917559452697859,-0.49898959879226246,-0.4544467557341537,-0.36700784259004643,1.0641887382724036,-0.8421431812692456,-0.9348757985369287,-1.0520015400443856,-0.8928286341780217,-0.7770251638345135,-0.6451926971571952,-0.5670299192576459,-0.4835838153332266,-0.3850155115630539,-0.38427182627483475,-0.6906961664974923,-1.1454915955022624,-1.0045625038744148,-0.9441147431966348,-0.856454735153492,-0.7205349635091457,-0.6378514783468012,-0.5608261715087329,-0.4190409463720734,-0.5560442659637952,-0.9206618856097146,-1.1304222444915089,-1.0538472665766225,-1.0210043171400938,-0.8810355734225875,-0.7505265390004211,-0.6650295249470562,-0.5533741998554476,-0.4927254492142907,-0.7498852242853897,-1.0750319262860129,-1.4133141039453925,-1.2406239151170264,-1.0790777765703454,-0.9289370445908924,-0.7887107442667701,-0.5502061833542077,-0.3506741398422663,-0.54055253426312,-0.9746242078033527,-1.0068913147656984,-1.4732021404794953,-1.2997005666615398,-1.2284601186954331,-0.9232521573548922,-0.8033097245571157,-0.6995532182340433,-0.5885860801218669,-0.5387555656826829,-0.8667289789133797
ABT,-0.27577506245613315,-0.44159159860107033,0.916311942669442,-0.5188480819057006,-0.5048969037031549,-0.37845973837319163,-0.33825456670485393,-0.26846457464565937,-0.183261145760596,-0.146281281682508,-0.3539674387068949,-0.20957902005024853,-0.24162667333096233,-0.5378693707705545,-0.5116115315732906,-0.3664968125349614,-0.37088029044623294,-0.29516418792359,-0.23601873182189537,-0.17266540652843687,-0.4660952498697074,0.10504312117825197,-0.42528146874664435,-0.5750926346400116,-0.5685539995873817,-0.4050951223866287,-0.40094793666782275,-0.31638692902588456,-0.2776355950150512,-0.166362643588832,-0.47526986636528273,-0.013896067882164374,-0.1538417866577234,-0.5206859617280081,-0.35751583441170476,-0.1426210242730563,-0.4349090171266514,-0.42448066446263616,-0.28919819463572893,-0.24645469915968565,-0.39014398951655754,0.2915259984464528,-0.16077450318957737,-0.16946081250365097,0.28868654536763266,0.2565887757592995,-0.06844610568805835,-0.45431883080233554,-0.3668208705199951,-0.3322179868541061,-0.41463063478695156,0.651968804230409,-0.589086629958368,-0.10913358931920744,0.33312136488028543,-0.24703726130741457,0.44399759965285596,-0.45182223358461215,-0.3463512952619351,-0.43281768295393863,-0.4992995483960614,0.23481283975083242,-0.8963418921699398,-0.2340027240748647,-0.0603045253065925,0.20245775143167985,-0.3881544547048508,0.23777630033969321,0.5060961506031489,-0.5286260726942843,-0.5342408352729854,-0.08742289604728103,-0.6109139425666423,-0.15800023960614937,0.04992606764856832,0.613952458993983,-0.667560972237492,1.2499742874522988,1.8876417957926068,0.06718821086329502,0.07598190118804837,0.08017650803785804,-0.3918465452834056,-0.10644820651910628,-0.017300470963999583,0.004168186769580194,-0.6960531753319996,-0.1416509832879733,0.3811630375070845,1.3347552341795106,0.13534153223338657,-0.05545766479933041,-0.09507538425942497,-0.12789856847969935,0.05005633206850543,-0.6256622220277391,-0.7061577764582702,-0.5844765112278757,0.5178138970425626,-0.22817887507267517
ACN,-0.2757750624663584,-0.4599240558485263,-0.5380719078590208,-0.5188480822781726,-0.5048969036955436,-0.3722718560960017,2.8013739869884384,-0.26846456963648924,-0.183261145760596,-0.146281281682508,-0.3540275871730996,-0.5023625368448009,-0.5156999035153511,-0.5379122975157793,-0.5116677913658275,0.07294428312853982,0.2742452132020603,-0.29516418660674715,-0.23601873182189537,-0.17266540652843687,-0.47439709580871,-0.5956643849912463,-0.4871116342616605,-0.5834262985554706,-0.5814563694540621,1.0752572712742525,-0.3956062251517567,-0.31638692901430665,-0.2776355950150512,-0.166362643588832,-0.6190240885882734,-0.7408579124584802,-0.3887199389058653,-0.7028069099163455,-0.6684594533028498,-0.23340226174556453,-0.4536108423400303,-0.4244806644682362,-0.28919819463572893,-0.24645469915968565,-0.8077094085141909,-0.9525319564313236,-0.6803206255910752,-0.7721607078732544,-0.5824168998154741,-0.5893483192526767,-0.49898959878204285,-0.4491048324707383,-0.36700784257973457,-0.33221798685416304,-0.8433791815328068,-1.007013362444502,-0.42213776371911177,-0.831008206440002,-0.3431917397093802,-0.6434871150709176,-0.56702991893485,-0.11787237540904211,-0.3850155109750724,-0.4329295107217201,-0.39097108485979987,-0.6547053033874193,-0.4071429416881368,-0.6186470089478064,-0.7817479724099449,-0.609660475674896,-0.637852537436795,0.7480244223957053,-0.4148845104276706,-0.5484666046806279,0.015475753877154027,-0.33166724390416175,0.355710045692803,-0.2668234637602621,-0.7245721983393528,-0.390840285696695,-0.6733094360510502,-0.13293674666123922,-0.20649602041514672,-0.13830877726150484,0.3134892817825024,-0.062394939273270895,-0.015571470013265538,-0.20834426015095403,-0.26020442691679513,-0.7248932746112495,-0.6960682373422147,0.13714147534436522,0.6937352721980283,1.4345407686684866,0.21990556617254028,0.34159011164056524,-0.07339273678673276,-0.26196503169337615,-0.13908163129204448,-0.8025486939418731,-0.7061577763774441,-0.43005636278950043,0.7883200978331047,-0.3887765826660396
ADI,-0.2757750624663584,1.0635901850805554,-0.5178663740641666,0.03817752110455748,-0.5048969037031549,-0.37845973837319163,-0.33825456670485393,-0.26846457464565937,1.4892394342130906,-0.146281281682508,-0.3540275871730996,0.5722339903061568,-0.23574668588457703,0.5090832630228281,-0.511667791882737,-0.3665599909521618,-0.3708802904462513,-0.29516418792359,4.0952682253834425,-0.17266540652843687,-0.4740744983005844,1.0217030340265003,0.3369853061560874,-0.10068588574200646,-0.581255824287741,-0.4199623984814071,-0.40101267162714177,-0.3163869290259054,0.8976657359781914,-0.166362643588832,-0.5901379338318073,0.3247265574457137,0.405104532419543,-0.08835004702380155,-0.6456950699735536,-0.5033676396163201,-0.4536108429088419,-0.4244806644682362,-0.24351494152764372,-0.24645469915968565,-0.43956619400409025,-0.082852005063047,-0.2188731332984316,-0.23833141747679412,-0.3393818245028177,-0.580159936171443,-0.49898959879226246,-0.4544467557341537,-0.32962433126435714,-0.33221798685416304,-0.32978925937807746,-0.35218013646467045,-0.08224943209343716,-0.2742725453816935,0.288317929675515,-0.4531286305091612,-0.5668658327724482,-0.4835838153332266,0.16581728738166807,-0.4329295107217201,-0.8134443136470865,-0.6329522051400732,0.1707521753022971,-0.06205433562585521,0.25887409806535044,-0.05746702302713272,-0.6164926186679451,-0.5608278672648348,0.7750272410235863,-0.5558333239306132,-0.8943473523177298,-0.5281287245329794,0.10349235320101743,-0.19693024722299152,-0.13709478527704722,0.021336566105069614,-0.3457256432260152,-0.566947258481622,-0.12661374290295002,-0.7149377729257189,-0.9897102280467136,-0.2739380673575699,0.20690352379233892,-0.24501198126236962,-0.3243570892001493,-0.4070601220186303,0.026641146557887425,-0.5779971623605508,-0.2428740020359771,-0.29207570035720015,-0.9825545985810586,-0.5239530941168634,-0.08957719150502308,-0.29841016257634495,-0.5396382695813129,-0.7176109023972416,-0.4448571487616156,-0.5991632314348527,0.3140132450385084,0.7815419212684389
