,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A,0.17047246,0.17224005,0.038441584,0.010710053,0.20536423,0.1200118,-0.06362076,-0.020809826,-0.09489364,0.18698956,0.015185244,0.03871801,0.08293837,0.12195269,-0.049146615,0.2862662,0.0833005,0.13637654,0.0025170185,0.12651935,0.17905203,-0.033863127,-0.0130203925,-0.035321698,0.017523445,0.22560732,0.023182213,-0.036550894,-0.042271018,0.08910116,-0.026559144,-0.016960165,-0.005359404,0.32974613,-0.025807384,-0.07113791,0.032073274,-0.011243485,0.11856413,0.2969647,-0.00523389,0.09226677,0.1331742,-0.011743372,0.19890219,0.14625521,-0.037649058,0.030734636,0.051477417,0.08664131,0.081557155,-0.063228354,0.2190499,0.05739899,-0.048937976,0.12715061,0.06877992,0.116936244,0.085293934,0.073057935,0.3062507,-0.00024309382,-0.040975794,0.09128752,0.0351393,-0.012705799,0.027597144,0.094233535,-0.05162615,-0.040899426,0.07798883,0.0252931,0.24326955,0.035851996,-0.071048245,0.15121421,-0.027703857,-0.016171051,-0.040621694,0.110426344,-0.0764001,0.087477446,0.16087544,0.19635431,-0.0016957186,0.2263566,0.07456708,0.07528322,-0.04309523,-0.042319566,0.085795574,-0.09430887,-0.036533624,-0.03814378,0.08693441,-0.0019410029,0.037878074,0.15552235,0.04375401,-0.03432182
AAL,0.20512089,0.17853573,0.039421756,0.014242809,0.20669368,0.11427685,0.029964216,-0.0019273944,-0.092008725,0.1884633,0.012497656,0.039340377,0.08336453,0.13301225,-0.02886208,0.29438242,0.23279375,0.14254797,0.23451532,0.13743348,0.17822172,-0.03249886,-0.012157697,0.028334046,0.03293105,0.22212261,0.026104629,-0.03642845,0.07970801,0.09229024,-0.025781706,-0.018032113,0.23723935,0.34152567,0.01679561,-0.06422417,0.03425709,-0.011943523,0.12097992,0.30449638,0.0024218145,0.093539745,0.34171504,-0.011826014,0.20063898,0.15361606,-0.032225635,0.15438515,0.054142967,0.2881546,0.08025807,-0.0582067,0.23381299,0.06098211,-0.051901944,0.13736068,0.07101739,0.12262435,0.12587245,0.08330582,0.311176,0.12425314,0.018958,0.09047194,0.12949686,-0.013576012,0.145269,0.09591825,0.0358794,-0.027343605,0.08022915,0.030617679,0.24691899,0.042011928,-0.0390913,0.15312515,0.078861244,0.042773575,-0.0423538,0.121503465,-0.023327202,0.08858825,0.16410074,0.19948013,0.038024545,0.23025966,0.07810027,0.0806428,0.051825657,-0.0409523,0.086731695,-0.09195741,0.008118583,-0.03256219,0.27407372,-0.0012181923,0.09976131,0.15508616,0.15363324,-0.021421924
AAP,0.20740859,0.1750943,0.040030815,0.01707431,0.20612992,0.11822566,0.08320663,0.03859461,-0.08766715,0.18269363,0.03256915,0.039419398,0.08475607,0.13847901,0.0034600506,0.2824619,0.2941248,0.13413443,0.39801753,0.14895946,0.17875573,-0.037068903,-0.012815535,0.076021105,0.08291475,0.22563592,0.02292148,-0.03689261,0.15683496,0.09291917,-0.026635319,-0.016334532,0.3692074,0.32651484,-0.020350937,-0.047915045,0.031626787,-0.012044787,0.11742504,0.3056848,0.014741234,0.09288761,0.42817205,-0.012135483,0.20127602,0.14541323,-0.036220856,0.18690032,0.05886853,0.38467795,0.07922534,-0.059887685,0.23167357,0.05913212,-0.04878202,0.14124635,0.06927911,0.1343399,0.14555933,0.082807735,0.3074824,0.20679963,0.071932405,0.09083249,0.12307666,-0.013705358,0.18431897,0.101866774,0.087182805,0.0046844482,0.07883414,0.02455765,0.24934396,0.040427893,-0.0196224,0.15101337,0.13160639,0.05391889,-0.0366387,0.11680125,-0.018118478,0.087329015,0.16029947,0.19570857,0.002266176,0.22808777,0.07527233,0.08822407,0.115751,-0.041766103,0.09128079,-0.0874991,0.05266919,-0.042085435,0.38704497,-0.0061798915,0.06897452,0.1548399,0.22120325,0.027995136
AAPL,0.19093809,0.17081687,0.039906487,0.012212016,0.20570569,0.12097615,-0.034250386,-0.00019848347,-0.096102804,0.18215564,0.018308302,0.03545203,0.08440454,0.12374515,-0.04801573,0.29027545,0.09810301,0.13331702,0.0823835,0.13499375,0.17942165,-0.039288893,-0.01327157,-0.024772543,0.0217144,0.22841004,0.019983627,-0.0358132,0.0057828464,0.09011516,-0.027556226,-0.018233668,0.0842133,0.3324061,-0.03738655,-0.071763024,0.032023057,-0.012436496,0.11779401,0.29946288,0.00044184783,0.092518404,0.14773081,-0.011025917,0.1994356,0.14722365,-0.0396287,0.038940955,0.052775256,0.099870056,0.077366166,-0.061402418,0.23044246,0.058019727,-0.04605072,0.13022229,0.0696531,0.11833488,0.10197237,0.07928371,0.30925387,0.041121177,-0.019165857,0.09105909,0.038050883,-0.010889877,0.036236048,0.09598149,-0.021799523,-0.03243705,0.07858589,0.027885526,0.24277595,0.03850208,-0.061443865,0.152353,0.005361082,-0.013013862,-0.04080247,0.11404436,-0.05149831,0.08651967,0.1617913,0.19625449,-0.015983798,0.2284581,0.074408025,0.07322404,-0.0036680996,-0.042588465,0.08575486,-0.092917174,-0.025235623,-0.035019524,0.11502525,-0.0051973164,0.034315538,0.15449971,0.065562576,-0.03477301
ABBV,0.17394671,0.17325373,0.039310724,0.0118135065,0.2044045,0.120628856,0.012121176,0.025381457,-0.09641324,0.18908936,0.019316528,0.045013957,0.085260876,0.119252816,-0.024270799,0.28731644,0.15754831,0.14904836,0.23993574,0.12698956,0.1801047,-0.040378317,-0.01274154,0.017227069,0.04361333,0.22455385,0.025164105,-0.03755205,0.03429413,0.090380326,-0.027304668,-0.011196773,0.1940119,0.33045706,-0.012359723,-0.055765055,0.03351582,-0.010704458,0.11778022,0.29939502,-0.00375614,0.092243984,0.23751521,-0.012130778,0.19872014,0.1479058,-0.037641224,0.079819724,0.05127998,0.2045418,0.08082892,-0.064443044,0.22532712,0.056840956,-0.048176438,0.12865907,0.0693795,0.11852552,0.10117583,0.07443076,0.3097174,0.11110746,-0.005797887,0.092047274,0.061448812,-0.011748973,0.09246848,0.09957827,0.027766302,-0.024374709,0.07580062,0.025437599,0.24241185,0.037400547,-0.050269987,0.1511017,0.0453083,0.0057744067,-0.04072256,0.11270988,-0.057800174,0.08791047,0.16639152,0.19993874,0.0058925636,0.2245893,0.07204163,0.07352858,0.035422675,-0.04247872,0.08844561,-0.09479454,0.013841763,-0.03770306,0.22040856,-0.0031182915,0.05877273,0.1535208,0.13277026,-0.022800945
ABC,0.17758885,0.17342693,0.03966966,0.009887416,0.20414555,0.119823866,0.01563341,-0.026548017,-0.09325823,0.20313047,0.018870465,0.06275562,0.08625104,0.12248632,-0.019279774,0.2823645,0.29397494,0.16379942,0.22468069,0.12299775,0.17966896,-0.031434055,-0.011440612,0.05480939,0.047269106,0.22532383,0.022621378,-0.037042566,0.09359811,0.08988942,-0.028301766,-0.01491271,0.22086477,0.32585248,0.048797257,-0.06903176,0.031532284,-0.009676117,0.11916358,0.29783246,-0.0064371503,0.09144067,0.42655903,-0.01005769,0.19949353,0.14609028,-0.035459332,0.19899656,0.05135028,0.36392555,0.09099807,-0.062922806,0.23617178,0.058642387,-0.04930885,0.12869269,0.06700142,0.12752208,0.11970694,0.07158625,0.30608153,0.107960284,0.015616462,0.09105035,0.17237376,-0.012746533,0.16655192,0.10707995,0.020490952,-0.015197061,0.09377779,0.0228132,0.24316652,0.037299678,-0.034019306,0.15083005,0.07863102,0.071739666,-0.041005388,0.11586958,-0.041735888,0.08613425,0.15875986,0.19750355,0.07881135,0.24126829,0.07185901,0.07601292,0.059023872,-0.04098496,0.08614254,-0.09034717,-0.0021982417,-0.038889274,0.3186257,-0.004273303,0.14496148,0.15104744,0.16837436,0.0027611665
ABMD,0.17121299,0.1837472,0.04148382,0.03221002,0.20405272,0.117046624,0.12410545,0.095658556,-0.08580312,0.19854951,0.01742681,0.05314678,0.08354663,0.16734144,-0.01247444,0.292999,0.60800004,0.14476167,0.46406886,0.17737289,0.18520544,-0.037627768,-0.010699816,0.22897615,0.098825864,0.22437519,0.023488015,-0.034649346,0.12343984,0.09655313,-0.027978256,-0.015108224,0.411817,0.3316035,0.08139959,-0.0020009466,0.0534725,-0.012733523,0.11918536,0.3039072,0.018276382,0.09322676,0.89669704,-0.0118521135,0.20204537,0.14765911,-0.025734195,0.45260805,0.055660218,0.85940945,0.09012532,-0.041199148,0.22829843,0.0592634,-0.048643515,0.15034436,0.071020715,0.118383534,0.090259396,0.122738615,0.31072846,0.24591503,0.054297104,0.09135215,0.34110287,0.0003667362,0.46977326,0.0970249,0.11767793,0.0701388,0.091532156,0.033497915,0.24096732,0.047085077,-0.050551664,0.15381527,0.3641522,0.19504264,-0.0405175,0.12138457,-0.025659047,0.08654669,0.16911566,0.20654431,0.13126959,0.2320528,0.07436147,0.079612255,0.11996033,-0.04196409,0.10884295,-0.07245319,0.15187432,-0.025430314,0.81675166,0.0070073083,0.23950571,0.15497878,0.44035518,-0.018854506
ABT,0.17332286,0.17578702,0.03844782,0.013207246,0.20526767,0.11924426,-0.061528623,-0.020967493,-0.094340034,0.19108003,0.017436627,0.04286103,0.08410796,0.12349601,-0.05758199,0.29591116,0.17050552,0.13614741,0.002639141,0.12841082,0.18128777,-0.03932649,-0.013874102,0.007860029,0.0075696763,0.2258986,0.022593513,-0.03749831,-0.055880487,0.089135766,-0.02726771,-0.016603949,-0.001586318,0.3338887,-0.021845568,-0.06388938,0.032402545,-0.011667643,0.118358865,0.2969857,-0.002462367,0.09223467,0.23116168,-0.010871561,0.19903964,0.14741948,-0.03445962,0.08219071,0.051799815,0.17953628,0.083689615,-0.061008416,0.220828,0.056846566,-0.048058648,0.129038,0.06922071,0.11876822,0.08810346,0.080771506,0.30918482,0.0015987828,-0.045266256,0.092295066,0.076794304,-0.011175506,0.071964115,0.09370212,-0.04559338,-0.021499876,0.076450236,0.025136132,0.24044219,0.03787402,-0.0755012,0.15099627,0.023577305,0.007312404,-0.039978065,0.11148365,-0.071445234,0.08784111,0.16373822,0.19758427,0.0030651204,0.22881247,0.07314951,0.07611138,-0.045362934,-0.041783586,0.08624184,-0.0927842,-0.004311051,-0.041364923,0.2085185,-0.0045690835,0.05759076,0.1555396,0.10606492,-0.038385965
ACN,0.1759325,0.17059962,0.038788967,0.010684263,0.20505929,0.121228576,-0.04455937,-0.027921967,-0.09331641,0.17985687,0.015820386,0.034896754,0.082195655,0.11602321,-0.038656484,0.28746632,0.103957355,0.12795025,0.08362214,0.122919686,0.17962784,-0.03882516,-0.012896337,-0.027464744,0.034446668,0.22840373,0.0213793,-0.037694152,-0.016547699,0.08911074,-0.027008954,-0.016797833,0.058856085,0.32679918,-0.030378833,-0.07002586,0.030720053,-0.012245301,0.117388144,0.29741913,-0.0059122704,0.094098754,0.16070074,-0.010718003,0.1999164,0.14593212,-0.036555186,0.04417213,0.051515933,0.11080898,0.07704068,-0.06433969,0.22487922,0.056450795,-0.04713185,0.1280634,0.06822668,0.12356773,0.0888588,0.07164167,0.3050345,0.038565744,-0.023382895,0.09382722,0.037461616,-0.010924164,0.04059303,0.09386633,-0.023944385,-0.037504572,0.07654279,0.023156997,0.24105316,0.037698843,-0.07052787,0.1504454,-0.021888128,-0.006602175,-0.04002048,0.11157078,-0.063264415,0.08711902,0.16014025,0.19736385,-0.0064731166,0.22605321,0.0718514,0.07669708,-0.033315115,-0.04248913,0.08622768,-0.09424375,-0.026232112,-0.04054942,0.10915237,-0.006532684,0.035770886,0.1573526,0.054378666,-0.035037965
ADI,0.17004956,0.17235783,0.038719654,0.013954967,0.20533194,0.11406028,0.026649175,0.019119076,-0.09009823,0.19162533,0.014190143,0.052234884,0.08405964,0.13912347,-0.031167455,0.29703856,0.14355446,0.14816715,0.19151087,0.14638689,0.17801198,-0.037852474,-0.011641759,-0.010505634,0.032805454,0.22096853,0.029569808,-0.035985883,0.007860765,0.09199955,-0.027958311,-0.01748968,0.19002089,0.33255178,-0.019031044,-0.06700563,0.03336136,-0.011663986,0.12004373,0.3026309,0.0042721024,0.09347385,0.20477064,-0.015438244,0.19922152,0.14574654,-0.03751463,0.08085446,0.05552264,0.15486434,0.08593331,-0.05877634,0.22176582,0.0604117,-0.051189117,0.1479223,0.07351076,0.12031534,0.08625294,0.07980952,0.31095022,0.10930906,0.01660337,0.091423556,0.070420675,-0.015626818,0.07288499,0.094003424,0.03805399,-0.034910426,0.08014853,0.028415767,0.24254985,0.03745243,-0.062283814,0.15027583,0.034417387,-0.00037544593,-0.04233613,0.111877576,-0.063657664,0.0873269,0.16133773,0.19600452,0.008765776,0.22824733,0.07429129,0.07845309,0.028568529,-0.040704146,0.08740424,-0.08894529,-0.0067841783,-0.0044733705,0.13922398,-0.0022380948,0.060605682,0.15406993,0.095775396,-0.03106514
