,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A,6.694314,7.961369,9.119273,6.3131633,5.9780245,4.9542856,7.4330654,6.0158973,7.760803,6.339442,8.054531,7.161617,4.067393,5.952266,7.073865,6.6876335,5.7114463,4.704173,5.872388,5.706171,4.6433525,5.5365853,3.856845,4.1025133,7.218568,5.9469438,5.526808,3.5894957,4.7243266,5.064355,3.8511407,6.377204,5.2754884,5.282534,4.5441504,3.0793912,4.001459,5.0215135,4.2271614,5.4477987,5.9001575,4.224726,4.2359548,5.834684,6.024461,5.0486417,4.1657176,5.4560943,4.2598867,5.2406406,4.5019875,4.220213,4.7127857,3.3469722,5.774813,4.3711324,5.497552,4.3425946,4.3078213,2.4098747,4.9770555,3.9852078,3.1001222,4.543222,4.077934,4.624929,5.748911,5.7984886,3.8437896,5.3970118,5.748766,4.21869,6.170432,5.053978,4.468967,4.993972,4.782332,4.2466617,5.220254,5.52582,4.868399,6.25906,5.778765,3.3627992,5.479228,3.4192567,5.788816,4.843658,3.6464434,4.795739,4.8228292,5.397283,4.333851,5.5870667,4.1299243,5.690634,3.9644911,7.2518344,5.472458,2.7610219
AAL,6.1586256,7.7429776,8.708225,6.4427333,5.7729926,4.727272,7.464214,6.0904236,7.811086,6.5249577,7.8937445,6.6259327,3.8233917,6.215537,7.2210445,7.1303296,5.212821,4.9057803,6.1733875,5.24884,4.672513,5.964088,3.5514019,3.8730543,7.061321,5.4174933,5.412983,3.7825494,4.7046776,5.370746,3.9615657,6.0666785,5.345224,5.304437,4.873497,2.639176,4.323864,5.054058,4.377581,5.311226,5.7777185,4.7151737,4.353409,5.7295427,6.032498,5.1357584,4.3146334,5.718788,4.4441967,5.5323496,4.6245904,4.302799,4.929871,3.1638005,5.457231,4.647401,5.2703547,4.1397414,4.62747,2.4463258,4.497161,4.0376296,3.1899853,4.6710787,4.0260153,4.8754377,5.562524,5.929549,3.925688,5.319201,5.416987,4.278147,6.3760886,5.200826,4.307736,4.8534455,4.7670455,4.162608,5.4308243,5.552647,4.6011477,6.246486,5.4416223,3.5750973,5.4082065,3.334015,5.958843,5.114669,4.1667724,5.254527,4.8213286,5.4715505,4.5021853,5.1807904,3.767436,5.5012136,4.0881977,7.379979,5.2576857,3.149944
AAP,6.0150456,7.461008,8.955935,6.2834725,6.3135614,4.6898346,6.9884887,5.907302,8.106173,6.341851,7.60352,6.89221,4.063635,6.2680845,7.2408013,6.688877,5.392231,4.7841415,5.8973217,5.207935,4.6421356,5.7765713,3.824708,3.7382014,6.9286785,6.0344048,5.478673,3.6219351,4.7929335,4.9657774,3.9100294,6.253573,5.311099,4.9555006,4.5021944,3.168907,4.323295,5.0187626,4.175775,5.272827,5.9517117,4.371857,4.5310893,5.6856346,6.173253,5.250868,4.403089,5.599801,4.9856515,5.652949,4.8764143,4.3437243,4.8641014,3.240084,5.499957,4.5831656,5.400624,4.5293627,4.353724,2.76534,5.150153,3.8988247,3.082525,4.419167,3.6853967,4.8361583,5.5553446,6.0801196,3.7728233,5.26504,5.6224236,4.4006414,6.674992,4.9053555,4.637933,5.0417504,4.3449492,4.3691187,5.422529,5.467748,4.4956236,6.0371776,5.5047803,3.4231558,5.1801667,3.515846,5.5265536,5.2197866,3.808869,5.0178556,4.6171565,5.247613,4.4243374,5.448898,4.11831,5.6019554,4.114529,7.352858,5.2757816,2.8533394
AAPL,6.7479296,8.007345,8.6840515,6.5039268,6.289517,4.8810687,7.328983,6.1265583,8.033041,6.4305887,7.830155,6.8674345,4.0065393,6.1420336,7.157741,6.7396383,5.4587393,4.934943,5.982882,5.2733717,4.5826545,5.772243,3.7536552,3.9605947,7.0237985,5.857002,5.371997,3.6507318,4.5839767,5.0664597,3.961751,6.282589,5.4603353,5.213381,4.562627,3.0387197,4.317338,4.9838853,4.3298936,5.420381,5.9098854,4.4213386,4.4332113,5.667157,6.0363116,5.2780986,4.2729526,5.759288,4.6614323,5.26394,4.82145,4.3199115,4.8748884,3.4068053,5.667184,4.6710787,5.2696385,4.371802,4.4608274,2.5972428,4.919943,3.8925736,3.1873424,4.658777,3.7871032,4.894962,5.4617233,6.000319,3.977582,4.901795,5.856723,4.3633733,6.237698,5.152414,4.448753,5.150654,4.777005,4.352719,5.3511295,5.5167155,4.5101094,6.0977316,5.466974,3.3935654,5.100458,3.5337553,5.6927137,5.137123,3.825574,5.053534,4.6042924,5.3132544,4.328616,5.3256884,4.0494075,5.4793177,4.1105866,7.3856053,5.456492,2.8130808
ABBV,6.5461087,7.8279777,9.284779,6.2811627,6.039046,4.9580755,7.3060536,6.040785,7.7469835,6.29339,8.046352,7.2431316,4.134462,5.9198728,7.07646,6.619027,5.755984,4.6491513,5.768406,5.703716,4.638889,5.514418,3.916002,4.0539026,7.2663975,6.1079583,5.59121,3.5275712,4.759527,5.001069,3.8236716,6.4300475,5.225797,5.1664224,4.4677415,3.1740959,3.9755275,5.0230083,4.22648,5.4261184,5.8983974,4.153806,4.2028904,5.8600097,6.0379725,5.0074,4.20909,5.429484,4.384485,5.3404694,4.5249386,4.215783,4.7291503,3.3034666,5.7606707,4.330098,5.615391,4.4140863,4.229274,2.4519253,5.0414643,3.928278,3.0297315,4.4666886,4.0554705,4.6011195,5.778958,5.8099647,3.8132505,5.417647,5.696094,4.229305,6.2251353,4.908129,4.516462,4.975312,4.6974053,4.239628,5.2029867,5.549842,4.8107014,6.2658534,5.83179,3.3613813,5.503706,3.426663,5.743821,4.854933,3.5576427,4.729191,4.794333,5.35916,4.2670083,5.7515182,4.1909266,5.735411,3.9205284,7.2556853,5.4393897,2.7333577
ABC,6.4835696,7.7897224,9.224229,6.3454056,6.1835585,4.931406,7.2056503,5.9971566,7.81474,6.260243,7.973347,7.2046,4.181875,5.9527836,7.0922575,6.5432215,5.737474,4.7110276,5.736692,5.6379776,4.6414356,5.528803,3.9335682,3.9722173,7.2531734,6.1150713,5.547611,3.4870086,4.707397,4.950023,3.8212006,6.4394975,5.2547774,5.0761075,4.4129214,3.2388954,4.0376363,5.03063,4.258983,5.391589,5.898675,4.1397085,4.2377453,5.8664775,6.062581,5.045442,4.2510962,5.490054,4.5650334,5.3611174,4.6185417,4.236434,4.76907,3.3171422,5.7291894,4.3754,5.619433,4.483808,4.220189,2.5238922,5.1049705,3.866041,3.01305,4.43727,3.9709024,4.6491895,5.7462573,5.876813,3.8333895,5.294683,5.752416,4.2439275,6.2476797,4.884803,4.5567026,5.0317216,4.647431,4.297126,5.2374396,5.56229,4.6961274,6.217518,5.8279,3.3842585,5.3997746,3.4558275,5.707598,4.9267364,3.544196,4.732623,4.6939464,5.3303623,4.227353,5.783302,4.2375674,5.7314568,3.94635,7.3000727,5.4351006,2.7006721
ABMD,6.4925404,7.8066373,9.266324,6.1897507,5.882116,4.8478155,7.374149,5.914276,7.6747484,6.2996492,8.018916,7.1630206,4.0924854,5.965073,7.120823,6.743238,5.6798124,4.6239147,5.8323793,5.7106223,4.645478,5.541611,3.9403164,4.056094,7.1959133,6.0220003,5.5108795,3.602893,4.7849464,5.0834827,3.7986276,6.378944,5.223919,5.25537,4.558481,3.115913,3.972609,5.0146255,4.1753206,5.401446,5.860267,4.197718,4.167478,5.916468,6.0471864,4.980374,4.153644,5.3368936,4.2856994,5.355625,4.4851584,4.2483196,4.6451254,3.2638297,5.7425847,4.312293,5.534696,4.359338,4.2541494,2.410126,5.036051,3.9964883,3.021624,4.476682,4.056788,4.583315,5.8398337,5.7646422,3.8283904,5.6118846,5.5482407,4.2556562,6.303158,4.9780774,4.4829087,4.9334407,4.650012,4.2434974,5.2605543,5.5236754,4.961663,6.3280096,5.8007426,3.3652647,5.5754294,3.3856812,5.7633667,4.8298616,3.6543627,4.7567015,4.88486,5.3900266,4.369353,5.588302,4.1333737,5.719689,3.9432828,7.207388,5.411845,2.7809596
ABT,6.5684533,7.854684,9.273086,6.250568,5.99062,4.9481945,7.316654,6.016428,7.7182813,6.322086,8.034527,7.206864,4.125821,5.8993587,7.059063,6.706112,5.754966,4.651289,5.7227006,5.6449413,4.6006145,5.526523,3.9667284,4.0828333,7.2231584,6.165545,5.5667944,3.577063,4.7435536,5.024771,3.8062425,6.445583,5.245057,5.1716475,4.466178,3.2105007,3.9669464,4.9936028,4.2520957,5.4452453,5.8833776,4.176857,4.1540475,5.870986,5.986266,4.9713135,4.179003,5.4281516,4.4101706,5.352706,4.5515475,4.2247915,4.7096844,3.30556,5.8005757,4.3461437,5.558441,4.401965,4.221409,2.4318945,5.067188,3.912057,3.0014877,4.469895,4.0332847,4.6414847,5.736046,5.809169,3.8558767,5.4636188,5.578218,4.283449,6.2274084,4.9063444,4.4462266,4.953509,4.7053585,4.2526374,5.1932526,5.5609536,4.8391786,6.3209963,5.751853,3.3339238,5.470857,3.463755,5.7175765,4.8759418,3.5594838,4.7539606,4.7987494,5.3466973,4.2481346,5.677382,4.184807,5.671133,3.8973112,7.256141,5.4183087,2.748413
ACN,6.3330317,7.8045807,8.956626,6.3520894,6.0570736,4.8177204,7.3169274,6.001635,7.8735237,6.3890047,7.830294,6.877473,4.0405526,6.143957,7.2344484,6.9213305,5.3697243,4.8178477,5.947396,5.2430387,4.5692897,5.806027,3.8435616,3.9002001,7.0507298,5.8954744,5.338638,3.6454785,4.685357,5.1298294,3.890926,6.292116,5.3954806,5.207796,4.620189,3.0007656,4.270034,4.9681525,4.3114915,5.3601885,5.841859,4.4095993,4.3025665,5.8121595,6.0392632,5.1430397,4.282711,5.6206927,4.7006044,5.409141,4.772998,4.3585086,4.834181,3.279996,5.6173744,4.609833,5.3417935,4.3554745,4.407943,2.5489945,4.9317694,3.884084,3.0633268,4.585072,3.81429,4.8271956,5.6034145,5.912824,3.9878268,5.2611513,5.494428,4.413164,6.384735,4.9976425,4.407621,5.0140467,4.623382,4.298712,5.40589,5.5563393,4.5913396,6.258955,5.5134716,3.4159997,5.2874613,3.4666247,5.7157454,5.0941663,3.843761,5.0078783,4.704021,5.3074207,4.3429418,5.3661046,4.0006633,5.5081835,4.043776,7.316159,5.3612967,2.8810716
ADI,7.2111278,8.187577,8.473825,6.5698957,5.998438,4.6405687,7.5963683,6.0189285,7.8343644,6.5097766,8.010473,6.8119817,3.9629529,6.1955256,7.374928,6.878948,5.147486,5.0349655,6.3081627,5.3005147,4.5403996,6.0515976,3.7258337,3.9662426,7.033563,5.435492,5.0580883,3.6314025,4.524688,5.314125,4.022257,6.1918955,5.613245,5.6411853,4.824822,2.7192996,4.4373074,4.900877,4.322307,5.342553,5.658963,4.457335,4.1189866,5.8909893,6.20236,5.219122,4.1516895,5.7508755,4.354844,5.1224737,4.7895975,4.4499564,4.7553587,3.281663,5.4815664,4.724236,5.2243385,4.184906,4.636104,2.5926692,4.6423297,3.989916,3.157658,4.908786,3.733238,4.9121103,5.642707,5.8552837,4.161879,4.8947635,5.68019,4.3614235,6.1101327,5.3687024,4.324341,5.231586,5.0248055,4.3012257,5.5079713,5.5187607,4.7629013,6.1414022,5.4708347,3.469296,5.1982512,3.2863648,5.914071,5.052056,4.1556625,5.0705347,4.7748075,5.3423357,4.387808,5.064984,3.793514,5.4087024,4.1733446,7.2492766,5.5553923,2.9439821
