,mean_return,std_return,median_return,share_positive_return,max_drawdown,rec_period,beta,alpha,sharp,VaR,CVaR,CAPM,coef_var,IR
A,0.000597012347164486,0.016258036909706227,0.0015859075127277501,0.549800796812749,-20.012199587938074,252,1.1665670481526755,0.00012442810037411678,-1.8085201685869963,-0.02620114073247794,-0.039066148005769914,-0.004524427197789893,0.442744216954268,0.015875883324015103
AAL,-0.0009365615987965652,0.023855064106595384,-0.00104105302518725,0.4760956175298805,-58.18368350865973,3,1.4094925166076142,-0.001507556605360898,-1.2968551021518029,-0.04124727615391014,-0.0573001668232147,-0.011713780491664091,-0.6076098830669486,-0.06647973484268714
AAP,0.0009885537253888242,0.018382452644843297,0.0007121621532648001,0.5318725099601593,-26.975964433606425,81,0.7661115501057975,0.0006781967249596757,-1.5782141172956894,-0.029445033280269366,-0.03896624923422465,0.007327010497255225,0.3418272133939869,0.0342395764314378
AAPL,0.0012140921616222303,0.017355442312056584,0.00160767987871895,0.545816733067729,-38.729694508624355,256,1.36637981114797,0.0006605624053141986,-1.6586098654703028,-0.025862391280846445,-0.040773664631678544,-0.010437864578131062,0.24809597439839756,0.0665879399620092
ABBV,-1.0381978822330967e-05,0.01985444426320685,0.00112753208727825,0.5298804780876494,-48.88401914599648,5,1.069499811926416,-0.00044364362791662155,-1.5115196165140667,-0.030816079252357707,-0.04768340699890997,-0.0016517327086981934,-37.969539694387635,-0.024277437504676
ABC,-3.543523675370649e-05,0.01817256241540061,0.00155628132727865,0.545816733067729,-32.9161927528707,2,0.879722777052128,-0.0003918169180602927,-1.652790319283742,-0.03292285355691594,-0.04374840655952371,0.003964698369742746,-9.319594138370977,-0.0271845796945373
ABMD,0.00026057876206613136,0.030959037139890955,0.00152296293094815,0.5278884462151394,-64.57809948669373,69,1.449156170458616,-0.0003264842604856344,-0.9606054963387217,-0.04210444491782385,-0.0738032578893836,-0.01288762209120671,3.678204520696521,-0.0051456385334023415
ABT,0.0008664479713427993,0.013309661813138704,0.0014802521070591,0.5677290836653387,-11.727480110618437,88,1.0522156672956795,0.00044018824681398244,-2.1889025008808156,-0.023756202194905384,-0.03174820053270256,-0.0011402102943415676,0.20445208880296015,0.051796145566909826
ACN,0.0007083951034289621,0.012858923219642068,0.00159300710785665,0.5697211155378487,-23.261957462851957,127,1.078221529871413,0.0002716002270655819,-2.2779205067363626,-0.023696460717609388,-0.032720641363864385,-0.001909851019779009,0.23341763031431145,0.03822215449992047
ADI,0.0007047709071388272,0.017730553298262928,0.00073189105263955,0.5159362549800797,-23.780606407600203,167,1.2873481154068325,0.00018325742838941122,-1.652245623701503,-0.029126361284038473,-0.03981045275286039,-0.008098929983455558,0.4460634187339073,0.02267127046979119
