,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A,636737.9334151755,571855.5456380035,415511.5296580982,250863.29336750964,147219.18786539554,134037.3227790338,208119.48459504236,338496.4953828798,464590.3846203242,517099.4644583196,635107.2794158238,570411.5901986163,414566.41225883993,250715.4013825283,148472.7717791408,138014.67634009485,216803.74862003056,353464.9995668722,485310.63643691,540189.7151459053,630232.9586021072,566055.14095959,411508.36133275786,249305.20344778858,149027.96070504052,141445.8579982537,224719.30865453876,367209.93345356744,504357.0836385873,561417.8741379121,622189.6631034883,558852.9797667655,406384.38421264134,246654.91982442365,148878.26153778788,144283.62722989038,231756.25647523045,379540.23762287485,521464.9329596498,580488.8104235268,611099.7943960677,548914.723051369,399272.5447034676,242805.24787220045,148027.1584652994,146487.99513874465,237814.32265267908,390279.984426666,536390.0460823854,597130.364223848,597130.364223848,536390.0460823854,390279.984426666,237814.32265267908,146487.99513874465,148027.1584652994,242805.24787220045,399272.5447034676,548914.723051369,611099.7943960677,580488.8104235268,521464.9329596498,379540.23762287485,231756.25647523045,144283.62722989038,148878.26153778788,246654.91982442365,406384.38421264134,558852.9797667655,622189.6631034883,561417.8741379121,504357.0836385873,367209.93345356744,224719.30865453876,141445.8579982537,149027.96070504052,249305.20344778858,411508.36133275786,566055.14095959,630232.9586021072,540189.7151459053,485310.63643691,353464.9995668722,216803.74862003056,138014.67634009485,148472.7717791408,250715.4013825283,414566.41225883993,570411.5901986163,635107.2794158238,517099.4644583196,464590.3846203242,338496.4953828798,208119.48459504236,134037.3227790338,147219.18786539554,250863.29336750964,415511.5296580982,571855.5456380035,636737.9334151755
AAL,505544.0865877552,247.2579861842709,165.4965471238283,0.08091668484631843,0.0,0.0,0.0,0.0,0.0,0.0,564095.2758485307,276.4473578015067,1314.4819109217924,0.6426932789278165,0.0,0.0,0.0,0.08091668484631843,165.57746380867462,165.57746380867462,565409.7577594526,280.1585476969945,7590.388985789184,3.711189895487787,0.0,0.0,0.0,0.6426932789278165,1315.1246042007203,1315.1246042007203,514448.9574844662,267.1109126587406,31865.239990065384,15.579959984900375,0.0,0.0,0.0,3.711189895487787,7594.100175684673,7594.100175684673,419449.00793235825,252.63375705330355,97255.48334344961,47.55139265467621,0.0,0.0,0.0,15.579959984900375,31880.81995005029,31880.81995005029,352512.75265427283,277.86752914385187,215801.64033496863,105.51249330439376,0.0,0.0,0.0,47.55139265467621,97303.0347361043,97303.0347361043,411627.08893278963,371.46922642601277,348128.1389664383,170.2112545333388,0.0,0.0,0.0,105.51249330439376,215907.15282827307,215907.15282827307,595960.5158385962,491.0103013522276,408288.6032443056,199.62567684474837,0.0,0.0,0.0,170.2112545333388,348298.3502209717,348298.3502209717,764007.131196533,543.7593758069138,348128.1389664383,170.2112545333388,0.0,0.0,0.0,199.62567684474837,408488.2289211503,408488.2289211503,757731.2241216657,475.9921179614087,215801.64033496863,105.51249330439376,0.0,0.0,0.0,170.2112545333388,348298.3502209717,348298.3502209717
AAP,22350.00472962387,198152.8153768516,419968.8433565559,541298.8276614975,0.40046010994338627,0.0,0.0,0.0,0.00028506923270208334,385.32565182404306,57224.987816404035,271034.9787807788,476217.3509260259,600649.1742205258,0.44436828426660857,0.0,0.0,0.0,0.0013573980859030586,1834.7834218290297,119578.38799531604,302159.6474627116,492855.570397903,541298.8815840466,0.40046010994338627,0.0,0.0,0.0,0.005249241254655259,7095.354657742106,205182.32738851037,277745.1215280643,482003.10686750564,396173.8910951228,0.29309464595209106,0.0,0.0,0.0,0.01648611213594159,22284.13724137243,292933.5587563868,220371.467083974,467516.5756541444,235487.10793885606,0.17421635506298136,0.0,0.0,0.0,0.04205061781614517,56839.46164945579,357164.0017626699,174583.45854753844,475297.3466538032,113679.27493028749,0.08410123563229034,0.0,0.0,0.0,0.08710817753149068,117743.3810319468,388392.76867232134,174583.50971528637,513231.5373342345,44568.65417839616,0.03297222427188318,0.0,0.0,0.0,0.14654732297604553,198086.76725147202,396173.6975363792,220371.60972697145,557085.5968090931,14191.121454965223,0.010498482509310517,0.0,0.0,0.0,0.20023005497169313,270649.25848157925,388392.84499282227,277745.31770884525,563968.1880504474,3669.984074949372,0.0027147961718061173,0.0,0.0,0.0,0.22218414213330429,300324.4109544187,357164.09614541475,302159.83264033525,505572.4778676187,771.025332975673,0.0005701384654041667,0.0,0.0,0.0,0.20023005497169313,270649.25848157925
AAPL,6001.405612222999,150015.21703679013,2930.0051437305533,8535.638175903103,398999.5641127426,7972.56147728229,11167.442761933073,13767.87785247169,706936.3179603763,518198.75090000004,15522.531906773056,264386.5014663081,5195.236289476777,13097.857694956028,515095.2359885077,10649.268722447863,32820.95461630583,15582.599183799219,779468.5028900099,562116.3372130629,37429.88056118914,396475.81364467676,7897.399981724615,21601.23548945395,577108.0126235196,12823.190695588813,82788.43771022769,17000.229763630872,801605.0524750528,520038.92867840984,82210.52887337901,506055.2853665172,10387.362894322443,40951.11193867749,577627.0710673493,14709.54217080238,179689.60968904584,18437.442831972097,776528.0301629934,410842.45747839345,160591.18391740584,550086.5546689784,12043.30250892278,83011.4767723706,547260.393318232,17152.909719555915,336585.7377311141,20093.38244657244,702262.1737140712,277735.39679997263,273993.9761739645,509783.1860276869,12724.224183954708,160225.69898274235,531284.0255575395,20880.81038072563,545853.0545675921,21827.053965860963,579963.9323569814,161171.94256787768,403593.3254397354,403593.3254397354,12830.730443075972,274794.92407295614,550988.2939794017,25554.95462703068,768832.539131727,23218.093337398415,427039.5626890318,80674.61548273831,509783.1860276869,273993.9761739645,12830.730443075972,407114.5568172237,584744.5828624078,29548.177198303805,943069.5485516074,23668.60315181711,275149.86424702086,35071.5378921908,550086.5546689784,160591.18391740584,12724.224183954708,515861.8896103677,586715.4873311761,30832.71031071999,1009295.8932317544,22593.604719736537,153243.69419596434,13362.129898470499,506055.2853665172,82210.52887337901,12043.30250892278,557183.0067517115,525671.2028691234,28342.747398122166,943069.5485516074,19753.958158079648,73241.29235990108,4509.068454913516
ABBV,547373.959911292,102828.84216678726,1470.3328095284721,118951.58212942281,633197.818587572,118951.58212942281,788.6106923333169,655.8510242662011,98926.52703812592,526601.3280330444,566382.1901493815,106399.69947855857,1492.213770960342,118681.18093134275,631758.4308492781,118681.18093134275,786.8180194473554,681.722117195155,102828.84216678726,547373.959911292,583389.10825953,109594.59332841463,1508.0412835441016,117873.6598134504,627459.8700301667,117873.6598134504,781.4644144220603,705.3957515129866,106399.69947855857,566382.1901493815,598177.8361906689,112372.7813345176,1517.6179260106433,116539.98274786292,620360.4990633187,116539.98274786292,772.6225648626515,726.5768691220413,109594.59332841463,583389.10825953,610556.1227306738,114698.14747565391,1520.8235799959295,114698.14747565391,610556.1227306738,114698.14747565391,760.4117899979648,744.9953611479918,112372.7813345176,598177.8361906689,620360.4990633187,116539.98274786292,1517.6179260106433,112372.7813345176,598177.8361906689,112372.7813345176,744.9953611479918,760.4117899979648,114698.14747565391,610556.1227306738,627459.8700301667,117873.6598134504,1508.0412835441016,109594.59332841463,583389.10825953,109594.59332841463,726.5768691220413,772.6225648626515,116539.98274786292,620360.4990633187,631758.4308492781,118681.18093134275,1492.213770960342,106399.69947855857,566382.1901493815,106399.69947855857,705.3957515129866,781.4644144220603,117873.6598134504,627459.8700301667,633197.818587572,118951.58212942281,1470.3328095284721,102828.84216678726,547373.959911292,102828.84216678726,681.722117195155,786.8180194473554,118681.18093134275,631758.4308492781,631758.4308492781,118681.18093134275,1442.6690437135564,98926.52703812592,526601.3280330444,98926.52703812592,655.8510242662011,788.6106923333169,118951.58212942281,633197.818587572
ABC,0.0,0.0,0.0,2.2671723674813024e-05,234969.89947600552,2.2671723674813024e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0860568648034079e-05,112559.00786740116,1.0860568648034079e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.193868905501696e-06,12373.265515092146,1.193868905501696e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.011596389358612e-08,312.1220560993495,3.011596389358612e-08,0.0,0.0,0.0,0.0,624.244112198699,6.023192778717224e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24746.531030214406,312.12205851720324,312.1220561294654,3.011596389358612e-08,0.0,0.0,0.0,0.0,0.0,0.0,225742.25984822502,12685.387594166734,12373.265516316133,1.193868905501696e-06,0.0,3.011596389358612e-08,312.1220560993495,3.011596389358612e-08,3.011596389358612e-08,312.1220560993495,494686.3299942496,124932.27344108505,112559.0078794556,1.0860568648034079e-05,0.0,1.193868905501696e-06,12373.265515092146,1.193868905501696e-06,1.193868905501696e-06,12373.265515092146,450236.0315031369,347528.9074095207,234969.8995095378,2.2671723674813024e-05,0.0,1.0860568648034079e-05,112559.00786740116,1.0860568648034079e-05,1.0860568648034079e-05,112559.00786740116,494686.3300157275,347528.90740199847,112559.00790093346,1.0860568648034079e-05,0.0,2.2671723674813024e-05,234969.89947600552,2.2671723674813024e-05,2.2671723674813024e-05,234969.89947600552
ABMD,387686.1955304108,7148.345198180398,0.0,0.0,1797.045276154224,105756.02703797551,451636.61213847675,14198.783102729478,330264.663559903,550514.4458879373,449839.5668623225,8294.359058445234,0.0,0.0,2578.6336257234693,149074.43294783751,502825.4184003385,16372.136870608669,397516.91894894635,540311.7075962209,500246.78477461496,9223.791672428271,0.0,0.0,3546.252072252417,202159.56823052597,536709.6144702928,18125.082476980748,459063.3585347508,508541.1438330602,533163.3623980405,9830.723418535514,0.0,0.0,4674.10971229686,263539.3069282532,549284.13155595,19265.574122795715,508541.1438330602,459063.3585347508,544610.0218436532,10041.78245036744,0.0,0.0,5904.424044284246,330053.60452807107,539067.7864423248,19661.446837071027,540311.7075962209,397516.91894894635,533163.3623980405,9830.723418535514,0.0,0.0,7148.345198180398,396909.98720283905,507395.12997279543,19265.574122795715,550514.4458879373,330264.663559903,500246.78477461496,9223.791672428271,0.0,0.0,8294.359058445234,458133.92592076777,458133.92592076777,18125.082476980748,537837.4721103373,263328.2478964213,449839.5668623225,8294.359058445234,0.0,0.0,9223.791672428271,507395.12997279543,396909.98720283905,16372.136870608669,503793.03684686736,201552.63648441873,387686.1955304108,7148.345198180398,0.0,0.0,9830.723418535514,539067.7864423248,330053.60452807107,14198.783102729478,452418.20048804604,148145.00033385446,320222.8811095356,5904.424044284246,0.0,0.0,10041.78245036744,549284.13155595,263539.3069282532,11822.45491047726,389483.24080656504,104610.01317771067
ABT,223171.83499258608,309338.1232173223,2810.083380767807,0.0,0.0,0.0,0.0,0.0,4676.513954417476,511444.3253762735,266170.8712333014,354193.05961072084,3216.66418926475,0.0,0.0,0.0,0.0,0.0,4628.154912001054,506155.56582897296,310929.5067207898,397212.5991769997,3606.3140742083256,0.0,0.0,0.0,0.0,0.0,4486.057589786164,490615.17189316096,355748.65179928223,436297.3383398226,3959.9770992934127,0.0,0.0,0.0,0.0,0.0,4258.857480528519,465767.55939006386,398661.3732767604,469373.8734642721,4258.857480528519,0.0,0.0,0.0,0.0,0.0,3959.9770992934127,433080.67415055784,437566.731740344,494575.1489924544,4486.057589786164,0.0,0.0,0.0,0.0,0.0,3606.3140742083256,394402.51579623186,470395.71430206485,510414.4233095015,4628.154912001054,0.0,0.0,0.0,0.0,0.0,3216.66418926475,351788.6746999888,495291.68584757845,515930.38296605967,4676.513954417476,0.0,0.0,0.0,0.0,0.0,2810.083380767807,307323.19264658156,510783.72074097407,510783.72074097407,4628.154912001054,0.0,0.0,0.0,0.0,0.0,2404.3849107320007,262954.20704403665,515930.38296605967,495291.68584757845,4486.057589786164,0.0,0.0,0.0,0.0,0.0,2014.9305707407761,220361.7516118183
ACN,12169.918521270925,66376.00365526645,315.73316736432344,66304.41081897088,66304.41081897088,157.62757351307917,0.0,157.62757351307917,67235.78219783047,457144.790743593,46603.97404225529,155418.06777563953,937.8637368128648,154447.378060727,154647.01831796236,367.64838562903725,0.0,367.1703652908722,155044.3359700947,405354.8358941858,141341.2787871277,288117.8233462098,2585.646159602165,282551.6652276531,283773.97473019245,674.6318056417222,0.0,671.7050973222803,282545.81181101425,282545.81181101425,343290.211197368,428119.63233982044,7888.92316160751,405980.89593578863,411858.3581589839,979.1573611142624,0.0,965.0843153348629,405354.8358941858,155044.3359700947,675746.1446523708,524794.4228322469,24637.886205080114,458182.4545548202,480378.4228492743,1142.1451685564482,0.0,1088.998952372665,457144.790743593,67235.78219783047,1097680.4038840912,561837.1389001546,68444.1222414184,406268.004991256,472099.5330896877,1122.7118888479422,0.0,965.0843153348629,405040.81174507877,23267.345042156572,1505350.346558016,567699.427525324,156094.36694672666,283280.152541596,436625.0634657741,1038.8754626131524,0.0,671.7050973222803,281888.1797594713,6577.3134120762825,1780043.4646946944,563977.2854216262,283573.53175960854,155789.83221469523,436320.5287337426,1038.8754626131524,0.0,367.1703652908722,154082.17836307926,1595.3332844690772,1831957.3341811397,528461.6085085596,406391.9196282938,68234.5794496406,471292.07634786586,1122.7118888479422,0.0,157.62757351307917,66147.26126579597,358.22387142475765,1628138.725710093,432256.34815875127,458058.5399177824,24533.404847750822,479342.57011308544,1142.1451685564482,0.0,53.146216183783196,22302.26072682171,53.146216183783196
ADI,1093.663928014135,457131.0728456672,1107.0314852932759,5587.388999320201,13.367557279140707,0.0,0.0,0.0,0.0,0.0,830.4852022182663,347127.28631530784,922.3006974976084,38377.16028278798,91.81549527934214,0.0,0.0,0.0,0.0,0.0,363.64358408412465,151996.21882717064,727.2871681682493,151996.21882717064,363.64358408412465,0.0,0.0,0.0,0.0,0.0,91.81549527934214,38377.16028278798,923.4229333699096,347596.3599266342,832.7296739628687,469.07361132633196,1.1222358723011807,1.1222358723011807,470.1958471986331,470.1958471986331,482.4411686054726,5588.511235192502,1120.3990425724164,462718.46184498735,1120.3990425724164,5587.388999320201,14.489793151441887,484.68564035007495,6540.026015124307,5603.001028343944,5588.511235192502,482.4411686054726,923.4229333699096,385504.4465980958,1014.1161927769505,38377.16028278798,105.18305255848286,5705.939609157825,49657.12133398687,38495.710892625604,38377.16028278798,91.81549527934214,727.2871681682493,303992.4376543413,1090.930752252374,151996.21882717064,455.4590793634668,38924.434857430795,229205.99847211008,152543.49340181344,151996.21882717064,363.64358408412465,922.3006974976084,385504.4465980958,1752.7858997158748,347127.28631530784,1194.128786302391,153553.99119755716,652313.8527559516,348685.05868569436,347127.28631530784,830.4852022182663,1107.0314852932759,462718.46184498735,2200.695413307411,457131.0728456672,1924.1491302324014,349881.92064775847,1153309.7946065154,459885.7071781179,457131.0728456672,1093.663928014135,831.6074380905675,347596.3599266342,1662.0926403088338,347127.28631530784,1924.1491302324014,460148.88590391364,1263313.5811368746,350145.09937355435
