,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A,0.0,2.369472775796619e-05,4.738945551592891e-05,7.10841832738951e-05,9.477891103185782e-05,0.000118473638789824,0.00014216836654778672,0.0001658630943057529,0.00018955782206371563,0.00021325254982168182,0.00023694727757964454,0.0002606420053376107,0.00028433673309557345,0.0002667212275543583,0.0002430264997963956,0.0002193317720384294,0.0001956370442804667,0.0001719423165225005,0.00014824758876453778,0.0001245528610065716,0.00010085813324860887,7.716340549064268e-05,5.3468677732679964e-05,2.9773949974713776e-05,6.079222216751057e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.516919394936242e-05,3.886392170732861e-05,6.255864946529133e-05,8.625337722325405e-05,0.00010994810498122023,0.00011847363878982053,9.477891103185782e-05,7.10841832738951e-05,4.738945551592891e-05,2.369472775796272e-05,0.0
AAL,0.0,0.0001810934168822824,0.00036218683376456826,0.0005432802506468506,0.0007243736675291365,0.0009054670844114189,0.0010865605012937013,0.0012676539181759872,0.0011537237036408805,0.0009726302867585981,0.0007915368698763123,0.0006104434529940299,0.000429350036111744,0.00024825661922946163,6.716320234717577e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6887000510185388e-05,0.00020798041739247125,0.000354043349172134,0.00017294993228984812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013233094730160516,0.00013000811591293293,0.00017606879048275015,0.0
AAP,0.0,0.0002450980810504988,0.000464688873652256,0.0002195907926017572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.863548249908531e-06,0.0002469616293004073,0.0004920597103509027,0.0007371577914014014,0.0007604833579424666,0.0005153852768919678,0.0002702871958414725,6.143805204015737e-05,0.0,0.0,0.0,0.0,3.938721210667434e-05,0.00024806171881430056,2.963637763801763e-06,0.00017984013891581344,0.00042493821996630876,0.0006700363010168076,0.0006450525851863786,0.0007230044540130764,0.0009681025350635683,0.0008491908736301193,0.0006040927925796205,0.0007238689471374821,0.0009689670281879809,0.0007625925495769043,0.0005174944685264055,0.0007389826756535184,0.0009368465592463834,0.0006917484781958846,0.00044665039714538585,0.000201552316094894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010867038685263841,0.0
AAPL,0.0,0.00014551508833061597,0.0001882153817198487,4.270029338923273e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012300976298072058,0.00026852485131133655,0.0004140399396419525,0.0005595550279725685,0.0004305809058926316,0.00028506581756201563,0.00013955072923139966,0.0,0.0,0.0,0.0,0.0,5.7561661709438355e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014354017647829828,0.00028905526480891425,0.0004345703531395302,0.0005800854414701462,0.0007256005298007621,0.000840152359821579,0.0006946372714909665,0.0005491221831603471,0.0004036070948297346,0.00025809200649911865,0.00011257691816850268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.787329906767254e-05,8.971853689714038e-05,0.0,0.0,9.732727300037006e-05,0.00024284236133098602,0.00015116889368404357,5.653805353424135e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000128995796496216,0.0002745108848268285,0.00042002597315744794,0.0005655410614880674,0.0005071659318425445,0.000361650843511932,0.0003367718309164047,0.0004822869192470172,0.0006278020075776367,0.0007733170959082492,0.0009188321842388686,0.0008730905299836958,0.0007275754416530833,0.0005820603533224639,0.00043654526499184443,0.00029103017666123193,0.00014551508833061944,0.0
ABBV,0.0,1.197970575756574e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.088717944092298e-05,0.0001443512737751007,0.00010958789951271558,2.612380517853785e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABC,0.0,0.0,0.0001091152768243446,0.00042055496437982953,0.0007319946519353179,0.0005663660439577979,0.0002549263564023095,0.0,0.0,0.0,1.8017535859886358e-05,0.00032945722341537476,0.0006408969109708632,0.0006076752800833092,0.0002962355925278243,0.00046092390336773675,0.00048690932718190374,0.00017546963962641535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017445246604355646,0.00048589215359904486,0.0003316769884391252,2.0237300883640258e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017298283902081324,0.00048442252657630164,0.00079586221413179,0.0011073019016872715,0.00141874158924276,0.0017301812767982483,0.0020416209643537298,0.002353060651909225,0.0026645003394647065,0.00272606380961158,0.0024146241220560916,0.00210318443450061,0.0017917447469451217,0.0014803050593896333,0.0011688653718341518,0.0008574256842786634,0.000545985996723175,0.0002345463091676936,0.0,0.0,0.0,0.0,0.00015518712726506068,0.00019870258190415185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABMD,0.0,0.000138338260126835,0.0002766765202536735,0.00019106201150200647,5.272375137516799e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.780590517954267e-05,0.00021614416530638114,0.0003157941568078422,0.0001774558966810072,3.911763655416872e-05,0.0,0.0,0.0,0.0,0.0,0.0,1.5376869476203814e-05,0.00015371512960303535,0.0001886059163194731,5.0267656192634624e-05,0.0,0.0,0.0,0.0,0.0,9.837532133766258e-06,0.00014817579226060473,0.00028651405238743627,0.00042485231251427474,0.0004150147803805085,0.00027667652025367695,0.00013833826012683847,0.0
ABT,0.0,4.957587166566982e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.755648210494172e-05,0.0001891258200912762,4.1295764873727075e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010708853075600683,0.0002549185859735542,0.00040274864119110854,0.0002956601104351017,0.00014783005521755085,0.0
ACN,0.0,0.0,0.0,0.0,0.0,4.631948817257828e-05,0.00022668261645418172,0.00040704574473578517,0.0003306647066516101,0.0003135920586911124,0.0003442053278588271,0.00016384219957722712,0.0,0.0,0.00010496742948137155,0.0,0.0,0.0,0.0,5.182181720179632e-05,0.00023218494548339977,0.0004125480737650032,0.0005929112020466067,0.0005153874029414814,0.0003350242746598814,0.00015466114637827794,0.0,0.0,0.0,0.0,0.0,0.0,0.00010186983178360476,0.00028223296006520474,0.0004625960883468082,0.0006421020235678164,0.00046173889528621295,0.0002813757670046095,0.00010101263872300606,0.0,0.0,0.0,0.0,0.0,5.1771394080586675e-05,0.00023213452236219012,0.00041249765064379357,0.000592860778925397,0.0006060126717343482,0.0004256495434527448,0.00024528641517114133,6.492328688953788e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017601883772647847,0.0003563819660080819,0.0005367450942896784,0.0005931305614384763,0.0007734936897200728,0.0009538568180016832,0.0010821787696896207,0.0009018156414080103,0.0007214525131264138,0.0005410893848448103,0.0003607262565632069,0.00018036312828160345,0.0
ADI,0.0,0.00016394466387503054,0.00014566212440982051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.638215577963637e-05,0.0002203268196546669,0.00038427148352969745,0.000548216147404728,0.0007121608112797585,0.0008761054751547891,0.0010400501390298196,0.0012039948029048536,0.0013679394667798842,0.0015318841306549147,0.0016958287945299452,0.00161478431387381,0.0014508396499987794,0.0012868949861237489,0.0011229503222487183,0.0009590056583736878,0.0007950609944986572,0.0006311163306236267,0.00046717166674859617,0.00030322700287356563,0.0001392823389985351,8.22534502455674e-05,0.00024619811412059794,0.0004101427779956285,0.000574087441870659,0.0007380321057456896,0.0009019767696207201,0.001065921433495754,0.001112872113784153,0.0009489274499091226,0.000784982786034092,0.0006210381221590615,0.00045709345828403095,0.0002931487944090004,0.00012920413053396987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.913785461223592e-05,0.00022308251848726646,0.00017972358248450476,1.5778918609474224e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6756039460495455e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011543077275608798,8.110972967989571e-07,0.0,0.0001209206653363798,0.00028486532921141033,0.00037392036932887285,0.0002099757054538423,4.603104157881177e-05,0.0,0.0,0.0001042646101929931,0.00026820927406802364,0.00016394466387503054,0.0
