,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A,344560.6118227208,743194.9280539494,656238.6881566751,122265.1928505248,6380.393050240634,15.11430157127153,0.0,38.31016387401825,15702.107011214594,116637.77878583073,543490.9588543916,732006.5687023161,722574.8132398826,204931.25834979114,16396.58824605465,39.50172272072471,0.0,79.98762197915052,32784.35988996113,243527.5032675097,775082.4515395372,654101.9435751773,664721.3307715078,333962.9322004772,34886.36564421013,84.66346976145635,0.0,135.32754295687263,55466.4179475011,412013.48213857546,1022010.7403345457,633202.9820038623,534219.6682359334,512894.4466940836,61695.76433035778,150.19579345606837,0.0,185.5257703116141,76041.0607574212,564845.2412742759,1292684.8990385816,808525.008475593,418138.7751092518,714468.5926512927,91823.15539061495,223.83593418563234,0.0,206.09949409179245,84473.57003819256,627483.2777745759,1605403.1578227507,1263786.0674040152,375827.65498221695,887058.0019603574,117296.24009202771,286.08711607094295,0.0,185.5257703116141,76041.0607574212,564845.2412742759,1926829.6519284786,1956282.7930494728,409108.6122939579,983518.2342797396,131522.3469554215,320.8533132684868,0.0,135.32754295687263,55466.4179475011,412013.48213857546,2138580.4448353066,2678059.3662408735,473740.55441636447,979574.0028489095,131512.15455270463,320.8533132684868,0.0,79.98762197915052,32784.35988996113,243527.5032675097,2100987.2437827885,3118895.4070405685,510186.7644133109,872447.6114092444,117259.1214870004,286.08711607094295,0.0,38.31016387401825,15702.107011214594,116637.77878583073,1772399.2171482667,3046541.5497737117,477893.0646506689,682523.0614665137,91743.41381970787,223.83593418563234,0.0,14.868250499195733,6094.018839899807,45267.35302830783
AAL,216676.82105055952,396902.67170794867,0.11417895900785052,0.08364676861389386,290768.30302426947,43326.224006108125,0.01246384752128833,0.03589085602616605,124761.85307054677,124761.85307054677,286332.71205780545,464309.42696537776,0.13357019170736242,0.0817037137550043,284013.96885118884,64606.44678335847,0.018585636213584347,0.04647986910761887,161570.80778779206,161570.80778779206,361202.42873868556,519345.9022419726,0.14940280365523595,0.0761411943282445,264677.8530083097,91914.96583310411,0.026441616090297514,0.0574289973791179,199631.57545695637,199631.57545695637,434963.5258834755,555446.2422552028,0.15978796294213837,0.06769908990023164,235331.8839584096,124761.88487878065,0.03589085602616605,0.06769908990023164,235331.91576664348,235331.91576664348,500009.83804167464,568028.0443713894,0.1634074275100086,0.0574289973791179,199631.5645078281,161570.8187369203,0.04647986910761887,0.0761411943282445,264677.90270788793,264677.90270788793,548691.9366202091,555446.2749720236,0.15978796294213837,0.04647986910761887,161570.8187369203,199631.5645078281,0.0574289973791179,0.0817037137550043,284014.03196926636,284014.03196926636,574782.3902287781,519345.9636835886,0.14940280365523595,0.03589085602616605,124761.88487878065,235331.8839584096,0.06769908990023164,0.08364676861389386,290768.3742071906,290768.3742071906,574782.3743961663,464309.509945135,0.13357019170736242,0.026441616090297514,91914.96583310411,264677.8530083097,0.0761411943282445,0.0817037137550043,284014.03196926636,284014.03196926636,548691.8910112053,396902.7672203846,0.11417895900785052,0.018585636213584347,64606.44678335847,284013.96885118884,0.0817037137550043,0.0761411943282445,264677.90270788793,264677.90270788793,500009.7679541006,324393.47904793394,0.09331985340528395,0.01246384752128833,43326.224006108125,290768.30302426947,0.08364676861389386,0.06769908990023164,235331.91576664348,235331.91576664348
AAP,1152.007850258908,256.275141035017,227.26992622271877,20387.486838840676,91645.81781338467,20387.486838840676,224.44855904882272,1554.8129475939268,141229.3696170937,634854.1720781969,4332.842571830261,963.8821826854469,468.1153247316208,41556.75177669575,186805.88403801896,41556.75177669575,457.50381735424145,1438.255171689993,130641.99880804747,587261.8295811277,13944.597161173107,3102.1087255203815,839.3810540515361,73141.95479072373,328787.66844843037,73141.95479072373,805.2295257655994,1138.4378639651723,103408.49175770007,464841.7860865667,38402.069311197454,8542.906827025352,1326.5378630058804,111951.39858472544,503243.85539776407,111951.39858472544,1232.487863485526,771.0779974796627,70039.84606520335,314843.07128725725,90493.80996312575,20131.21169780566,1881.5095554398463,150773.21050585315,677755.6395442535,150773.21050585315,1659.8823635649198,446.89230997686207,40592.86959401031,182473.0414661887,182473.0414661887,40592.86959401031,2448.597567547651,181822.23921110402,817327.2135443855,181822.23921110402,2001.705257570789,221.6271918749266,20131.21169780566,90493.80996312575,314843.07128725725,70039.84606520335,2980.411166649318,200681.8448732508,902104.9008683849,200681.8448732508,2209.333169169656,94.04999952035405,8542.906827025352,38402.069311197454,464841.7860865667,103408.49175770007,3415.3135918955168,206816.98351540015,929683.5721731334,206816.98351540015,2276.8757279303445,34.15152828593669,3102.1087255203815,13944.597161173107,587261.8295811277,130641.99880804747,3647.5883408596483,200681.8448732508,902104.9008683849,200681.8448732508,2209.333169169656,10.611507377379368,963.8821826854469,4332.842571830261,634854.1720781969,141229.3696170937,3556.5182051647157,181822.23921110402,817327.2135443855,181822.23921110402,2001.705257570789,2.8213671738960766,256.275141035017,1152.007850258908
AAPL,1064046.3451862747,37222.70331849711,1.5934924504127834,0.0,0.0,0.0,0.0,0.12461917423284863,2911.003782329693,83213.80929557895,1211753.3830554022,42389.823410145036,1.814695268111561,0.0,0.0,0.0,0.0,0.19611300053892178,4581.042121705421,130953.44217846668,1345676.0980225413,47074.737285730764,2.015254986402365,0.0,0.0,0.0,0.0,0.2905170982864998,6786.2459942422665,193991.29036714009,1462092.4166017792,51147.23855178043,2.189597509733329,0.0,0.0,0.0,0.0,0.40511731810703877,9463.215051428238,270514.99465328245,1556666.5457538979,54455.65154239905,2.3312296496208846,0.0,0.0,0.0,0.0,0.5317821042085595,12422.002683422646,355094.75069807033,1623195.8769327095,56782.9952409608,2.430862515655389,0.0,0.0,0.0,0.0,0.657098423586969,15349.29121621753,438774.0750602605,1653496.730904335,57842.98638024287,2.476240409450412,0.0,0.0,0.0,0.0,0.7643124437884717,17853.724584891537,510365.6827384672,1638905.2564982905,57332.54421270688,2.454388537667184,0.0,0.0,0.0,0.0,0.8368646697528214,19548.48628989239,558812.0565210962,1573082.6662192203,55029.92387977025,2.355814071290956,0.0,0.0,0.0,0.0,0.8625481230967265,20148.43112412552,575962.0497044747,1455064.8363670039,50901.39819406539,2.1790731598312356,0.0,0.0,0.0,0.0,0.8368646697528214,19548.48628989239,558812.0565210962
ABBV,0.0,0.0,0.0,0.0,8963.952695004507,539527.3792785951,8963.952695004507,0.0,0.0,0.0,865.5622346408899,14.380843723404249,0.0,0.0,5995.561424273916,360864.1915686416,5995.561424273916,0.0,0.0,0.0,14453.938240922973,240.14428854637816,0.0,0.0,1793.9930601723672,107977.85386999945,1793.9930601723672,0.0,0.0,0.0,107977.85386999945,1793.9930601723672,0.0,0.0,240.14428854637816,14453.938240922973,254.5251322697824,865.5622346408899,14.380843723404249,0.0,361729.75380328245,6009.9422679973195,0.0,0.0,14.380843723404249,865.5622346408899,254.5251322697824,14468.319084646377,1105.706523187268,14.380843723404249,554861.2605978824,10098.420905638583,879.9430783642943,14.380843723404249,0.0,14.380843723404249,2659.555294813257,108246.75984599264,17127.874379459634,1120.0873669106722,483536.1279681104,22723.781302462008,14694.08252946935,240.14428854637816,0.0,240.14428854637816,20449.499665196887,363138.4732059067,128667.49782374271,16488.075589641718,578613.8923688128,119355.39447479046,109771.84693017183,1793.9930601723672,0.0,1793.9930601723672,116941.80656500396,549110.9268232138,479599.9911938179,115767.40835444574,920841.0705124335,382059.41140074027,366859.75299291546,5995.561424273916,0.0,5995.561424273916,366859.75299291546,381819.26711219386,912382.6936957847,375823.70568792,910221.0857768821,563465.2269366015,548491.3319735996,8963.952695004507,0.0,8963.952695004507,541321.3723387675,131901.32068428237,911149.5166024136,554486.8933978736
ABC,10947.608738056952,480754.1947862894,8702.273024840912,190.09809394751323,43918.225449728634,2409.6055835597713,8.399965210934369,0.0,8.399965210934369,2245.3357132160404,27233.225130947965,462262.7733099162,20329.264053703137,409.370945552969,90851.37847307794,7243.746107104253,25.828223603782117,0.0,25.828223603782117,6903.961077244824,64035.44123924783,408060.10219818016,45434.91877039747,780.0991396638931,164682.58334196376,19216.351738170535,69.58591569354013,0.0,69.58591569354013,18600.522468850373,136053.1322002316,353084.06720123446,92143.30671571389,1317.7564662397417,261578.94689204145,44887.79692089801,164.26987034373113,0.0,164.26987034373113,43909.82548451769,256670.20621438476,330797.4384210402,165844.65596491058,1976.6526848562041,364091.9360871409,92186.37366501021,339.7850298594289,0.0,339.7850298594289,90825.55024947417,427345.4309142077,354811.9994132527,262732.43348793744,2637.1271055395373,444113.0800553951,166272.15309542944,615.829269320162,0.0,615.829269320162,164612.99742627025,626691.9213648589,411361.59480925155,365277.24434316123,3133.3071395283473,474768.14873300644,263187.16074569,977.9714363803129,0.0,977.9714363803129,261414.67702169772,808978.1434282091,466776.9080087798,445225.9923709277,3318.3113383184495,444858.074201611,365411.3067264407,1360.8234155360424,0.0,1360.8234155360424,363752.1510572814,919085.7400302971,485898.2614910148,475588.4892442221,3133.3071395283473,365411.3067264407,444858.074201611,1659.1556691592248,0.0,1659.1556691592248,443497.25078607496,918954.9837170711,450833.38156160177,445164.80642044503,2637.1271055395373,263187.16074569,474768.14873300644,1772.4837239923054,0.0,1772.4837239923054,473790.1772966261
ABMD,36325.08733510963,600950.3258582157,36325.08733510963,8.022522494823873,0.0,0.0,0.0,0.0,0.0,0.0,28534.290845749485,472068.0318906957,28635.357300563082,12.411049435796187,0.004047682628000385,12.21830374521939,202.13560808227828,12.21830374521939,0.00269845508533359,0.0,13830.849446133256,228899.65678118786,15269.126912265716,89.99397269272139,0.05760260142345046,173.87877098808394,2876.5933339991993,173.87877098808394,0.03840173428230031,0.0,4237.900259038887,69205.15516268813,16766.71055935411,764.3502421085971,0.5058229541127961,1526.8732908803852,25260.09072556038,1526.8746401079277,6.4463671753515595,101.06780404113914,2202.6469091081967,16853.64859562061,69199.06521168265,4136.832454997748,2.7407900052136918,8273.327694692753,136871.21873075067,8273.346895559895,88.7665788308511,1438.2966669995997,12720.03933547291,16032.563557705907,228899.82538883924,13830.849446133256,9.16376159603826,27661.66049053223,457625.43479138764,27661.829098183603,769.5458198375514,12630.04536278019,68448.02041481112,32772.02114790946,472068.9454873641,28534.290845749485,18.905692689559476,57068.57899304389,944123.8454776462,57069.492589712296,4149.26764247275,68435.60936537533,228820.73991818863,50155.917580375746,600953.3804454143,36325.08733510963,24.06756748447162,72650.17467021926,1201900.6517164314,72653.22925741793,13846.875290255763,228812.71739569382,472068.22463638627,57068.57899304389,472068.22463638627,28534.289496521946,18.905692689559476,57068.57899304389,944123.8454776462,57074.88089060708,28546.893291648314,472061.9227388231,600953.3804454143,50155.917580375746,228820.73991818863,13830.830245266116,9.16376159603826,27661.66049053223,457625.43479138764,27669.683013027054,36331.19650950699,600950.3258582157
ABT,108240.59081596564,18463.637659414922,91.64285541497621,0.0,91.64285541497621,18998.627962583276,216027.1396338982,650725.3355782824,183947.08108012637,446478.6165801695,156749.97789419725,26738.349940093474,132.7137578626352,0.0,132.7137578626352,27261.81303339075,262214.0955163766,645447.2969115978,194195.25156307715,519919.77723634604,217322.72200669776,37070.82494691599,183.99820844576564,0.0,183.99820844576564,37561.17535115382,316115.4991304376,616720.5350329593,197769.5524559255,579649.7100860433,288458.33831688773,49205.11056314696,244.22580838056194,0.0,244.22580838056194,49644.86205527447,377056.75849992293,569124.8877994929,194306.76361359507,618708.9469715044,366556.8775708202,62527.12885262499,310.34862872933337,0.0,310.34862872933337,62904.690975651625,442625.76697759907,509005.74543279444,184165.78685344072,632261.6979188675,445943.6262770011,76068.88940677884,377.56212302663613,0.0,377.56212302663613,76379.23803550817,508470.7551296261,443149.23007089633,168368.808597831,618579.5441081062,519396.3141430488,88598.42018303515,439.75149212749926,0.0,439.75149212749926,88842.6459914157,568601.4247061957,377547.10890416073,148437.63917901434,579403.5854901861,579159.3596818056,98792.77712373986,490.35040423782635,0.0,490.35040423782635,98976.77533218563,616230.1846287216,316555.2506225651,126159.59553418898,519580.3123514945,618269.1954793768,105464.11762217936,523.4630932972769,0.0,523.4630932972769,105596.83138004199,645007.5454194703,262591.65763940325,103330.7024401696,446076.34003486374,631884.1357958409,107786.54881793253,534.9903031683561,0.0,534.9903031683561,107878.19167334751,650347.7734552558,216337.48826262754,81525.75681520825,366648.5204262352
ACN,646728.8633327648,617157.7568710627,537799.7764879101,479135.9898783994,503862.0823983564,628909.3830712788,812980.5580550748,975541.528983154,1037944.1474395235,964615.3895786915,639415.1101889415,613590.6268836888,543337.2832951079,501627.1279757563,553142.5269602621,713899.7534126359,936468.023974665,1129518.4466277072,1203636.9138272693,1118743.4943614514,615081.3888975888,594091.8617340944,535803.8566670652,514178.8607865553,594559.111740265,791582.3722828901,1052104.9822842127,1274848.1043080043,1360388.6061448532,1264514.2768089562,575714.0563749288,560305.2191144908,515999.2954087038,516230.6145559106,625684.0349633527,857270.4900435449,1152900.6964797818,1402764.2320937505,1498752.7367147307,1393125.846524364,524382.5198312186,514889.10146491206,485555.9511742162,507850.6215316675,644571.7793055109,906695.8450122183,1232278.7240588765,1504930.357601066,1609716.931060892,1496187.6768732003,464844.59883788973,461172.18696725107,446719.4351987633,489702.7816643375,649957.8670017084,936466.3283966195,1284785.5318467703,1574336.8599588329,1685672.073148501,1566624.590817292,401094.6995982249,402752.9001352636,402077.13865350373,462962.09901809605,641399.2387123297,944450.8579823982,1306709.2110624178,1606094.6898383584,1721273.2768811448,1599478.3626963778,336929.6870575583,343109.1234756761,354279.69885224913,429193.2429801038,619334.4416075977,930030.6968457035,1296510.7729538062,1598000.984725647,1714057.472030111,1592480.8586181896,275596.2460102759,285275.3328924496,305795.7841035106,390208.7777498163,585052.2838586424,894176.1969459151,1254998.863308807,1550786.3553350442,1664719.2396527422,1546307.3842043607,219560.91144872823,231624.84239446148,258728.67208704242,347922.9621413052,540570.8079748049,839336.2029718882,1185221.1426051694,1468006.3776669933,1577003.1968827927,1464472.066667967
ADI,579148.7376339835,56947.10234625396,1308.1618673156026,0.06300372617909666,0.0,0.0004513166648298672,9.36353823797828,257.2919476153927,9.36353823797828,0.0004513166648298672,430753.79403535224,183561.3203076368,6127.994307018694,257.5868258757386,9.36353823797828,0.007712026929868117,150.63910442393194,4139.271670517621,150.63910442393194,0.007260710265038249,187700.59197815444,430913.80393872445,15861.863652003496,4158.743602258565,407.93150335598943,9.433802674422415,1307.1487247700138,35917.91014798335,1307.148273453349,0.06300372617909666,93282.31434522488,585012.5151719579,26635.748504382784,36220.20966272039,5446.427204681235,150.99698641045694,6117.893174225992,168107.69029795993,6127.249451753705,257.5868258757386,193288.35004072086,472162.40571811603,58947.58630377697,170989.4565477881,42302.51455107862,1317.5515452166621,15444.32992648176,424378.6234349314,15594.905575862847,4140.016074465944,474097.033248565,395012.7057025744,197246.62552095272,440904.951536441,187842.16197128408,6270.2902764605005,21029.49433724122,577841.6523642562,22336.34047172396,35918.9237418456,768819.3242695297,670996.6373496614,469586.37318415026,645956.2830107794,482633.6111978768,16753.23574642902,15445.073879113417,424378.9110524815,21562.152384954643,168108.43425059158,885382.343716438,1058278.241628626,636030.6367996376,640664.3415894422,767512.4451859903,27148.412272255355,6119.194385638326,168108.43425059158,21562.152384954643,424378.9110524815,782432.8458190692,1045069.8813478008,482426.3880471426,638820.8638843084,870320.1291373452,30889.63522881268,1308.637081349997,35918.9237418456,22336.34047172396,577841.6523642562,481858.97358541953,615356.6832768609,212008.29858311897,647025.5028160242,768285.9145571578,27148.16197008503,151.94757654653125,4140.016074465944,15594.905575862847,424378.6234349314
