,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A,0.0,0.00010482865301045599,0.00010475719516927703,0.0001447212628342895,4.243071783672711e-05,0.0001472593708471831,0.0002520880238576356,0.0003569166768680916,0.0004617453298785476,0.0005665739828890036,0.0006714026358994561,0.0007137656211853027,0.0006089369681748467,0.0005041083151643942,0.0004355578937313767,0.0005403865467418327,0.0006452151997522887,0.0007500438527627412,0.0008548725057731972,0.0009597011587836532,0.0010303834622556532,0.0009255548092451972,0.0008207261562347412,0.0007158975032242852,0.0006110688502138292,0.0005062401972033767,0.0004014115441929207,0.000317218290133911,0.00042204694314436353,0.0005268755961548195,0.0006317042491652755,0.000736532902175728,0.000841361555186184,0.00094619020819664,0.0008492517200383264,0.0007444230670278738,0.0006395944140174178,0.0005347657610069619,0.00042993710799650586,0.00032510845498605334,0.00022027980197559735,0.00011545114896514136,1.0622495954688838e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.395771438423345e-06,0.00010822442444887934,0.00021305307745933533,0.00031788173046978785,0.0004227103834802473,0.0005275390364906998,0.0006323676895011558,0.000628971918062729,0.0005241432650522765,0.0004193146120418205,0.0003144859590313645,0.00020965730602091198,0.00010482865301045599,0.0
AAL,0.0,0.00010625425387512585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011174533177505871,9.451992809772491e-05,0.0,0.0,0.0,0.0,0.0,0.00020267645066434498,0.0001426576213403169,0.0,0.0,0.00015893172134052655,0.00036237388849258423,0.00010812993754040143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017597153782844543,0.00043021548878062477,0.0003496923229911117,9.544837203892542e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5437704433090587e-05,0.00014000690796158594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00021797012199055443,0.0
AAP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.832535740100871e-06,0.00010552063509069315,0.00020320873444128543,0.0003008968337918777,0.00039858493314247,0.0004962730324930623,0.0004489264366301614,0.0003512383372795691,0.0002535502379289803,0.00015586213857838455,5.817403922779574e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3002975270001715e-05,0.000110691074620594,0.00020837917397118627,0.00030606727332177855,0.0004037553726723708,0.0005014434720229596,0.0005991315713735554,0.0006968196707241442,0.0007945077700747399,0.0008921958694253287,0.000879192894155327,0.0007815047948047382,0.0006838166954541425,0.0005861285961035537,0.0004884404967529614,0.0003907523974023691,0.00029306429805177683,0.00019537619870118456,9.768809935059228e-05,0.0
AAPL,0.0,0.00012087577370682029,0.00024175154741364405,0.00036262732112046434,0.00027258741208399315,0.0001517116383771694,0.00013978756738431547,0.0001155097188070553,0.00023638549251387905,0.00035726126622069934,0.00047813703992751963,0.0005990128136343434,0.0005262172922040481,0.0004053415184972278,0.00028446574479040407,0.00016358997108358378,4.271419737676002e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.192162100715105e-05,0.00012087577370682029,0.0
ABBV,0.0,0.00013209544498511,0.00026419088997022,0.00039628633495533,0.0005078107269123333,0.0006399061718974433,0.0007720016168825568,0.0009040970618676668,0.0009441382881968906,0.0008120428432117806,0.0006799473982266706,0.0005478519532415606,0.0004157565082564506,0.0002836610632713406,0.00015156561828623058,1.947017330111711e-05,0.0,6.57915429334438e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.985059301059608e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0283697680992252e-05,0.00015237914266610225,0.00028447458765121225,0.00041657003263632225,0.0005486654776214357,0.0006807609226065457,0.0008128563675916557,0.0009449518125767657,0.0010770472575618757,0.0012091427025469892,0.0013412381475320992,0.0014733335925172092,0.0016054290375023192,0.0017375244824874292,0.0018696199274725392,0.002001715372457649,0.0019182004787103094,0.0017861050337251994,0.0016540095887400894,0.0015219141437549794,0.0013898186987698694,0.0012577232537847594,0.0011256278087996494,0.0009935323638145394,0.0008614369188294259,0.0007293414738443159,0.0005972460288592059,0.0004651505838740959,0.0003330551388889859,0.00020095969390387242,6.886424891876242e-05,0.0,0.0,4.710702959335317e-05,0.00017920247457846317,0.00013209544498511,0.0
ABC,0.0,0.0,3.0023807829075017e-05,0.00015666268088600915,4.137273539196046e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014583089134909827,0.0002983562986959114,0.0004508817060427245,0.0006034071133895341,0.0007559325207363472,0.0007831405170939179,0.0006306151097471083,0.00047808970240029516,0.00032556429505348206,0.00017303888770666895,2.051348035985584e-05,0.0,0.0,0.0,0.0,0.0,7.671050050041955e-05,0.0001188999211246336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4146010875701904e-05,0.00018667141822251154,0.0003391968255693281,0.00021408244290135187,6.155703555453876e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABMD,0.0,0.00010852767813085418,0.000178510868790175,6.998319065932082e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7172707536003176e-05,0.00016570038566685735,0.00027422806379771153,0.0003827557419285657,0.0004912834200594129,0.0005998110981902671,0.0007083387763211213,0.0008168664544519755,0.0009253941325828297,0.0010339218107136838,0.001142449488844531,0.0012509771669753852,0.0013595048451062394,0.0014680325232370936,0.0015765602013679478,0.0015255833665529864,0.0014170556884221391,0.001308528010291285,0.0012000003321604308,0.0010914726540295766,0.0009829449758987224,0.0008744172977678683,0.0007658896196370141,0.0006573619415061668,0.0005488342633753127,0.0004403065852444585,0.0003317789071136043,0.00022325122898275013,0.00011472355085190289,6.195872721048712e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.808095959701804e-05,0.00017660863772787222,0.0002851363158587264,0.0003936639939895806,0.0005021916721204278,0.0005066069689663999,0.0003980792908355457,0.00034084201160103356,0.00040789411375016793,0.00029936643561931375,0.00019083875748845958,8.231107935761234e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT,0.0,8.461693997936955e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.040883534183609e-05,0.0001093774017962533,1.6384607538430518e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.566068181786857e-05,0.00014865347607569135,0.0002416462703335176,0.0003346390645913404,0.00042763185884916316,0.0005206246531069894,0.0005032338973398158,0.000410241103081993,0.00031724830882416677,0.000224255514566344,0.0001312627203085212,3.826992605069496e-05,9.20987057715962e-05,0.000185091500029419,0.00027808429428724524,0.00037107708854506455,0.0002789783827734718,0.00018598558851564556,9.299279425782625e-05,0.0
ACN,0.0,2.300844650075795e-05,4.601689300151937e-05,6.902533950227732e-05,9.203378600303527e-05,0.00011504223250379322,0.00013805067900455464,0.0001610591255053126,0.00018406757200607055,0.00020707601850683197,0.00023008446500758992,0.00025309291150834787,0.0002761013580091058,0.00029910980450986724,0.0003221182510106252,0.00034512669751138314,0.00036813514401214456,0.0003911435905129025,0.00041415203701366046,0.00041089253970469017,0.00038788409320392875,0.0003648756467031708,0.00034186720020241285,0.0003188587537016549,0.0002958503072008935,0.0002728418607001355,0.0002498334141993776,0.00022682496769861615,0.0002038165211978582,0.00018080807469710025,0.0001577996281963423,0.00013479118169558088,0.00011178273519482293,8.877428869406498e-05,6.576584219330356e-05,4.275739569254561e-05,1.9748949191787657e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1115269076943796e-05,3.4123715577705216e-05,5.713216207846317e-05,8.014060857922112e-05,0.00010314905507997907,0.0001261575015807405,0.00014916594808149844,0.0001721743945822564,0.0001951828410830178,0.00021819128758377576,0.00022970862460858915,0.0002067001781078312,0.00018369173160706978,0.00016068328510631183,0.00013767483860555388,0.00011466639210479246,0.0001171035974314727,0.00014011204393223065,0.0001631204904329886,0.00018612893693375002,0.00020913738343450797,0.00023008446500758992,0.0002070760185068285,0.00018406757200607055,0.0001610591255053126,0.00013805067900455464,0.00011504223250379322,9.203378600303527e-05,6.902533950227732e-05,4.60168930015159e-05,2.300844650075795e-05,0.0
ADI,0.0,0.00012195358673731602,0.00024390717347462856,0.0003658607602119446,0.0004878143469492606,0.0006097679336865731,0.0007317215204238892,0.0007185166080792733,0.0005965630213419608,0.0004746094346046448,0.00035265584786732876,0.0002307022611300162,0.0003026314079761505,0.00042458499471346653,0.0005465385814507791,0.0006684921681880951,0.0007904457549254111,0.0009123993416627237,0.0010343529284000397,0.0011563065151373557,0.0012782601018746682,0.0014002136886119843,0.0015221672753493003,0.0016441208620866128,0.0017660744488239288,0.0016555612285931894,0.0015336076418558768,0.0014116540551185608,0.0012897004683812448,0.0011677468816439322,0.0010457932949066162,0.0009238397081693002,0.0008018861214319876,0.0006799325346946716,0.0005579789479573556,0.0004360253612200396,0.00031407177448272705,0.00019211818774541103,7.016460100809502e-05,0.00012004561722278595,0.00024199920396010197,0.000363952790697418,0.00048590637743473053,0.0006078599641720465,0.0005318081627289431,0.00040985457599163055,0.0003369307766358069,0.00045888436337312294,0.0003808215260505676,0.0002588679393132516,0.0001369143525759356,1.4960765838623047e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.670652707420119e-06,0.00012562423944473267,0.0002475778261820487,0.0003695314129193647,0.0004914849996566772,0.0006134385863939933,0.0007353921731313093,0.0007399115711450577,0.0006179579844077417,0.0004960043976704256,0.0003740508109331131,0.0002520972241957971,0.00013014363745848107,8.190050721168518e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45410497983528e-06,0.00012340769171714783,0.0002439071734746251,0.00012195358673731255,0.0
