,0,1,2
A,42.559982,-9.623805,20.143547
AAL,-102.91647,-86.868904,-21.228195
AAP,-23.796516,10.622879,5.4269357
AAPL,110.56832,2.7590172,-41.044514
ABBV,43.622265,98.38868,100.604
ABC,43.529316,101.19138,13.227908
ABMD,101.24755,29.261398,85.26531
ABT,51.776104,22.532894,69.72667
ACN,32.31948,-22.110664,45.724804
ADI,81.03322,-46.12472,-59.673702
ADM,-39.619972,42.4259,-28.372715
ADP,26.751898,-44.914673,46.832317
ADSK,146.46422,-18.514149,14.527918
AEE,-63.354492,34.744698,72.770584
AEP,-53.58588,23.688229,88.537735
AES,-89.236145,-25.464685,107.88395
AFL,-43.890358,-4.4641643,42.096962
AIG,-18.536278,35.96939,-54.55938
AIZ,-3.6405134,-11.051202,14.3674345
AJG,-59.71887,31.048698,16.010849
AKAM,30.823023,-36.973526,21.722185
ALB,-28.47918,-69.14056,-126.987
ALGN,64.41368,-11.813378,-1.0579994
ALK,-96.10361,-88.40857,9.893603
ALL,-31.126305,-49.862263,25.16811
ALLE,50.61181,56.36354,-60.959103
AMAT,93.50252,-76.81239,-39.825317
AMCR,-88.53059,-66.265785,42.51908
AMD,117.68731,-32.97575,-29.083866
AME,22.886421,-50.16808,91.36644
AMGN,47.048435,76.97707,76.30031
AMP,-27.04334,-2.6903002,-100.69756
AMT,-18.53719,79.38256,69.87446
AMZN,96.60372,-37.98216,4.568801
ANET,18.11487,-122.76967,19.613232
ANSS,-124.74787,9.788974,42.378544
ANTM,64.77424,-32.10129,-9.437567
AON,-8.824157,-31.800873,35.653694
AOS,1.4603702,-92.62377,-24.774284
APA,-23.558065,68.163445,-120.86849
APD,89.702126,63.33213,3.505661
APH,83.15789,1.0826206,-46.635593
APTV,17.094042,-96.8459,-107.90636
ARE,-19.11346,65.95253,10.071692
ATO,-40.65373,3.3827264,90.58799
ATVI,128.54593,-53.43342,13.32345
AVB,-27.707924,82.95311,21.8985
AVGO,93.59989,11.278228,-66.620415
AVY,12.839454,56.30056,-39.10626
AWK,-51.322674,54.32466,80.64342
AXP,10.53415,-29.8819,0.36006054
AZO,-24.895756,32.56489,9.296266
BA,132.69647,35.004578,-41.95224
BAC,-44.581318,-36.43024,-59.045532
