,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A,6.5145817,5.6053386,8.44863,6.3539786,7.750796,5.0693917,6.6694646,6.839114,7.313691,6.826795,5.9883623,6.318228,8.789626,5.4611526,4.1767898,7.406663,4.400334,5.58889,4.034829,4.966792,6.090967,4.8800545,4.319758,3.2189863,5.038666,3.41187,4.5119653,5.5571384,5.3450365,3.9565022,3.442399,4.090527,5.066736,5.0445943,5.3858175,6.4310927,6.02648,6.0554876,3.9130197,5.1110067,4.3727593,4.212704,5.746559,4.587065,5.626532,5.9596276,5.21756,5.9916277,4.8776345,4.7527556,4.7719417,5.2050147,3.9165368,5.989363,4.2299166,5.1981244,6.1581492,6.675676,5.302357,5.9814577,5.658767,3.8322675,5.4795833,6.2040353,3.8083005,4.467647,5.8626475,5.3611717,5.630837,4.892773,5.3056827,5.186793,3.645032,4.870051,5.7720127,5.9618316,5.1387672,4.3536587,6.003905,5.115158,5.453502,5.60594,4.5295057,4.472251,3.892312,3.8849726,5.622806,5.038156,5.7788677,4.5338635,3.845247,5.139215,4.3876834,4.5806623,6.379488,5.6995,5.320558,7.177815,4.800115,3.7811816
AAL,7.161618,5.32167,8.232452,6.448722,7.424749,5.534319,6.852036,6.893167,7.2012916,6.6740255,5.969548,6.4796414,7.9187427,5.007856,3.7431188,8.034702,4.529134,5.6871543,4.18348,5.2175555,6.50448,5.6149817,4.4635973,3.6943693,5.169215,3.59359,4.653221,5.415496,5.0010414,3.5069878,4.0277696,3.9292724,5.6974764,5.759931,5.455831,6.3501263,5.6467843,5.837609,3.7295527,4.76673,4.8370533,4.8092675,6.06206,4.625002,5.879591,5.5277414,4.7921615,6.333834,5.2554398,4.9167275,5.2122455,4.828229,4.026372,5.7580853,4.0860944,5.336174,6.549898,6.642691,5.131713,5.9740953,5.5221095,3.8381016,5.0711246,5.8814454,3.38166,4.470671,5.934676,5.8209023,5.994529,4.890504,4.9786196,5.137935,3.283411,5.3478293,6.27526,6.0015745,4.9421535,4.235804,6.186013,5.45771,5.4550414,5.2295566,5.0456185,4.1954427,4.4151754,4.134961,5.628097,5.1628857,5.4520383,4.950436,4.416355,4.9679966,4.3429847,4.5441737,6.319563,5.728278,5.9283648,6.67496,4.7530117,3.7948277
AAP,6.871577,5.5080853,7.9769297,6.2457056,7.6117663,5.386596,6.713884,6.9367166,7.022423,6.713278,6.152049,6.583652,8.190179,5.0827904,3.9717999,7.746036,4.447271,5.624059,4.164438,5.1378994,6.42049,5.3589315,4.340792,3.4832168,5.082199,3.2383502,4.651388,5.242695,5.169288,3.1938229,3.9570992,3.8498197,5.35518,5.4879575,5.527536,6.3235607,5.677532,5.9274373,3.8581502,4.6350245,4.5177836,4.589093,5.892817,4.519758,5.888237,5.855415,5.118986,6.177455,4.9818354,4.889718,5.0728326,4.8860154,3.983186,5.683836,4.2492495,5.3123264,6.4899893,6.5812035,5.1357193,6.158555,5.4232693,3.9119048,5.1626954,6.118594,3.5335436,4.3682847,5.899027,5.642103,5.7681923,5.1322994,5.0548134,4.9805675,3.4239216,5.306329,6.2873077,5.907705,5.00415,4.3050437,6.011829,5.130002,5.54238,5.624211,4.995257,4.4275603,4.271032,4.0847454,5.5943737,4.9320354,5.5360947,4.6894884,4.10673,4.9956646,4.4493947,4.748496,6.623661,5.79914,5.5598717,6.7438803,4.8036075,3.75954
AAPL,6.789713,5.6074076,8.53336,6.4649715,7.762252,5.0371737,6.9268494,6.8620443,7.4470415,6.851809,6.030175,6.256893,8.619978,5.3003917,4.122926,7.7452703,4.530341,5.755631,4.1859326,4.871888,6.218984,5.1336703,4.152159,3.5831993,5.1240053,3.48542,4.4442782,5.592941,5.052488,3.7638273,3.5012732,3.9602256,5.2133646,5.236902,5.5803823,6.4018707,5.843322,6.071273,3.9219368,5.0482697,4.503523,4.510118,6.098491,4.7802567,5.862659,5.988648,5.1133547,6.361511,4.831261,4.679182,4.9652476,5.243812,4.0785394,6.010735,4.105743,5.2234993,6.2085977,6.811,5.162843,5.8379893,5.872945,3.8936749,5.4805264,5.9904423,3.7546,4.5627093,5.9292555,5.4187183,5.8122206,4.780095,5.2370105,5.2673836,3.5423174,4.9494376,5.869525,6.17039,4.965029,4.196054,5.963031,5.1560698,5.565409,5.3767853,4.6163635,4.2183533,4.240881,4.049011,5.6614656,5.017303,5.7060485,4.6954255,3.8839815,5.2110386,4.5304375,4.24004,6.271163,5.770893,5.785014,6.958538,4.7897277,3.654381
ABBV,6.639291,5.577715,8.020375,6.2236137,7.6570582,5.2751603,6.667247,6.8609676,6.9975195,6.7191544,6.0811853,6.348874,8.566164,5.1642566,4.0214453,7.473198,4.5350037,5.5634437,4.1695075,5.1680036,6.2097073,5.3611393,4.379132,3.1780117,5.148692,3.3541002,4.6279006,5.4011497,5.350092,3.6995268,3.6947186,3.934402,5.2107773,5.232237,5.174125,6.429572,5.853168,5.884496,3.7481344,4.7649603,4.5917945,4.3609686,5.748456,4.351335,5.6959906,5.819674,5.1703978,5.9227753,5.1687202,4.912495,4.9136314,4.9579387,3.8433967,5.7433887,4.168427,5.300368,6.3738146,6.580255,5.178385,6.170124,5.3268523,3.8747797,5.3527007,6.197198,3.5819042,4.4177666,5.821729,5.4567227,5.677064,5.113961,5.123136,5.0360007,3.508898,5.1887403,6.200788,5.8308053,5.0958724,4.398637,6.1166186,5.147152,5.432814,5.720084,4.8698707,4.5183425,4.084624,4.0411906,5.5891395,4.975453,5.6030664,4.706874,4.0566764,5.0008492,4.2801175,4.9631767,6.40612,5.726386,5.267864,6.987586,4.7203135,3.7975428
ABC,7.1126213,5.525882,8.003226,6.3065324,7.3908353,5.5398498,6.6496744,7.005301,6.9609704,6.7656727,6.057063,6.4933033,8.264678,5.202362,3.8295934,7.790071,4.530747,5.5523295,4.1840672,5.2158413,6.383017,5.5249104,4.557579,3.490717,5.1210318,3.4822931,4.559416,5.2162943,5.156562,3.2482316,3.9392087,3.9614534,5.3775744,5.526764,5.2377057,6.4930673,5.7749205,5.8585234,3.8388312,4.62688,4.682923,4.579006,5.720423,4.3252115,5.8869567,5.6907434,5.0180535,6.0945363,5.293433,4.953129,5.0233755,4.7353306,3.9877343,5.707288,4.2666245,5.3387694,6.594708,6.5057755,5.192143,6.1340547,5.5435314,3.818151,5.0706267,6.0886936,3.4665892,4.498948,5.916321,5.664737,5.8254914,4.934861,5.116016,4.978548,3.2411742,5.307383,6.1807723,5.8875675,4.979325,4.423279,6.0790358,5.1735125,5.551064,5.501749,5.014536,4.4678617,4.3219943,4.0316887,5.572375,5.104521,5.5266027,4.7631273,4.20665,4.974554,4.325998,4.789229,6.5374756,5.7113605,5.446229,6.844956,4.7981715,3.9518056
ABMD,6.4817615,5.6068606,8.378514,6.308791,7.8080683,5.1093755,6.7290125,6.852489,7.3489137,6.8162975,6.0196247,6.3077497,8.847273,5.3742523,4.2054167,7.4017982,4.4866405,5.608985,4.111348,4.943336,6.0466657,4.9409876,4.192501,3.295099,5.077747,3.3368707,4.4879637,5.5247817,5.3052216,3.9054754,3.5175033,4.01946,5.052393,5.007565,5.427623,6.4336,5.9491043,6.0840206,3.9166903,5.0585346,4.4060316,4.2757115,5.8646536,4.600478,5.7362113,6.0518513,5.2332377,6.060177,4.8640857,4.7259946,4.8217525,5.208736,3.966246,5.9609175,4.2066984,5.1780033,6.1808767,6.6814537,5.255055,5.997678,5.633216,3.8710225,5.5007386,6.186826,3.7711778,4.4723234,5.911136,5.3657346,5.65354,4.9316936,5.2669735,5.153961,3.6268036,4.911423,5.8577094,6.0253835,5.075368,4.290885,5.9415793,5.052945,5.519121,5.598471,4.544196,4.4395013,4.0415626,3.922511,5.639773,4.9317183,5.769652,4.577511,3.8149762,5.184127,4.472887,4.585048,6.389738,5.7496796,5.3441377,7.087659,4.79818,3.7028286
ABT,6.5005107,5.6102934,8.271902,6.2695794,7.7388372,5.1793733,6.659291,6.874227,7.238538,6.8036942,6.0290613,6.32885,8.837221,5.3759465,4.160206,7.35003,4.481251,5.5605907,4.10933,5.0129147,6.0426874,5.003936,4.2839265,3.1997647,5.0723667,3.340064,4.5141363,5.4671,5.357528,3.8719718,3.5485232,4.0341625,5.038995,5.013186,5.302379,6.461081,5.975348,6.032631,3.8971863,4.992462,4.4273524,4.23432,5.7552915,4.465846,5.7095137,5.9977098,5.244729,5.947497,4.953635,4.7905087,4.793363,5.123481,3.917192,5.905067,4.236188,5.2026105,6.2312737,6.6092896,5.2791224,6.067113,5.548034,3.8577995,5.4586163,6.234862,3.7312775,4.4596753,5.8843017,5.3794575,5.624712,4.9734354,5.263476,5.1001163,3.5974536,4.957662,5.905114,5.942618,5.1024766,4.361434,5.978154,5.036737,5.4966745,5.6722746,4.6080556,4.521712,4.003295,3.9113965,5.617374,4.9508266,5.753262,4.5758505,3.8590803,5.1319957,4.397097,4.727916,6.426564,5.723813,5.203775,7.113413,4.792074,3.7784219
ACN,6.552403,5.5327735,8.355248,6.323466,7.815334,5.152993,6.803879,6.8408766,7.2715483,6.7733603,6.0208883,6.3654866,8.604854,5.261111,4.105877,7.5727363,4.4862733,5.650363,4.135301,4.9967785,6.23633,5.0970087,4.2386985,3.435713,5.1248655,3.3749998,4.53406,5.5435696,5.2307053,3.7314608,3.586416,3.9670503,5.190429,5.1905875,5.471404,6.3595347,5.847138,6.0470395,3.8601804,4.9690037,4.4860168,4.4252925,5.9687095,4.6822987,5.761926,5.926776,5.1082706,6.1918755,4.9216685,4.7308865,4.940303,5.168588,3.9951024,5.914789,4.1665273,5.1936283,6.250534,6.7193785,5.171564,5.9956703,5.615487,3.8632243,5.4153376,6.099341,3.7103772,4.4760113,5.9332457,5.453534,5.7346034,4.935261,5.1824307,5.152287,3.5566342,5.0005474,5.9448795,6.04426,5.0310287,4.2321835,5.979575,5.1739373,5.4959097,5.5211587,4.6739483,4.342966,4.1301546,4.0145698,5.648636,4.937437,5.696678,4.6653166,3.9395385,5.153507,4.4847417,4.544957,6.3573713,5.755519,5.572951,6.957558,4.7914295,3.6732104
ADI,7.155571,5.551569,8.748538,6.656949,7.6449556,4.9847302,7.0525794,6.8276563,7.52645,6.8693976,6.032474,6.2814794,8.374372,5.283101,3.9992502,8.089377,4.493682,5.887992,4.167924,4.819698,6.496789,5.2780848,4.2183824,3.8307533,5.073981,3.6582692,4.4597926,5.6444464,4.781136,3.6550806,3.5056882,3.9156315,5.4395623,5.536245,5.7777057,6.3755774,5.727731,6.0105014,3.8898308,5.0713778,4.608094,4.7483664,6.2293687,5.019628,5.870102,5.845334,5.015011,6.5736976,4.743335,4.70993,5.122013,5.2602754,4.130557,6.084407,3.9758632,5.3663087,6.28097,6.9481506,5.140104,5.678285,6.1317024,3.91368,5.420883,5.781892,3.7807317,4.591219,5.8790283,5.5147996,5.981981,4.630638,5.234156,5.378458,3.5045872,4.9931946,5.8645,6.269329,4.8974733,4.1974587,6.0386577,5.3507724,5.5220737,5.1657887,4.674808,4.0371814,4.3340855,4.1130204,5.7153807,5.2484503,5.6063733,4.7369547,4.0692425,5.17384,4.517335,3.7964087,6.17166,5.7822223,6.2027664,6.893357,4.799469,3.6302536
