,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A,-0.4840059885626923,-0.630709267888392,-0.7006051508055938,-0.5452215366331438,-0.5572440835175814,1.7824029373441828,-0.5016842816676483,-0.4096945369111974,-0.3425934818251759,-0.3944669571059696,-0.5665015181124763,-0.7057599532694697,-0.7576437362978664,-0.5923980321947703,-0.5949724383357291,1.3199405370770456,-0.5488295955481075,-0.45539551819302193,-0.3718360499662745,-0.4777597248525612,-0.6610973872631967,-0.783442473633802,-0.819582480118927,-0.6507236981332042,-0.6350854656671227,0.6655336015107756,-0.5772488155913688,-0.47808289671293197,-0.31323196304856654,-0.5712098935082961,-0.7570632461202625,-0.822316282808891,-0.9022530478145931,-0.7268616981931593,-0.6751655222915438,0.07920255292838815,-0.5891857235277624,-0.50409580622293,0.07247165958215648,-0.6772934879893634,-0.8155650282447082,-0.7479406619160456,-0.9868865843994326,-0.8105562180581248,-0.6675217825899854,-0.1524163833972011,-0.5572699702417695,-0.5421062013258978,0.7965381291296594,-0.8077071657283081,-0.8049893258105995,-0.5764158301643334,-0.9622511038392517,-0.8644182170605956,-0.5658901649162345,-0.24757980257823187,-0.350402335030263,-0.5483169416082835,0.9834482576449112,-0.9676480906372544,-0.7729063817606611,-0.43907330720712895,-0.6478363490729687,-0.7927231585383467,-0.3598239706379976,-0.43320994198039775,0.09258555395457649,-0.3717323568238957,0.3386912641311415,-1.082849861072974,-0.7466352799855978,-0.3352214715421751,-0.00647077269369157,-0.45338861250548024,0.05223361245720809,-0.46492703497053334,0.426681473162288,0.20941147298775914,-0.0994143481175398,-0.7581413476844677,-0.7032571192752419,-0.12670312279904605,0.7392672638091027,0.15644067622892108,0.5182215145929965,-0.32209069185981676,0.48784958282618085,1.0379140616124558,0.13108591896932495,0.387162479461116,-0.7147817042975662,-0.023906182995188117,1.0363325445319125,0.5838719960994997,0.5387016157857117,-0.26560040668150003,0.4679432772450572,1.4446747165917617,0.5051245424462397,1.301491268118456
AAL,-0.4821900970017738,-0.6184767449048646,0.0905029900013084,0.15427474272681885,-0.5262793384911089,0.24423696144023022,-0.5053127204948409,1.0266856868026752,-0.34297352071367665,-0.39446752415153874,-0.5559707407243087,-0.6561410112151365,0.23322061472001826,0.0015362193350605172,-0.4611166640680206,0.1461252116847061,-0.5520896860380987,0.9747474661741861,-0.3807617657505669,-0.47777405704708936,-0.6231059161232351,-0.6545667229243225,0.1728694746951776,-0.16988028894753587,-0.2699262703784903,-0.17831817389021387,-0.5798713876501663,0.3964395391569513,-0.4127796162330716,-0.5713866875975483,-0.6776974540626651,-0.6299938139618153,0.04477396680573465,-0.29918603645533287,-0.019584839832351833,-0.47248866682399043,-0.5965988204656739,-0.1525882810313451,-0.4487569248816259,-0.6779423753030709,-0.744042803258785,-0.6582127083887618,-0.023160583421482885,-0.37438232286027484,0.10008461797778216,-0.6322320946388627,-0.6196549701644568,-0.37286590486004423,-0.48105814986400286,-0.8063798313920406,-0.8584763013128602,-0.8043541275592243,-0.08954677682268192,-0.3988040612534657,-0.025328906010719597,-0.6960243856630614,-0.6607244487240322,-0.30625367863371195,-0.5026946363408664,-0.9449218938197436,-1.021005342808097,-1.0243291893983095,-0.24041770629476242,-0.3592237216233496,-0.26927919207473267,-0.6975370697380863,-0.7116257160087908,-0.09877184226794598,-0.4806134557643539,-1.0130037452015235,-1.1997432078095915,-1.228607080443068,-0.4079294518678195,-0.2585973332145025,-0.4184776146685926,-0.6469268919786778,-0.7542352589226599,0.04197787267949985,-0.3700590845523725,-0.8325833363207158,-1.359103688757401,-1.3661260303038896,-0.4803198640219528,-0.16234278107705796,-0.43091688066227835,-0.5815039134437782,-0.7782092527911304,-0.01628623139756128,-0.1864013703825379,-0.34413433594245607,-1.4262428237666385,-1.3764627627309132,-0.46618312526385836,-0.13924474868962336,-0.393940552357131,-0.5372222945174865,-0.7617916931458831,-0.1929553852513006,-0.015483623642761919,0.09895459771296213
AAP,-0.4722764767595899,-0.5752952388400133,-0.1470373182266983,-0.30410944712894383,0.3875909962659112,-0.5287801862940393,-0.5053127205276812,-0.40969494840678605,-0.3429735207408136,-0.39446752415153874,-0.5097131750672385,-0.539830201586534,-0.1472406239207326,-0.17434400427689142,-0.023750706208820232,-0.5623625327051013,-0.5520896860713068,-0.4554045544357474,-0.3807617657794648,-0.47777405704708936,-0.4959502248301683,-0.4707087029625064,-0.22859924607962195,-0.1445678931231338,-0.30229248891086125,-0.5841039942718678,-0.5787812782986441,-0.47817665156744144,-0.41277961625216886,-0.5713866875975483,-0.4560460255300302,-0.45935386493278557,-0.19542275935919978,-0.20848770030342376,-0.358432895332452,-0.6147478028529765,-0.5841613077775554,-0.5047241851441236,-0.4489842576250862,-0.6782988165440651,-0.44029288161954233,-0.526733618426765,0.03013928695669621,-0.2889592190376159,-0.390698417319866,-0.6387993635879374,-0.5435506133699674,-0.5470552677798985,-0.48357641465303497,-0.8084121802715352,-0.4218674358740569,-0.5539568132261977,0.30668385715781316,-0.36955038712056504,-0.40100186726170844,-0.6159346876559852,-0.3619548243288235,-0.5932646829113497,-0.5200388595016815,-0.9532071915583402,-0.3683828227386236,-0.42490190787645915,0.4354178277858728,-0.39043008889844005,-0.19534613508659468,-0.5389377454839549,0.07002038423782772,-0.6360975062254576,-0.5559322425991069,-1.0134571853600423,-0.34100714372721813,-0.22262607940573712,0.37024845375137816,-0.25500842468161133,0.2135490476474035,-0.44057166619889376,0.641936746561944,-0.6749954854378016,-0.5830226729110043,-0.7144495744093081,-0.44425523716734666,-0.1645604737530539,0.1384676180997591,-0.03274845263365216,0.520926871511947,-0.34073425050712186,1.0037459029348246,-0.6916095373663375,-0.5943549902115817,0.04441278086784147,-0.6688573011461562,-0.3239594515100202,-0.19861742744605584,0.0615655140261774,0.502396331502228,-0.2594259482900306,0.9378456436052922,-0.6737809144911714,-0.5730856769462902,0.643864627874438
AAPL,3.586026716652377,-0.24835893840334888,0.537423636209703,-0.13705429344945225,-0.5566122769205679,-0.4846552341364157,0.49957273953774645,-0.3206682638111525,-0.3429735206914517,-0.2814686328922879,3.0661380370265663,-0.15773202311973109,0.6552403635820206,-0.17978452974798392,-0.5897196398569733,-0.47865500240133135,0.8431670660156062,-0.2658974901207449,-0.3807617656688153,-0.20981199317106072,2.3729665892856926,-0.08480039287783796,0.6782309348308243,-0.24658258413178966,-0.6219020828047394,-0.4506184293459881,1.0834801251517976,-0.140625281990572,-0.4127796160435714,-0.02581905837086196,1.6707939015360558,-0.060913355666261985,0.6025832124819066,-0.32240523007299926,-0.662447792654394,-0.4371936615099786,1.0966076206759283,0.00891087075707543,-0.448984257297199,0.2224940481840839,1.0925911778106854,-0.1025338527110878,0.4498209232599944,-0.3913032813796668,-0.7106636013277425,-0.45463278866022366,0.9402048272565195,0.13472607546922444,-0.4835764200638147,0.43587055341763775,0.6751406001978979,-0.21467292666560261,0.24782550085192492,-0.4584506381790062,-0.7677241783525648,-0.5054381928200745,0.7239165981847341,0.19945616487391193,-0.5200389162071671,0.5216059111844035,0.3848335307520067,-0.38666733983072565,0.017504437558339705,-0.5404747229023668,-0.8364140486472729,-0.5881577858149438,0.5040721852442885,0.18849118844660367,-0.5559325686155284,0.38309699338317205,0.17787331435166986,-0.5918746002469746,-0.22302849768867417,-0.6343700998120703,-0.9080259790717832,-0.6825400756061962,0.3130735500496654,0.1034340429315248,-0.5830237948690522,0.009003768495048442,0.04888947243483631,-0.7558837270879937,-0.41663634573302677,-0.702774193498686,-0.9626488324691903,-0.7562091690964723,0.18382907792357053,-0.00955926174118642,-0.5943574073564467,-0.401221119792166,0.07169429401786416,-0.7334294987400597,-0.4376853399599608,-0.6755905763788967,-0.9424861859374342,-0.7767902959422656,0.1521109183061369,-0.07923801840206236,-0.5730891126542716,-0.5776826460601231
ABBV,0.08299781862380684,0.03739427871578959,-0.6397619078944563,-0.530612254168103,-0.39521827031297196,-0.5287772926788469,-0.5053127205276812,-0.40969494840678605,-0.3429735207408136,-0.39446752415153874,0.30281092775633717,-0.26199651215632763,-0.5752051494612007,-0.5267182485521857,-0.26533233492624325,-0.562348145721534,-0.5520896860713068,-0.4554045544357474,-0.3807617012758096,-0.4754959144247823,0.4553749712052711,-0.4462993939582805,-0.42370629719155006,-0.44369157140254906,-0.18306854852823845,-0.5847996135911269,-0.5798713585868347,-0.47706600459218745,-0.41277905348474075,-0.551508831188261,0.6126693383465626,-0.46619525122166033,-0.25895347274133523,-0.2629726654410823,-0.2656249246421398,-0.6207867747469152,-0.5965985910548148,-0.49659569778383944,-0.4489812105035358,-0.566841921155844,0.9309159367733539,-0.3703208001426661,-0.19179675146397676,-0.05388076321831648,-0.4753048411766844,-0.6712737944163432,-0.6196538310573406,-0.5067285995765047,-0.4835654276927864,-0.3956685355351299,1.4465707094013205,-0.18193268401141535,-0.2898823257531184,0.06341457443549528,-0.6655528319570526,-0.7201272314271742,-0.660720461754137,-0.45763243819583943,-0.520011836972547,0.08632959145922321,1.9771314285628316,0.09454520388146047,-0.5374567782060624,0.062458104300782864,-0.7315851392105762,-0.7484180475089276,-0.7116157282207523,-0.3213897582209069,-0.5558860807464981,0.6965545845824852,2.263275595448065,0.3851307784477509,-0.840775299574349,0.01504056482093595,-0.6687804472643326,-0.7317739790715005,-0.7542171134262423,-0.16525331895912843,-0.5829660495636233,0.8559446210596618,2.1696996784748332,0.5476668597632756,-1.057563560113469,-0.037859280727261885,-0.5538137324235471,-0.6681056054048774,-0.7781843096146415,-0.10270387601571725,-0.5943032333590981,0.31119589203056963,1.7683945404115164,0.5032867312789832,-1.0767181922801672,-0.09768777539931489,-0.44508242505975437,-0.5791319756581544,-0.7617644410521794,-0.15313570169949778,-0.5730486860559592,-0.3062184267753105
ABC,-0.45326539449984227,-0.6179354995907623,-0.627899145921701,-0.5441500541009751,-0.5576469094336631,-0.5286598462800993,1.2161297770722108,-0.4096899832627294,-0.3429735207408136,-0.39446752415153874,-0.4389016514025747,-0.6422687882824688,-0.5598333207306829,-0.5845965271680447,-0.5849201519574739,-0.5607441339337715,0.5076595975713883,-0.4554015450668454,-0.380761765345045,-0.4774878155674243,-0.33814665006166383,-0.5749576822947828,-0.4551684545285523,-0.6148428754182748,-0.5811706995765457,-0.5723258027444313,-0.1965470445519595,-0.4778964852429187,-0.412779609310773,-0.566857092859344,-0.2654405697314408,-0.3663846371254622,-0.3921313193515659,-0.618247024516878,-0.5175999375772133,-0.5612352779901687,-0.5157103972994873,-0.5010194961012854,-0.44898419514639654,-0.6369628644410041,-0.38399655777678765,-0.06906915282547442,-0.34018972050173046,-0.5799605133391148,-0.39711173028280444,-0.4899249483937756,-0.5999434120706711,-0.5171434835096611,-0.48357607853387374,-0.5859019315957841,-0.6163711795433839,0.1570443751526576,-0.2137578704000248,-0.502087260688556,-0.30230352191863114,-0.3634843411842096,-0.6128480487335916,-0.4463249806496195,-0.5200377425368016,-0.22268174370584892,-0.7273064647853174,0.20177871043484893,-0.0775118221574493,-0.411757414674719,-0.3021168827234602,-0.289652365458448,-0.5706091542386836,-0.18920541426251034,-0.5559299756876772,0.38607991682272796,-0.6786117808733169,0.09668470527406654,-0.07639550522851442,-0.40560074698021376,-0.35835608654665857,-0.3405265107559945,-0.4884541844699342,0.17645093092383715,-0.5830199699836567,0.5902723217728515,-0.6564451234741367,-0.06859956818873585,-0.23453619715105833,-0.5555794015092277,-0.4102271231221485,-0.44318961512546323,-0.4506005106030982,0.34677103170228685,-0.5943534980606529,0.026991951605744028,-0.7562063975755356,-0.24495728820724638,-0.4472538039733926,-0.7524673800010889,-0.43552366026721023,-0.49863449076183414,-0.4853133681040053,0.19587850807468515,-0.5730862249725307,-0.566882516699442
ABMD,0.3312399401059984,-0.6307458064676169,-0.027186450948499714,0.3564149409870894,1.0760587508529207,-0.5287852551212558,-0.5053127189658212,-0.40441446549052323,-0.3429735181595818,-0.39446752415153874,0.47189403279797415,-0.7064826768908853,0.21565671133979045,0.40628703072641204,0.9230029783980043,-0.5623652385303919,-0.5520896680630392,-0.395461833169938,-0.38076173444068434,-0.47777405704708936,0.06544603756683454,-0.7905520855332191,0.02314809587184032,0.03838125186586128,0.4479381630653375,-0.5848231987022845,-0.5798712923930817,-0.16564100356379857,-0.4127794396827732,-0.5713866875975483,-0.4558319791420096,-0.8620699354519021,-0.32957522404003253,-0.2607593428064006,0.12269807769238947,-0.6211926617831435,-0.5965433662765408,0.2566713742832312,-0.44898380095975277,-0.6781240260250452,-0.6213934079860203,-0.878431801959278,-0.4931141335484714,-0.3626457517467252,-0.12385059777967466,-0.6740499245405912,-0.6183611772217106,0.33442227312834266,-0.4835758785635832,-0.805896675495351,-0.40390820054512633,-0.8217893532182697,-0.5934261253591525,-0.40327066535008094,-0.46440856911359024,-0.7334780844075951,-0.6460460901110593,-0.10826617721086466,-0.5200386039411392,-0.9144456519179882,-0.13633324987800816,-0.6888808431826197,-0.7619516342373122,-0.48996692274247994,-0.6358779993372934,-0.7892152602386456,-0.6301997300408937,-0.5070438053105885,-0.5559324130432163,-0.7682767574941279,-0.08926376556842468,-0.5097874146055422,-0.8260419099413313,-0.534097247866101,-0.5677631336991152,-0.8029174944337164,-0.5319002042074613,-0.6581986449996509,-0.5830235743666757,-0.10973824542801798,-0.17140430100155524,-0.4017322127241214,-0.6457718363862371,-0.4628655315835695,-0.5173237839048732,-0.7323678163486627,-0.46813491040121996,-0.6905272522670314,-0.5943571171567003,0.35147534030067645,-0.32338559677974044,-0.5046988326874201,-0.4901014911123447,-0.40172458424524227,-0.594997353153398,-0.6264826145360279,-0.5305075088427333,-0.6737541477083693,-0.5730888996825173,-0.04664713987928622
ABT,-0.48398292090035006,-0.6270359231211704,-0.7005898338712366,-0.5452207569499347,-0.5588717003517264,-0.5213188460309229,2.108441610993723,-0.3958194177064779,-0.3420810888362929,-0.3944635746882661,-0.5664209774582623,-0.6799052711112086,-0.7575331781152983,-0.5922359805059177,-0.5916110585012738,-0.5581923155093081,0.9315324320092491,-0.4476041901939095,-0.36487599678983723,-0.4776983997220328,-0.6622333176077619,-0.6931642922309941,-0.8187576226137513,-0.6480391468205009,-0.5928175657343617,-0.5788594856423981,-0.15895869955351594,-0.4756124296649661,-0.26996722158384795,-0.5706344141778671,-0.7732770483912491,-0.6879580346220999,-0.8957546403256512,-0.7031869432772596,-0.4644262926721558,-0.581900738427709,-0.532498146136645,-0.5023382880520343,0.19233565979509615,-0.6746315945596281,-0.9026107125936902,-0.7610224351198213,-0.9449067418002889,-0.6907270454585831,-0.07101457172901798,-0.5064028920444477,-0.5660548841353513,-0.5363093964357974,0.9520858137827038,-0.800956294581782,-1.0468896631363933,-0.9138680620798968,-0.801235717981652,-0.4946638008365631,0.45176965562144566,-0.3177476514297853,-0.4260917662035874,-0.5240536956131417,1.1177668043007123,-0.9532913175338706,-1.177134527306478,-1.0269586703666385,-0.2922351339691073,-0.04901681620516077,0.7163140957669049,-0.046930634115117616,-0.03890571134383943,-0.2945254892119603,0.4623843823920124,-1.0326609927547281,-1.2481125977470606,-0.9865099706030551,0.47928870426993514,0.5389340227000765,0.7982701543372751,0.5032152655835103,0.5528867056891807,0.36077633033326006,0.01578245711035284,-0.6096022214545946,-1.2698974358109623,-0.7317448757400908,1.2183287272561545,0.9702931114299514,1.095846941397966,1.4189283705669726,1.1525209238053664,1.2328418983311935,0.23836871253036285,0.6107853436730946,-1.2740251264154925,-0.4856763024223803,1.4805494107592043,0.9287573668837205,1.3118167605619035,2.0099674355920736,1.4156777901586848,1.6599705832061649,0.6117231208320755,1.5269529382174738
ACN,-0.3486372444940668,-0.3650215048207428,0.33256131187405635,-0.5094133457403243,-0.36761302181916466,-0.21731412781430876,-0.5019847766707546,0.16831812375915,-0.33831076294660156,2.7765348082709824,-0.2975303339216046,-0.256625462183532,0.16222453550120264,-0.5070437720222837,-0.30588339152105815,-0.08012161094604103,-0.5397111408853941,0.5146454825867205,-0.3631213824416196,2.6888490310887705,-0.19219591508928133,-0.10835673084575496,0.05667823490392691,-0.4735655851094883,-0.2599444394007084,0.04625344882676343,-0.5425634292350234,0.8639111005345015,-0.35837121847393427,2.0753729310377245,-0.04466668334094579,0.06060619929948473,0.026060032877608146,-0.4067233026920175,-0.2631670173770078,0.09223611634562923,-0.5074372244139891,1.0620273058711165,-0.31377565588166323,1.0706452588772912,0.11355336145470601,0.22792994607744416,0.067062083161919,-0.3105100461062056,-0.3188528097065233,0.04461478135390704,-0.44424668972139164,1.031620377488047,-0.21354217474367873,0.13355911665302375,0.23631067561880226,0.36003794817230633,0.16067161136798472,-0.21197160214548294,-0.41374078926665403,-0.0732685749335201,-0.36488923264224116,0.7855970773374895,-0.0786083749852071,-0.5468485820909537,0.2806475165739699,0.41783656486878845,0.26191326108161395,-0.14927597517206317,-0.5296285410469359,-0.2255992766993613,-0.2797255514113644,0.4279013684018088,0.043043228943828976,-1.0192843852377083,0.23693614715125735,0.36936762715936683,0.3129706220998226,-0.1412337625725425,-0.6432639589531922,-0.36921497597969766,-0.20438871563143682,0.05783918531691956,0.11362787669568106,-1.3341487097136562,0.147598158091947,0.2386193004617721,0.2981380498343607,-0.1600533061459906,-0.7288823090152151,-0.46609531235046237,-0.14456331953113238,-0.23320774431981248,0.12829671513125465,-1.3992199943686545,0.12815022853049332,0.15644742846903442,0.3120626624486651,-0.12297722899618521,-0.7283426534627288,-0.484717781915768,-0.06949179059953259,-0.39599226383736486,0.13104925042612073,-1.2021446671450169
ADI,0.5251940506057794,-0.6120925286398837,-0.6170172420836151,-0.5442169431095907,0.17406569083648904,-0.5287778210234623,-0.3330501269538647,-0.4096932123810139,-0.3429735207408136,-0.39446752415153874,-0.017153866255390705,-0.6232875743208134,-0.5079752358116663,-0.5849229241633456,0.09804773124575224,-0.562198068874125,-0.026822231934081897,-0.45539934274492827,-0.3807617657794648,-0.47777405704708936,-0.3890185766949776,-0.5546757848105988,-0.31666376296885806,-0.6162581373712636,-0.24065160341685649,-0.5826196826270958,0.39634606995123445,-0.4781671129767765,-0.41277961625216886,-0.5713866875975483,-0.4164827909431301,-0.4232972247577866,-0.18307849668717402,-0.6278705053329269,-0.5551160904043712,-0.6031467893768796,0.5570870527792047,-0.5047126880383487,-0.4488507198770625,-0.6780894390403692,-0.2166177428509998,-0.31089450488508985,-0.20771491652964078,-0.6307386284291453,-0.7227902244398187,-0.5810895696148364,0.37235923322102016,-0.5470453354776278,-0.4816286983813561,-0.8073672534590013,0.04149363417568774,-0.2783972862216823,-0.31930954468775224,-0.6556575347940619,-0.7694789565458541,-0.42735302191995245,0.02210783044170478,-0.5932592532346698,-0.5032377550954471,-0.9459969172489463,0.291220509550585,-0.28717142127746903,-0.3724009685581125,-0.659242624352415,-0.6779165754618337,-0.1323955746557919,-0.35249528602430896,-0.6360985202305641,-0.46901200085557343,-0.9862015061459518,0.5235785012188698,-0.18419611018357565,-0.27795755309337344,-0.538604663492731,-0.44413495440049927,0.13030365298373922,-0.622491691744843,-0.6750023421034015,-0.3045173557315096,-0.6616189924605649,0.6253116811138325,0.09495653188507741,-0.057041652844467765,-0.31199468443702716,-0.22622182124522852,0.16216574455157795,-0.7454158392391167,-0.6916185451439438,-0.01927894352399144,0.09373128325163008,0.474565703259803,0.29200987585409943,0.10765566088630757,-0.14257216442318105,-0.1786567089828495,-0.007708961071650055,-0.7561534701082413,-0.673788372269367,0.23285110382325797,0.6797191485659854
