,0,1,2
A,-78.20295,55.703144,5.0503535
AAL,4.819657,-124.54728,-8.928379
AAP,68.9291,27.8366,-38.49259
AAPL,-23.64689,74.033714,52.748455
ABBV,98.704254,-53.345657,98.150116
ABC,58.779556,-62.20986,98.58708
ABT,5.841246,-10.550335,-145.04108
ACN,36.84374,78.821205,108.14956
ADI,58.011974,-25.038782,-110.42739
ADM,44.072628,39.427105,-111.88044
ADP,-7.269264,26.224058,132.29453
ADSK,-18.535536,76.96224,88.91286
AEE,-83.72985,30.516613,-71.354225
AEP,82.2726,-33.850616,-10.576481
AES,97.34466,-77.225494,-54.764305
AFL,12.984773,-67.12941,-11.169141
AIG,-0.13822573,-51.24101,-64.678925
AIZ,36.452698,8.792298,-91.7471
AJG,-48.562183,-23.824097,90.782196
AKAM,1.7606544,5.2224274,116.83392
ALB,-86.80494,54.745903,-106.99643
ALGN,-37.26973,6.0033617,97.94059
ALK,-14.667841,-95.86471,-1.2558633
ALL,45.359985,7.1658072,-55.182693
ALLE,-46.39568,48.218708,-7.5414305
AMAT,-91.32018,92.72715,13.984588
AMCR,71.30304,67.40945,-81.02107
AMD,-91.2787,83.24824,89.35278
AME,15.11622,-112.193474,35.71625
AMGN,85.66318,-6.0259104,102.71742
AMP,-60.92833,-84.364494,-29.051609
AMT,44.388687,-3.216456,8.343948
AMZN,-4.7369156,112.47054,61.02757
ANET,-67.585236,24.619202,95.125824
ANSS,21.082674,92.38947,136.03917
AON,56.862675,91.46681,-14.133627
AOS,-30.966322,82.95839,-46.704502
APA,-60.99516,-30.692892,-137.48074
APD,22.09384,30.503582,-11.152271
APH,-283.05057,239.66531,150.61722
APTV,-123.58956,-0.93244994,-68.009705
ARE,53.814415,-27.263931,-22.241013
ATO,66.49648,-45.1374,6.912907
ATVI,47.995136,38.08408,137.22842
AVB,41.528873,-38.71383,-41.286514
AVGO,-82.6191,52.02785,64.725204
AVY,39.498283,46.206112,-48.18002
AWK,74.265495,-15.177111,9.635752
AXP,-37.59139,-52.005314,-28.88483
AZO,84.360794,38.482346,-51.316418
BA,-2.5456686,-59.64681,-32.719852
BAC,-50.5882,-66.26523,-47.096134
BAX,106.538864,69.74413,21.23859
BBWI,-97.90841,-36.768375,-17.115374
BBY,-51.730366,1.1854769,30.732187
BDX,89.54456,66.10767,37.262333
BEN,-99.074715,-56.19537,43.217136
BIIB,116.29272,4.982093,90.56931
BIO,45.197083,95.9335,39.200993
BK,-92.10799,-62.425484,2.3659868
BKNG,-6.244462,-17.62968,-3.947416
BKR,-25.851868,0.6419144,-69.06217
BLK,-94.94584,-27.257092,51.247257
BMY,88.39344,-45.65168,70.45659
BR,46.077423,26.911749,58.630215
BRO,42.93203,81.090324,5.866775
BSX,41.767803,27.690746,17.04336
BWA,-131.97838,-6.5324354,-43.841988
BXP,31.427925,-80.35662,-37.57981
C,-67.51056,-59.25298,-55.76716
CAG,134.88881,-10.552335,40.50706
CAH,49.96134,-82.07781,104.5347
CAT,-42.294754,73.865166,-102.94934
CB,55.4078,-7.9426413,-79.008766
CBOE,50.556927,-115.78806,19.24287
CBRE,-56.480373,-121.526955,26.284061
CCI,28.104889,-6.894051,15.851995
CDNS,-56.852654,76.043015,86.88934
CDW,-70.15495,97.302986,-31.673544
CE,-60.95591,6.2458167,-67.26132
CF,25.684435,24.16435,-129.08618
CFG,-43.601852,-81.00001,-79.79252
CHD,101.83824,30.630053,39.26756
CHRW,26.085184,64.480484,-22.853497
CHTR,-24.923147,-60.35655,101.20218
CI,42.940998,-17.192482,45.995285
CINF,76.76212,11.727336,-89.81172
CL,-80.07562,25.691725,-132.54225
CLX,123.224304,34.15547,49.738327
CMA,-44.68758,-97.98706,-96.97024
CMCSA,-26.23667,-78.30197,104.30412
CME,54.368237,-101.11944,41.165833
CMG,-7.1369376,60.935715,29.637873
CMI,-5.5192814,150.79988,26.890669
CMS,-79.38709,46.405666,-54.05941
CNC,69.56271,20.791569,35.056156
CNP,83.434906,-100.72299,-5.4811964
COF,-43.03871,-36.71812,-48.60163
COO,68.122986,63.32023,12.657573
COP,-20.310583,-11.124941,-94.710785
COST,38.745335,-16.220963,93.17379
CPB,145.13528,10.565531,27.448666
CPRT,-57.707397,113.3394,2.4571579
CRL,12.630338,31.750257,58.144287
