,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A,-0.05842565,-0.036902405,0.004300195,-0.054484382,0.04383754,0.029794473,-0.041286692,0.08551256,0.028781552,-0.036867537,-0.06880817,-0.0551933,0.06026365,0.041270383,0.0437634,0.093730286,-0.05028149,-0.02853522,0.083026916,0.007156318,0.038753167,-0.0253318,-0.014948916,0.017114827,0.027437879,0.024023905,-0.048513617,0.08526219,-0.010728056,0.049377844,0.06414972,0.021492787,-0.025998369,-0.053064764,0.0686022,-0.022313219,0.009165697,0.009336922,0.09933831,-0.04814844,-0.02065756,0.004900168,-0.06593712,-0.046154637,0.017499775,0.01683189,0.044706285,0.0017352626,0.049745433,0.06851782,-0.08045924,-0.07235409,0.029351205,-0.038869716,-0.02513095,0.018231899,0.06749139,0.07147313,-0.06259115,0.0312463,-0.07602361,0.029598497,-0.008793538,-0.043818124,-0.08518703,-0.013878534,0.047382217,-0.019536484,0.037091672,0.07335477,-0.055735804,0.03265548,-0.11024889,0.008476858,-0.022528313,-0.030903928,-0.010849977,-0.012919882,0.023951095,0.063735746,-0.052641015,0.007881736,0.025701053,0.016359638,-0.043670945,0.038311787,0.048337303,0.0048684413,0.00649356,-0.03239375,-0.02682391,-0.064822726,-0.017087422,-0.009222407,0.013897329,-0.08984892,0.028574701,0.08560014,-0.022792375,0.0071304077
AAL,-0.007681273,-0.016319014,-0.009686105,-0.041890778,0.04001925,0.07477791,-0.021055669,0.024324475,0.021503288,-0.017298866,-0.07766412,-0.03717996,0.039374318,0.065981984,0.05489724,0.06539952,-0.029477935,-0.08114456,0.031217504,0.019277662,-0.012005673,-0.025903618,-0.0018227752,0.03341031,0.043912776,0.017668001,-0.053601235,0.1263493,-0.02090733,0.036644436,0.048798576,0.056039408,-0.028235314,-0.079224095,0.03592863,-0.050971597,-0.0224852,-0.04227624,0.12905745,0.00234866,0.020309653,-0.051372465,-0.1273359,-0.023662042,0.041652948,0.044454563,0.036752902,0.00035285763,0.068087034,0.10430762,-0.034789786,-0.02299509,0.01310703,-0.052756432,-0.07767374,-0.0062534343,0.08104392,0.055175453,-0.07804343,0.057662897,-0.080101654,0.008796185,-0.03322131,-0.026396893,-0.045966852,-0.020170303,0.04316944,-0.012904782,0.029591532,0.05750167,-0.06951496,0.05695279,-0.118626356,0.00364591,-0.012012462,-0.03389013,-0.072721034,-0.07671915,0.049796436,0.09673675,-0.034746606,0.029818239,-0.0062400894,-0.008367525,-0.007063061,0.0029769817,0.044540063,0.034845266,0.0052322126,-0.056973472,-0.083007514,-0.10309613,-0.0062013157,-0.04391659,0.011721579,-0.12646797,-0.0010248721,0.03974401,0.004835466,-0.0063528456
AAP,-0.040944856,-0.014429633,-0.002682466,-0.055185832,-0.010923894,0.048648067,0.017439308,0.07185017,0.018095404,-0.105268925,-0.077287436,-0.060652055,0.036488734,0.084985025,0.09320868,0.054403566,-0.05926864,-0.03580054,0.057032757,-0.042533346,0.0032548262,-0.052288048,0.009478372,0.0022194535,0.059031095,0.00612175,-0.023325361,0.0843273,0.028783642,0.05415151,0.06924823,0.012521921,-0.025013993,-0.0020035617,0.05513072,-0.023903223,0.007477564,-0.012962594,0.08762064,-0.037796043,-0.04573872,0.0016647591,-0.059714098,-0.0366292,0.040606737,-0.010699201,0.03561897,-0.010445217,0.033709235,0.10124143,-0.05840123,-0.07274759,0.008073154,-0.04459569,-0.055873528,0.031435363,0.033532545,0.017727386,-0.10955854,-0.010377385,-0.068418264,0.011149082,0.010221713,-0.035135627,-0.037896767,-0.08479977,0.030138664,0.046257786,0.039368868,0.002804814,-0.034504257,0.034300208,-0.055751015,0.012426718,0.011439436,-0.05236313,-0.0582953,-0.001850076,0.025135517,0.057831332,-0.050102644,0.027995268,0.011040986,-0.002899101,-0.014292635,0.032060895,0.044696353,0.0016606159,0.010605829,-0.037163585,-0.04891566,-0.02512934,-0.029435806,-0.055703007,0.019681897,-0.09205721,0.0095171835,0.03029099,-0.054768503,-0.016371945
AAPL,-0.095343255,-0.07714757,-0.010803353,-0.06249796,0.039593674,0.03698702,-0.048705235,0.071040235,0.0076918565,-0.03180889,-0.07687574,-0.027860582,0.042587563,0.06561412,0.02510474,0.070884496,-0.053513095,-0.036742724,0.0672979,0.020727538,0.0019107652,-0.03382296,-0.005054975,0.014182612,0.015000107,0.026426867,-0.0094578955,0.082978465,0.020255823,0.06610671,0.070576526,0.015363207,-0.016313436,-0.01541828,0.0745597,-0.047678627,0.0151256425,0.0016308201,0.080768555,0.0010164673,-0.009245932,-0.014162123,-0.07956628,-0.013019461,0.03365477,-0.016313672,0.055072002,-0.010345992,0.061910935,0.10319282,-0.057555974,-0.085473694,-0.02708115,-0.056082785,0.0079583945,0.0126042515,0.025324382,0.040022776,-0.06926383,0.06335835,-0.07808848,0.037540905,-0.0018793195,-0.03526601,-0.060210586,-0.011407062,0.05242957,0.001044387,0.014655165,0.035013795,-0.034393806,0.053321816,-0.099248946,-0.028627262,-0.002785909,-0.033723377,-0.035731107,-0.04050694,0.011182942,0.05856663,-0.055181473,0.015413107,-0.004796941,0.022055851,-0.07347509,0.03319616,0.014640877,-0.0018951923,0.0031900764,-0.03328134,-0.039348993,-0.041956775,-0.047242146,-0.06486179,0.027377214,-0.11175212,0.025011977,0.058394156,-0.026452772,0.010471964
ABBV,-0.008933313,-0.052876122,-0.012812534,-0.05205258,0.02481549,0.058701277,-0.043206066,0.06848091,-0.0059823506,-0.0722477,-0.045228314,-0.046412632,0.041179642,0.033712856,0.03756811,0.092863925,-0.07781388,-0.01909637,0.0468608,0.015917273,0.0060519828,-0.02283835,0.0023574028,0.033004384,0.022415482,-0.024159126,-0.036758274,0.069908366,-0.008909928,0.030373903,0.04135964,0.008644619,-0.010815434,-0.039637983,0.05042061,-0.07058069,-0.010178307,-0.037323866,0.08461191,-0.018922461,-0.0066377074,-0.04548339,-0.09399014,-0.03949453,0.027906138,0.031789735,0.103055395,0.003732903,0.061947916,0.09361651,-0.09683331,-0.08510701,-0.02826107,-0.055421837,-0.014471659,0.016978836,0.035182785,0.060836278,-0.032173365,0.04544159,-0.05780806,0.056476876,0.003850476,-0.06884407,-0.030670602,-0.0413799,0.04432087,0.044398576,0.0033944286,0.05195241,-0.06731467,0.055566393,-0.059203178,-0.021411724,-0.02226957,-0.049175378,-0.009486001,-0.030146165,0.027888037,0.062054016,-0.02442028,0.012783604,0.009085404,-0.011710564,-0.048155885,0.027290575,0.061525587,-0.00445972,-0.005420477,0.020004094,-0.05968995,-0.064117335,-0.036609277,-0.06713258,-0.025908837,-0.056535035,0.037091352,0.06569973,-0.032311633,0.009297327
ABC,-0.027650107,-0.027098658,0.020097923,-0.029747874,-0.02667897,0.02954234,-0.02843004,0.06728199,0.022119775,-0.053778917,-0.04734894,-0.072269976,0.07255132,0.038845353,0.024361499,0.05881147,-0.088100486,-0.02220985,0.06623962,-0.016098175,0.031223621,-0.055151597,-0.00799378,0.012098582,0.033951387,-0.027945437,-0.027396036,0.08096616,-0.028511034,0.02798702,0.050583266,0.02453867,-0.017662626,-0.064863294,0.06541611,-0.037320256,-0.0024526012,-0.016281055,0.07383578,-0.04367636,-0.0041178353,-0.0077927955,-0.10223242,-0.07033215,0.009858421,-0.033826828,0.08090533,0.020473896,0.0527391,0.072406895,-0.063035175,-0.020302556,0.0052563213,-0.021902133,-0.029329896,0.006225827,0.028319176,0.027910156,-0.06042244,0.060293112,-0.06460398,0.06609094,-0.0043128524,-0.060843084,-0.07431728,-0.029277403,0.04201194,0.020181801,0.021461215,0.04450591,-0.08304115,0.02250351,-0.063121416,0.012264243,0.008677115,-0.02303588,-0.07596105,-0.003965957,0.011493166,0.051752202,-0.03771369,-0.03552487,-0.008296621,-0.007966908,-0.064020745,-0.00019014976,0.03623625,0.003956481,-0.008806359,-0.033954322,-0.082690515,-0.05379623,-0.0024624467,-0.035491716,-0.019065509,-0.07905308,0.013728287,0.061022237,-0.005305784,0.044289004
ABMD,-0.096783906,-0.038114846,-0.057200275,-0.06680948,0.03953864,0.07434831,-0.056075685,0.032926593,0.029744737,-0.029484067,-0.05941817,-0.017183196,0.042622544,0.066955626,0.07737399,0.071522675,-0.071666315,-0.027037699,0.0400363,0.0706303,0.05089248,-0.0016953796,0.020349467,0.020841323,0.023580287,0.037086107,-0.0104642315,0.10395755,-0.028685788,0.04995197,0.06172345,0.027989034,0.013631826,-0.061825074,0.07192643,-0.0018280223,-0.0030703777,0.013560125,0.063657455,-0.022973433,0.0040874816,-0.026662191,-0.022894427,-0.031562608,0.03435531,0.0020953906,0.067842394,-0.0025081988,0.037984826,0.084411636,-0.0678834,-0.089069374,-0.064818755,-0.08499117,0.014753916,0.009106426,0.006657577,0.080987275,-0.044916775,0.0021516979,-0.08927053,0.0018407106,-0.018008322,-0.057691008,-0.10432312,-0.048113335,0.028827364,-0.026282132,0.025070574,0.06254919,0.035105545,0.040272966,-0.13061868,-0.002956219,-0.03009329,-0.062033836,0.055963706,0.041771166,0.057185225,0.054348823,-0.06478894,0.039565146,0.037347656,0.0029394347,-0.04721432,0.009164035,-0.0006656647,-0.018973114,-0.026968308,-0.05757263,-0.06387085,-0.07568468,-0.060536202,-0.058151968,0.0074088015,-0.13067126,0.049788225,0.054041162,-0.066273816,0.006670364
ABT,-0.071477056,-0.012254709,0.020354401,-0.043404676,0.039909437,0.064475544,-0.046661098,0.07108825,0.029076397,-0.04430443,-0.057856742,-0.039152686,0.048311535,0.04230617,0.030454885,0.08199743,-0.054065682,-0.034863107,0.05949363,0.013131853,0.018295076,-0.036453974,0.019040637,0.030832548,0.01819991,0.018304428,-0.033907223,0.07800177,0.017539224,0.046584018,0.047647245,0.028965045,-0.02099218,-0.037555162,0.04470004,-0.028939042,-0.0027362667,-0.015704954,0.097054176,-0.008005327,-0.010567617,-0.004942278,-0.054294467,-0.028640885,0.008403307,0.017899245,0.06805882,0.0020993035,0.056463324,0.06882245,-0.05747271,-0.060229026,-0.0011560814,-0.045736324,-0.031967442,0.010664061,0.030021075,0.045306407,-0.049806383,0.028641129,-0.07762103,0.028606627,-0.0030903406,-0.03487374,-0.05061636,-0.033172794,0.06966944,-0.013159003,0.020718645,0.04089786,-0.033702187,0.06478498,-0.094218254,-0.0008694902,-0.0011864128,-0.02454463,-0.005687915,-0.019827537,0.022618067,0.05393117,-0.039877817,-0.0074118935,0.011715284,0.032494232,-0.036442354,0.02772523,0.025057893,-0.018849803,-0.014276574,-0.00935876,-0.041987006,-0.056020483,-0.041223943,-0.04098765,0.0018142313,-0.08739319,0.004981,0.05525627,-0.030567896,0.010131879
ACN,-0.057421047,-0.039961547,0.010284597,-0.04881013,0.010296168,0.054821305,-0.06287142,0.08553262,0.015974268,-0.053118847,-0.051431794,-0.05583682,0.037058156,0.03851194,0.0330515,0.082915634,-0.058330778,-0.03353791,0.047114756,0.01161557,0.03132043,-0.032630436,0.017538968,-0.008177973,0.021659909,0.021615367,-0.028317682,0.094491675,0.0040205307,0.050832666,0.05070605,0.033545386,-0.016536122,-0.026580863,0.054126292,-0.032457657,1.5981379e-05,-0.017536175,0.10114001,-0.016547611,-6.478652e-05,-0.007869596,-0.07171582,-0.050018173,0.02531863,0.0135532655,0.051342078,0.011815861,0.050607294,0.090255275,-0.05718405,-0.084391885,-0.009361709,-0.045245517,-0.0062792785,0.020032447,0.059147492,0.03710255,-0.060359176,0.03239255,-0.08690458,0.031099053,0.005572701,-0.04086924,-0.057810917,-0.043241788,0.046133835,-0.002151018,0.028534234,0.044807956,-0.03990586,0.042225398,-0.08805431,-0.013649878,-0.021348037,-0.031425077,-0.022520574,-0.027553357,0.010798709,0.07239544,-0.06468508,0.026359888,0.01667275,0.035659235,-0.04329379,0.022716679,0.043774486,-0.0033280964,0.020958679,-0.01830348,-0.03557009,-0.059405226,-0.04384227,-0.043233063,-0.0017924327,-0.085172616,0.01541635,0.06657238,-0.030141396,0.0042240126
ADI,-0.077971384,-0.05715605,-0.010736868,-0.04313957,0.040707745,0.060082704,-0.052987933,0.08703056,0.019779079,-0.03468985,-0.06501566,-0.03841594,0.06457953,0.042721674,0.04380888,0.062280234,-0.049705494,-0.055236444,0.032458287,0.03547351,-0.017247088,0.0026555248,-0.014664905,0.02818498,0.04193532,0.036792926,-0.035294887,0.12243172,0.0063888784,0.05720588,0.053430166,0.027256873,-0.013122333,-0.029788688,0.06561021,-0.027204143,-0.009051134,-0.036612283,0.10597457,-0.0030216505,-0.011902146,-0.02158775,-0.0863682,-0.057631403,0.019594712,0.010601528,0.07392396,-0.0042259935,0.03856439,0.08107568,-0.06626139,-0.086830795,-0.0043825693,-0.05759894,-0.015580442,0.01812369,0.048041273,0.023111718,-0.069285914,0.06611243,-0.06771133,0.03619681,-0.029385634,-0.05340254,-0.05168874,-0.043377474,0.08354722,-0.013374496,0.04259,0.03568654,-0.032140728,0.052413985,-0.08225438,0.019599672,-0.026983626,-0.03794771,-0.026939211,-0.020678118,0.046299182,0.09881584,-0.05141813,0.0020071696,0.010613515,-0.002353629,-0.03422413,0.030763457,0.018122308,0.032889735,0.010025053,-0.020005824,-0.019889716,-0.053935964,-0.008390155,-0.04432152,0.0027307607,-0.08560894,0.018626295,0.06425186,-0.01363649,0.0062368987
