,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A,8.752865,9.845369,5.4657526,5.07265,5.760842,4.3967714,5.541556,8.258593,5.1263638,4.441147,6.8637156,6.372752,5.065431,3.839619,5.52497,5.0133634,6.29058,3.2224996,5.55654,5.67685,3.433904,3.770198,4.520705,2.90677,5.5474844,4.766336,6.739076,6.7058334,4.8982067,4.567772,6.8238187,5.4269943,3.6576936,7.331551,2.289896,5.5031657,4.7256165,4.06281,5.806651,4.3132286,4.032387,5.6738796,4.4627123,4.6276317,5.713637,4.7712955,3.4540677,7.09684,4.158757,4.8837056,4.1454234,6.874569,5.260212,3.719098,3.706371,5.440724,5.956956,4.438928,5.7793245,3.6128333,4.486282,5.7274837,5.6140137,4.4712863,4.4237823,3.589748,6.3729496,4.217159,6.1730146,4.497795,4.637683,6.0337353,5.3263392,4.1987276,3.831169,4.021346,6.7594547,5.484208,3.1317186,4.021002,5.8766656,4.4764514,4.933254,4.1222844,3.9240963,5.157512,4.6588554,4.4844756,5.43881,4.3225737,4.238457,4.755416,5.7796135,4.06538,5.00996,4.0013614,3.950784,5.24401,4.410856,4.1290126
AAL,9.512385,7.680807,6.0243306,5.568193,6.047911,4.5819297,4.6447425,7.26663,5.5828757,4.601383,7.1763225,6.775392,4.4700975,3.298359,5.753057,5.298415,6.4730706,3.5550563,5.770832,5.945934,2.9302824,4.044869,4.2193794,3.4561646,5.1330056,4.760931,7.2801003,6.3871765,4.1602697,3.9621403,6.4867306,5.5397797,3.7024677,7.251317,3.1271658,5.572758,5.7108,3.210858,5.668477,5.0848985,3.5707812,5.780212,4.788136,4.02592,5.815487,4.894111,2.803799,7.190445,4.546416,4.8913383,3.2839398,6.497813,4.799941,4.0283675,3.558884,4.662196,5.6582665,3.6950848,5.7582216,3.6904774,4.4523597,6.160461,5.2102404,4.1156774,4.5535097,4.2220454,5.465131,3.889084,6.557519,3.9233685,4.757904,5.7583184,5.037759,5.100334,4.3918,3.7681422,6.7777786,5.213747,3.1346085,4.203766,5.8405027,5.195535,4.353349,3.5599804,3.6240425,4.738958,4.746609,4.966072,5.7362647,4.411238,4.406556,4.954807,6.267587,4.7102766,4.925321,4.2988553,4.248709,5.020057,4.48532,4.14696
AAP,8.332777,9.112876,6.307742,5.0174985,5.8805294,4.5020585,4.9450397,8.166312,5.2642775,4.3456845,6.919127,6.5843186,4.884296,3.5062056,5.734439,5.2826257,6.557883,3.2654746,5.8029194,5.867606,3.195122,3.9229305,4.1691866,3.2269192,5.538374,4.733411,6.9206386,6.9784718,4.483006,4.363164,6.6833487,5.55569,3.5572765,7.4034643,2.4455438,5.4161835,5.0807033,3.4999914,5.849566,4.534448,3.885858,5.628688,4.6358733,4.5699263,5.6602435,4.691779,3.1119838,7.1839447,4.4107313,4.751809,3.7126148,6.5429816,5.064647,3.9260333,3.5458732,5.2912216,5.656368,4.2927585,5.723485,3.6304069,4.514394,5.9184194,5.9068794,4.3418584,4.2348413,3.8677723,6.206813,4.1529994,6.066029,4.3848515,4.5848637,5.9446797,5.2220235,4.696992,3.9822283,3.926931,6.65402,5.453615,3.103672,4.0659747,5.769033,4.721673,4.716129,3.705474,4.0379434,4.8454633,4.692371,4.415991,5.4271183,4.2830005,4.392936,4.91235,6.026334,4.317737,5.1223187,4.119832,4.145978,5.1355166,4.6697574,4.4325476
AAPL,9.36462,9.863897,5.439809,4.980996,6.3510804,4.3156524,5.4948125,7.960605,5.3076425,4.345568,6.85095,6.438239,4.7246017,3.7903216,5.6088057,5.155369,6.544558,3.087177,5.669364,5.7959795,3.361552,3.8730404,4.6849904,2.9630473,5.6695905,4.6896544,6.79925,7.205544,4.6858215,4.309118,6.576652,5.2414675,3.6476889,7.261414,2.4489806,5.56715,4.767897,3.8610914,5.9066114,4.2440333,3.6818032,5.6993628,4.477619,4.3546753,5.757682,4.7954917,3.2053363,7.102205,4.3086123,5.0204306,4.0882373,6.927112,5.0689898,3.8944461,3.707523,5.2805686,6.1315074,4.2282877,6.011112,3.3285456,4.528387,5.852945,5.359334,4.3374925,4.5134997,3.5292766,6.1411467,4.0049915,6.3391895,4.1461196,4.6809344,6.100427,4.9355006,4.2382464,3.9684503,4.150124,6.806426,5.5479255,3.0388029,3.9308214,5.7833333,4.370776,4.7927117,4.086967,3.5845501,5.2755494,4.6446776,4.5532804,5.61325,4.192337,4.262846,4.921353,5.949635,4.1774154,4.781758,4.2353954,4.0014896,5.1015043,4.4785857,4.001043
ABBV,7.9119363,9.381619,6.11884,5.2135377,5.3488955,4.49266,5.07229,8.169462,5.0540853,4.471857,6.917483,6.4515576,5.2219486,3.5444777,5.6123886,5.131899,6.3022738,3.5207965,5.6876965,5.7746406,3.3620381,3.8194118,4.170844,3.1295316,5.4391418,4.8398523,6.8928986,6.4868355,4.7249155,4.599245,6.8310475,5.6099596,3.627385,7.424366,2.3367293,5.3770933,4.993838,3.802884,5.7231927,4.6038437,4.1838927,5.6689215,4.618732,4.767297,5.655604,4.7192607,3.331109,7.138105,4.2390566,4.666777,3.8647158,6.518172,5.2338896,3.6936255,3.5410345,5.5158787,5.5268173,4.4290853,5.591181,3.8796937,4.4875016,5.7738433,5.932113,4.4856744,4.1179686,4.073095,6.401922,4.3592453,5.9809036,4.6585646,4.5741467,5.8653803,5.5304704,4.6464562,3.9078324,3.8424056,6.5678744,5.4325104,3.1932714,4.124294,5.878217,4.750508,4.893151,3.8066583,4.1251745,4.813705,4.692775,4.396068,5.3250566,4.4000764,4.3130107,4.7383175,5.827705,4.211511,5.2977366,3.887461,4.114016,5.2664185,4.6199927,4.4638734
ABC,8.002374,9.1409645,6.0880957,5.199777,5.335303,4.492159,5.0378547,8.192495,5.0672727,4.443566,6.954286,6.554146,5.1491146,3.5357866,5.661739,5.130333,6.236443,3.4712627,5.7176747,5.7671547,3.3011067,3.8527,4.221869,3.197622,5.45243,4.801691,6.9563375,6.3587003,4.6383557,4.5431304,6.8815928,5.680984,3.6562457,7.3868046,2.4229045,5.3845897,5.0651784,3.7388332,5.7434874,4.665028,4.153136,5.65165,4.612512,4.6921415,5.6494384,4.7291646,3.360461,7.130802,4.2453814,4.662034,3.7654738,6.5064125,5.24972,3.771388,3.5308115,5.412717,5.540956,4.389289,5.590911,3.8853087,4.4824204,5.841936,5.9139795,4.5152345,4.1523848,4.0550766,6.338608,4.2422724,6.0405188,4.5786724,4.608888,5.8492465,5.504832,4.6769853,3.9552689,3.8045537,6.671448,5.383253,3.1872215,4.124378,5.876833,4.853001,4.842681,3.7681453,4.1428857,4.8030148,4.719679,4.4576397,5.3507795,4.3971925,4.325996,4.7880683,5.9259424,4.270041,5.2963376,3.9409997,4.0904384,5.232906,4.568176,4.442467
ABT,8.429293,9.644252,5.739124,5.1425505,5.5947165,4.438824,5.3388157,8.197444,5.1082397,4.448338,6.890713,6.407702,5.122834,3.7152293,5.565043,5.066951,6.288419,3.353592,5.6196384,5.7172675,3.401289,3.7940686,4.3763623,3.0012364,5.503185,4.791869,6.8122535,6.591263,4.817555,4.570685,6.8209405,5.505165,3.647861,7.362782,2.320341,5.4488964,4.843067,3.9544072,5.777692,4.4365907,4.0906806,5.6722465,4.523288,4.6767664,5.689954,4.749252,3.4051373,7.109339,4.1821904,4.7953925,4.0276055,6.7201624,5.2527075,3.7122476,3.6422162,5.4612956,5.777344,4.4212646,5.7025805,3.7344606,4.4854536,5.748176,5.7309194,4.479031,4.2859244,3.8016229,6.3672996,4.2715826,6.100325,4.5601683,4.6156754,5.9624696,5.403713,4.3886223,3.8675723,3.9463887,6.686579,5.4593267,3.1560047,4.0584154,5.8767056,4.5897503,4.916085,3.9907806,3.999961,5.021028,4.673645,4.45379,5.3966246,4.353733,4.2669506,4.752299,5.8052382,4.132568,5.12511,3.9559233,4.014517,5.2488337,4.4905767,4.2501025
ACN,9.084809,9.4286175,5.6624203,5.0513115,6.0873857,4.4188013,5.311622,7.995897,5.3536234,4.381993,6.9236884,6.5107017,4.776231,3.72119,5.656609,5.1765933,6.4612665,3.1697915,5.690498,5.7915783,3.27013,3.8689106,4.484344,3.065907,5.553036,4.705736,6.8688145,6.9084277,4.6178904,4.317404,6.645336,5.3718667,3.6310492,7.3105645,2.4960883,5.508133,4.923212,3.7563527,5.8586006,4.4032297,3.7708359,5.6887007,4.532163,4.4134164,5.745439,4.7736144,3.2173436,7.134821,4.3221226,4.9367504,3.9441273,6.796372,5.110125,3.9154353,3.6902516,5.226791,5.966975,4.217889,5.870042,3.5395255,4.4810586,5.8831472,5.480658,4.3322444,4.4052033,3.6547072,6.0856147,4.073599,6.2760353,4.255999,4.6542683,6.0256586,5.072693,4.3766465,3.9853637,4.0217004,6.7801642,5.4722123,3.0831575,3.997013,5.8181376,4.5541496,4.7592154,3.9715092,3.7798991,5.138909,4.6634502,4.571043,5.556205,4.265838,4.2896953,4.906378,5.9692926,4.2555046,4.9124203,4.1726365,3.993564,5.126444,4.4595885,4.0824857
ADI,9.705885,9.705854,5.334863,4.9334674,6.5331903,4.313502,5.5137973,7.842301,5.434247,4.3430963,6.891923,6.492138,4.5455585,3.8164134,5.66265,5.213643,6.582828,2.9848416,5.693863,5.8218946,3.279334,3.902395,4.736606,3.0082276,5.671111,4.636234,6.823894,7.2945642,4.5990005,4.1859956,6.4874344,5.164861,3.6276035,7.2330275,2.5652032,5.6103187,4.8123813,3.7708414,5.9331603,4.25174,3.528645,5.714783,4.493514,4.214864,5.8072376,4.811983,3.1119208,7.1237397,4.3687963,5.1106806,4.0552826,6.961095,5.0109415,3.999053,3.7518487,5.1319375,6.2266564,4.0994945,6.0871167,3.271447,4.496519,5.9383483,5.202626,4.255412,4.5665026,3.452611,5.9702587,3.917529,6.4361696,4.0061574,4.7020783,6.135018,4.770683,4.2123294,4.0328183,4.1861663,6.8645506,5.546984,3.0150304,3.907171,5.78107,4.3758574,4.7018433,4.085875,3.490175,5.3529496,4.633638,4.6413918,5.697962,4.1649623,4.2742286,4.9836264,6.0390177,4.246879,4.671133,4.349677,3.97698,5.0369287,4.4145303,3.8818464
ADM,8.515051,8.336356,6.165382,5.0789104,5.649569,4.5286217,4.832724,7.9379444,5.314967,4.4021807,7.153589,6.84922,4.688977,3.4431202,5.8824196,5.346185,6.265506,3.2259538,5.8707476,5.8734035,3.0214477,3.9878874,4.277657,3.5054035,5.3912587,4.621065,7.1941843,6.5947022,4.185201,4.2086577,6.763612,5.6893954,3.629005,7.248387,2.8261986,5.413456,5.3789754,3.3246582,5.7750263,4.889912,3.7824047,5.6598864,4.6728435,4.3528223,5.7563643,4.730482,3.1143332,7.1424904,4.4228415,4.7940054,3.3850098,6.417968,5.1194353,4.112243,3.5859358,4.962904,5.6129646,4.030347,5.671368,3.9085948,4.35988,6.1694584,5.728935,4.4156046,4.1777043,4.0525265,5.732762,3.965959,6.2326827,4.3103194,4.7265263,5.8327694,5.102211,4.848523,4.1960883,3.8187873,6.9011536,5.2909126,3.1685731,4.082961,5.887635,5.168083,4.591691,3.6073134,3.9819224,4.8721385,4.7458205,4.69566,5.542258,4.3856454,4.3921747,5.001462,6.270964,4.5639734,5.1584516,4.19225,4.0939355,5.0226355,4.4256873,4.2517285
