,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A,7622.890272035819,4389.159511272922,293417.8089008582,12052.407322622363,533335.6811652532,15397.2794720175,6821.5661436499395,460250.06719606835,12672.08023273418,408893.9872497805,20629.677194377076,6262.435219860871,408893.9872497805,13236.796689509518,499283.2367147656,27904.818406170114,9166.32401575232,608063.9447758782,16140.685485400967,498982.4569726212,48889.48860578144,7987.947701097976,498982.4569726212,13236.796689509518,409606.79373908543,54851.14408349791,11476.219297223532,738233.6661176806,18537.802007900274,533224.5397766209,101458.59753122118,9253.650873164333,533224.5397766209,12052.407322622363,294897.0705740409,105736.61565386187,13745.227496921309,841289.7544792609,19541.107035531695,498982.4569726212,184379.4491466826,9963.385077585557,498982.4569726212,9963.385077585557,187067.69301247512,187067.69301247512,16090.816494408135,919246.5720307821,19364.22810633209,408893.9872497805,293417.8089008582,10239.673600357162,408893.9872497805,7440.917150899132,105736.61565386187,294897.0705740409,18519.421322866918,976779.715020162,18519.421322866918,293417.8089008582,408893.9872497805,10239.673600357162,293417.8089008582,4990.82461194562,54851.14408349791,409606.79373908543,20702.30666613136,1011021.7978241617,17428.895054207405,184379.4491466826,498982.4569726212,9963.385077585557,184379.4491466826,2989.0236079369115,27904.818406170114,499283.2367147656,21991.199574485207,1009335.0417536229,16195.320035874822,101458.59753122118,533224.5397766209,9253.650873164333,101458.59753122118,1590.4030618148922,15397.2794720175,533335.6811652532,21723.992378796134,956765.932828183,14662.409668119395,48889.48860578144,498982.4569726212,7987.947701097976,48889.48860578144,748.76927730122,9741.732552299447,499018.4197606175,19628.32827655979,847272.0258718563,12653.966806911145,20629.677194377076
AAL,14249.326359680179,1072.4903732741016,26042.953334509613,534.0427973308578,267.0213986651499,4.4538359245601615e-09,201233.84309481762,4.4479338680057615e-09,2.3705586401509753e-11,1072.4903732732112,36634.648810547595,3657.6308836442386,54371.85081526568,2144.980746547648,1072.4903732732585,4.122327804502669e-09,185430.252521289,4.098622218101159e-09,8.084574658920814e-11,3657.6308836422268,80414.80414977537,10591.695476041836,96386.70573948868,7315.2617672866645,3657.630883642388,3.2876806020970655e-09,145083.92464782583,3.206834855507857e-09,2.341115207210678e-10,10591.695476037929,150758.5565547544,26042.953334516118,145083.92464782685,21183.3909520793,10591.695476038396,2.3645766864743727e-09,96386.70573948829,2.130465165753305e-09,5.756354516614699e-10,26042.95333450958,241470.6303873153,54371.85081527499,185430.25252129135,52085.90666902384,26042.95333451073,1.777433285405691e-09,54371.850815265556,1.201797833744221e-09,1.201797833744221e-09,54371.850815265556,330514.17716911697,96386.70573950003,201233.84309482214,108743.70163053677,54371.85081526796,1.777433285405691e-09,26042.95333450958,5.756354516614699e-10,2.130465165753305e-09,96386.70573948829,386664.09561610984,145083.9246478385,185430.25252129647,192773.4114789828,96386.70573949254,2.3645766864743727e-09,10591.695476037929,2.341115207210678e-10,3.206834855507857e-09,145083.92464782583,386664.0956161107,185430.25252130075,145083.92464783633,290167.84929565806,145083.92464783223,3.2876806020970655e-09,3657.6308836422268,8.084574658920814e-11,4.098622218101159e-09,185430.252521289,330514.17716911924,201233.84309482705,96386.70573950093,370860.5050425843,185430.2525212972,4.122327804502669e-09,1072.4903732732112,2.3705586401509753e-11,4.4479338680057615e-09,201233.84309481762,241470.6303873182,185430.25252129554,54371.85081527855,402467.68618964084,201233.8430948265,4.4538359245601615e-09,267.0213986651381,5.902056554400331e-12,4.098622218101159e-09,185430.252521289
AAP,464949.0894398171,299.6397345845351,576286.059177525,3229.1470277903004,324789.1866301135,93.4655054641945,0.0,0.0,0.0,0.0,523562.92658314965,760.0815213288174,917634.2342133871,17648.370636339107,394965.16057313816,459.0036074566079,0.09938103433237584,0.0,0.0,0.0,611993.0800673966,3811.436349175119,1112474.1850022476,68330.73020892312,325499.4203748279,3063.5061255959477,0.8546420639975529,0.0,0.0,0.0,888345.8643941941,21152.543491955297,1081026.6204876811,181320.20239222315,186606.8274922974,17324.326210716008,4.970034744002806,0.0,0.09938103433237584,345.34452268515975,1499601.555593884,88847.40406929469,898223.384189128,328046.10914260795,102572.08021161312,67946.41591517843,19.544699344075337,0.0,0.8546420639975529,2969.8418580630887,2347537.806642238,266663.35881391464,660952.8826268999,412464.9413362395,153275.10833879618,180654.15897643426,51.97481739075003,0.0,4.970034744002806,17270.642109197262,2898810.001916132,574268.3510521736,413223.7423286636,392928.90229285765,364396.5166543398,324893.13626489503,93.4655054641945,0.0,19.544699344075337,67916.93114634635,2722440.023688485,901199.7933507267,201558.9770753555,361465.12835320004,650139.6172183373,395147.1215493225,113.65908477144814,0.0,51.97481739075003,180610.0995430021,2061296.0251759242,1045150.3539187025,71645.7178276027,392953.0800263812,790126.6580249921,325015.65015759243,93.4655054641945,0.0,93.4655054641945,324788.33198804955,1378636.3126661112,900760.2526682222,17993.71515902427,412422.7336932638,649747.2679130053,180797.0305539305,51.97481739075003,0.0,113.65908477144814,394960.09115735977
AAPL,42404.14432894529,115892.72858181983,42956.36422509606,13349.692863359112,30820.616788354662,11307.465219632068,5978.8673579247625,120659.4087149469,531480.4887312326,745797.7004883627,109305.20875438249,298599.75928670657,111324.9643230211,47777.81003454196,115983.92305526837,42487.9276585513,11583.066998483697,202209.15463939094,719539.707816291,719539.707816291,193453.16729520043,527099.8311195723,198189.3830565644,118966.0383539038,299326.58938138327,109576.21832560498,16809.738565289234,238303.20405452856,745797.7004883627,531480.4887312326,238537.39041092098,638922.8963749734,243259.32409980625,206471.838182514,532482.9365290272,194867.02325813993,18999.627910070798,194892.71149040945,569191.0630508502,308641.8957425172,223660.3167439294,540189.9609968885,210876.16563276513,255687.14848777343,667521.667598058,244224.3357502482,17317.943426676862,109876.17447603437,309836.6410481163,140052.48599249357,225686.8206638706,352316.34387225256,153649.87843362623,251794.73072123778,643263.3470385303,235174.18027247017,13598.051841344182,42580.23860077471,117941.3250155315,48012.78841335342,343045.751345844,267608.9486413525,174348.67778258034,263007.56375653733,599219.5095331765,218508.23508831635,11255.919983099047,11355.102188084016,31062.870531751283,11971.671254421874,543411.0911043612,332880.83358207066,330799.4376821695,345016.5810188121,648031.4562388927,235192.69459588669,11620.605822264077,2128.847256272167,5630.493834273137,2111.9330021941573,648047.1583451655,431356.1047694937,552211.9423087947,437116.73797532363,676802.5912508813,244250.59037404627,11975.047753928318,334.3391191413182,699.3078071334874,255.87865884653334,538453.0900424207,426430.90101187676,655794.0880222413,427795.6873680405,543805.9376845945,194879.8530089563,9544.33977931047,84.44272981755236,59.714634793679444,21.849749865012683
ABBV,13232.150833930085,205689.33119646722,132.54696826380322,289.05393530879843,448541.9114632194,548.0526321861894,401903.43867749395,258.99869687739107,8.441779801590917,13099.603865666284,33010.78145672222,354774.91029907874,228.61403772864236,295.5838663667602,458674.7877215282,587.5671118796982,453087.49357691675,291.983245512938,21.125817361192098,32782.16741899358,71584.69052652406,533878.6672637342,344.0179288599859,288.67855172451345,447959.4067820525,592.7041978928645,471774.39158719446,304.02564616835116,45.90963796721829,71240.67259766409,134891.93226882903,701039.9424172115,451.71544982747037,283.9534148641148,440627.13532543206,593.7577839498202,480741.574201046,309.8043690857055,86.63733029658496,134440.21681900154,220831.17000906318,803335.835875522,517.6023463471482,288.67855172451345,447959.4067820525,618.5416045558466,511867.8079230962,329.8630528313331,141.9767074320574,220313.56766271603,314036.79230939806,803395.9003895179,517.6023463471482,295.5838663667602,458674.7877215282,670.8997483878586,582399.6236010541,375.3158820210984,202.04122142792846,313519.1899630509,387885.83057369164,701202.9793153146,451.71544982747037,289.05393530879843,448541.9114632194,726.6145091076161,678988.3553842442,437.5605737988176,249.67422839954193,387434.11512386415,416103.7619730859,534100.6857437146,344.0179288599859,258.11600820113284,400533.71898953046,749.2111649378597,762061.1014262702,491.09515673672684,267.92811794760627,415759.74404422584,387662.7291615928,355003.45871011715,228.61403772864236,204.9705316320681,318064.7720767483,712.7607682327429,787967.8341133946,507.79023660067475,249.67422839954193,387434.11512386415,313651.73693131475,205882.93063809356,132.54696826380322,142.85939610831562,221683.28735067957,615.75804568799,733824.5161209741,472.8986495796743,202.04122142792846,313519.1899630509
ABC,708.6965211107981,14042.008526751051,349748.16504322726,10.583330781564657,665.9763617048374,665.9789178230376,84.65309417573644,0.003834177300473689,43.42435038591892,36681.20669915849,7060.630281075455,86154.99053432164,272236.71791937214,8.413898448063533,6349.9474885116215,6349.987715450871,1332.1055523211644,42.37683076193138,669.8349810519396,128382.40620600486,43706.928236574815,331464.29528590967,128477.0299297616,4.987870908691049,36682.31455919135,36725.01460512768,12742.957163354607,666.5328596692324,6357.997944846031,272234.30786539655,171522.5641895312,813981.1600077457,38037.7044581585,89.65980049495259,128428.60270723376,129054.45690712254,74032.45899257108,6437.732384994309,36691.96297232117,349748.8491207376,438669.426607182,1318005.9047828142,19089.113868571272,1340.730063971393,272908.52646122745,278600.0607197578,263124.08988121065,38024.94205963434,128391.75630016378,272237.9935423625,763109.2722255285,1507103.5247742545,74074.2680092609,12712.502250078895,356109.5516043528,386457.25377825345,581165.3696839949,141107.67173597735,272242.25455270347,128390.60821319166,967620.1355302872,1382419.4213228542,256851.0556476631,73379.49701046242,308929.63680418406,400650.8360502109,827900.4060300809,345632.0940364971,349759.28696145973,36691.76863841133,1007163.9901448779,1158051.913584768,544510.9616036875,256788.97133589862,256784.62666999982,400648.9234516247,816732.7659650559,606545.4019284009,272252.62599222374,6357.977831376405,981793.2054140676,902815.0486378372,699539.1924003405,544498.688590523,308943.43682736193,386456.59478932066,606548.8508850893,816724.5438443995,128407.07256797414,669.8337029928394,870927.5716551136,620586.6851322046,544508.1005191833,699522.6817578259,356127.0373044967,278605.0646341506,345629.94471763325,827889.4143146996,36706.210588539994,43.42435038591892
ABMD,628524.1943065211,15007.351216599483,0.9601324554931437,58490.677091637815,2608.0527647013414,2609.3085768580568,154612.16736410867,2.0199832110839577,0.0,0.0,672016.2658950543,58499.42280513279,2.784154265452567,154612.3292621393,15001.355593999495,15002.955056490298,277037.2655628544,310.8310683511656,0.0040136715453911636,0.0,586263.3521724693,154619.79271286225,5.639428912973206,277037.82975883613,58495.0266450236,58495.803359430894,336488.5913423758,2611.650690385673,0.038077042030920515,307.21162264927636,490143.46136248915,277043.4691877491,8.015605811074598,336489.8171048336,154925.76106670772,154617.7847706658,277653.7047776925,15002.767122432264,0.23002477161006443,2607.2545302764875,409981.97194571473,336493.14940051566,8.015605811074598,277040.7190968541,279651.559009462,277042.80720680614,159831.02597804743,58492.731138219395,0.9601324554931437,14999.139649387285,294647.0792131474,277040.9150582552,5.639428912973206,154616.7254222485,351493.3489006585,336493.54132331786,88495.33847036219,154613.28939459482,2.784154265452567,58490.64302826734,157528.61943687501,154614.1913609913,2.784154265452567,58495.0266450236,335532.0922328053,277043.1735080478,131987.66459732575,277038.7898912916,5.639428912973206,154612.1333007382,58798.61882197098,58491.41121299325,0.9601324554931437,15003.179615809453,309226.4825460886,154620.24729695302,311837.93727507314,336491.8671377436,8.015605811074598,277037.0655877817,14999.33561078841,14999.33561078841,0.23002477161006443,2611.6381470327456,335528.50685047393,58502.26955009892,554385.726414969,277044.30849285703,8.015605811074598,336487.79310795094,2607.288593646973,2607.288593646973,0.038077042030920515,311.80374415958624,351487.1327324109,15012.524091115967,672977.802160514,154620.92562095658,5.639428912973206,277037.0655877817
ABT,461216.6002242708,214323.47159852763,120587.83454540228,1111.6693929585545,188669.57995824004,679.8807531545543,0.0,0.0,1702.1035253966375,472340.41512721113,473494.52140704886,322637.13426329364,185972.8598640004,1565.9427368524416,249736.50780510122,899.9386390445235,0.0,0.0,1659.2623099479342,460451.8095355628,462107.8946527769,462205.59274410014,272556.63122906676,2108.216818058529,314137.90317276743,1132.0124539990304,0.0,0.0,1537.1005558895808,426551.4428635975,428811.1430089511,629972.52978378,379598.8600618337,2712.9168755340893,375505.9309229752,1353.155369224981,0.0,0.0,1353.155369224981,375505.9309229752,378437.82065506326,816763.9514302838,502404.90534229047,3336.9778339786276,426551.4428635975,1537.1005558895808,0.0,0.0,1132.0124539990304,314137.90317276743,317755.0834499905,1007177.7746305072,631892.986622758,3923.2872179459955,460451.8095355628,1659.2623099479342,0.0,0.0,899.9386390445235,249736.50780510122,253979.91909944077,1181169.5540870423,755255.27314029,4408.414263846599,472340.41512721113,1702.1035253966375,0.0,0.0,679.8807531545543,188669.57995824004,193403.04337996716,1317308.7771276915,857836.349148922,4733.463421727096,460451.8095355628,1659.2623099479342,0.0,0.0,488.10218202974943,135450.27305592634,140470.90120121886,1397050.6610002625,925924.2472164182,4855.62517578545,426551.4428635975,1537.1005558895808,0.0,0.0,333.0020489039591,92409.37679208136,97472.84615282256,1408869.8488896824,949744.2996151636,4757.362420018257,375505.9309229752,1353.155369224981,0.0,0.0,215.89431990200012,59911.52192834716
ACN,636666.2071797374,255991.60675576603,112122.00372811187,295577.6584780425,341617.592972271,407328.4149100094,258890.82391220285,241393.058109984,514675.2353519191,307511.4606483136,624065.4297076412,252737.79859938478,140957.23526192296,389285.40005784854,466115.66966176487,562051.0908584715,357183.1179167179,292693.93229662447,605479.9916656772,385847.3223996792,587713.0086215526,240275.99403227947,171583.52681860334,493084.5010249453,611734.4502603215,745441.5780270965,474183.192495331,343702.5677817424,687296.4309977115,469781.5780584467,531763.5547055168,220110.21456795998,201925.94050341757,600687.4538922071,772214.5450736483,950289.079315201,605613.4226263392,391120.03106283915,753286.8188798919,555049.3798436129,462265.57806322747,194460.6374167835,229448.531321753,703830.1750192002,937579.5635360156,1164393.4012980864,743985.6126078706,431546.31003641634,797745.7282271456,636304.9895712708,386088.10874011775,165862.8882064345,251482.49592797365,793227.9251738599,1094868.769720366,1371333.6761424427,879001.8389185574,461854.4008963763,816932.7684905888,707552.2802797975,309817.56823975046,136760.75665021132,265646.4749284581,859919.5430912715,1229668.030493419,1552327.887647471,998658.835364429,479556.34149081766,809578.3707883211,762784.0182057176,238865.91660227205,109181.34075899141,270269.04065614246,896739.3771552471,1328229.7042361123,1688955.3074979952,1090939.456938889,483110.7224378483,776970.4508453276,796761.8098670293,176944.01028331253,84546.84957950357,264710.0270521428,899584.2846193888,1379765.2343259524,1766219.4381922889,1145779.9685392086,472127.95860630844,722633.8771627661,805812.6532311992,125938.26439545376,63633.15804156587,249495.984701555,868165.9653501541,1378385.827316882,1775253.3827661478,1156873.0416352043,447440.4644810808,651704.9875503151,788480.717493782
ADI,0.00037220720524213855,36.604920496625915,3.394151957682086,333763.11957326793,3.3937797504768437,0.0,0.0,0.0,0.0,0.0,73.2197468343829,974.1964625161609,39.09197990365771,243617.01815331235,2.477153565900728,0.0,0.0,0.0,0.0,0.0,1948.517839219987,12504.414236136046,1085.7114677054726,154816.83583733745,1.5742128901527819,0.0,0.0,0.0,0.0,0.0,25009.55391042715,77408.82393946064,15466.838620182274,243617.17576268106,75.68699455915255,0.0007444144104842771,0.0,0.0,0.0,0.0,154892.38503421017,231151.9934559086,115974.71233059817,333800.9235044402,1951.7848437467728,0.019811682262155458,0.0,0.0,0.00037220720524213855,36.604920496625915,464177.0532297678,333772.6976818036,477796.39975914016,232128.54722495048,25011.127088165413,0.2542948617938004,0.0,0.0,0.009905841131077729,974.1953458945452,690589.0924122948,243635.51511740685,1128547.397983577,89925.84531593976,154817.7390687507,1.5742128901527819,0.0,0.0,0.1271474308969002,12504.383401991035,617043.667785993,154839.52488692306,1615411.3547219892,89933.92166858658,462226.1830121042,4.700012270007655,0.0,0.0,0.7871064450763909,77408.41240743735,617044.5707266688,243639.21301729474,1565765.3455959235,232109.51848385675,665580.208366723,6.767747818691532,0.0,0.0,2.3500061350038277,231112.6343791141,690590.0090384794,333781.7478366682,1141426.8814840312,332841.8353808599,462228.6530043448,4.700012270007655,0.0,0.0,3.383873909345766,332788.92422737344
