,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A,139,139,139,139,139,137,137,134,132,126,119,115,104,89,80,70,68,65,63,55,53,49,46,45,41,38,35,34,34,34,33,30,29,29,26,26,23,21,20,17,16,16,14,12,12,12,10,10,10,9,8,8,8,8,8,7,6,6,6,6,6,6,4,4,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0
AAL,139,139,139,139,138,136,135,125,116,107,95,83,73,61,55,48,43,39,36,33,31,31,29,29,27,23,22,22,20,20,20,17,17,16,16,15,13,11,10,10,10,9,9,8,7,6,6,6,6,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AAP,139,139,139,136,135,132,127,119,99,86,72,61,52,46,39,38,34,30,26,24,23,21,19,18,14,14,13,12,11,10,10,10,10,9,8,7,7,7,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AAPL,139,139,139,139,138,138,136,136,131,126,124,121,117,110,107,101,89,79,69,63,59,57,51,41,41,39,38,33,29,29,27,23,22,21,21,20,19,18,18,16,15,14,14,13,13,12,10,10,10,10,10,10,7,7,7,7,7,7,6,6,5,4,4,4,4,4,4,4,4,4,4,3,3,3,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
ABBV,139,139,139,138,138,134,124,116,106,98,87,77,70,61,58,50,40,31,29,28,26,21,18,17,15,13,10,8,7,7,7,6,6,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
ABC,139,139,139,139,139,138,138,136,135,135,134,133,130,120,113,105,87,83,77,65,61,53,51,50,45,43,43,40,39,33,30,26,23,22,22,21,20,17,16,14,12,12,10,10,8,8,8,8,8,8,7,7,6,6,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
ABMD,139,139,139,139,137,130,126,121,116,103,98,88,74,66,51,42,35,28,25,21,20,19,18,18,17,14,13,12,12,12,12,11,10,8,8,7,7,6,6,6,5,4,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
ABT,139,139,139,138,138,138,136,135,135,132,125,121,118,110,107,102,90,83,78,71,67,61,51,49,42,41,40,37,35,32,32,29,29,25,25,24,22,22,20,20,19,18,16,15,15,15,15,15,15,14,13,13,13,12,11,11,10,8,7,7,7,6,5,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
ACN,139,139,139,139,136,134,130,118,110,96,84,72,64,61,53,48,46,42,35,35,32,30,25,24,22,20,20,19,19,18,18,17,16,14,13,13,12,12,12,11,11,11,11,11,11,11,11,10,10,10,10,8,7,6,4,4,4,4,4,4,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
ADI,139,139,139,139,138,134,127,122,111,105,93,81,67,51,43,35,31,28,26,22,21,21,17,15,15,15,15,13,13,12,12,10,9,8,7,7,7,7,7,7,7,7,6,5,5,5,5,5,5,5,5,5,5,4,3,3,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
