,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A,0.0,0.0,385.93590313824114,141436.18499802178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385.93590313824114,32325.79360342273,32325.79360342273,385.93590313824114,0.0,0.0,0.0,0.0,0.0,0.0,32711.729506560972,141436.18499802178,385.93590313824114,32325.79360342273,0.0,0.0,0.0,0.0,0.0,771.8718062764823,173761.97860144454,32325.79360342273,385.93590313824114,141436.18499802178,0.0,0.0,0.0,0.0,0.0,66581.26672253666,173761.97860144454,385.93590313824114,32325.79360342273,32325.79360342273,0.0,0.0,0.0,0.0,0.0,446431.01752884843,33097.66540969921,0.0,141436.18499802178,385.93590313824114,0.0,0.0,0.0,0.0,385.93590313824114,936934.9033423122,33869.537215975695,0.0,33483.601312837454,0.0,0.0,0.0,0.0,0.0,32325.79360342273,1163601.3944694097,241115.11713025765,1543.7436125529646,98135.18851968292,0.0,0.0,0.0,0.0,0.0,141436.18499802178,1695090.661342383,682914.9038214473,129303.17441369093,488960.14220091084,0.0,0.0,0.0,0.0,0.0,32325.79360342273,1424351.30193067,1087416.611699559,565744.7399920871,379849.7508063118,0.0,0.0,0.0,0.0,0.0,385.93590313824114
AAL,2.738645355633119,0.0,0.0,91676.3958682073,0.0,6777.618156878133,0.0,0.0,2.738645355633119,0.0,6777.618156878133,5.477290711266238,0.0,6777.618156878133,2.738645355633119,91676.3958682073,0.0,0.0,6777.618156878133,0.0,91681.87315891856,13560.713604467532,0.0,2.738645355633119,6777.618156878133,6777.618156878133,0.0,0.0,91676.3958682073,0.0,20338.331761345664,196910.7666955265,0.0,0.0,91676.3958682073,2.738645355633119,0.0,0.0,6777.618156878133,0.0,196921.721276949,203688.38485240465,0.0,0.0,6777.618156878133,2.738645355633119,0.0,0.0,5.477290711266238,0.0,224032.19390446157,112028.42085633113,0.0,0.0,2.738645355633119,6777.618156878133,0.0,0.0,6777.618156878133,0.0,414154.3878616874,132358.5366816099,0.0,0.0,0.0,91676.3958682073,0.0,0.0,91676.3958682073,0.0,485517.09977674973,492289.24064291664,5.477290711266238,2.738645355633119,0.0,6777.618156878133,2.738645355633119,2.738645355633119,6777.618156878133,2.738645355633119,81342.37246396011,441262.12184384436,13555.236313756266,6777.618156878133,0.0,2.738645355633119,6777.618156878133,6777.618156878133,2.738645355633119,6777.618156878133,641748.4643042292,577182.5410635346,183352.7917364146,91676.3958682073,0.0,0.0,91676.3958682073,91676.3958682073,0.0,91676.3958682073
AAP,0.0,0.014625119677120274,275478.5992341466,0.014625119677120274,0.0,1.746273970393877e-07,3.289279799848305,1.746273970393877e-07,0.0,0.0,0.0,0.004150504295847065,78178.8549276983,3.2934304787715494,3.2892799744757024,9.503944696267151e-05,1786.8727359150134,9.486481956563212e-05,0.0,0.0,3.289279799848305,9.503944696267151e-05,1786.8728309544606,1790.1622056191284,1790.162110928936,3.293525343591115,78178.8549276983,0.004150504295847065,0.0,0.0,1790.1620160641164,6.578655163025764,9.872085467169917,79972.31046893138,79965.73200402188,1786.8916064038062,275478.59932901146,0.014625119677120274,0.0,0.0,79975.59569344099,3590.1963071504147,3586.921747160435,357234.5078793522,353657.4772778774,78182.16713345177,78178.85907837721,3.2934303041441524,1.746273970393877e-07,0.0,359021.37042507174,165301.96911523212,163511.815305661,511802.0642090736,353657.49605315214,277265.49084072496,1790.1768307388052,1790.162110928936,3.289374839295268,1.746273970393877e-07,589980.9419682099,947225.3257975423,867259.6087041077,709111.699187058,79972.3521706836,156357.71419597976,1793.4638420670444,79969.01713331742,1786.8769816333836,3.289374664667871,984580.4745509812,1775434.8895051992,1421777.4251536822,438987.16507937806,5363.945513291559,277265.4765001998,79965.76125391196,355444.3352934587,78178.87389287728,1786.8768864193094,511805.40745205974,1533619.327337658,1179961.8815718612,316292.5254069111,156361.02007744752,78182.17128413069,353657.4812384774,431836.3424899375,275478.62631077913,78178.86955264334,83542.83384173349,1345391.975574901,1265426.2916921317,828229.3454294895,550957.242533731,1786.9207617783409,353657.47312702384,355444.34982371354,78178.88842313214,275478.6033846509
AAPL,0.0,0.0,0.0,192402.01236671416,0.0,0.0,29021.85782212323,0.0,0.0,0.0,0.0,99.6029062063886,99.6029062063886,29021.85782212323,99.6029062063886,99.6029062063886,192402.01236671416,0.0,0.0,0.0,0.0,29221.063634536007,29021.85782212323,298.8087186191658,29021.85782212323,29021.85782212323,29021.85782212323,0.0,0.0,0.0,0.0,250445.72801096065,192601.21817912694,58143.31855045285,192402.01236671416,192402.01236671416,99.6029062063886,0.0,0.0,99.6029062063886,99.6029062063886,413925.485461758,87264.77927878247,413825.8825555516,29021.85782212323,29021.85782212323,99.6029062063886,0.0,0.0,29021.85782212323,29021.85782212323,87264.77927878247,443246.15200250037,250644.93382337337,99.6029062063886,99.6029062063886,29021.85782212323,0.0,0.0,192402.01236671416,192700.82108533333,221623.07600125019,530212.1225626637,87364.38218498888,99.6029062063886,99.6029062063886,192402.01236671416,0.0,0.0,29021.85782212323,116485.84291331848,222121.09053228213,723311.3552728225,414025.0883679644,29021.85782212323,29221.063634536007,29021.85782212323,0.0,0.0,99.6029062063886,693393.0712948418,232274.46548319224,896645.6789559108,279467.5858330839,192402.01236671416,250445.72801096065,99.6029062063886,0.0,0.0,0.0,856673.6229332264,1346913.6894732057,1626580.4811187023,221623.07600125019,29021.85782212323,413825.8825555516,0.0,0.0,0.0,0.0
ABBV,0.00017866308575684332,116.52589424170304,9287.072359028843,9287.54506004718,308379.3068142527,9404.042472083296,0.01459842896535261,116.5116531389092,0.00017866308575684332,0.0,0.014241102793838924,9287.254931401829,128464.79952474873,128464.98227578482,128464.99651688761,137751.8432229089,0.2256530075393993,9403.569592401873,0.014419765879595769,0.0,0.19717080195172143,128581.5730029905,308496.4602143325,308612.78875910916,9288.201405417018,437076.90399227175,0.881462388119913,137751.6464094331,116.722886380569,0.00017866308575684332,0.48729944730222696,317783.0593363538,137985.3824895027,147155.42777106588,233.94767063740557,455651.005987021,1.368583172336383,436843.880864657,9404.23946422216,0.014419765879595769,116.91987851943496,266216.4747737136,156559.61664342688,275853.0822708223,9637.649958203418,413487.97713300615,234.3272351492579,436844.0780354589,137752.3162812534,116.722886380569,9404.253705324954,446131.83450741094,584117.4638662612,773318.4774986062,156561.35407198517,901782.1989261542,18808.733242320537,137752.3449421221,436844.09191923554,9287.72781108325,137752.3166385796,437195.16415042104,1011791.0574625726,960574.4796670518,712350.3802075722,1140138.505523124,275505.0553863163,9521.17358384439,436844.0780354589,128465.25816332737,436844.10616033827,156328.0256813069,1039302.70496483,1247080.0199336584,1310535.0911048024,1030016.8443581796,873689.326768636,9405.120569284109,137752.13353021734,308379.4893866257,436844.2748489348,266334.9025484807,969395.3189618491,1345619.1032091079,1011442.5352314032,712583.072933232,873689.0225775508,128465.94245491354,9403.963576679605,128464.60271127295,137752.59216879596,616876.9236638636,1072413.1121670061,1698340.7458863189,284910.1650578114,455651.8649824274,275504.46405257354,308379.7007985304,116.99877392312567,9287.05811792605
ABC,260310.29127897782,4656.419027068175,7.902348555148404e-06,31.39454088926514,92484.98444850824,0.00015590395508539582,0.0,0.0,0.0,0.0,282079.9777124444,97172.79789725936,31.394556641040055,4656.419011528088,251060.24287243353,0.0004232177262148247,0.0,0.0,0.0,0.0,599167.7062055867,352763.88235247775,4656.419346619667,97110.00882327733,97110.00881553373,62.78893367107934,1.0584439876099589e-07,0.0,0.0,0.0,436030.2126523713,528483.8027239025,97235.58766171994,343576.6220256902,97141.40363153328,9281.442955282952,1.5645930512155318e-05,0.0,0.0,0.0,101797.82263526486,599324.6783177091,362013.931346152,352795.27676085266,255685.2679824399,189751.96545612355,0.00031986902532408156,0.0,0.0,0.0,14000.650508767942,212971.27042287044,713547.9547191464,286705.00326661434,185001.36480646982,617699.1971209126,31.395426254316156,5.292219938049794e-08,0.0,0.0,194282.80692343134,504238.5085891052,1115226.0545800219,599230.4966997199,260341.6881885385,903048.7642687182,4625.025725561124,7.79650415638741e-06,5.292219938049794e-08,31.39438498531005,691652.6933056201,1925727.0456198093,670551.4105295953,440655.2374225838,194251.41487448727,1449364.2601848065,92484.98689168025,0.00015590395508539582,7.79650415638741e-06,4625.02420327213,779512.6548257566,2682051.787080135,1141557.9792792853,194220.01997057328,440623.84311776934,718141.5848610521,251028.84969018569,0.00042316480401544425,0.00015590395508539582,92484.98444845532,445248.8690291878,1925664.25746469,1281695.9284809036,255716.6646157107,594574.0764186446,115641.50100799171,92484.98464339471,0.00015590395508539582,0.00042316480401544425,251028.84847959876
ABMD,0.0,0.00035317242512583526,222334.96203367625,0.00035317242512583526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.794433469677336e-06,6165.9541875223795,9.794433469677336e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.794433469677336e-06,6165.9541875223795,9.794433469677336e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035317242512583526,222334.96203367625,0.00035317242512583526,0.0,0.0,0.0,0.0,0.0,6165.9541875223795,9.794433469677336e-06,9.794433469677336e-06,6165.954197316813,6165.954207111246,6165.954197316813,9.794433469677336e-06,0.0,0.0,0.0,222334.96203367625,0.0003629668585955126,6165.954207111246,12331.908757600484,234666.87080107114,234666.8707912767,6165.9545700781055,6165.954197316813,9.794433469677336e-06,0.0,6165.954197316813,6165.954579872539,240832.82537114926,481665.6503009762,457001.8339334424,457001.8335312978,228500.9173100992,228500.9165841655,0.0003629668585955126,0.0,6165.9545504892385,228500.91731989363,685502.7511945695,1364839.5446111255,240832.82716639468,253164.7337168107,228500.91700589893,240832.82495921024,0.00039235015900454463,6165.9541875223795,234666.8707912767,240832.82572432168,475499.6965351873,722498.4749363974,246998.78101053907,679336.7949076014,24663.81856492381,463167.7866690974,0.0010889005757865377,222334.96203367625,450835.8789710141,450835.8796969479,457001.8342474372,685502.7504588413,673170.8417600073,240832.82672507237,667004.8872095182,457001.8335019145,0.0007357281506607026,6165.9541875223795
ABT,21772.480968023614,288387.73320974637,296169.2505535639,21753.953527450794,0.0009851002780879576,0.006529011362677073,144179.9635613628,0.006529011362677073,0.0009471639952432189,20916.19431104925,166771.6744484039,551334.5879376427,310951.6454859421,165096.17195347132,0.007476175357920292,0.012425718357958021,274396.76860044,0.012425718357958021,0.006529011362677073,144179.9635613628,460418.400694119,353631.05401227856,481325.35006342334,418576.753958444,9.282851623835684,9.270425905477726,144179.9635617823,0.006529011362677073,0.012425718357958021,274396.76860044,707783.6933482152,537995.7277317739,707774.4484064702,418576.7642504277,837.7647974099052,837.7467906831879,20934.722141934755,0.0009484225075326812,9.270425485973632,144179.9635617823,735671.4849183189,1281691.459061131,713926.8161751757,165096.1911488661,20916.2027343886,20916.195372441594,2522.5022578703115,0.0001525841395719298,847.0106483825078,20916.194349405036,477751.1214756715,1485324.5758648089,312654.96458877914,21763.22469946949,144179.97107631344,144189.23591953254,42679.40485316738,9.26681425866647,21753.94015414894,837.7467898441797,526518.0139247348,1393263.988644388,107941.28183922412,1684.7728196653838,274396.7811403867,275234.540836089,309276.13393536577,837.7672861059801,165096.15791076783,9.271372649968875,915550.0392131937,1720886.0152638895,496973.30799897446,20925.487241353367,144179.97198512164,165096.19578187147,692973.5091855822,20916.24464622705,418576.7331089668,0.018954729720635097,1420844.9733545512,2014050.5174354443,1255748.8220111507,144180.02137355495,20916.20831623597,165096.1843033171,562756.7097283523,144180.0079998336,418576.7386908142,0.018954729720635097,1277484.2280413853,2019270.968177209,1255730.3003513105,274396.8255025654,837.7706941169004,275234.5228664595,186012.3770728343,274396.7844999547,165096.17029813043,0.007476175357920292
ACN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122420.98924552639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2134.3907445669024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2134.3907445669024,0.0,0.0,0.0,0.0,0.0,2134.3907445669024,0.0,0.0,0.0,122420.98924552639,0.0,0.0,0.0,0.0,0.0,122420.98924552639,0.0,0.0,0.0,2134.3907445669024,0.0,0.0,0.0,0.0,0.0,2134.3907445669024,0.0,4268.781489133805,2134.3907445669024,6403.172233700708,2134.3907445669024,0.0,0.0,0.0,0.0,0.0,0.0,261917.10444758803,133092.9429683609,367262.9677365791,122420.98924552639,2134.3907445669024,0.0,0.0,0.0,0.0,0.0,1028458.9010892499,629180.0721841671,10671.95372283451,4268.781489133805,124555.3799900933,0.0,0.0,0.0,2134.3907445669024,0.0,2587915.9001125894,867618.8784415192,244841.97849105278,122420.98924552639,124555.3799900933,0.0,0.0,0.0,122420.98924552639,0.0
ADI,242398.16753380687,319.15360108314377,319.1534834177369,1.5492412689628765e-07,0.0,0.0,0.0,0.0,0.0,0.0,46173.9360006804,46173.93602324917,46493.08948394321,2.256876916366621e-05,0.0,0.0,0.0,0.0,0.0,0.0,319.15360108314377,242717.32115745873,289210.4105964193,319.15362365191294,1.5492412689628765e-07,0.0,0.0,0.0,0.0,0.0,4.482769007353984e-05,92347.87214174989,381558.28250221873,46173.93616348334,2.241384503676992e-05,0.0,0.0,0.0,0.0,0.0,319.15360108314377,242717.3213204166,624913.9106540582,242717.3213202617,0.0001179752551373111,319.15348326281276,1.5492412689628765e-07,0.0,0.0,0.0,47131.39645062376,46493.08985484156,763116.5649373508,92347.8723269667,6.755138336410235e-05,46812.2429449471,319.15350598650605,1.5492412689628765e-07,0.0,0.0,380919.97549117525,46812.243713359516,1202377.2710662163,243036.47508399287,319.15376388608894,335065.1929960166,46173.93614091457,2.241384503676992e-05,1.5492412689628765e-07,319.15348326281276,774006.745686137,289210.41138771037,1099139.2184790273,93624.48644554458,46173.93630387245,577144.2071639162,242398.1678138104,0.00011766540688351852,2.241384503676992e-05,46173.93597826655,231188.8335595025,380919.97625368164,1386434.7082644405,427413.0657206522,242398.1679037756,335065.1931135271,46173.93614091457,2.241384503676992e-05,0.00011766540688351852,242398.16753365193,485753.7957749918,531289.4255607415,1640042.2103157414,1015766.6069314006,46173.93649406571,46812.24296736095,319.15350598650605,1.5492412689628765e-07,2.241384503676992e-05,46173.93597826655
