,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A,-4.186959,-0.47978604,1.3487452,0.18279655,1.2530034,0.59737337,-0.9696678,1.0961809,-0.70448536,0.8525133,-3.586064,-1.0249076,3.3280563,2.3131835,0.023609042,-2.2287862,1.351891,-0.2712878,0.2119231,1.3601036,-2.286102,1.3352907,-0.27942845,0.36676934,0.89311385,0.17581992,-0.37368208,-0.5489618,1.1583357,0.053157747,0.53259915,-1.31255,-4.7052617,1.2831128,0.42592117,-0.90326524,-0.32192108,-0.7647741,-1.003659,1.076041,-0.030967355,-0.4689396,-1.7702208,0.9685167,-3.658053,1.4268278,3.0904694,-0.31688887,0.2926104,-2.6827774,-1.5032908,2.9045272,-2.2512624,0.5285825,1.1283579,-1.3997074,1.6335136,-1.2945269,2.7186608,-1.1290951,-0.16488858,3.2550979,2.0672872,-0.40698713,-0.07995467,-2.0796716,2.6295414,1.701088,-0.2729468,-2.6112452,0.5009207,-1.4468037,2.763455,-0.38686523,-1.056607,3.7628553,-2.0935698,0.50802153,-0.8617467,-0.7538481,-0.9059104,0.9760697,-0.03481126,2.7232606,-1.1493335,1.6225815,-0.0067432555,1.6953315,-0.20496371,3.5032313,-0.53453594,-1.8568622,0.7350565,-1.9647524,-3.0339174,2.8298044,-1.0365134,-1.9252988,1.1116189,-1.1034374
AAL,-4.1861973,-0.47421563,1.356586,0.1855737,1.2396519,0.60087997,-0.9754433,1.098978,-0.70188856,0.84926605,-3.5822282,-1.0172462,3.3314676,2.3157475,0.026995957,-2.2316394,1.351704,-0.26672912,0.20872766,1.3625891,-2.2772424,1.3431051,-0.27167672,0.36844635,0.891816,0.18519498,-0.37005603,-0.55577844,1.1502328,0.043725073,0.5241834,-1.3054142,-4.7077627,1.2828566,0.42633563,-0.91395056,-0.33311266,-0.7645256,-1.0094634,1.093486,-0.029152691,-0.46417505,-1.7646229,0.9746007,-3.6614165,1.4325593,3.0830069,-0.3164507,0.3002013,-2.6891418,-1.494119,2.8865826,-2.2478435,0.52640533,1.1287698,-1.3898536,1.6296635,-1.2973199,2.707343,-1.1290882,-0.15048322,3.2504997,2.0606263,-0.40350294,-0.083355,-2.0703907,2.6306734,1.7033525,-0.26985472,-2.6032934,0.50315976,-1.4523845,2.7671018,-0.37852964,-1.0670568,3.7760806,-2.0922732,0.5001425,-0.86131924,-0.7651369,-0.90961623,0.9815225,-0.037601233,2.7263756,-1.163059,1.6199939,-0.011209831,1.69688,-0.20657021,3.4918323,-0.5399139,-1.8536538,0.72237295,-1.9639277,-3.0318284,2.8370376,-1.0354805,-1.929256,1.11196,-1.111312
AAP,-4.179936,-0.47434703,1.3622223,0.18531345,1.2438848,0.60384554,-0.9730108,1.098183,-0.68895805,0.8499741,-3.5865111,-1.0130582,3.3214118,2.3117645,0.036402643,-2.2293062,1.3587866,-0.26245075,0.2121674,1.3538921,-2.277123,1.3327825,-0.29555753,0.36803287,0.8792212,0.18538287,-0.37504384,-0.54989564,1.1500549,0.034509063,0.5246825,-1.3032575,-4.714681,1.2690198,0.42647082,-0.91116965,-0.32725975,-0.77214783,-0.9965695,1.0856932,-0.03350711,-0.4636033,-1.7701652,0.97774094,-3.6559632,1.4418707,3.0887775,-0.32922336,0.30223042,-2.680779,-1.4996015,2.8945882,-2.2361808,0.5194713,1.126356,-1.3976575,1.6418449,-1.297122,2.720239,-1.1370409,-0.15591964,3.25726,2.0714965,-0.4094895,-0.09253726,-2.0831103,2.6288977,1.7122409,-0.27460897,-2.5891395,0.48784617,-1.4450057,2.7722838,-0.36954206,-1.0581386,3.7765684,-2.0936594,0.51231337,-0.86242735,-0.7535119,-0.910961,0.9755839,-0.027163982,2.710784,-1.1455133,1.6133027,-0.012644552,1.6992881,-0.20946762,3.495749,-0.53707546,-1.8614181,0.718774,-1.9622345,-3.0340614,2.8296955,-1.0466723,-1.9437801,1.1271017,-1.1192976
AAPL,-4.1787415,-0.47411925,1.3617733,0.18293092,1.2432537,0.59324116,-0.9783262,1.1025646,-0.70799464,0.8562112,-3.579138,-1.015461,3.3382335,2.3087463,0.039551318,-2.2259336,1.3512745,-0.25501472,0.21783116,1.3521051,-2.2754617,1.3253231,-0.2912287,0.3686412,0.89459443,0.18615437,-0.3754467,-0.548741,1.1588984,0.044938892,0.536485,-1.3062048,-4.717376,1.2783374,0.43114766,-0.90162337,-0.33042198,-0.765499,-0.9960589,1.0714542,-0.03377092,-0.4620289,-1.7719775,0.9693603,-3.657391,1.4341345,3.083013,-0.33198568,0.2999527,-2.6746404,-1.5022343,2.8907852,-2.2446713,0.51650584,1.1211526,-1.3999771,1.6358403,-1.3003829,2.7214231,-1.131163,-0.15641883,3.2615514,2.0708418,-0.396523,-0.09702678,-2.0791297,2.622168,1.7052225,-0.27721372,-2.5957625,0.48760778,-1.4449993,2.7682261,-0.37508065,-1.0661802,3.7694721,-2.100077,0.5036665,-0.8700248,-0.7575812,-0.9032493,0.9659077,-0.01793015,2.721164,-1.1547246,1.6222605,-0.0060939277,1.7078896,-0.21410805,3.4919608,-0.5308663,-1.8531626,0.72999847,-1.9738616,-3.031993,2.836721,-1.0427823,-1.9420869,1.1118625,-1.1049657
ABBV,-4.1826053,-0.48263952,1.3561878,0.1779665,1.2431476,0.5902938,-0.98441184,1.0997636,-0.70559317,0.8521636,-3.5783625,-1.0152361,3.3326569,2.3070836,0.03331119,-2.2247982,1.352788,-0.26803473,0.22095141,1.3519485,-2.2752335,1.322989,-0.2851323,0.3724838,0.8870492,0.18504934,-0.37555403,-0.5442741,1.1540148,0.037540644,0.53433526,-1.2999539,-4.7113266,1.2748066,0.4290348,-0.90699756,-0.3294335,-0.7701038,-0.9971039,1.0694759,-0.027266681,-0.45413926,-1.7658594,0.9685407,-3.6621382,1.4449536,3.0822725,-0.32932138,0.29995036,-2.6735053,-1.5061972,2.8991394,-2.2433524,0.52696973,1.1335859,-1.4028013,1.641393,-1.2933426,2.7236128,-1.1327815,-0.15912005,3.2573173,2.0593677,-0.40677327,-0.09428874,-2.0784829,2.629282,1.7148328,-0.2672998,-2.6074462,0.48419672,-1.4473462,2.7718472,-0.37914306,-1.0670773,3.7660015,-2.0939837,0.52487636,-0.87072307,-0.7532748,-0.89953226,0.95844316,-0.024677038,2.7248793,-1.1469691,1.6134017,-0.00077382475,1.711011,-0.21541467,3.503496,-0.5336291,-1.8701062,0.72397125,-1.9662141,-3.0117683,2.828638,-1.0519747,-1.9423804,1.1076164,-1.1011909
ABC,-4.1815042,-0.49087164,1.355191,0.18066072,1.2468226,0.5960813,-0.98620784,1.1002133,-0.700001,0.8451957,-3.5895572,-1.012126,3.3262877,2.3136373,0.028284907,-2.2331908,1.3606951,-0.2689792,0.2064943,1.3644516,-2.2738373,1.3288229,-0.29079533,0.37975076,0.88744515,0.1891969,-0.3712239,-0.5515729,1.1572366,0.043262184,0.528175,-1.3053176,-4.7208204,1.2806212,0.43146196,-0.9183154,-0.33102554,-0.7672796,-0.9992982,1.0715834,-0.019828856,-0.45258787,-1.7593647,0.97486895,-3.6568444,1.4497888,3.0834808,-0.32137406,0.31667897,-2.6853876,-1.5009854,2.887878,-2.249436,0.52239037,1.1279287,-1.4010012,1.650883,-1.2959437,2.7108757,-1.1321537,-0.14617151,3.251878,2.069749,-0.39824796,-0.092619136,-2.0790844,2.6386964,1.7193543,-0.26639867,-2.5995657,0.48202223,-1.4500993,2.7644372,-0.37325665,-1.0699095,3.776297,-2.099131,0.5158693,-0.8609387,-0.7528244,-0.90162086,0.9681041,-0.027050495,2.7246056,-1.1618633,1.6185601,-0.0155077465,1.6996281,-0.21144068,3.4937086,-0.53675246,-1.861062,0.72612023,-1.9717023,-3.020753,2.827837,-1.059848,-1.940606,1.1081772,-1.1005689
ABMD,-4.1836333,-0.4767634,1.3530988,0.17563759,1.2430024,0.5984262,-0.978982,1.102542,-0.69248295,0.8431078,-3.578852,-1.0101852,3.3327713,2.3145132,0.031200528,-2.2340765,1.3508036,-0.2702055,0.20781368,1.3607671,-2.2701874,1.3327801,-0.27917737,0.37663597,0.89293355,0.18391025,-0.38753042,-0.543159,1.1617718,0.041938335,0.5299096,-1.3051872,-4.7044425,1.2720113,0.42480507,-0.92497146,-0.33350205,-0.7800536,-0.9925041,1.0819565,-0.018296778,-0.45297128,-1.7564765,0.9734434,-3.656601,1.4462605,3.0730383,-0.32320753,0.31054813,-2.6788058,-1.5066211,2.8924818,-2.2518873,0.53327626,1.1402864,-1.3937879,1.6362956,-1.2852182,2.713245,-1.1363802,-0.15152718,3.2505946,2.0646057,-0.4127497,-0.09560579,-2.0836601,2.636468,1.7246916,-0.27098733,-2.6041183,0.4854476,-1.4424185,2.762558,-0.3872823,-1.0625169,3.7625241,-2.0981102,0.5232624,-0.8614053,-0.7564401,-0.8955821,0.9637386,-0.020570815,2.721397,-1.1471169,1.6171234,-0.018320654,1.7067778,-0.22176936,3.5105038,-0.5425231,-1.8584241,0.7266699,-1.9726403,-3.017391,2.8280504,-1.0498356,-1.9528626,1.0982424,-1.1162384
ABT,-4.1703944,-0.4785078,1.3553617,0.1781412,1.2326403,0.5968904,-0.9875603,1.0948023,-0.69041544,0.83724964,-3.579523,-1.01829,3.3319287,2.304141,0.036738098,-2.231575,1.3535353,-0.2700224,0.21420443,1.3727081,-2.2682467,1.341448,-0.29003096,0.37040198,0.8813265,0.190797,-0.37987018,-0.5568721,1.1670371,0.042351127,0.5411848,-1.3068875,-4.706381,1.2697798,0.42454326,-0.9138814,-0.33731496,-0.77808976,-0.9990177,1.0736537,-0.030213594,-0.4663992,-1.7661202,0.9824326,-3.6625524,1.4376636,3.0937326,-0.32971486,0.31042105,-2.6775868,-1.509595,2.886856,-2.2417674,0.5258584,1.1267647,-1.4007899,1.6468928,-1.2918243,2.721929,-1.1352549,-0.15734634,3.2522054,2.0786922,-0.39422786,-0.08600915,-2.0707903,2.6306467,1.7080221,-0.27254492,-2.610247,0.49676484,-1.4547093,2.7640212,-0.3868181,-1.0641751,3.7637653,-2.0958462,0.5040461,-0.86670005,-0.7512928,-0.90132076,0.97365713,-0.024772704,2.7133713,-1.1474849,1.6170579,-0.012362136,1.6963365,-0.20502034,3.4879518,-0.52709544,-1.860914,0.7324986,-1.9666243,-3.0352602,2.843049,-1.0426279,-1.92852,1.1071898,-1.107991
ACN,-4.16041,-0.47289956,1.3553894,0.17859124,1.2380681,0.60309213,-0.9702185,1.0911921,-0.6851131,0.83923936,-3.580562,-1.0167835,3.3301024,2.3092823,0.030353725,-2.2356365,1.3540232,-0.277157,0.20543802,1.3726109,-2.2647781,1.3355501,-0.29494023,0.36960256,0.88270575,0.19542202,-0.37166417,-0.54265434,1.1492598,0.04948792,0.5344111,-1.3049872,-4.7079844,1.2639858,0.42536306,-0.9122142,-0.337733,-0.7797287,-1.0013939,1.0801071,-0.021711648,-0.46414483,-1.7623893,0.97031575,-3.664482,1.4532192,3.0796843,-0.32787013,0.30691975,-2.6824772,-1.5167136,2.9005055,-2.2449555,0.5267662,1.1269463,-1.3940303,1.6372031,-1.2928597,2.724702,-1.1275774,-0.15761536,3.261642,2.0699675,-0.40971488,-0.090265475,-2.0806017,2.63871,1.7249596,-0.26828343,-2.6055803,0.48254675,-1.4626355,2.775213,-0.38919184,-1.0584904,3.7612162,-2.087679,0.5177392,-0.8700282,-0.75536495,-0.8976384,0.9722512,-0.020432532,2.7173743,-1.1379505,1.6139357,-0.016314177,1.6989338,-0.21179363,3.5098248,-0.53438747,-1.867291,0.7229473,-1.9723918,-3.0328732,2.8279552,-1.0538523,-1.9419453,1.1101171,-1.1191459
ADI,-4.180642,-0.47896463,1.358988,0.17913266,1.2399831,0.6095768,-0.9725499,1.0970337,-0.69161814,0.8375611,-3.5753205,-1.0176543,3.3351605,2.3183312,0.033162534,-2.2284536,1.361814,-0.2719903,0.20357862,1.3653048,-2.2709634,1.3418617,-0.28688258,0.36827147,0.8797572,0.18369304,-0.3776756,-0.5510937,1.156527,0.050744653,0.53775805,-1.2949811,-4.709502,1.2750311,0.42698312,-0.91592014,-0.33161563,-0.7760919,-0.98977464,1.074811,-0.021187782,-0.4664752,-1.7655307,0.96586573,-3.6564808,1.4393754,3.0779731,-0.3206098,0.28936172,-2.6792169,-1.5038208,2.8903866,-2.2537658,0.52445376,1.1261889,-1.4000031,1.6354693,-1.3071736,2.7092378,-1.1221625,-0.15756337,3.2580385,2.0649064,-0.41610694,-0.08688035,-2.076502,2.6309888,1.7187784,-0.26759177,-2.6000168,0.4904316,-1.4494636,2.7574427,-0.3834475,-1.0679466,3.7638078,-2.1019332,0.5091022,-0.85933435,-0.75029296,-0.89265907,0.9759108,-0.031836867,2.7224047,-1.153486,1.6289046,0.0010821996,1.6939731,-0.20222709,3.5045788,-0.5415555,-1.8626889,0.73665434,-1.9692659,-3.030923,2.8295677,-1.0413747,-1.9510367,1.1122122,-1.1126202
