,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A,-0.073965415,-0.004368132,-0.032746106,0.02606318,-0.015104391,-0.025874764,-0.019327551,-0.024375329,-0.013851248,0.05005352,-0.07342994,-0.066825666,-0.043611355,0.041899096,0.028418707,-0.053379778,0.025706923,-0.011955831,-0.08120547,0.028243113,0.012674614,-0.04427582,0.011188847,-0.011948049,0.017492142,-0.0023292154,-0.0154328495,-0.01592227,0.020480128,0.0017135162,-0.036947,-0.02957209,-0.06808662,-0.029619418,0.009048887,-0.015469037,0.046391033,-0.027805034,-0.03865042,0.015381848,0.0060090562,-0.028933983,-0.00401833,-0.010114524,-0.07621559,0.006791029,0.003264686,-0.04888863,-0.0041414034,-0.016151348,0.04492226,0.06588846,-0.062619805,0.036600687,0.022444522,-0.009255848,0.047909286,-0.021767957,0.034466583,-0.048624024,-0.040012315,0.02932977,-0.08049088,0.008145928,0.0011628671,0.014377883,0.010899899,0.030576333,-0.03502367,-0.030374942,-0.027466828,-0.028283745,-0.004369894,-0.016993962,-0.07714163,0.061936118,-0.07540651,0.042201735,0.0065463427,0.010029465,0.043543797,-0.0049052048,0.07095714,0.07190406,-0.064531446,-0.03892318,-0.055256393,-0.025528347,-0.0019060139,0.012249259,-0.0017330707,0.0036884039,0.018872697,-0.010351021,-0.009505137,0.07704212,-0.01805535,-0.032044448,0.019086618,-0.04602237
AAL,-0.107911445,-0.00329961,-0.036446977,-0.003350075,-0.012743646,-0.013633016,0.009575228,-0.059677877,-0.004952454,0.09161319,-0.04857108,-0.035943396,-0.04892627,0.073901616,0.025132794,-0.06493378,0.09627409,0.004103233,-0.050061077,0.0022814982,-0.028048873,-0.018822985,8.448213e-05,-0.008895624,0.012561504,0.027612254,-0.0073563135,-0.021583427,0.0031582632,-0.046881422,-0.066360965,-0.05483857,-0.10682448,-0.053083066,0.04377077,-0.0600501,0.051158223,-0.059803724,-0.062427424,0.021505116,0.00690593,0.007845544,0.0055449186,0.013115432,-0.09955767,0.011444168,-0.054506462,-0.06248053,0.03027818,-0.0432792,-0.013162915,0.045025155,-0.10647603,0.046515085,0.027735153,-0.02586284,0.037018277,-0.05965523,-0.04600166,-0.11568424,-0.03635012,0.060928307,-0.081888415,-0.06311402,-0.054255042,-0.003611649,0.031436898,0.0130503075,0.0070755333,-0.030512651,-0.043698885,-4.3887645e-05,-0.028372228,0.05715379,-0.10977447,0.00963026,-0.06781738,0.044273417,-0.031933226,0.027126588,0.024312839,-0.018681172,0.053483456,0.095025145,-0.043398026,-0.021599613,-0.09475282,-0.023067482,0.043071717,0.049536698,-0.041488692,-0.025010973,-0.027224427,-0.009714298,-0.028152224,0.06320701,-0.03427075,-0.0051689707,-0.0045429682,-0.022850543
AAP,-0.13831781,-0.069946,-0.008600556,0.0014168734,-0.0067240577,-0.014453733,-0.026553754,-0.009937995,0.012306743,0.10252981,-0.09172226,-0.006069908,-0.027224937,0.08264544,0.014360115,-0.021306224,0.03644048,-0.020576151,-0.082912244,0.013278231,0.01169932,-0.03436729,-0.016537262,0.011696888,0.00294073,0.047982384,0.0049115727,0.00093261723,-0.0044113933,-0.013324399,-0.0845247,-0.054712575,-0.09709834,-0.0014161402,0.03799774,-0.022982325,0.0051690973,-0.012452193,0.025267402,0.019330617,0.016781367,-0.040320046,-0.023739694,-0.015284906,-0.08741066,0.010346644,-0.055831507,-0.03817747,-0.018324636,-0.046930347,-0.004210399,0.054619312,-0.10849669,0.052990288,0.016351115,-0.010246918,0.058205534,0.019746248,0.010615925,-0.049586315,-0.008782182,0.04520475,-0.09346507,-0.010626407,-0.0019954536,-0.0046983785,0.016129196,0.061379343,-0.00058145483,-0.069407724,0.0010972936,0.006366011,-0.019988034,0.05631662,-0.05031697,-0.02603744,-0.056052085,0.04387237,0.053245883,-0.028237883,0.08189528,-0.024296623,0.06477956,0.07328251,-0.0062246923,-0.010655562,-0.08064869,-0.034821425,0.043964487,-0.018702995,-0.032741953,-0.0006325459,0.015695319,-0.012090578,-0.016403528,-0.00033437647,-0.06067391,-0.001839336,0.012467239,-0.021947743
AAPL,-0.082967624,0.00377463,-0.05165521,0.012818033,-0.00832508,-0.035550915,-0.009986686,-0.02663319,-0.020477293,0.069671124,-0.039492078,-0.03140713,-0.043417424,0.02354458,0.02603437,-0.03377981,0.043806285,-0.023576807,-0.057676587,0.01772385,0.035142675,-0.025462456,-0.012907937,-0.03067067,0.0014014097,-0.004158013,0.003535397,-0.021546979,0.03696827,-0.015019952,-0.0130696185,-0.029388322,-0.090114534,-0.017995385,0.040810153,-0.02674732,0.05192741,-0.014800348,-0.07704791,0.026393156,0.053376183,-0.04543124,0.0063200654,-0.037122898,-0.056867734,0.00083875936,0.026651189,-0.01604446,0.018582255,0.00034191273,0.03366943,0.051449027,-0.09768602,0.054111797,0.012007555,0.007247848,0.028709099,-0.02461948,0.028017854,-0.056512162,-0.042565636,0.050733633,-0.086087316,-0.011729329,-0.013308181,-0.017690515,0.03209919,0.040061757,-0.018268576,-0.06353899,-0.016184807,-0.017507829,-0.005640126,-0.001299643,-0.0804903,0.014613288,-0.06619125,0.018854624,0.011408364,-0.007911718,0.041798778,0.003733032,0.032846954,0.063907124,-0.034221645,-0.0044660503,-0.08529939,-0.008685457,0.024676353,-0.0001074709,0.0015213517,-0.031518117,0.0023923148,-0.038446903,-0.0039068554,0.04509624,-0.007225151,-0.0073777735,0.009758846,-0.040385634
ABBV,-0.06784352,-0.008714199,-0.05530135,-0.007681155,-0.0024871603,-0.00805421,-0.0002554783,-0.06283941,0.0064883856,0.065103136,-0.09260325,-0.059999943,-0.04446861,0.04305438,0.022210622,-0.073230095,-0.025775284,-0.021288078,-0.06477134,0.0020905612,0.013707898,-0.020025903,0.016344901,-0.0016447125,0.026675487,-0.05319123,0.008750978,-0.051497314,0.05360805,-0.014709804,-0.053395864,-0.075061694,-0.108491205,0.004888406,0.008923606,-0.044634685,0.04689511,0.016937368,-0.078699626,0.018563587,-0.023646152,-0.013602793,0.01363792,-0.05652812,-0.060664307,0.024511714,0.031697597,-0.03316934,-0.006636045,-0.03742609,0.061543226,0.0610317,-0.0772359,0.075893626,0.06654683,0.019077448,0.020375589,-0.014697451,0.012323653,-0.03398748,-0.009483759,0.059126943,-0.09304738,-0.04202019,-0.021370836,-0.03383388,0.009447666,0.04609142,0.010201049,-0.027399236,-0.010749771,-0.07161598,-0.037891112,0.03952231,-0.069371216,0.06994711,-0.060860097,0.07113261,-0.036364596,-0.034168333,0.024682496,-0.027016887,0.04312567,0.024686191,-0.039161883,-0.007644651,-0.04486003,-0.028450595,0.041775703,0.04627432,-0.015496913,0.0021895203,0.0027936515,-0.005269086,-0.027799452,0.050660145,-0.039303176,-0.008240774,0.028346382,-0.02962163
ABC,-0.103518866,0.025564112,-0.027944602,0.05085645,0.010163026,-0.038350545,-0.014499333,-0.011037205,0.0030874992,0.08791979,-0.060021456,-0.06549487,-0.014390001,0.046365146,0.011331165,-0.052804552,0.03388685,-0.0097535495,-0.07541341,0.033724777,0.04730109,-0.014360774,0.0037177773,-0.01894487,-0.01632012,0.00569392,-0.008185699,-0.014769946,0.023496456,0.0012489399,0.03576938,-0.03923022,-0.053775564,0.007540604,0.037230153,-0.068243206,0.02992155,0.015848055,-0.043130476,-0.029863808,0.02418167,0.011448348,0.010118989,0.024198297,-0.08122945,0.048971415,-0.03159924,-0.03211205,0.017850852,-0.04332327,0.05205131,0.048692767,-0.11973408,0.031384975,0.015032014,-0.029795779,0.030168884,-0.039714787,0.03834459,-0.047735594,-0.037289307,0.0035857018,-0.051615648,-0.028253227,0.043051522,-0.022419125,0.02687975,0.026295088,0.0024418859,-0.05790969,0.008678771,-0.025011024,-0.022724008,0.031115405,-0.058053594,0.014707327,-0.04373342,0.00650217,-0.022822868,-0.026331756,0.08403306,-0.017772269,0.038578685,0.054465346,-0.044042684,0.0081671355,-0.10110861,-0.0027568536,-0.009903536,-0.0047158725,-0.011896458,-0.029490642,0.022333138,-0.04848889,0.010377899,0.03449068,-0.033986785,-0.0455323,0.049389005,-0.048378725
ABMD,-0.064916104,-0.060835324,-0.057491504,0.010704514,-0.006222777,-0.08325006,-0.001652576,-0.053691205,-0.010320299,0.09954084,-0.060928997,-0.08322447,0.003895549,0.040825278,0.0535154,-0.02171085,-0.023747828,-0.01681823,-0.12573968,0.048484195,0.096942246,0.025609588,0.051460348,-0.068585664,0.017933946,-0.008361086,0.026489114,0.015584901,0.055037346,-0.013182608,0.011676051,-0.05888591,-0.0847416,-0.032167353,2.7233968e-05,-0.044696674,0.09662566,-0.009351395,-0.12884736,0.027389277,0.03831505,0.014899392,0.10496556,-0.061000686,0.004364807,0.04603219,0.015740313,-0.028874915,0.036999032,-0.04729201,0.045731418,0.053795896,-0.13236675,0.017661987,-0.00039689057,-0.010474392,0.09379634,-0.029785033,0.032049466,0.007089705,-0.076620415,0.06792806,-0.12573554,0.022728764,0.003050846,0.001671823,0.022412837,0.052939646,0.013428137,-0.0923679,-0.03417475,-0.066607974,-0.077263266,-0.05609776,-0.08031455,0.026608832,0.007634811,-0.022070598,-0.004749245,-0.003695406,0.09400578,0.035111073,0.047761604,0.060013063,-0.011276568,0.041235395,-0.013905789,-0.020837193,-0.022984441,0.029974243,-0.020641642,0.05299781,-0.045970716,0.015305029,-0.06311957,0.07953132,-0.080861606,-0.0083703585,0.02053458,-0.05900932
ABT,-0.066018485,-0.02297141,-0.033325903,0.002987125,-0.025107604,-0.018009184,-0.014670269,-0.048412096,-0.028398532,0.08724996,-0.052344132,-0.04299131,-0.035955198,0.031974446,0.023394566,-0.035829473,0.019811759,-0.008731047,-0.058911454,0.018591836,0.016561652,-0.017804217,-0.014563917,-0.023438666,0.008534339,-0.0007364354,-0.0002996102,-0.00090410095,0.022435002,-0.020080661,-0.042027395,-0.037266493,-0.084529534,0.004819177,0.012864141,-0.035858728,0.06471586,-0.022495657,-0.07401742,0.026930936,0.013520211,-0.00065424654,0.009370832,-0.025242899,-0.075865544,0.012227596,-0.0029723775,-0.030350147,0.04013906,0.0063662427,0.036175072,0.0683535,-0.08809574,0.03515619,0.017161632,0.0048655877,0.027410673,-0.027295386,0.03400134,-0.031052457,-0.05085231,0.052025802,-0.06336658,-0.0033085104,0.014122688,-0.006215414,0.022947261,0.05467078,0.002852806,-0.04162962,-0.014513162,-0.031456493,-0.006367241,0.011963943,-0.05542063,0.03088855,-0.045554947,0.032214448,-0.019386683,-0.005369059,0.057203956,-0.004939892,0.040770534,0.07261793,-0.030130185,-0.011747059,-0.06576292,-0.025995534,0.016209321,0.008234916,0.014058824,-0.001065799,-0.00991389,-0.037384607,-0.022837799,0.06595322,-0.04373593,-0.014333468,0.03049517,-0.045939416
ACN,-0.09533934,-0.028659739,-0.043776397,0.023656778,-0.022279095,-0.01987105,-0.019229362,-0.013219235,-0.0045073517,0.06482828,-0.07514606,-0.03828908,-0.04093025,0.040697705,0.016201813,-0.02539707,0.03882162,-0.024865655,-0.06658393,0.017337136,0.018802308,-0.027134765,-0.012065558,-0.015774354,-0.004198616,-0.0042290753,-0.007869188,-0.0044525266,0.022979777,-0.0092276465,-0.026406987,-0.033445846,-0.07068986,-0.015352542,0.03182736,-0.041342992,0.05004584,-0.018120164,-0.074969076,0.008895607,0.0056127077,-0.0066616703,0.025502823,-0.002950754,-0.0715444,0.027446445,-0.0024957468,-0.02604531,0.00082711363,-0.0123843,0.06942405,0.04328449,-0.07653433,0.027265323,0.031277157,0.020145217,0.039068494,-0.045360245,0.023860767,-0.032246925,-0.039006475,0.039064705,-0.074668825,0.00016423967,-0.01023162,0.0037366906,-0.0026972787,0.04845203,-0.013938052,-0.06590601,0.00013852026,-0.006458783,-0.023796614,0.00978444,-0.045486733,0.033814114,-0.05820461,0.042494018,-0.025312044,-0.014483424,0.05595072,-0.011643719,0.035749376,0.062486775,-0.049350306,-0.01994164,-0.065769136,-0.023509497,0.009837012,0.009657844,0.005225395,-0.018847838,0.00408704,-0.012394156,-0.02856516,0.035570215,-0.02213191,-0.020074457,0.024627956,-0.04812799
ADI,-0.07207326,-0.01868461,-0.034338534,0.0140113495,-0.021540157,-0.03047648,-0.0036064961,-0.03200768,-0.015917834,0.05078177,-0.05486245,-0.045538653,-0.043885365,0.03619189,0.015016538,-0.06321557,0.018610876,-0.03218338,-0.06835376,0.0112392055,0.015785042,0.00017603207,0.0053878482,-0.044552937,-0.0047842283,-0.01337226,-0.0003512376,0.005238356,0.026153574,-0.019314855,-0.03784591,-0.02015893,-0.09273708,-0.034782365,0.044199217,-0.06861536,0.05470044,-0.015006697,-0.062793314,0.04403177,0.026714174,-0.033527378,0.012563644,-0.032880753,-0.08251876,0.021784885,-0.0013887337,-0.045749083,0.026768018,-0.02782536,0.042001136,0.07941173,-0.08323276,0.004395503,0.0074638687,0.002024354,0.019881554,-0.021554705,0.015336025,-0.03847903,-0.055626348,0.042297684,-0.06601654,-0.019821959,0.023219451,0.0032242527,-0.0017661396,0.059938807,-0.0031554522,-0.031316116,-0.03287381,-0.054202326,-0.038974047,-0.013393976,-0.027042314,0.0122325905,-0.0816008,0.022970106,-0.0043954747,-0.020366672,0.038770292,-0.01567676,0.038005337,0.06753271,-0.03723375,-0.03999325,-0.061974548,-0.009689581,0.0154379085,0.021166727,-0.018649008,-0.02966768,0.016242517,-0.030208597,-0.013443131,0.060764305,-0.0354576,-0.026713707,0.04906802,-0.07041844
