,AVG_returns,Risk,Beta,Alpha,Sharpe,VaR(95%),Drawdown(%),Recovery(days)
ts2vec,0.0007497382442821681,0.021390375388066495,0.6137362089156861,0.0005420426083910587,0.02956631283808833,-0.035294119390309714,-37.35451815160904,215.0
takens_one_BC_2,0.001428683528689658,0.018748809333686528,0.7243695242728517,0.0012046936643118462,0.06994469843474353,-0.03093553540058277,-26.039231875186452,83.0
takens_one_PL_2,0.0016243877682877458,0.015988215936702105,0.7177541920953374,0.0014013722192295812,0.09426217787024482,-0.026380556295558473,-14.655752854501703,83.0
transformer_embds_sum_23,0.0015133341916643383,0.02095219461206679,0.656167326527565,0.0012993892417842007,0.06662931991982775,-0.0345711211099102,-34.205051567979396,122.0
transformer_embds3,0.0015154676172682048,0.019882457209058395,0.6923059538622209,0.001296200120114801,0.07032148434836093,-0.03280605439494635,-32.784683550473005,89.0
transformer_embds2,0.0013007913617800063,0.01949322448286114,0.683557826360305,0.00108281230100661,0.06071276965932983,-0.03216382039672088,-30.53141376509916,182.0
takens_mult_PI_0_sigma=0.0005,0.001031528243018948,0.016956403634945404,0.7564612797591752,0.0008028118602795972,0.053916181099887016,-0.027978065997659913,-37.10130640234088,74.0
takens_mult_PL_2,0.0012414424005959567,0.018733858155921893,0.735932918411684,0.0010157494634541076,0.06000572212116169,-0.030910865957271123,-32.69341422491389,119.0
takens_one_BC_1,0.0012601055495908352,0.019000004916382505,0.7355225595690423,0.0010344730506698053,0.06014744947623778,-0.03135000811203113,-29.728958667893114,147.0
table_finance_features,0.001260439215972785,0.018672552882161717,0.7053521917607702,0.001039250250764984,0.061220097185018404,-0.03080971225556683,-36.36942049254009,91.0
takens_mult_PI_1_sigma=0.0005,0.0008555268783266667,0.018190460938757032,0.7129681520463788,0.0006332162239003991,0.04058298285995281,-0.030014260548949102,-39.08469618013842,64.0
signal2vec_embds,0.0005807202452113983,0.02036634089518724,0.6362018840105589,0.00036971583346084646,0.02275403980331386,-0.03360446247705894,-46.48242419572816,215.0
autoencoder_mlp,0.0012313137230509329,0.02255920719802355,0.5833477790519035,0.0010280937373557347,0.049381611660275194,-0.03722269187673886,-38.11309022457746,121.0
takens_mult_PL_1,0.0017094442224198875,0.02284753174480725,0.6054227691900044,0.001502973001488805,0.06968544901780463,-0.03769842737893196,-36.81010376834672,76.0
tsfresh,0.0013132866905863465,0.0202703007720275,0.6518244130615964,0.0010999813710389347,0.0590017380700302,-0.03344599627384537,-41.58648208149253,89.0
takens_one_BC_0,0.0006406302667456357,0.017634373557856256,0.7720327649411355,0.00040962049402142335,0.029676503743907616,-0.029096716370462822,-36.162659325838845,178.0
pca,0.0021112640397641345,0.02190695188220223,0.5970690488347093,0.001906023166380206,0.09101952369510749,-0.036146470605633675,-31.89212971267622,79.0
