,AVG_returns,Risk,Beta,Alpha,Sharpe,VaR,Drawdown,Recovery,clust_model,emb_model
port,0.0014851459479284027,0.023104040851209165,0.5545065400683937,0.0012263857852215967,0.059203593124809016,-0.03812166740449512,-44.948793081990324,202.0,KMeans,ts2vec
port,0.0015676109040831207,0.024483287164208577,0.5152209955250134,0.0013188726134762145,0.059236620496321044,-0.04039742382094415,-45.10899458115657,190.0,Agg,ts2vec
port,0.0010221735652670468,0.01704501670090775,0.780590122137728,0.0007057387344419433,0.05308706159169724,-0.02812427755649779,-37.728144293351164,142.0,KMeans,PersImage_2
port,0.0012006703782660316,0.017176105037758373,0.7797787873130513,0.0008844425216330289,0.06307405911002574,-0.028340573312301314,-39.01621330781593,144.0,Agg,PersImage_2
port,0.0011205283995890216,0.018366941092844768,0.7338323086591768,0.0008160216413361479,0.054621217582355074,-0.030305452803193866,-33.67655165789305,201.0,KMeans,PersLandscape_1
port,0.0013684440592756323,0.02173804650960607,0.6425284835762677,0.0010872292082076552,0.05755532563095321,-0.03586777674085001,-34.575551240656466,203.0,Agg,PersLandscape_1
port,0.0013484439311721732,0.019530929121553776,0.674966304639855,0.0010589540848692507,0.06303541473503546,-0.03222603305056373,-31.763108171045474,143.0,KMeans,transformer_embds_sum_23
port,0.0013484146747413995,0.0195309396773907,0.6749662408501939,0.0010589248447114303,0.06303388271339051,-0.03222605046769465,-31.763108171045474,143.0,Agg,transformer_embds_sum_23
port,0.0012846258568173963,0.019656654825331674,0.6555236767084419,0.0010000958890825154,0.05938559502396159,-0.03243348046179726,-37.89952147686885,129.0,KMeans,transformer_embds3
port,0.00131948915882822,0.019442251796576965,0.6691157886384721,0.001031491798470593,0.06183365268448121,-0.03207971546435199,-35.44017989370083,129.0,Agg,transformer_embds3
port,0.0017568589701330993,0.02052925696365236,0.6313251548304221,0.0014785021252118873,0.07986432529932916,-0.03387327399002639,-33.412093540835095,142.0,KMeans,transformer_embds2
port,0.0014953872711135578,0.020571690762673137,0.6418429429631304,0.001214347303719054,0.06698931911710485,-0.033943289758410676,-36.272470181508545,129.0,Agg,transformer_embds2
port,0.0005612916447757854,0.017023056649598745,0.7790797759071848,0.00024524210825995017,0.026081563380792823,-0.028088043471837926,-36.90665402750592,187.0,KMeans,table_finance_features
port,0.0006166952831767205,0.01794754440667714,0.7507306659496765,0.00030787769819528275,0.027825063865365315,-0.02961344827101728,-38.889481486536894,201.0,Agg,table_finance_features
port,0.000796141639024873,0.021356700260912485,0.6031186835991299,0.0005249803580281312,0.03178571206680503,-0.0352385554305056,-53.87350868495013,318.0,KMeans,autoencoder_mlp
port,0.0011985130322101668,0.02219544053760114,0.5656688932372448,0.0009369053163615531,0.04871312720934953,-0.03662247688704188,-46.8544045414926,238.0,Agg,autoencoder_mlp
port,0.0016899728428522217,0.022040306845064833,0.6404651191623694,0.0014092843628576743,0.07135423023250322,-0.036366506294356976,-34.431482829032014,205.0,KMeans,PersLandscape_2
port,0.0016378313676690163,0.0200349166655592,0.6897631306140483,0.001344566802213758,0.07589388462236098,-0.033057612498172684,-32.18526654823436,142.0,Agg,PersLandscape_2
