,AVG_returns,Risk,Beta,Alpha,Sharpe,VaR,Drawdown,Recovery,clust_model,emb_model
port,0.0011647712474821322,0.02203054464525215,0.602687386543715,0.0008937199917879964,0.047546147883067665,-0.03635039866466604,-44.58800959796789,196.0,KMeans,ts2vec
port,0.0011212860554293883,0.022439001999940526,0.5859409919760428,0.0008545068602715738,0.044742735955796975,-0.03702435329990186,-44.79133499685,188.0,Agg,ts2vec
port,0.0009291018650050887,0.015511721208564762,0.8441960070319217,0.0005964409629718679,0.0523344985547063,-0.025594339994131857,-33.506094842549594,68.0,KMeans,PersImage_2
port,0.001062474185690844,0.01623828311168022,0.8018632353011048,0.0007406125134723461,0.05820630576249361,-0.02679316713427236,-37.56355296924324,69.0,Agg,PersImage_2
port,0.001446398523427094,0.022281037389991605,0.6077033407252245,0.0011740676812629137,0.05965138814360859,-0.03676371169348615,-42.58146345543695,203.0,KMeans,PersLandscape_1
port,0.0014759205529668825,0.020344211658176462,0.6863979238427056,0.0011835144628679953,0.06678149352552558,-0.033567949235991164,-32.882244324589614,143.0,Agg,PersLandscape_1
port,0.0015325465758723475,0.019684027558896703,0.6983915089593561,0.00123708088261776,0.07189803295099752,-0.03247864547217956,-32.26947526403392,143.0,KMeans,transformer_embds_sum_23
port,0.00153254659074958,0.019684027528769136,0.6983915098524812,0.0012370808972671534,0.07189803381684397,-0.032478645422469074,-32.26947526403392,143.0,Agg,transformer_embds_sum_23
port,0.0014318764481538648,0.02031466417856678,0.6514146618575922,0.0011483947036718483,0.06471053239001465,-0.03351919589463519,-37.31155411428865,143.0,KMeans,transformer_embds3
port,0.001431876445341772,0.020314664141520448,0.6514146632169572,0.0011483947005129771,0.06471053236959565,-0.033519195833508736,-37.31155411428867,143.0,Agg,transformer_embds3
port,0.001333451652507366,0.018656777987923232,0.7136819056494841,0.0010340853285814642,0.06518531439137802,-0.03078368368007333,-32.5332570030072,143.0,KMeans,transformer_embds2
port,0.001174551924546496,0.017565831718342438,0.7430868178041299,0.0008676843104603614,0.06018776837125546,-0.02898362233526502,-32.92096277546409,129.0,Agg,transformer_embds2
port,0.00041810175784699104,0.015392926057362519,0.8697601756724473,7.891935200280201e-05,0.019541316764051412,-0.025398327994648154,-33.93691672782795,258.0,KMeans,table_finance_features
port,0.0007956793393543459,0.018555006578372283,0.7315218887108286,0.0004917619768573039,0.03656024710390626,-0.030615760854314264,-42.13496192027573,195.0,Agg,table_finance_features
port,0.0011242871229688416,0.022565574477789212,0.5883725144054955,0.00085688763841249,0.044624762827356494,-0.0372331978883522,-44.836380619783625,143.0,KMeans,autoencoder_mlp
port,0.0009273471736389963,0.02236503102041223,0.5604355410128513,0.0006670745032188271,0.03621919679276245,-0.03690230118368018,-48.04811970038194,268.0,Agg,autoencoder_mlp
port,0.0018078149137089707,0.0218994435138655,0.6458867236152849,0.0015257433645210368,0.07719425376284948,-0.036134081797878075,-33.38303421210751,143.0,KMeans,PersLandscape_2
port,0.0017175422897072405,0.02247170593587759,0.6031174969229338,0.0014463813114355137,0.07121126364144446,-0.03707831479419802,-28.971757163273338,80.0,Agg,PersLandscape_2
port,0.0010231415210760766,0.021352487413786644,0.6180165622759771,0.0007481797420489633,0.04242305777718225,-0.03523160423274796,-51.97053552356869,219.0,KMeans,tsfresh
