,AVG_returns,Risk,Beta,Alpha,Sharpe,VaR,Drawdown,Recovery,clust_model,emb_model
port,0.0011450142861010521,0.02143285073929196,0.4205822653571613,0.0011490663397235273,0.047950250984697226,-0.03536420371983173,-25.46852232306399,85.0,KMeans,ts2vec
port,0.0012018955579188315,0.020700222422943736,0.3710736269125863,0.0011916622759266758,0.052395178270270244,-0.034155366997857164,-22.071969679698068,115.0,Agg,ts2vec
port,0.0007664215017104546,0.016082899353027244,0.5531373820178355,0.0008087213114503631,0.04036074426803049,-0.02653678393249495,-23.1966260736293,122.0,KMeans,takens_one_BC_2
port,0.0006308673497937166,0.015616564070360541,0.5546012068811363,0.0006735895349030609,0.03288582774324768,-0.025767330716094893,-24.95649457023856,121.0,Agg,takens_one_BC_2
port,0.0006325943142758579,0.01511199926788072,0.5955084024359766,0.0006871199550227156,0.03409810914540048,-0.024934798792003186,-22.32852102920613,116.0,KMeans,takens_one_PL_2
port,0.0008834758461042424,0.017106970753120412,0.5588740642585828,0.0009274309312404902,0.04478713054034064,-0.02822650174264868,-25.623392169965477,122.0,Agg,takens_one_PL_2
port,0.0011280025896078466,0.020294441327539003,0.4168603311805517,0.0011309807078420976,0.04980175898717186,-0.033485828190439354,-29.297859994439502,122.0,KMeans,transformer_embds_sum_23
port,0.0012711762578463898,0.017965132330517258,0.446951966469286,0.0012828370852562099,0.064228446681234,-0.029642468345353473,-26.74260388597718,121.0,Agg,transformer_embds_sum_23
port,-0.0001561101873017546,0.021040609574335283,0.3982036078293525,-0.0001585153226352536,-0.012994580797207791,-0.034717005797653216,-42.28857157725287,208.0,KMeans,transformer_embds3
port,0.001138882853393807,0.017581514468515972,0.42679675847000104,0.0011447280510529763,0.058105298118017464,-0.02900949887305135,-23.244392310205864,117.0,Agg,transformer_embds3
port,0.000611314844398245,0.01644531551349696,0.5530024894778517,0.0006535757319365717,0.030039626187673463,-0.02713477059726998,-26.71005928758956,182.0,KMeans,transformer_embds2
port,0.0005862336401459685,0.015031781003962285,0.6085974465595567,0.000644536023579648,0.031195899287510404,-0.024802438656537768,-21.39235877767689,84.0,Agg,transformer_embds2
port,-0.00010694428962362635,0.010320026159251079,0.5129711699985716,-7.623413043946811e-05,-0.021729402619493843,-0.01702804316276428,-19.90260037816566,338.0,KMeans,takens_mult_PI_0_sigma=0.0005
port,-0.00041003775068911626,0.009902652089482015,0.6592204042326769,-0.000337128503425494,-0.05325254888876434,-0.016339375947645323,-20.781309692042736,406.0,Agg,takens_mult_PI_0_sigma=0.0005
port,0.0005608808780216297,0.018611886065626908,0.5226013641614183,0.0005943697554249192,0.023833004490952412,-0.030709612008284395,-26.673613402662653,184.0,KMeans,takens_mult_PL_2
port,0.0006806100660382234,0.016193231283685595,0.5028339862420355,0.0007083952190679219,0.03478653162764963,-0.02671883161808123,-25.36719511244111,182.0,Agg,takens_mult_PL_2
port,0.0007608008199864124,0.017362790553708297,0.5567750466600526,0.0008041502497906198,0.03706184810335842,-0.02864860441361869,-33.792265859061864,182.0,KMeans,takens_one_BC_1
port,0.0009205668667756786,0.016263506674447176,0.5820152755828301,0.0009711991698819996,0.04939052622662842,-0.026834786012837838,-29.537478332898605,182.0,Agg,takens_one_BC_1
port,0.0020436033890875965,0.015220007900787301,0.5014588275173533,0.0020709917506780097,0.12656364489492175,-0.025113013036299047,-12.020326852031616,65.0,KMeans,table_finance_features
port,0.0013781194845771134,0.011999858021661659,0.6058030776308102,0.0014356155744177479,0.10506922402470852,-0.019799765735741735,-11.293906167344659,78.0,Agg,table_finance_features
port,0.0008170949635230788,0.012621636513710897,0.6399427299636026,0.0008844417866228542,0.05544378091766831,-0.02082570024762298,-15.621979731404778,73.0,KMeans,takens_mult_PI_1_sigma=0.0005
port,0.0004658157679791863,0.013174189133922263,0.6702400289843651,0.0005419046429375065,0.026454155971341903,-0.021737412070971733,-27.07905975974605,182.0,Agg,takens_mult_PI_1_sigma=0.0005
port,0.0007246702302495289,0.015806980983238208,0.5299298890107291,0.0007602736969512045,0.03842394174188822,-0.026081518622343043,-21.39157320678541,108.0,KMeans,signal2vec_embds
