,AVG_returns,Risk,Beta,Alpha,Sharpe,VaR,Drawdown,Recovery,clust_model,emb_model
port,0.0014252335366165812,0.018092356884001112,0.46114715601768147,0.0014409902764405376,0.07229184296816084,-0.029852388858601833,-17.766177281138884,72.0,KMeans,ts2vec
port,0.0003593460704590238,0.016669095878766887,0.48510460204138456,0.0003820155464775161,0.014520425005946996,-0.027504008199965364,-27.41940585984083,317.0,Agg,ts2vec
port,0.0007978843777928217,0.016254220044750033,0.533945323422004,0.0008346464671107871,0.041871013317442696,-0.026819463073837552,-24.88345728344684,116.0,KMeans,takens_one_BC_2
port,0.00044937504113000843,0.01343360090300664,0.5344592261440231,0.0004862854131131402,0.024719457552236562,-0.022165441489960955,-18.77624726963466,168.0,Agg,takens_one_BC_2
port,0.0010255137066695313,0.017785170119317555,0.4822069915740637,0.0010473470995456344,0.051065578048568684,-0.029345530696873963,-25.093499630725425,121.0,KMeans,takens_one_PL_2
port,0.0010541187718115402,0.017501368312032726,0.4441223949676771,0.0010649631481975388,0.05352810370449733,-0.028877257714853995,-23.916305223584267,154.0,Agg,takens_one_PL_2
port,0.0002520561291274098,0.014772540944955644,0.5239769005667029,0.00028594190694680813,0.009121817011377074,-0.024374692559176812,-25.962402819768048,131.0,KMeans,transformer_embds_sum_23
port,-5.2905437598060614e-05,0.019245731848885145,0.425918905364206,-4.7313537679055744e-05,-0.008843994750055163,-0.03175545755066049,-29.065620737392152,155.0,Agg,transformer_embds_sum_23
port,0.0003766057372896774,0.019636041778586046,0.4485526910090944,0.00038872844141427186,0.013205412087583173,-0.032399468934666976,-34.786784552259796,210.0,KMeans,transformer_embds3
port,-5.290543759806068e-05,0.019245731848885145,0.425918905364206,-4.731353767905581e-05,-0.008843994750055166,-0.03175545755066049,-29.065620737392138,155.0,Agg,transformer_embds3
port,0.0009214316829086635,0.015527735395313914,0.5815014651135493,0.000971915729968634,0.05178655796239874,-0.025620763402267956,-22.007192002487542,182.0,KMeans,transformer_embds2
port,6.053388148075457e-05,0.011624204751283194,0.5884311274959554,0.00011301742915190785,-0.004883760529719477,-0.01917993783961727,-26.906118119402866,122.0,Agg,transformer_embds2
port,0.0006869806092162893,0.013670407769292146,0.6775461856655022,0.0007651776193106619,0.04167226793786694,-0.02255617281933204,-16.07987209732482,100.0,KMeans,takens_mult_PI_0_sigma=0.0005
port,-0.0001094411375097937,0.009116917727893647,0.653709301117394,-3.812207652642617e-05,-0.024870779589301985,-0.015042914251024516,-17.87366894732547,105.0,Agg,takens_mult_PI_0_sigma=0.0005
port,0.001386354756436144,0.018912102811207702,0.4697338234675823,0.001404589112898061,0.06710258797079027,-0.031204969638492706,-21.731659259872117,87.0,KMeans,takens_mult_PL_2
port,-4.351244663417517e-05,0.01647738481036528,0.49934450578159056,-1.673415626651407e-05,-0.009759810935984273,-0.027187684937102708,-39.781941416139446,320.0,Agg,takens_mult_PL_2
port,0.0011317386526921928,0.018551298695120386,0.4902570932282411,0.0011558948402860412,0.054682691251398706,-0.030609642846948636,-21.93125484463848,75.0,KMeans,takens_one_BC_1
port,0.0003922236392344059,0.013385950329367891,0.6657631832510474,0.00046702075489970965,0.02053794602814271,-0.02208681804345702,-26.06897199980821,122.0,Agg,takens_one_BC_1
port,0.0016354081975320698,0.016406062746421094,0.4113642522558986,0.0016368004646003457,0.09253313894759961,-0.027070003531594805,-19.11405660213511,64.0,KMeans,table_finance_features
port,0.0003649193128101961,0.01280934564417896,0.6503396448830406,0.00043526608548740146,0.019330854662999334,-0.02113542031289528,-14.563583804045033,210.0,Agg,table_finance_features
port,0.0007246845027399293,0.01372736287004168,0.6521356325432565,0.0007955494937986529,0.04424599208570613,-0.02265014873556877,-20.326752146186756,180.0,KMeans,takens_mult_PI_1_sigma=0.0005
port,0.00034567477907776863,0.010405929578600115,0.6770421308198338,0.0004237263480357097,0.021946243583366803,-0.01716978380469019,-15.986503537199937,147.0,Agg,takens_mult_PI_1_sigma=0.0005
