,emb_model,DB,HC,Sil,hom,AVG_returns,Risk,Sharpe,Drawdown,Recovery,clust_model,category
0,KShape,11.608562790649158,1.135959070654661,-0.2999109792124931,0.0546981207496561,0.2569907758754024,0.3401685328169859,0.0424768988141111,34.7786136580396,211.0,KShape,time_clustering
1,MSTcorr,20.950593813629624,1.2948907326867334,-0.3247621536097873,0.0602562489256736,0.4272952377878494,0.43384861204992076,0.0564244963812537,41.964669448888415,90.0,MSTcorr,time_clustering
2,PersImage_1,2.1600829282100587,38.085766876317344,0.1118942146335417,0.0918549223340634,0.12213205951243045,0.2570269329557313,0.0234298319423376,28.280808603594345,195.0,KMeans,
3,PersImage_2,1.954198086018343,54.6171226587577,0.1233469278308132,0.0930708522752201,0.306826083257586,0.29137071979921214,0.0582063057624936,37.56355296924324,69.0,Agg,topological
4,PersLandscape_1,2.0543009751571506,36.66636530460207,0.0517892441507275,0.1065125426807701,0.43940391670329815,0.4188088281647766,0.0596513881436085,42.58146345543695,203.0,KMeans,
5,PersLandscape_2,2.2798777907601413,22.778592178619824,0.0330947170888318,0.0624820481749886,0.5410274790943777,0.4230154689915304,0.0712112636414444,28.971757163273335,80.0,Agg,topological
6,TimeSeriesKMeans,0.6112427603804192,3402.281224463556,0.4056295736526374,0.0337809660255537,0.20294224767009883,0.3628452142430232,0.0312897307713417,35.403760641893726,366.0,TimeSeriesKMeans,time_clustering
7,autoencoder_conv,2.315668087781427,24.23106275659655,0.0401967934872153,0.2154631063500097,0.2578945321997741,0.4321634879102796,0.034677767481162,49.99212154389818,234.0,KMeans,autoencoders
8,autoencoder_lstm,0.9309046589039724,260.2497101368916,0.2987107429085754,0.1362896635732946,0.4836316848051865,0.4290833020176008,0.063720333981636,40.248259663604514,143.0,KMeans,autoencoders
9,autoencoder_mlp,2.935186913790079,35.77733296383029,0.037272992890041,0.2447741082042794,0.32731911843218775,0.4250907419023373,0.0446247628273564,44.836380619783625,143.0,KMeans,autoencoders
10,fastica,1.8669065457103773,4.62192005191503,-0.0588151139754396,0.153344020794037,0.10976572708088672,0.41926923047420006,0.0132755827008968,45.8357866995409,240.0,Agg,dim_reduction
11,pca,3.199041556799805,3.9355934215294215,-0.0097947841422123,0.126639677591629,0.1800028521616146,0.4255816944457613,0.023894573659268,45.28996210402296,295.0,Agg,dim_reduction
12,sectors,3.644767440965584,10.869698563177549,-0.0089972654037112,1.0,0.31146403861721383,0.3480021256886834,0.0505142578849956,41.943385913027534,219.0,sectors,baselines
13,sp500,,,,,0.09837201540673135,0.28988767550774597,0.0157814813187565,33.92496000265331,200.0,sp500,baselines
14,table_finance_features,1.121949090811266,115.54985306444212,0.1940846794170017,0.1542153808610223,0.22192986379596324,0.33890515900695095,0.0365602471039062,42.13496192027573,195.0,Agg,interpretable
15,tnse,0.985252939223236,127.19314206080928,0.2309755878054541,0.2986674954591019,0.4007592887444982,0.4055046368869044,0.056331137222022,46.1452269763862,129.0,KMeans,dim_reduction
16,topo_features,1.5460936399298826,101.95012424044025,0.13425460445764,0.1316274493775866,0.32774710256467343,0.37486803045441164,0.0497733752078712,35.0523412313341,201.0,KMeans,topological
17,transformer_embds1,1.371569812999366,155.70957661371332,0.2686777584116432,0.0477181212182028,0.46063167483172784,0.40113929028868744,0.0646015828800396,38.26134750215766,201.0,KMeans,transformers
18,transformer_embds2,2.7584323247330818,24.47638086994425,0.0585244132673251,0.101400322869276,0.39906754528983623,0.341030429171838,0.065185314391378,32.5332570030072,143.0,KMeans,transformers
19,transformer_embds3,1.1980220820454257,173.6402910336065,0.3057553476415984,0.0410859108713013,0.43415349648191426,0.37609998810031087,0.0647105323900146,37.31155411428865,143.0,KMeans,transformers
20,transformer_embds_sum_23,1.1340277999548296,184.0854806760324,0.3211493248280727,0.043920971594318,0.4709465469431118,0.3626599635090588,0.0718980329509975,32.26947526403392,143.0,KMeans,transformers
21,transformer_embds_sum_all,2.998858554675243,14.005781387145277,0.0312365125485007,0.3487856096877801,0.1284327011668871,0.47351413683869104,0.0146557542793758,50.40320486986646,229.0,Agg,transformers
22,ts2vec,1.987503512913475,84.01072659027233,0.0830921484290163,0.1639709355438366,0.32631681253308487,0.42229310629889416,0.0447427359557969,44.79133499685,188.0,Agg,time_embedding
23,tsfresh,2.1257777899392547,48.46082965068854,0.0889538313907131,0.3320472179090843,0.19177948153913915,0.45684860633598756,0.0241454266188257,57.999456520356816,240.0,Agg,interpretable
24,umap,0.87420398900648,561.3658848811555,0.4203022488232077,0.5337270949656089,0.3515190162039983,0.4003230440694818,0.0503229640018597,46.65000925515879,222.0,KMeans,dim_reduction
