,emb_model,DB,HC,Sil,hom,AVG_returns,Risk,Sharpe,Drawdown,Recovery,clust_model,category
0,PersImage_1,2.1600829282100587,38.085766876317344,0.1118942146335417,0.0918549223340634,0.09702867220843103,0.28111417276469397,0.0159108771854182,31.648254043501733,210.0,Agg,
1,PersImage_2,2.1078817384581856,51.17419999973524,0.0872591641159197,0.0879946984797396,0.35308536159549453,0.3104191526061051,0.0630740591100257,39.01621330781593,144.0,Agg,topological
2,PersLandscape_1,1.9181066684099528,39.956933829123145,0.0703508570884741,0.1089446511289354,0.41144240736200866,0.4068927979134529,0.0575553256309532,34.575551240656466,203.0,Agg,
3,PersLandscape_2,2.2798777907601413,22.778592178619824,0.0330947170888318,0.0624820481749886,0.5303763786720084,0.41351433238899604,0.0713542302325032,34.431482829032014,205.0,KMeans,topological
4,autoencoder_conv,2.315668087781427,24.23106275659655,0.0401967934872153,0.2154631063500097,0.2986600392107772,0.4284550003458081,0.0405093393208305,50.26427685568952,233.0,KMeans,autoencoders
5,autoencoder_lstm,1.0571464884945063,228.24041039060344,0.2377215167078658,0.1317769829588398,0.40352738872436,0.41998808339982396,0.0550176711822032,40.248259663604536,142.0,KMeans,autoencoders
6,autoencoder_mlp,2.935186913790079,35.77733296383029,0.037272992890041,0.2447741082042794,0.35235083591854743,0.41692413257420013,0.0487131272093495,46.8544045414926,238.0,Agg,autoencoders
7,fastica,3.239757791624376,3.942404819199915,0.0172386898087099,0.1815411346346305,0.11861656792988451,0.42100989492977114,0.0146378410675541,41.07792050033887,397.0,KMeans,dim_reduction
8,pca,1.8321620686407163,4.598209131618888,-0.0864756410644596,0.1458090274338951,0.193628526502726,0.4156731492622814,0.0264387236480151,44.60680813758485,240.0,Agg,dim_reduction
9,table_finance_features,1.121949090811266,115.54985306444212,0.1940846794170017,0.1542153808610223,0.16807758954592567,0.3262851535289468,0.0278250638653653,38.889481486536894,201.0,Agg,interpretable
10,tnse,0.985252939223236,127.19314206080928,0.2309755878054541,0.2986674954591019,0.2637844627361656,0.3797462595797414,0.0396460049877352,41.695678653350434,174.0,Agg,dim_reduction
11,topo_features,1.5460936399298826,101.95012424044025,0.13425460445764,0.1316274493775866,0.3232805052585832,0.3808082932255499,0.0484497162415755,34.49791010661972,203.0,KMeans,topological
12,transformer_embds1,1.358070784489096,155.43404798933722,0.2748144856544506,0.0482097967113785,0.4793821495856221,0.4259144629025613,0.0636191200346215,35.45994847257027,142.0,KMeans,transformers
13,transformer_embds2,2.7584323247330818,24.47638086994425,0.0585244132673251,0.101400322869276,0.45725730941763,0.3816132423282792,0.0669893191171048,36.27247018150855,129.0,Agg,transformers
14,transformer_embds3,1.2020125113467712,176.9106125205917,0.3121000778577706,0.0380403058687952,0.3819809772686529,0.362079394811746,0.0593855950239615,37.89952147686885,129.0,KMeans,transformers
15,transformer_embds_sum_23,1.1340277999548296,184.0854806760324,0.3211493248280727,0.043920971594318,0.40434585084862507,0.3594159839663271,0.0630338827133905,31.763108171045477,143.0,Agg,transformers
16,transformer_embds_sum_all,2.578133298043583,13.606851727729968,0.007649464171093,0.3914475338059184,0.14074924206016104,0.4646095086656441,0.0166629292740396,49.378997979448656,229.0,Agg,transformers
17,ts2vec,2.0240429406413907,80.15090637151225,0.079267181453627,0.1539577794165844,0.48398144031543455,0.46811395847714565,0.059236620496321,45.10899458115657,190.0,Agg,time_embedding
18,tsfresh,2.1257777899392547,48.46082965068854,0.0889538313907131,0.3320472179090843,0.30574914735291303,0.5178722773461857,0.0353609392881978,65.57358464683058,205.0,Agg,interpretable
19,umap,0.87420398900648,561.3658848811555,0.4203022488232077,0.5337270949656089,0.2838183381414485,0.41550211436001483,0.0395201220002896,48.50138891640303,215.0,Agg,dim_reduction
