,emb_model,DB,HC,Sil,hom,AVG_returns,Risk,Sharpe,Drawdown,Recovery,clust_model,category
0,KShape,7.42978897597885,3.861955604148298,-0.3626519236085223,0.0353962419205838,0.33521795250183484,0.37294832785522347,0.051100300224014,33.95458726037075,93.0,KShape,time_clustering
1,MSTcorr,3.731503097076794,0.081506408184588,-0.7514480747473006,0.0242624542799809,0.03772870219047797,0.3415968652129131,0.0015879428822195,49.24931629198588,239.0,MSTcorr,time_clustering
2,TimeSeriesKMeans,1.2725138199075734,524.9731253787434,0.2504557837905357,0.0703696647455338,0.2093022042200876,0.4070815616079302,0.0292974171959025,47.21833796812703,209.0,TimeSeriesKMeans,time_clustering
3,autoencoder_conv,2.091430098587374,24.32876861050948,0.0464384770960306,0.2591772048816732,0.2750197081049377,0.3654672188757213,0.0427576117399514,40.44977040489777,135.0,KMeans,autoencoders
4,autoencoder_lstm,0.8877791821072305,298.79162615298105,0.2797683539279921,0.1600535242689196,0.10866121148390917,0.4018335689237995,0.0135829677682469,47.79366139847182,207.0,Agg,autoencoders
5,autoencoder_mlp,0.3487374607091859,8.551307098987,0.4253239709228843,0.0232339024099079,0.2873709680434511,0.413770162295944,0.0401591656939849,37.470174862749786,119.0,KMeans,autoencoders
6,fastica,4.163205275911533,3.138455920413058,-0.0816757356943754,0.240305659109318,0.23065869026595287,0.3782324823969565,0.0346153676317541,33.534508076467205,317.0,Agg,dim_reduction
7,pca,4.163205275911533,3.138455920413058,-0.0816757356943754,0.240305659109318,0.23065869026595287,0.3782324823969565,0.0346153676317541,33.534508076467205,317.0,Agg,dim_reduction
8,sectors,3.744943779880463,10.966540734814355,-0.0135959556822914,1.0,0.3452044885255843,0.3856289210940038,0.0510715771323908,42.31392926733366,185.0,sectors,baselines
9,signal2vec_embds,1.3574368291726928,230.5636186228918,0.1811915651440862,0.1695713390592037,0.03146947040213188,0.372370873403588,0.0002809314939836,49.54498593409696,257.0,Agg,time_embedding
10,sp500,,,,,0.0689390634569802,0.2889850885174363,0.0091366091617744,33.92496000265331,179.0,sp500,baselines
