,AVG_returns,Risk,Beta,Alpha,Sharpe,VaR,Drawdown,Recovery,clust_model,emb_model
port,0.0005172926573135041,0.016028258869992998,0.3296415441864785,0.000345345022644,0.024955233548659913,-0.026446627135488444,-37.243770005489885,385.0,KMeans,ts2vec
port,0.0010618767264239158,0.014735723716824783,0.38423030432121474,0.0008808800385028019,0.06410089051214928,-0.02431394413276089,-27.391428920077132,259.0,Agg,ts2vec
port,0.0006564939042400597,0.0077429834968695205,0.7524708174959943,0.00041445483314530174,0.06963597308758371,-0.012775922769834708,-11.716343354306069,185.0,KMeans,PersImage_2
port,0.0006591834639408196,0.008136837544569403,0.7364112964208376,0.00041980654272903673,0.06659586690016024,-0.013425781948539514,-11.172857193703333,183.0,Agg,PersImage_2
port,0.0006328387491296488,0.01581570218549949,0.3394718790412773,0.0004592615624541516,0.03259640509467004,-0.02609590860607416,-38.03739067461157,385.0,KMeans,PersLandscape_1
port,0.0006602406621250739,0.0152306272837145,0.37817729447909715,0.00048024736772780345,0.03564770762076002,-0.025130535018128924,-37.539273723789435,385.0,Agg,PersLandscape_1
port,0.0011208046347590925,0.012306707656831168,0.4960892653855747,0.0009212653440596266,0.08154097333803353,-0.020306067633771425,-22.840784458801622,122.0,KMeans,transformer_embds3
port,0.0011791217780037543,0.012259927499125722,0.49656133553653087,0.0009795042333207954,0.0866088371440227,-0.02022888037355744,-22.84078445880158,122.0,Agg,transformer_embds3
port,0.0010540519824416492,0.012165721591518455,0.516152387098663,0.0008511868741869365,0.07699898946070495,-0.02007344062600545,-22.989942015694965,206.0,KMeans,transformer_embds2
port,0.0008921526137182167,0.010716906111409874,0.5978384568289277,0.000675746593505082,0.07230154783746925,-0.01768289508382629,-23.28483476240001,122.0,Agg,transformer_embds2
port,0.0010219630741586754,0.010766937062928212,0.5008446967314006,0.0008216354865391743,0.08402197904909013,-0.01776544615383155,-14.913612191047287,184.0,KMeans,table_finance_features
port,0.0008658974816787127,0.010300467515641723,0.5068881906386674,0.0006645680779700084,0.07267570784602644,-0.01699577140080884,-16.258915659552898,236.0,Agg,table_finance_features
port,0.0006243503018899784,0.01641531309004133,0.3122184481950607,0.0004552908537820504,0.030888633392142796,-0.027085266598568192,-31.167674100105426,413.0,KMeans,autoencoder_mlp
port,0.0007792409591212689,0.01652178496515623,0.3097201945201714,0.0006105956407807931,0.04006451159380288,-0.02726094519250778,-30.4213277913453,350.0,Agg,autoencoder_mlp
port,0.001054051764203495,0.01216572126542136,0.5161523751875176,0.0008511866579232655,0.07699897358585436,-0.020073440087945243,-22.989942015694965,206.0,KMeans,transformer_embds5
port,0.001064374679885736,0.01212870319881897,0.5185704467243928,0.00086110873544671,0.07808509702368739,-0.020012360278051297,-22.989942015694975,206.0,Agg,transformer_embds5
port,0.0010207984373226424,0.0134038751876643,0.4637611957700067,0.0008266180963914251,0.0674054861626649,-0.022116394059646095,-25.802321923333427,160.0,KMeans,PersLandscape_2
port,0.000768561903524282,0.015756702731565875,0.3443817679146093,0.0005941708158595591,0.041332136601469796,-0.025998559507083692,-34.25624680687558,385.0,Agg,PersLandscape_2
port,0.0006478202441810937,0.014548389811308746,0.3530376770309528,0.00047199428636468467,0.03646565270984586,-0.02400484318865943,-29.919159743154268,433.0,KMeans,tsfresh
port,0.0003991521264663779,0.015043008057923,0.3480603850630898,0.0002241512428951951,0.018736173745747757,-0.02482096329557295,-40.68327488954397,444.0,Agg,tsfresh
port,0.0009069673079102398,0.013614557205307628,0.4591046186515402,0.0007135588770610839,0.058001415849789136,-0.022464019388757583,-28.206538555617232,255.0,KMeans,pca
port,0.0008121386978226812,0.015661493764013407,0.315585406608709,0.0006425211167601695,0.04436581813063111,-0.025841464710622118,-32.132539886836696,414.0,Agg,pca
port,0.0005916460007245401,0.016271964254091005,0.3419289943057059,0.0004176615037013033,0.029150892878272803,-0.026848741019250156,-41.46274803773711,420.0,KMeans,topo_features
port,0.0008154091074123211,0.016751976775253054,0.3112941659040254,0.000646502875454576,0.041673015844264534,-0.027640761679167538,-39.11819048591498,433.0,Agg,topo_features
port,0.0004680561411208218,0.015348443825512263,0.32219305976319,0.00029734322458786744,0.022852637783600593,-0.025324932312095233,-29.041085091205865,447.0,KMeans,autoencoder_conv
port,0.0008692510632791634,0.01747599902074746,0.29132766012564737,0.0007036546330753172,0.04302743142477889,-0.028835398384233303,-38.13750868362051,342.0,Agg,autoencoder_conv
port,0.0009201357414831364,0.012456925643215867,0.4723788932139723,0.000724526864661303,0.06444864893979002,-0.02055392731130618,-31.78287342462992,264.0,KMeans,umap
port,0.0010681693391237585,0.012630933430183471,0.48018352024766325,0.0008712667072237276,0.07528070910555798,-0.020841040159802725,-32.701375787419586,239.0,Agg,umap
port,0.0009069673079102398,0.013614557205307628,0.4591046186515402,0.0007135588770610839,0.058001415849789136,-0.022464019388757583,-28.206538555617232,255.0,KMeans,fastica
port,0.0008121386978226812,0.015661493764013407,0.315585406608709,0.0006425211167601695,0.04436581813063111,-0.025841464710622118,-32.132539886836696,414.0,Agg,fastica
port,0.0007764759434826529,0.015471268431506964,0.34565446098947217,0.000601873884413213,0.042606217619869574,-0.025527592911986488,-35.561658189948886,385.0,KMeans,transformer_embds1
port,0.0008486501357137882,0.015700824696615254,0.3582678631960796,0.0006719571819625522,0.04658012786022642,-0.02590636074941517,-35.95328103163576,453.0,Agg,transformer_embds1
port,0.0012340398774747553,0.013386938055323068,0.45039460480957827,0.0010420752855932484,0.08341983499327965,-0.02208844779128306,-20.49488604604328,201.0,KMeans,transformer_embds4
port,0.0006876312894215112,0.013470058395724592,0.3786585360307813,0.0005075582207187367,0.042340393696294935,-0.022225596352945576,-28.83387006368804,385.0,Agg,transformer_embds4
port,0.0010189562074834505,0.0126494540164134,0.48349309605347274,0.0008215049548117975,0.07127995346511044,-0.020871599127082106,-21.081586668465448,230.0,KMeans,autoencoder_lstm
port,0.0010033535671707741,0.013521497058217554,0.43544687839659135,0.0008138668255274436,0.06552897578732506,-0.022310470146058962,-27.84626861692009,245.0,Agg,autoencoder_lstm
port,0.0006882301135192397,0.00802013736720061,0.7067480843520318,0.0004537703947674851,0.07118661109467626,-0.013233226655881006,-16.309097913011218,305.0,KMeans,PersImage_1
port,0.0008224493728675436,0.008462110604583501,0.7901752034688064,0.0005741601324037598,0.08332976156694909,-0.013962482497562777,-11.145126889530754,128.0,Agg,PersImage_1
port,0.00028307141453464655,0.00840000584924683,0.9999999999999987,2.168404344971009e-19,0.019734236341640257,-0.013860009651257268,-14.183248095529887,253.0,sp500,sp500
port,0.0010567608230709253,0.011810877659518269,0.5171923537562478,0.0008537233219345799,0.07954168490428627,-0.019487948138205143,-25.38646329340454,256.0,sectors,sectors
