,AVG_returns,Risk,Beta,Alpha,Sharpe,VaR,Drawdown,Recovery,clust_model,emb_model
port,0.001611836809944978,0.014069395935032218,0.27357816127142526,0.001398021645584893,0.10622581829467198,-0.023214503292803158,-21.0758250324223,133.0,KMeans,ts2vec
port,0.001710597008515451,0.016173679826451997,0.2999027014893743,0.0014874952126894352,0.09851148976469637,-0.026686571713645794,-30.11312102349247,307.0,Agg,ts2vec
port,0.0012310248341685858,0.008349326252071786,0.6677684199401152,0.0008781493242371067,0.13339053795601533,-0.013776388315918446,-10.841750962289165,69.0,KMeans,PersImage_2
port,0.001198852729567719,0.008418186714767798,0.6313526677277522,0.0008588237752664987,0.12847767011819036,-0.013890008079366866,-10.13051623813811,66.0,Agg,PersImage_2
port,0.0022569144823044317,0.014249132708299597,0.24652455778481774,0.0020526431444775157,0.15015726306091162,-0.023511068968694333,-16.062440373540866,110.0,KMeans,PersLandscape_1
port,0.0020829464641058757,0.015617983018831922,0.32123207910801116,0.0018523202037421319,0.12585765702916216,-0.025769671981072672,-23.16329809461338,269.0,Agg,PersLandscape_1
port,0.0015802586729248879,0.009237942197179933,0.6145961522060613,0.0012461409931612184,0.15836372731765253,-0.015242604625346889,-10.806824008025295,67.0,KMeans,transformer_embds3
port,0.0015928234350551824,0.0099095826653125,0.6172257069423828,0.0012577781149394483,0.14889827059878538,-0.016350811397765622,-13.610632329987805,119.0,Agg,transformer_embds3
port,0.0015776507628505493,0.009927708883764404,0.5425503930270692,0.0012689490033133727,0.14709809343869112,-0.016380719658211265,-11.714173692490792,77.0,KMeans,transformer_embds2
port,0.0015964633833888899,0.009452830775495646,0.4934486657454023,0.001305083470380853,0.15647795932080283,-0.015597170779567815,-10.921773078737129,50.0,Agg,transformer_embds2
port,0.001483294752546721,0.010306626105194314,0.3743365894773738,0.0012339345650983658,0.1325352278010592,-0.01700593307357062,-14.421483996309947,130.0,KMeans,table_finance_features
port,0.001137839286774129,0.009744172017627721,0.39311124437746564,0.000881855876298376,0.10473291841456384,-0.01607788382908574,-18.080845343396057,163.0,Agg,table_finance_features
port,0.00114764481303256,0.010193693382830108,0.42392825612556234,0.0008807899408478309,0.101076328324097,-0.016819594081669678,-25.540399267897975,253.0,KMeans,signal2vec_embds
port,0.0009613137489810947,0.010426244460288812,0.5038647534903756,0.0006662593038671406,0.08095053193518409,-0.01720330335947654,-25.410701966464956,378.0,Agg,signal2vec_embds
port,0.0016677185327805075,0.013664193288563123,0.3553333120794485,0.0014250622205899265,0.11346552161580953,-0.02254591892612915,-19.75016098914173,168.0,KMeans,autoencoder_mlp
port,0.0019165497318782258,0.01265375249508798,0.2717133443222493,0.0017033924277358326,0.14219070736069955,-0.020878691616895165,-11.837277952410885,122.0,Agg,autoencoder_mlp
port,0.001552262040198106,0.009163802077735579,0.5709613349199661,0.001233537619494775,0.15658984275206456,-0.015120273428263704,-11.68200141489728,51.0,KMeans,transformer_embds5
